"id","startTime","endTime","text","title"
"1",37453,39515,"I'm not sure if we're even on the air.","Edge of Tomorrow"
"2",39539,40539,"Uh... this is uh...","Edge of Tomorrow"
"3",40706,42332,"a series of explosions...","Edge of Tomorrow"
"4",42875,44520,"This is a major incident...","Edge of Tomorrow"
"5",44543,46128,"The emergency is a major incident...","Edge of Tomorrow"
"6",47671,49673,"That's a meteor hit.","Edge of Tomorrow"
"7",49798,53094,"It does now appear to be a major attack...","Edge of Tomorrow"
"8",53219,55762,"Since they landed outsideHamburg five years ago,","Edge of Tomorrow"
"9",55762,57848,"they have steadily advanced across Europe.","Edge of Tomorrow"
"10",57973,59951,"We've suffered millionsof casualties and yet...","Edge of Tomorrow"
"11",59975,63395,"The evacuation of key governmentofficials continuing...","Edge of Tomorrow"
"12",63396,65980,"Nothing we have donehas been able to stop their advance...","Edge of Tomorrow"
"13",65981,67649,"Human costs, the Europeans...","Edge of Tomorrow"
"14",67650,68858,"- have paid the highest...- They appear to mimic...","Edge of Tomorrow"
"15",68859,70986,"and even anticipate our actions...","Edge of Tomorrow"
"16",71528,73114,"We could not defeat them in France,","Edge of Tomorrow"
"17",73239,75118,"we'll be fighting them inthe streets of London,","Edge of Tomorrow"
"18",75143,76686,"then New York, then Tokyo.","Edge of Tomorrow"
"19",77659,79054,"All of humanity is at stake.","Edge of Tomorrow"
"20",79078,82039,"After five years, wefinally have a victory.","Edge of Tomorrow"
"21",82164,84498,"These pictures are just in from Verdun.","Edge of Tomorrow"
"22",84500,87420,"And the coalition victorywas how low casualties were...","Edge of Tomorrow"
"23",87712,90088,"We have seen a stunning victory here today.","Edge of Tomorrow"
"24",90631,91966,"The United Defense Force...","Edge of Tomorrow"
"25",92091,93251,"How do you convince people...","Edge of Tomorrow"
"26",93275,96361,"that this is a fight that can be won?","Edge of Tomorrow"
"27",96512,98231,"This is an alien invasion and a global war.","Edge of Tomorrow"
"28",98256,100883,"With the new jack in technologyand limited amount of training,","Edge of Tomorrow"
"29",101057,103019,"we've been able to create super soldiers.","Edge of Tomorrow"
"30",103561,105563,"Look at Rita Vrataski,The Angel of Verdun...","Edge of Tomorrow"
"31",105688,107448,"They're calling her ""TheAngel of Verdun""...","Edge of Tomorrow"
"32",108481,111359,"You can see that's thenew hope for this war...","Edge of Tomorrow"
"33",112777,115258,"With the new jack in technologyand limited amount of training,","Edge of Tomorrow"
"34",115281,118409,"Rita Vrataski was able tokill hundreds of Mimics...","Edge of Tomorrow"
"35",128711,132566,"She was able to kill hundreds of Mimicson only her first day in combat.","Edge of Tomorrow"
"36",132590,135134,"Imagine any army of Rita Vrataski's.","Edge of Tomorrow"
"37",135259,137969,"We're managing to hold them backat the English Channel,","Edge of Tomorrow"
"38",138137,139856,"- but for how long?- It is a dangerous task","Edge of Tomorrow"
"39",139881,142658,"and it's easy to understandwhy people are so suspicious about this...","Edge of Tomorrow"
"40",142682,144963,"Over seventy nationsare joining the United Defense Force,","Edge of Tomorrow"
"41",145088,146929,"which hopes to push themback once and for all.","Edge of Tomorrow"
"42",146953,150650,"We've got 'em contained, and with thisnew technology, we're gonna defeat 'em.","Edge of Tomorrow"
"43",150775,152743,"Operation Downfall isgoing to be the largest","Edge of Tomorrow"
"44",152756,154736,"mechanized invasion inthe history of mankind.","Edge of Tomorrow"
"45",154861,156197,"We will be victorious.","Edge of Tomorrow"
"46",156447,157447,"We fight.","Edge of Tomorrow"
"47",157740,158740,"That's what we do.","Edge of Tomorrow"
"48",159199,163454,"LONDON","Edge of Tomorrow"
"49",214546,215923,"Major William Cage.","Edge of Tomorrow"
"50",216132,218259,"United Stated military.","Edge of Tomorrow"
"51",218466,219610,"Welcome to London, Major.","Edge of Tomorrow"
"52",219634,221679,"UNITED DEFENSE FORCE HEADQUARTERS","Edge of Tomorrow"
"53",227350,228769,"The General will see you now.","Edge of Tomorrow"
"54",230271,231271,"Thank you.","Edge of Tomorrow"
"55",233064,234317,"Operation Downfall,","Edge of Tomorrow"
"56",234974,237810,"the entire might of theUDF invading from France,","Edge of Tomorrow"
"57",237811,239050,"the Mediterranean, Scandinavia,","Edge of Tomorrow"
"58",239687,241728,"relieving pressure in theEastern front and allowing","Edge of Tomorrow"
"59",241752,243942,"the Russians and Chineseto push the enemy back,","Edge of Tomorrow"
"60",244485,245685,"and we all meet in the middle,","Edge of Tomorrow"
"61",246069,248864,"exterminating this Mimicscourge along the way.","Edge of Tomorrow"
"62",250032,252231,"A lot of good soldiersare going to die tomorrow, Major,","Edge of Tomorrow"
"63",252256,254888,"and when the smoke clearsand the body bags start coming home,","Edge of Tomorrow"
"64",254912,256764,"people tend to look for someone to blame,","Edge of Tomorrow"
"65",256788,258122,"someone like me.","Edge of Tomorrow"
"66",258499,260334,"Ideally I'd prefer a different scenario.","Edge of Tomorrow"
"67",262127,263127,"Please.","Edge of Tomorrow"
"68",263879,265964,"A best selling memoir perhaps?","Edge of Tomorrow"
"69",268050,269218,"Maybe a career in politics?","Edge of Tomorrow"
"70",271971,274305,"Off the top of my head,I would go with the...","Edge of Tomorrow"
"71",274305,276141,"""The Sense of Manifest Destiny.""","Edge of Tomorrow"
"72",276516,278643,"""Rags to Riches: RagsRise Through The Ranks.""","Edge of Tomorrow"
"73",278644,280353,"""Born to Deliver.""You see people.","Edge of Tomorrow"
"74",281021,282500,"Well, they'd love that sort of thing.","Edge of Tomorrow"
"75",282523,283707,"You misunderstand, Major.","Edge of Tomorrow"
"76",283731,286485,"I didn't ask you here to sell me,I want you to sell the invasion.","Edge of Tomorrow"
"77",287004,288004,"Okay.","Edge of Tomorrow"
"78",288028,289548,"You ship out to the coast in one hour.","Edge of Tomorrow"
"79",289654,291240,"Your comrade is standing by.","Edge of Tomorrow"
"80",291615,293367,"You'll be on the beach with the first wave.","Edge of Tomorrow"
"81",296245,297305,"I'm sorry.","Edge of Tomorrow"
"82",297329,298413,"The first wave, the beach?","Edge of Tomorrow"
"83",298413,300081,"You mean... The front?","Edge of Tomorrow"
"84",300081,301081,"France.","Edge of Tomorrow"
"85",301709,303877,"Satellite show minimumenemy movement down the coast.","Edge of Tomorrow"
"86",304502,305502,"Little resistance.","Edge of Tomorrow"
"87",306338,308497,"It'd be exciting,something to tell your grandchildren.","Edge of Tomorrow"
"88",308521,311093,"Well, I appreciate the confidence, General.","Edge of Tomorrow"
"89",311427,313887,"I do... I do this to avoid doing that.","Edge of Tomorrow"
"90",318016,319976,"I...I... I was an ROTC in college,","Edge of Tomorrow"
"91",320101,323396,"and war broke out,I lost my advertising firm and...","Edge of Tomorrow"
"92",324332,325332,"here I am.","Edge of Tomorrow"
"93",325356,326481,"I do what I do.","Edge of Tomorrow"
"94",326483,328819,"You... you do what you do.","Edge of Tomorrow"
"95",329653,333990,"But... I'm not a soldier really.","Edge of Tomorrow"
"96",335199,336284,"No, of course you're not.","Edge of Tomorrow"
"97",336409,339610,"That's why I'm embedding you with severalhundred thousand men and women who are.","Edge of Tomorrow"
"98",340288,342930,"Well it is an honor, General.I'm afraid I'm gonna have to decline.","Edge of Tomorrow"
"99",343459,344959,"I can't stand the sight of blood,","Edge of Tomorrow"
"100",345418,346795,"not so much as a paper cut.","Edge of Tomorrow"
"101",352009,353944,"Uh... but,","Edge of Tomorrow"
"102",353968,356721,"uh... it's sitting herethinking about this,","Edge of Tomorrow"
"103",357723,362077,"a couple of names come to mind that I feellike I could recommend to you inste...","Edge of Tomorrow"
"104",362101,364062,"It's not an offer, Major,it's an order.","Edge of Tomorrow"
"105",366982,370778,"General, I'm an officer inthe United States Military.","Edge of Tomorrow"
"106",371069,372550,"You don't even have that authority...","Edge of Tomorrow"
"107",372574,374113,"I've spoken to your C.O.","Edge of Tomorrow"
"108",374322,375824,"You are now under my command.","Edge of Tomorrow"
"109",376783,378619,"You will retain yourpresent rank of course.","Edge of Tomorrow"
"110",379954,381329,"My secretary has all the details.","Edge of Tomorrow"
"111",384207,385584,"Do a good job, Major.","Edge of Tomorrow"
"112",386728,387728,"Good luck.","Edge of Tomorrow"
"113",387752,388795,"Dismissed.","Edge of Tomorrow"
"114",403185,404185,"General.","Edge of Tomorrow"
"115",407064,409274,"I just inspired millions of people...","Edge of Tomorrow"
"116",409942,411110,"to join your army.","Edge of Tomorrow"
"117",413528,415572,"And when the body bags come home,","Edge of Tomorrow"
"118",415697,418158,"and they're looking for someone to blame.","Edge of Tomorrow"
"119",418826,422036,"How hard do you thinkit would be for me to convince people...","Edge of Tomorrow"
"120",422161,423663,"to blame you?","Edge of Tomorrow"
"121",425456,428377,"I'd imagine a General wouldprefer to avoid that.","Edge of Tomorrow"
"122",432047,433507,"Are you blackmailing me, Major?","Edge of Tomorrow"
"123",435341,436759,"I would prefer...","Edge of Tomorrow"
"124",437468,441307,"not to be filming acts of heroismand valor on that beach tomorrow.","Edge of Tomorrow"
"125",455237,456237,"You won't be.","Edge of Tomorrow"
"126",459283,461658,"I'm glad we could uh... work this out.","Edge of Tomorrow"
"127",461659,463221,"Now, if you'll excuse me, General, I...","Edge of Tomorrow"
"128",468709,469709,"Thank you.","Edge of Tomorrow"
"129",471295,472295,"Arrest this man.","Edge of Tomorrow"
"130",473797,474797,"What?","Edge of Tomorrow"
"131",478636,479636,"Stop running!","Edge of Tomorrow"
"132",509375,511418,"Flight closing in 10 minutes.","Edge of Tomorrow"
"133",528184,529184,"On your feet, maggot!","Edge of Tomorrow"
"134",533065,535482,"Now that's no way to addressan officer, Sergeant.","Edge of Tomorrow"
"135",535484,537432,"That's how I address aslack-jawed recruit right","Edge of Tomorrow"
"136",537445,539404,"before I bust his holewith my boot heel.","Edge of Tomorrow"
"137",539613,540613,"Maggot!","Edge of Tomorrow"
"138",540614,541614,"Hold up there, son.","Edge of Tomorrow"
"139",544033,545033,"Can I help you, sir?","Edge of Tomorrow"
"140",546662,547870,"Where the hell am I, Sergeant?","Edge of Tomorrow"
"141",548205,549831,"Forward Operating Base, Heathrow.","Edge of Tomorrow"
"142",550164,552125,"You just came in with the fresh recruits.","Edge of Tomorrow"
"143",552250,553918,"Do I strike you as a fresh recruit?","Edge of Tomorrow"
"144",555546,556547,"No, sir, you do not.","Edge of Tomorrow"
"145",556879,559631,"My name is Major William Cage,I'm an American officer...","Edge of Tomorrow"
"146",559633,560384,"Officer?","Edge of Tomorrow"
"147",560551,561592,"This is Processing.","Edge of Tomorrow"
"148",562094,564346,"There's no officers down here.I got this, Sergeant.","Edge of Tomorrow"
"149",565556,567975,"How the hell did you end up in Processing?","Edge of Tomorrow"
"150",569350,570351,"What was it?","Edge of Tomorrow"
"151",570476,572687,"Poker night? Bachelor party?","Edge of Tomorrow"
"152",572895,574648,"If it's all the same to you, Sergeant.","Edge of Tomorrow"
"153",574856,577985,"I'd like to explain that to myCommanding Officer in Washington.","Edge of Tomorrow"
"154",578110,579629,"So if you just take me to the phone...","Edge of Tomorrow"
"155",579653,580653,"Haven't you heard?","Edge of Tomorrow"
"156",580738,582405,"We're t-minusing our whole S.H. out,","Edge of Tomorrow"
"157",583490,585451,"we're fixing to invade France.","Edge of Tomorrow"
"158",585658,589370,"This whole F.O.P is on lockdown,no calls, in or out.","Edge of Tomorrow"
"159",592459,593459,"You're name's Farell?","Edge of Tomorrow"
"160",593460,594602,"That's right.","Edge of Tomorrow"
"161",594626,595753,"Master Sergeant Farell.","Edge of Tomorrow"
"162",595878,597557,"Master Sergeant Farell,you're an American.","Edge of Tomorrow"
"163",597581,599792,"No, sir. I'm from Kentucky.","Edge of Tomorrow"
"164",600883,603594,"Okay, well... Look at me.","Edge of Tomorrow"
"165",604052,605511,"And look at where I am.","Edge of Tomorrow"
"166",607472,608472,"I've been railroaded.","Edge of Tomorrow"
"167",609892,611809,"It's obvious, I don't belong here.","Edge of Tomorrow"
"168",613312,614355,"So please, Sergeant.","Edge of Tomorrow"
"169",615022,617066,"There has to be a wayI can make a phone call.","Edge of Tomorrow"
"170",622988,624490,"I'll get you sorted out, sir.","Edge of Tomorrow"
"171",624615,625615,"Thank you.","Edge of Tomorrow"
"172",625783,626825,"Right this way.","Edge of Tomorrow"
"173",633456,636537,"- Where are you from in Kentucky, Sergeant?- Little town called Science Hill.","Edge of Tomorrow"
"174",636561,637645,"- Heard of it?- I have now.","Edge of Tomorrow"
