"id","startTime","endTime","text","title"
"1",53679,58933,"Once upon a time, ina magical kingdom known as Andalasia,","Enchanted"
"2",59017,61811,"there lived an evil queen.","Enchanted"
"3",61895,63438,"Selfish and cruel,","Enchanted"
"4",63522,68025,"she lived in fear that one dayher stepson would marry,","Enchanted"
"5",68110,71070,"and she wouldlose her throne forever.","Enchanted"
"6",71155,76701,"And so, she did all in her powerto prevent the prince from ever meeting","Enchanted"
"7",76785,82707,"the one special maiden with whomhe would share true love's kiss.","Enchanted"
"8",82791,86002,"Giselle, Giselle,how about this for your statue?","Enchanted"
"9",86086,89255,"- Oh, this will be perfect. Thank you.- You're welcome.","Enchanted"
"10",89339,93092,"Come on! OK, you mookses, move it!We have got a face to put together here","Enchanted"
"11",93177,95720,"while it's still ingrainedin her subcranium.","Enchanted"
"12",95804,98264,"Oh, Pip, it wassuch a lovely dream.","Enchanted"
"13",98348,101350,"We were holding handsand dancing, and...","Enchanted"
"14",101435,102894,"- Oh!- And these for the eyes.","Enchanted"
"15",102978,105354,"Blue? Oh, how did you know?","Enchanted"
"16",105439,108274,"And they sparkle just like his. Mm!","Enchanted"
"17",108358,111611,"OK. There we go.","Enchanted"
"18",111695,115573,"- Yes! That's it!- OK. Yeah, yeah.","Enchanted"
"19",115657,120745,"- Floor's yours, honey.- Presenting my one true love.","Enchanted"
"20",120829,123748,"My prince. My dream come true.","Enchanted"
"21",123832,127168,"Oh, my goodness!","Enchanted"
"22",127252,131797,"- Whoa, whoa. What? What's the problem?- I didn't give him any lips.","Enchanted"
"23",131882,134467,"- Ooh!- Does he have to have lips?","Enchanted"
"24",134551,136427,"Of course.","Enchanted"
"25",136512,140139,"When you meet the someonewho is meant for you.","Enchanted"
"26",140224,144977,"♪ Before two can become oneThere's something you must do","Enchanted"
"27",145062,148940,"- Do you pull each other's tails?- Do you feed each other seeds?","Enchanted"
"28",149024,150566,"No.","Enchanted"
"29",150651,152985,"♪ There is something sweeter","Enchanted"
"30",153070,157823,"♪ Everybody needs","Enchanted"
"31",157908,162453,"♪ I've been dreamingof a true love's kiss","Enchanted"
"32",162538,166332,"♪ And a princeI'm hoping comes with this","Enchanted"
"33",166416,168334,"♪ That's what brings","Enchanted"
"34",168418,172588,"♪ Ever-afterings so happy","Enchanted"
"35",174216,178219,"♪ And that's the reasonwe need lips so much","Enchanted"
"36",178303,182181,"♪ For lips are theonly things that touch","Enchanted"
"37",182266,183683,"♪ So to spend","Enchanted"
"38",183767,188020,"♪ A life of endless bliss","Enchanted"
"39",188105,190773,"♪ Just find who you love","Enchanted"
"40",190857,196112,"♪ Through true love's kiss ♪","Enchanted"
"41",198574,201909,"If we're going to finda perfect pair of lips,","Enchanted"
"42",201994,204453,"we're going to needa lot more help.","Enchanted"
"43",212921,216757,"♪ She's been dreamingof a true love's kiss","Enchanted"
"44",216842,220636,"♪ And a prince she's hopingcomes with this","Enchanted"
"45",220721,224098,"♪ That's what bringsever-afterings","Enchanted"
"46",224182,228394,"- ♪ So happy- ♪ So happy","Enchanted"
"47",228478,231939,"♪ That's the reasonwe need lips so much","Enchanted"
"48",232024,236068,"♪ For lips are theonly things that touch","Enchanted"
"49",236153,238195,"Humph!","Enchanted"
"50",238280,242241,"♪ So to spend a life","Enchanted"
"51",242326,245578,"♪ Of endless bliss","Enchanted"
"52",245662,249206,"♪ Just find who you love","Enchanted"
"53",249291,255087,"♪ Through true love's kiss ♪","Enchanted"
"54",255172,257715,"Look out below!","Enchanted"
"55",259760,263220,"Amazing, sire.","Enchanted"
"56",263305,266766,"Your tenth troll this month.","Enchanted"
"57",266850,269935,"Oh, I love hunting trolls.","Enchanted"
"58",270020,273773,"Big trolls, little trolls.Trolls, trolls, trolls...","Enchanted"
"59",273857,276609,"- Sorry.- Oh, that's OK.","Enchanted"
"60",276693,279403,"Ah, trolls are fineto pass the time, Nathaniel,","Enchanted"
"61",279488,283491,"but... but my heart longsto be joined in song.","Enchanted"
"62",283575,287328,"♪ I've been dreamingof a true love's kiss","Enchanted"
"63",287412,289747,"- ♪ And a...- ♪ ...prince I'm hoping","Enchanted"
"64",289831,293626,"- ♪ Comes with this- Do you hear that, Nathaniel?","Enchanted"
"65",293710,295461,"Me? No.No, I hear nothing.","Enchanted"
"66",295545,297672,"Nothing.","Enchanted"
"67",297756,300174,"- Oh!- I must find the maiden","Enchanted"
"68",300258,303969,"- that belongs to that sweet voice.- Oh, no! Come back, sire.","Enchanted"
"69",304054,306430,"- No, you're hallucinating!- Ride, Destiny!","Enchanted"
"70",306515,308808,"Oh!","Enchanted"
"71",309184,313396,"Oh, pooh. Oh, no.No. This isn't good.","Enchanted"
"72",313480,317358,"All these years of troll chasing, tryingto keep him from ever meeting a girl.","Enchanted"
"73",317442,321237,"Oh, the queen.No, she's not going to like this.","Enchanted"
"74",321321,326158,"♪ True love's kiss ♪","Enchanted"
"75",331623,335126,"♪ True love's kiss ♪","Enchanted"
"76",336420,340256,"♪ True love's kiss ♪","Enchanted"
"77",340340,343884,"Oh, you shall not prevail, foul troll.That maiden is mine!","Enchanted"
"78",345095,349306,"Honey, do you really thinkyour dream boy exists?","Enchanted"
"79",349391,353102,"Oh, Pip. I know he'sout there somewhere.","Enchanted"
"80",353186,355354,"Eye! Eye! Eye-Eye.","Enchanted"
"81",355439,359150,"- L... l what?- I eat you now.","Enchanted"
"82",359234,361861,"Everybody, scatter!","Enchanted"
"83",361945,365322,"Gotcha. Huh?","Enchanted"
"84",366408,368784,"Hey! That's cheating!","Enchanted"
"85",369953,372830,"I supposed to eat you.","Enchanted"
"86",372914,374707,"Oh, no you don't,you big lug.","Enchanted"
"87",374791,377001,"Oh? Oh!","Enchanted"
"88",377085,380504,"Ah!","Enchanted"
"89",380589,383549,"Wow, I got to lay off the nuts.","Enchanted"
"90",383633,386427,"Girl yummy.","Enchanted"
"91",387804,390556,"Fear not, fair maiden.I am here.","Enchanted"
"92",390640,395102,"- Whoa!- Gotcha!","Enchanted"
"93",395187,398230,"Whoa!","Enchanted"
"94",399316,402067,"Uh-oh. Whoo!","Enchanted"
"95",402152,405571,"Oh! Pip!","Enchanted"
"96",405655,407406,"Just hang on, honey.I'm going to...","Enchanted"
"97",407491,410659,"Ow! Ow! Ow!","Enchanted"
"98",411953,413662,"Oh, my gosh.","Enchanted"
"99",413747,417792,"- It's you.- Yes, it's me.","Enchanted"
"100",417876,420503,"- And you are?- Giselle.","Enchanted"
"101",420587,425466,"Oh! Giselle! We shall bemarried in the morning.","Enchanted"
"102",425550,429428,"♪ You're the fairest maidI've ever met","Enchanted"
