"id","startTime","endTime","text","title"
"1",337300,339175,"Hello?","Entrapment"
"2",339260,343090,"Ming!Turn that stinking music down!","Entrapment"
"3",343175,344840,"Oh, it's you!","Entrapment"
"4",344885,348050,"Where's my painting? I want my painting.","Entrapment"
"5",348675,352550,"In the mail? Well, that's original!","Entrapment"
"6",353090,357175,"I have to say, I'm astonishedthat you could do it!","Entrapment"
"7",357260,361215,"The climb! All that schleppingat your tender age!","Entrapment"
"8",361259,364885,"Anyway, bad news.The price for the goggles went up.","Entrapment"
"9",364967,368675,"The Rembrandt'snot gonna cover my expenses.","Entrapment"
"10",369967,374134,"Under the circumstances,40 million would be a bargain.","Entrapment"
"11",374217,380509,"I don't care how you get it.Just make sure that you get it fast.","Entrapment"
"12",380550,383884,"Tick-tock... tick-tock.","Entrapment"
"13",397009,399175,"- Morning, Mr. Cruz.- Morning.","Entrapment"
"14",411050,417425,"First you insure the art, only to watch itget clipped a month after the client buys it.","Entrapment"
"15",417509,420550,"Well, it could becomepart of our ad campaign.","Entrapment"
"16",420634,426425,"I'll remember that when I go upstairs to hearabout my new position in the Toledo office.","Entrapment"
"17",426800,429550,"I called you at 4.30 this morning.","Entrapment"
"18",430550,432592,"I was home in bed.","Entrapment"
"19",432675,435092,"- You didn't pick up.- I didn't wanna pick up.","Entrapment"
"20",435175,437259,"You had company.","Entrapment"
"21",438009,441050,"- He came in the window.- How romantic.","Entrapment"
"22",441259,443634,"I think that's how he got in.","Entrapment"
"23",443675,448175,"This was 70 storeys up with smart-glasswindows at 400 pounds a pop.","Entrapment"
"24",448259,450509,"He rigged something.","Entrapment"
"25",452634,454717,"And I think it was...","Entrapment"
"26",456092,459717,"- ..telescoping bolts.- And you know this how?","Entrapment"
"27",460342,462425,"Excuse me.","Entrapment"
"28",466300,470300,"- You're showing off again.- Let a thousand flowers bloom.","Entrapment"
"29",470384,472800,"- Chairman Mao.- You got it.","Entrapment"
"30",474217,476925,"He left the window open when he came in.","Entrapment"
"31",477009,479259,"The draught blew over the flowers.","Entrapment"
"32",479300,482800,"I'll bet the bolts on that windowhave fresh scratches.","Entrapment"
"33",482884,485217,"- And who do we like for this?- Guess.","Entrapment"
"34",485342,486925,"Oh, gee. I wonder.","Entrapment"
"35",488509,490550,"Indulge me.","Entrapment"
