"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Epic"
"2",46512,48380,"Somebody told me once...","Epic"
"3",48381,51781,"that if you stand stillin the forest long enough...","Epic"
"4",51783,54884,"you'll see signs ofa hidden struggle.","Epic"
"5",54887,58688,"Raging betweenforces of life and decay.","Epic"
"6",58689,62959,"That the survivalof the forest itself
depends on the outcome.","Epic"
"7",62960,66194,"And that the good guys needall the help they can get.","Epic"
"8",66197,71432,"And that if youdon't believe it,
take a close look.","Epic"
"9",71435,75969,"And if you still don't,look closer.","Epic"
"10",89716,92151,"Oh! Oh!","Epic"
"11",92384,95186,"Mmm-hmm.","Epic"
"12",99191,100890,"Ah! Oh, oh, oh!","Epic"
"13",102926,104861,"Whoa! I...","Epic"
"14",119408,121075,"Oh!","Epic"
"15",198609,199975,"Whoa!","Epic"
"16",213121,214421,"Need a lift?","Epic"
"17",214424,215723,"I don't need your help!","Epic"
"18",215724,217824,"You're running out ofbranch there, buddy.","Epic"
"19",217826,220192,"Still don't need your help.","Epic"
"20",227000,228500,"Whoa! Oh!","Epic"
"21",243981,245382,"Why aren't youwith your group?","Epic"
"22",245384,246816,"What? I flyfaster alone!","Epic"
"23",246818,247849,"How do younot get this?","Epic"
"24",247852,249618,"You're not the only oneon this team, you know.","Epic"
"25",249621,251787,"So yell at one of themfor a change.","Epic"
"26",251788,255490,"You hear that?What am I supposed
to do with this kid?","Epic"
"27",255491,257524,"Ah, you're right.","Epic"
"28",257526,260627,"You've gotyour own problems.","Epic"
"29",263230,266033,"You're a Leafman.You know how
important today is.","Epic"
"30",266035,269668,"You know what? I'mthinking maybe I'm just
not cut out for this.","Epic"
"31",269670,271838,"That's the problem.You are cut out for it.","Epic"
"32",271839,273906,"But I'm tired ofwaiting for you
to prove it.","Epic"
"33",273908,277542,"Get a bird and getback to Moonhaven,
or you're done.","Epic"
"34",277543,280612,"What, you're notgoing to help me now?","Epic"
"35",280613,282512,"I just did.","Epic"
"36",283715,284314,"That's cool!","Epic"
"37",284317,286550,"I could probablyjust jump from here!","Epic"
"38",286552,289485,"Just followthat last guy down!","Epic"
"39",294425,296858,"Whoa! Incoming.","Epic"
"40",296860,299827,"Bet they didn'thave bugs like that
in the city.","Epic"
"41",299829,302163,"Yeah. I miss it already.","Epic"
"42",302165,303398,"She talks!","Epic"
"43",303399,305132,"Something onyour mind, kid?","Epic"
"44",305134,307000,"What do you say toa total stranger?","Epic"
"45",307002,310569,"Stranger?You and I go
back twenty minutes.","Epic"
"46",310572,313439,"Not you... Larry.","Epic"
"47",313442,314875,"I mean the personI'm visiting.","Epic"
"48",314877,317776,"I'm leaving youout here with someone
you don't know?","Epic"
"49",317778,322180,"It's okay, Lar.We weren't always strangers.","Epic"
"50",322182,325350,"Maybe now thingswill be different.","Epic"
"51",325351,327151,"♪ And everyone says","Epic"
"52",327153,330687,"♪ This love will change you","Epic"
"53",330689,331721,"♪ Well, I ask","Epic"
"54",331723,335259,"♪ Does anything everstay the same?","Epic"
"55",335261,338795,"♪ No, no, no","Epic"
"56",338797,343399,"♪ It's strange changes","Epic"
"57",344800,349471,"That's not a house,that's termites
holding hands. No offense.","Epic"
"58",349473,351038,"Don't worry, Lar.I'll be--","Epic"
"59",351040,354108,"Call if you needa quick getaway, kid!","Epic"
"60",354110,356276,"Fine.","Epic"
"61",380098,381630,"Hello?","Epic"
"62",383600,385735,"Anyone home?","Epic"
"63",396512,398112,"Hello?","Epic"
"64",407355,410456,"Okay. No, actually,you know what?
I should check this bee.","Epic"
"65",410457,412992,"No, that'sright there. Uh...","Epic"
"66",412994,416461,"Do we have-- I had itwe-- Oh, no, it's over here.","Epic"
"67",416463,419096,"Okay. Yeah.Uh, let's see.","Epic"
"68",419264,420165,"Uh...","Epic"
"69",420166,421598,"Made of--Oh, gosh!","Epic"
"70",421600,423634,"I don't know,polished acorn shell","Epic"
"71",423636,425769,"and thin leather?Perhaps mouse hide.","Epic"
"72",425771,426670,"Pardon me,excuse me, sorry.","Epic"
"73",426672,429538,"Correction: not mouse hide.Shrew, perhaps.","Epic"
"74",429540,433209,"Or, you know what,actually, it could be vole.","Epic"
"75",433211,434942,"Hi, Dad.Oh!","Epic"
"76",436879,438247,"Mary Katherine!","Epic"
"77",438249,439180,"Yeah.","Epic"
"78",439182,441548,"You're here! Mmm!","Epic"
"79",441850,442350,"Yeah.","Epic"
"80",442351,445386,"I didn't realizetoday was today.","Epic"
"81",445853,447622,"It always is.","Epic"
"82",447624,449889,"Hey, let melook at you! Oh...","Epic"
"83",449891,453927,"You look justlike your mother.
Like she did.","Epic"
"84",454762,456762,"You would, if youknow what I mean...
Dad.","Epic"
"85",456764,458396,"Do you want to talkabout it, if that's--","Epic"
"86",458399,462766,"Thanks,but I've been reading up
on the five stages of grief.","Epic"
"87",462769,465136,"I'm workingthrough them myself.","Epic"
"88",465137,467338,"I'm good like that.","Epic"
"89",467340,468906,"There actuallyare a few things","Epic"
"90",468908,471074,"I would liketo talk about.","Epic"
"91",471341,473509,"Oh, oh, oh! Ozzy!","Epic"
"92",474678,475545,"Look who's back!","Epic"
"93",475548,478781,"Ozzy?He's still alive?","Epic"
"94",478783,479882,"Well, you know,most of him.","Epic"
"95",479884,482552,"He may be down tothree legs, but he'll
make a break for it...","Epic"
"96",482553,484653,"the first chancehe gets.","Epic"
"97",484654,488122,"Ozzy, go say hi.","Epic"
"98",488125,489757,"Here, boy!","Epic"
"99",489759,491225,"Ah, there he goes.","Epic"
"100",491226,492793,"His depth perception'sa little off...","Epic"
"101",492795,495362,"and he hasa tendency to
run in circles.","Epic"
"102",495363,497163,"Hey, but that was closerthan usual, you know?","Epic"
"103",497165,500533,"He remembers you!","Epic"
"104",502269,506237,"So, I havea little surprise
for you up here.","Epic"
"105",506240,508774,"Just follow me,take a look.","Epic"
"106",509475,512309,"Ozzy! No. No kisses.","Epic"
"107",512312,514711,"Well, here we are.","Epic"
"108",514779,516713,"Welcome home.","Epic"
"109",518048,519783,"It's likeI never left.","Epic"
"110",519784,523552,"All your things are here,you got your dolls and...","Epic"
"111",523554,526688,"your pictures,your turtle.","Epic"
"112",527023,527822,"Oh, dear.","Epic"
"113",527825,531993,"Well, it's good to haveyou back, Mary Katherine.","Epic"
"114",531995,535395,"Actually,I go by MK now.","Epic"
"115",535398,536831,"Oh! MK.","Epic"
"116",536832,539966,"I like that.It's more grown-up.","Epic"
"117",539969,542635,"Oh! Um... Hmm.","Epic"
"118",542638,543336,"Do you haveto get that?","Epic"
"119",543339,546672,"Oh, no. No. That was justone of my sensors.","Epic"
"120",546673,548139,"I got a lotgoing on right now.","Epic"
"121",548142,549942,"Today is actuallya highly unusual day.","Epic"
"122",549943,552745,"There is botha full moon tonight
and the summer solstice...","Epic"
"123",552746,555212,"which only coincideevery hundred years or so.","Epic"
"124",555215,558416,"You can imagine,it's just crazy
over here.","Epic"
"125",558551,559250,"Hey! Uh...","Epic"
"126",559253,561552,"You probably wantsome time to settle in.","Epic"
"127",561553,565154,"I'm just going to let youmake yourself at home,
Mary Kather--","Epic"
"128",565157,569424,"Oh! No, who'sMary Katherine?
MK, I mean.","Epic"
"129",579168,581568,"Okay, Mom, I'm trying.","Epic"
"130",581970,584105,"That was the deal.","Epic"
"131",598485,600119,"Oh, my.","Epic"
"132",635482,637549,"Oh!","Epic"
"133",638786,642087,"Come on, Mom,you're going to
miss them.","Epic"
"134",646558,648059,"Hey, Leafmen!","Epic"
"135",648561,650360,"Huh? What?","Epic"
"136",680321,683690,"Queen Tara,we need to discuss
today's ceremony.","Epic"
"137",683692,685725,"The Boggans havecrossed our border again.","Epic"
"138",685726,688927,"You're not gettingenough sunshine.","Epic"
"139",689162,691364,"Yes, it's Ronin.","Epic"
"140",691365,693365,"Well, I think he lookssilly kneeling, too,","Epic"
"141",693366,695200,"but I can't get himto stop doing it.","Epic"
"142",695201,697168,"I think the Boggansare scouting our defenses.","Epic"
"143",697169,700504,"You know they'd doanything to stop you
from choosing an heir.","Epic"
"144",700505,702405,"But don't worry,I've got a plan.","Epic"
"145",702408,704908,"When we were kidshe wasn't so serious.","Epic"
"146",704909,706942,"Would you liketo hear my plan?","Epic"
"147",706945,709111,"And he hadthe sweetest smile.","Epic"
"148",709114,710679,"Look, instead ofa public ceremony,","Epic"
"149",710682,712048,"I go in witha small platoon...","Epic"
"150",712049,713682,"pretend we'restopping for a drink.","Epic"
"151",713683,714783,"We grab a pod,bring it back to you.","Epic"
"152",714784,719388,"It blooms, the life ofthe forest continues.
We're in, we're out.","Epic"
"153",719389,721422,"It doesn't workthat way.","Epic"
"154",721423,724091,"I can't chooseunless I'm there.","Epic"
"155",724092,726360,"It's about the feeling.","Epic"
"156",726361,728461,"I get itfrom the pods...","Epic"
"157",728462,730697,"I get itfrom the forest...","Epic"
"158",730698,733166,"I get itfrom all of us.","Epic"
"159",733899,735868,"There we are.","Epic"
"160",735870,738537,"Don't you havefeelings, Ronin?","Epic"
"161",738538,740904,"Yes, I feel this isa bad idea.","Epic"
"162",740907,743908,"The Boggans have neverbeen this aggressive.","Epic"
"163",743909,746844,"I'm not completelyhelpless, you know.","Epic"
"164",746846,748611,"I am aware.","Epic"
"165",748614,750480,"But you'rethe life of the forest.","Epic"
"166",750481,753250,"Looking after youis my duty.","Epic"
"167",753251,756052,"Is that the onlyreason you do it?","Epic"
"168",756053,757519,"Isn't thatreason enough?","Epic"
"169",757522,760523,"If that's the onlyreason there is.","Epic"
"170",760524,761923,"Your Majesty.","Epic"
"171",761924,762990,"Yes?","Epic"
"172",762993,767062,"I'm not ticklish.Oh!","Epic"
"173",767063,769328,"You used to be!","Epic"
"174",769331,772131,"Very well.I understand
your concern...","Epic"
"175",772134,776302,"but this is the one dayin a hundred years
I can choose an heir.","Epic"
"176",776303,777836,"If I don'tdo this today...","Epic"
"177",777838,781573,"there won't bea future to protect.","Epic"
"178",807298,811566,"I don't think I sawa salute, Boggan!","Epic"
"179",825044,828681,"We had a little skirmish withsome Leafmen this morning.","Epic"
"180",828682,831182,"A rat got caughtin the crossfire...","Epic"
"181",831184,833684,"so I got a new coat.","Epic"
"182",833687,837221,"It's, uh, just like yours!","Epic"
"183",837224,842058,"Did you find the locationof their ceremony?","Epic"
"184",842061,843092,"Uh...","Epic"
"185",843095,844193,"Yes, sir!","Epic"
"186",844196,846796,"It's way outsideof our borders.","Epic"
"187",846798,848865,"You mean their borders?","Epic"
"188",848866,851933,"The Leafmen think they cankeep us contained...","Epic"
"189",851936,855269,"surround ourbeautiful island of rot...","Epic"
"190",855272,858373,"with theirhideous green forest.","Epic"
"191",858375,859440,"So arrogant!","Epic"
"192",859442,864144,"All in the nameof balance.
I'm sick of balance.","Epic"
"193",864147,866980,"No matter howmuch of the forest
we destroy...","Epic"
"194",866981,870917,"the queen regrows itwith one wave of her hand.","Epic"
"195",870918,874820,"She needs to be cut down!At the root!","Epic"
"196",874822,877923,"Exactly.","Epic"
"197",878258,883628,"Today we'll show themyou just can't stop the rot.","Epic"
"198",884596,887764,"If the queen dieswithout an heir...","Epic"
"199",887765,890866,"the Leafmen can'tregrow anything.","Epic"
"200",890869,894102,"The balance swingsin our favor forever.","Epic"
"201",894105,895971,"Leaving you and me...","Epic"
"202",895972,900908,"rulers of a desperate,desiccated kingdom.","Epic"
"203",900910,903043,"I won't let you down...","Epic"
"204",904346,905312,"Dad.","Epic"
"205",905315,907248,"I know you won't.","Epic"
"206",908549,910049,"You look good in rat.","Epic"
