"id","startTime","endTime","text","title"
"1",51473,55811,"Um... you have noactual medical training?","Erin Brockovich"
"2",56061,60607,"No. I have kids.Learned a lot right there.","Erin Brockovich"
"3",60858,65571,"I've seen nurses give my sonthroat cultures, and what is it?","Erin Brockovich"
"4",65779,68907,"You stick a giant Q-tipdown their throat and wait.","Erin Brockovich"
"5",69157,73704,"Urinalysis: You take that dipstickto see if the white count's high.","Erin Brockovich"
"6",73912,75414,"Yes, I understand.-Yeah.","Erin Brockovich"
"7",75831,77249,"I'm great with people.","Erin Brockovich"
"8",77457,81420,"You'd have to observe meto know for sure. Trust me on that.","Erin Brockovich"
"9",82462,85382,"I'm a fast learner.Show me in a lab once...","Erin Brockovich"
"10",85591,87676,"...and I've got it down.","Erin Brockovich"
"11",89386,92264,"I always wanted to goto medical school.","Erin Brockovich"
"12",92472,95434,"That was my first interest.Then I got married...","Erin Brockovich"
"13",95684,98270,"...and had a kid too youngand blew that.","Erin Brockovich"
"14",98729,101023,"Out of high school, I got a job...","Erin Brockovich"
"15",101231,103942,"...with Fleuer Engineers in Irvine.","Erin Brockovich"
"16",104193,107237,"I fell madly in love with geology.","Erin Brockovich"
"17",108739,110199,"Geology?-Yeah.","Erin Brockovich"
"18",110449,112492,"I learned how to read maps.","Erin Brockovich"
"19",113076,115621,"Yeah. But I lost my job because...","Erin Brockovich"
"20",115829,118790,"...my boy got chickenpox,104 temperature.","Erin Brockovich"
"21",119041,122127,"My ex-husband was useless, so...","Erin Brockovich"
"22",122377,124171,"That didn't really work out.","Erin Brockovich"
"23",130677,133138,"You got a really nice office.","Erin Brockovich"
"24",135432,136683,"Thanks.","Erin Brockovich"
"25",142147,142981,"Look...","Erin Brockovich"
"26",174179,176098,"Oh, fuck!","Erin Brockovich"
"27",184231,186942,"Goddamn it!","Erin Brockovich"
"28",226440,227816,"Good morning, Mr. Masry.","Erin Brockovich"
"29",228025,229943,"Morning, Rosalind.-How are you?","Erin Brockovich"
"30",230194,233655,"-I'm fine. And you?-Very well. Thank you for asking.","Erin Brockovich"
"31",236450,237826,"Good morning.","Erin Brockovich"
"32",240704,243457,"How you doing?Donald.","Erin Brockovich"
"33",243665,245334,"Did you see it last night?","Erin Brockovich"
"34",245542,247669,"I taped it.Don't tell me what happens.","Erin Brockovich"
"35",247920,249213,"It was so good.","Erin Brockovich"
"36",249463,251590,"Your nine o'clock's here already.","Erin Brockovich"
"37",260641,262893,"-Remind me.-Erin Brockovich.","Erin Brockovich"
"38",263143,266188,"Car accident.Not her fault, she says.","Erin Brockovich"
"39",266980,268690,"She was referred.","Erin Brockovich"
"40",275531,277282,"-Erin, hi.-Hi.","Erin Brockovich"
"41",277533,280369,"Ed Masry. Sorry you had to wait.","Erin Brockovich"
"42",281286,282329,"That's okay.","Erin Brockovich"
"43",282746,285582,"Here, sit. Sit down.","Erin Brockovich"
"44",293924,295384,"Thank you.","Erin Brockovich"
"45",298929,301890,"I never thought standingcould take it out of you.","Erin Brockovich"
"46",302140,304142,"Ever since that shithead hit me...","Erin Brockovich"
"47",304393,306562,"...it's like my body'sput together wrong.","Erin Brockovich"
"48",306812,308021,"You poor thing.","Erin Brockovich"
"49",309982,312192,"Did anyone ask if you wanted coffee?","Erin Brockovich"
"50",312442,315112,"-Yeah. I'm fine.-Good.","Erin Brockovich"
"51",315988,319783,"Listen, whoever did this to youmade one hell of a mistake.","Erin Brockovich"
"52",320033,324162,"And you and me, we're gonnamake him pay for it.","Erin Brockovich"
"53",326623,328000,"So, uh...","Erin Brockovich"
"54",328250,330419,"...why don't youtell me what happened?","Erin Brockovich"
"55",330711,335007,"I was pulling out real slow,and out of nowhere...","Erin Brockovich"
"56",335257,339428,"...his Jaguar comes racing aroundthe corner like a bat out of hell.","Erin Brockovich"
"57",339678,343765,"They took some bone from my hipand put it in my neck.","Erin Brockovich"
"58",344016,346310,"I don't have insurance...","Erin Brockovich"
"59",346518,350230,"...so I'm about $17,000in debt right now.","Erin Brockovich"
"60",350439,355068,"I couldn't take painkillers. They mademe too groggy to take care of my kids.","Erin Brockovich"
"61",355319,358780,"Matthew's 8,and Katie's almost 6.","Erin Brockovich"
"62",358989,361283,"And Beth's just 9 months.","Erin Brockovich"
"63",361533,363577,"I just wanna be a good mom...","Erin Brockovich"
"64",363785,366914,"...a nice person, a decent citizen.","Erin Brockovich"
"65",367164,369791,"I just wanna take good careof my kids.","Erin Brockovich"
"66",370334,373795,"Yeah. Yeah, I know.","Erin Brockovich"
"67",375839,378592,"Seventeen thousand in debt?","Erin Brockovich"
"68",380511,381678,"Your ex-husband helping?","Erin Brockovich"
"69",382262,383138,"Which one?","Erin Brockovich"
"70",385557,386683,"There's more than one?","Erin Brockovich"
"71",387851,389895,"Yeah, there's two. Why?","Erin Brockovich"
"72",395984,398987,"You must have been feelingdesperate that afternoon.","Erin Brockovich"
"73",399613,400656,"What's your point?","Erin Brockovich"
"74",400906,403325,"Broke, three kids, no job.","Erin Brockovich"
"75",403659,406662,"-Doctor in a Jaguar is a meal ticket...-Objection.","Erin Brockovich"
"76",406912,408413,"-Sustained.-He hit me!","Erin Brockovich"
"77",408664,409540,"So you say.","Erin Brockovich"
"78",409748,412584,"He came tearing around the corner,out of control.","Erin Brockovich"
"79",412835,417840,"An ER doctor, who spends his dayssaving lives, was out of control?","Erin Brockovich"
"80",418090,421718,"That asshole smashed inmy fucking neck!","Erin Brockovich"
"81",425097,426557,"Open and fucking shut?!","Erin Brockovich"
"82",426807,429893,"-Exactly the language...-It was over before that!","Erin Brockovich"
"83",430102,431770,"I told you he might get personal.","Erin Brockovich"
"84",431979,433981,"-You said I was set.-I never said that.","Erin Brockovich"
"85",434231,436608,"You told me I had a good shot!","Erin Brockovich"
"86",436859,440571,"-Let's settle down.-Fuck ""settle down""! I've got $74.","Erin Brockovich"
"87",440821,444449,"-I can't afford to settle down!-I'm sorry, Erin.","Erin Brockovich"
"88",446034,450747,"Do they teach lawyers to apologize?Because you suck at it.","Erin Brockovich"
"89",484615,485991,"Hello?","Erin Brockovich"
"90",486491,488202,"-Hi.-Hi, Erin.","Erin Brockovich"
"91",488452,490787,"You're back so soon.","Erin Brockovich"
"92",491496,493624,"Were you a good girl?","Erin Brockovich"
"93",493874,497461,"You're my little baby.What is that? A little cough?","Erin Brockovich"
"94",497669,498795,"She's got a cough.","Erin Brockovich"
"95",499129,502549,"I sat in the steam with herto try to loosen it up.","Erin Brockovich"
"96",502799,505594,"-I think I've got cough medicine.-Bueno.","Erin Brockovich"
"97",507054,508096,"Listen.","Erin Brockovich"
"98",508305,510224,"I didn't wanna tell you before.","Erin Brockovich"
"99",510641,512518,"-With your worries.-What?","Erin Brockovich"
"100",513060,516313,"My daughter bought a big housewith a room for me.","Erin Brockovich"
"101",516688,518148,"I'm moving in with her.","Erin Brockovich"
"102",518398,519816,"-When?-Next week.","Erin Brockovich"
"103",520067,523612,"-Next week?-I know. But it's good for me.","Erin Brockovich"
"104",523862,526490,"Now I can helptake care of my grandkids.","Erin Brockovich"
"105",526740,527824,"It's good for you.","Erin Brockovich"
"106",528075,530869,"Now with money, you can hirea good babysitter.","Erin Brockovich"
"107",531119,533121,"Not the old lady next door.","Erin Brockovich"
"108",533580,534998,"Thanks.","Erin Brockovich"
"109",539169,540420,"Matthew?","Erin Brockovich"
"110",540629,543757,"-Katie, you back here?-Yeah.","Erin Brockovich"
"111",544007,545342,"Come on in, would ya?","Erin Brockovich"
"112",549805,553976,"-Hey, get in the house. No dripping.-Okay!","Erin Brockovich"
"113",556937,561900,"Sweetie. Please don'tget sick on me, please.","Erin Brockovich"
"114",571076,572327,"Let's fix dinner.","Erin Brockovich"
"115",574496,576081,"Yes, look.","Erin Brockovich"
"116",581587,583172,"Look at the water.","Erin Brockovich"
"117",590888,594016,"Goddamn it!","Erin Brockovich"
"118",594308,596727,"I'm sorry. I'm sorry.","Erin Brockovich"
"119",598687,602816,"Matthew! Katie! We're going out!","Erin Brockovich"
"120",607112,608447,"You go ahead and order.","Erin Brockovich"
"121",608697,612367,"I'm gonna have a cheeseburgerdeluxe with a Coke.","Erin Brockovich"
"122",613827,618457,"Mommy, can I have a cheeseburgerdeluxe with no cheese and no bread?","Erin Brockovich"
"123",620083,621502,"Did you get that?","Erin Brockovich"
"124",622211,627090,"And she will have a cup of chickenbroth and a few crackers, please.","Erin Brockovich"
"125",627341,629885,"-And for you?-Just a cup of coffee.","Erin Brockovich"
"126",630719,631929,"You're not eating?","Erin Brockovich"
"127",632179,636767,"My lawyer took me out to a fancy lunchto celebrate, and I'm still stuffed.","Erin Brockovich"
"128",637267,638727,"How about that?","Erin Brockovich"
"129",679184,682187,"Yes, I'm calling aboutthe job ad in the paper.","Erin Brockovich"
"130",682437,684648,"I'm calling about the job ad.","Erin Brockovich"
"131",684898,686942,"The great personality, good voice.","Erin Brockovich"
"132",687192,689695,"I don't have any actualsales experience.","Erin Brockovich"
"133",689945,693323,"I don't really have a resume,but I can...","Erin Brockovich"
"134",693574,695826,"I don't have any computer skills.","Erin Brockovich"
"135",696451,700873,"Oh. Well, I thought it wasthe local store.","Erin Brockovich"
"136",701373,703792,"Okay. Thanks anyway.","Erin Brockovich"
"137",704418,705794,"Okay, bye.","Erin Brockovich"
"138",711925,713135,"Ed Masry, please.","Erin Brockovich"
"139",713385,715429,"Yes, I'm holding for Ed Masry.","Erin Brockovich"
"140",715679,717181,"Is he ever in the office?","Erin Brockovich"
"141",717639,719850,"No, but I've calledabout a dozen times.","Erin Brockovich"
"142",720058,721727,"I'd like to leave a message.","Erin Brockovich"
"143",721977,725606,"Brockovich, B-R-O-C-K-O-V-l-C-H.","Erin Brockovich"
"144",726106,729401,"I'm a client. I want him to call.It's that simple.","Erin Brockovich"
"145",733739,734990,"Okay.","Erin Brockovich"
"146",749880,752090,"Goddamn it!","Erin Brockovich"
"147",752382,755135,"-Brenda! Brenda!-Yeah?","Erin Brockovich"
"148",755719,757471,"Who put that there?","Erin Brockovich"
"149",757679,759431,"The files you asked for.","Erin Brockovich"
"150",759681,763101,"I didn't ask you to put itin the middle of the floor.","Erin Brockovich"
"151",763352,766104,"Get a towel, will you?Hey, hey...","Erin Brockovich"
"152",768315,770859,"-Hey, what's she doing here?-Who?","Erin Brockovich"
"153",775113,776490,"Donald.","Erin Brockovich"
"154",778659,780077,"What's she doing here?","Erin Brockovich"
"155",780327,781745,"She works here.","Erin Brockovich"
"156",794550,795425,"Erin.","Erin Brockovich"
"157",796176,797761,"How's it going?","Erin Brockovich"
"158",798220,800597,"You never called me back.I left messages.","Erin Brockovich"
"159",800973,804476,"You did? I didn't know that.Donald seems to think...","Erin Brockovich"
"160",805102,810107,"There's two things that aggravate me:Being ignored and being lied to.","Erin Brockovich"
"161",810357,812609,"-I never lied.-You said things'd be fine.","Erin Brockovich"
"162",812860,814611,"They're not. I trusted you.","Erin Brockovich"
"163",814862,816446,"-I'm sorry.-I don't need pity.","Erin Brockovich"
"164",816697,819449,"I need a paycheck.And I've looked.","Erin Brockovich"
"165",819700,824037,"When you spend 6 years raising babies,it's hard to get a job that pays.","Erin Brockovich"
"166",824246,828417,"Are you getting this down, honey?Or am I talking too fast for you?","Erin Brockovich"
"167",828917,830294,"I'm sorry about that.","Erin Brockovich"
"168",830544,832504,"But we have a full staff now...","Erin Brockovich"
"169",832754,837801,"Bullshit. If you had a full staff,you'd return a client's damn call.","Erin Brockovich"
"170",838051,842681,"I'm smart and hard-working.I'm not leaving here without a job.","Erin Brockovich"
"171",855694,857613,"Don't make me beg.","Erin Brockovich"
"172",858280,861366,"If it doesn't work out, fire me.","Erin Brockovich"
"173",862826,864036,"Don't make me beg.","Erin Brockovich"
"174",870209,872419,"No benefits.","Erin Brockovich"
"175",875005,878675,"What we do in here is fileall of the cases.","Erin Brockovich"
"176",878926,882471,"That way, at any time,we can tell the status of a file.","Erin Brockovich"
"177",882721,885182,"Where it is in the office and stuff.","Erin Brockovich"
"178",885432,888894,"Here's where we organizeall the files alphabetically.","Erin Brockovich"
"179",889102,890979,"-Simple enough.-Okay.","Erin Brockovich"
"180",891188,893106,"-And here is your desk.-Okay.","Erin Brockovich"
"181",893357,895984,"I want to show you wherethe Xerox machine is.","Erin Brockovich"
"182",896193,898403,"Everybody has a code.","Erin Brockovich"
"183",898654,901156,"-Do I get to pick my own code?-We'll see.","Erin Brockovich"
"184",907538,911959,"Can you tell me who I talk to aboutgetting an advance on my paycheck?","Erin Brockovich"
"185",912209,914127,"Just for the weekend.","Erin Brockovich"
"186",914628,916672,"Rosalind's the office manager.","Erin Brockovich"
"187",916922,919883,"She handles the payrolland petty cash.","Erin Brockovich"
"188",920092,921301,"She's gone already.","Erin Brockovich"
"189",921552,924555,"She leaves early on Fridays.","Erin Brockovich"
"190",928058,930936,"-Okay, thank you.-Oh, for Pete's sake, here.","Erin Brockovich"
"191",933730,936525,"I've only got hundreds.","Erin Brockovich"
"192",941864,943991,"I don't want your money, Mr. Masry.","Erin Brockovich"
"193",944658,947911,"Where do you thinkyour paycheck comes from?","Erin Brockovich"
"194",948412,950622,"-Have a good weekend.-Thank you.","Erin Brockovich"
"195",950873,953333,"-See you.-All right, see you.","Erin Brockovich"
"196",954793,956295,"See you Monday.","Erin Brockovich"
"197",968182,971351,"Hi, my sweetie. Hello.","Erin Brockovich"
"198",971602,972644,"How are you?","Erin Brockovich"
"199",972895,974354,"Matthew, Katie.","Erin Brockovich"
"200",974813,976690,"-Hey, Mom.-Hi, sweetie.","Erin Brockovich"
"201",977983,979651,"How are you?","Erin Brockovich"
"202",979902,982321,"-Thanks a lot.-You're welcome.","Erin Brockovich"
"203",1016522,1017773,"Hey!","Erin Brockovich"
"204",1019900,1021527,"Hey!","Erin Brockovich"
"205",1026615,1027950,"Hello.","Erin Brockovich"
"206",1028492,1031954,"What are you doingmaking all that goddamn noise?","Erin Brockovich"
"207",1032329,1035749,"Introducing ourselvesto the neighbourhood, I guess.","Erin Brockovich"
"208",1036166,1039044,"Well, I am the neighbours. There.","Erin Brockovich"
"209",1039253,1041296,"We're introduced.So shut up.","Erin Brockovich"
"210",1044716,1047594,"Wait. Hold on there.Let's start over, okay?","Erin Brockovich"
"211",1047803,1049513,"My name's George.What's yours?","Erin Brockovich"
"212",1050138,1054268,"Just think of me as the personnext door who likes it quiet.","Erin Brockovich"
"213",1054768,1055936,"Don't be like that.","Erin Brockovich"
"214",1056186,1058647,"Look, we live next door.I feel bad.","Erin Brockovich"
"215",1058897,1061650,"I'm sorry.Will you accept my apology?","Erin Brockovich"
"216",1062067,1065529,"We're living right next door.If you need a cup of a sugar...","Erin Brockovich"
"217",1065737,1068031,"-I don't need sugar.-You don't.","Erin Brockovich"
"218",1068282,1071160,"Why don't I take youout to dinner to apologize?","Erin Brockovich"
"219",1071618,1073912,"Give me your number.I got your address...","Erin Brockovich"
"220",1074163,1076206,"...so you can't get away.","Erin Brockovich"
"221",1076456,1078792,"I'll call you up properand ask you out.","Erin Brockovich"
"222",1080419,1081628,"You want my number?","Erin Brockovich"
"223",1081879,1084006,"I do. I do want your number.","Erin Brockovich"
"224",1085549,1088385,"Which number do you want, George?","Erin Brockovich"
"225",1089261,1091513,"I like the way you say that.","Erin Brockovich"
"226",1091763,1093348,"How many numbers you got?","Erin Brockovich"
"227",1093724,1097060,"I got numbers coming outof my ears. For instance, 10.","Erin Brockovich"
"228",1097311,1098812,"-Ten.-Yeah.","Erin Brockovich"
"229",1099062,1101815,"That's how many months oldmy baby girl is.","Erin Brockovich"
"230",1102482,1104151,"-You got a little girl?-Yeah.","Erin Brockovich"
"231",1104401,1106862,"Sexy, huh? How about this? Six.","Erin Brockovich"
"232",1107112,1110157,"That's my other daughter.Eight is my son.","Erin Brockovich"
"233",1110407,1113160,"Two is the timesI've been married and divorced.","Erin Brockovich"
"234",1113410,1115579,"$16 is what I havein my bank account.","Erin Brockovich"
"235",1115787,1118832,"850-3943, that's my phone number.","Erin Brockovich"
"236",1119082,1123629,"I'm guessing zero is the numberof times you're gonna call it.","Erin Brockovich"
"237",1124421,1127257,"Hey, how do you rememberyour bank balance?","Erin Brockovich"
"238",1127508,1129343,"See, that impresses me.","Erin Brockovich"
"239",1129927,1132054,"You're dead wrong about that zero.","Erin Brockovich"
"240",1140812,1143106,"How long has she been crying?","Erin Brockovich"
"241",1144858,1147110,"She's got that tooth coming in.","Erin Brockovich"
"242",1147361,1151615,"Give her a cold washcloth to suck on.I'll check back later.","Erin Brockovich"
"243",1151865,1152699,"Where's Anna?","Erin Brockovich"
"244",1153534,1155619,"She's out to lunch with the girls.","Erin Brockovich"
"245",1158413,1160624,"I have to open a file.","Erin Brockovich"
"246",1161750,1164086,"Real-estate thing, pro bono.","Erin Brockovich"
"247",1164336,1166296,"-Okay.-Know how to do that?","Erin Brockovich"
"248",1166547,1169007,"Yeah, I got it. No problem.","Erin Brockovich"
"249",1172511,1173595,"You're a girl.","Erin Brockovich"
"250",1175848,1176682,"Excuse me?","Erin Brockovich"
"251",1177182,1180519,"Why aren't you out to lunchwith the girls? You're a girl.","Erin Brockovich"
"252",1182354,1184606,"I guess I'm not the right kind.","Erin Brockovich"
"253",1191530,1195033,"Look, you may want to...Now that you're working here...","Erin Brockovich"
"254",1195284,1199204,"You may want to rethinkyour wardrobe a little.","Erin Brockovich"
"255",1200789,1201748,"Why is that?","Erin Brockovich"
"256",1202291,1207337,"Well, I think some of the girlsare a little uncomfortable...","Erin Brockovich"
"257",1207546,1209965,"...because of what you wear.","Erin Brockovich"
"258",1211925,1213594,"Is that so?","Erin Brockovich"
"259",1213969,1218015,"Well, it just so happens,I think I look nice.","Erin Brockovich"
"260",1218223,1221560,"As long as I have one assinstead of two, I'll wear what I like...","Erin Brockovich"
"261",1221810,1223520,"...if that's all right with you?","Erin Brockovich"
"262",1231695,1234448,"You might wanna rethink those ties.","Erin Brockovich"
"263",1249505,1254092,"With real-estate stuff, could youremind me? I'm a little confused.","Erin Brockovich"
"264",1254343,1258889,"Why are there medical recordsand blood samples in real-estate files?","Erin Brockovich"
"265",1259139,1260724,"You've been here long enough.","Erin Brockovich"
"266",1260974,1265395,"If you don't know how to do your jobby now, I'm not gonna do it for you.","Erin Brockovich"
"267",1282037,1283455,"Hello?","Erin Brockovich"
"268",1287084,1288961,"Hello?","Erin Brockovich"
"269",1289169,1293048,"Matthew? Katie?","Erin Brockovich"
"270",1310732,1313569,"Matthew? Katie?","Erin Brockovich"
"271",1318991,1320367,"Matthew!","Erin Brockovich"
"272",1340637,1341847,"What happened?","Erin Brockovich"
"273",1342097,1344600,"-Hi, Mom.-Hey. Hungry?","Erin Brockovich"
"274",1344850,1345934,"Am l...?","Erin Brockovich"
"275",1346685,1349146,"They're here?I went to pick them up.","Erin Brockovich"
"276",1349563,1353150,"She came by an hour ago. Somethingcame up, she dropped them off.","Erin Brockovich"
"277",1353567,1354776,"Something came up?","Erin Brockovich"
"278",1355027,1356069,"Why didn't she call?","Erin Brockovich"
"279",1356320,1360449,"I don't know. She, I was, she...I don't know why.","Erin Brockovich"
"280",1360866,1363452,"-That stupid bitch.-Mom!","Erin Brockovich"
"281",1363911,1367456,"I just can't believe she dumpsmy kids off when nobody's home.","Erin Brockovich"
"282",1367789,1369374,"I was home.","Erin Brockovich"
"283",1369958,1372711,"We're fine. We cookedburgers, had some milk.","Erin Brockovich"
"284",1373170,1375422,"You want a hot dog? There's one.","Erin Brockovich"
"285",1375631,1379092,"-Or a cheeseburger?-But this mustard is slippery.","Erin Brockovich"
