"id","startTime","endTime","text","title"
"1",145027,146221,"Son of a bitch.","Every Which Way But Loose"
"2",184499,187832,"Anyway, the cop is sitting there,sipping his coffee, you see?","Every Which Way But Loose"
"3",187903,190895,"And he's scratching his head.He's completely confused by now.","Every Which Way But Loose"
"4",190973,193806,"- He says to the drunk...- How's it going, Philo?","Every Which Way But Loose"
"5",193876,196367,"...""What about the guyin bed with your wife?""","Every Which Way But Loose"
"6",196445,200404,"And the drunk says, ""The hell with him.Let him make his own coffee.""","Every Which Way But Loose"
"7",203118,205382,"You get it?""Let him make his own coffee.""","Every Which Way But Loose"
"8",205687,207587,"Excuse me.","Every Which Way But Loose"
"9",209057,211389,"That's funny,but don't give up your day job.","Every Which Way But Loose"
"10",211460,212950,"Come on, Big Al.","Every Which Way But Loose"
"11",214429,217398,"Let's have some fun.You want to go some place?","Every Which Way But Loose"
"12",219034,222003,"- Hey, Big Al. Are you married?- I used to be.","Every Which Way But Loose"
"13",223472,226964,"I know this place in the valley.We could go get a couple drinks.","Every Which Way But Loose"
"14",227042,230739,"Lots of action there. Great fun.What do you say?","Every Which Way But Loose"
"15",230812,232677,"Hey. Put them back.","Every Which Way But Loose"
"16",234549,237416,"- You talking to me?- This ain't the Salvation Army.","Every Which Way But Loose"
"17",237519,238747,"Put them back.","Every Which Way But Loose"
"18",238820,240549,"I got plenty of peanuts, Big Al.","Every Which Way But Loose"
"19",241423,243721,"- You mean these?- Yeah, asshole.","Every Which Way But Loose"
"20",244760,249459,"- Unless you're taking them to your tree.- Shit. Excuse me, gents.","Every Which Way But Loose"
"21",250933,254130,"The squirrel is taking his peanutsup to his tree.","Every Which Way But Loose"
"22",257039,260600,"The squirrel is ripping off peanuts,ain't you, squirrel?","Every Which Way But Loose"
"23",262477,264445,"Going to take them up to your tree?","Every Which Way But Loose"
"24",273655,274747,"All right.","Every Which Way But Loose"
"25",275157,278149,"- Come on, guys. Knock it off.- Get him!","Every Which Way But Loose"
"26",278226,279284,"Attaboy!","Every Which Way But Loose"
"27",279361,281625,"- Come on, get out of here, you guys.- Get him.","Every Which Way But Loose"
"28",283832,285527,"Outside. Come on, guys.","Every Which Way But Loose"
"29",288337,289395,"Outside!","Every Which Way But Loose"
"30",335684,337549,"Hey, Orville, what's doing?","Every Which Way But Loose"
"31",338587,340248,"Ma's going to try it again.","Every Which Way But Loose"
"32",354569,356867,"I should have remembered my wig.","Every Which Way But Loose"
"33",358507,360702,"You think it'll make any difference?","Every Which Way But Loose"
"34",361910,363639,"I don't know, Ma.","Every Which Way But Loose"
"35",364679,367705,"I don't expectthat's all they're going to be looking at.","Every Which Way But Loose"
"36",383198,385826,"Don't be in such a fired, big hurry.","Every Which Way But Loose"
"37",385901,388836,"I want to look at these picturesone time more.","Every Which Way But Loose"
"38",388937,392600,"I always did have troublewith these squiggly lines.","Every Which Way But Loose"
"39",393175,396542,"I hope you pass it this time, Ma,because there ain't too many more...","Every Which Way But Loose"
"40",396611,399341,"...of these places we can go to.They all know you.","Every Which Way But Loose"
"41",399714,403616,"They don't know how I drive.Don't none of them know how good I drive.","Every Which Way But Loose"
"42",404019,407455,"Been driving sincebefore them sons of bitches were born.","Every Which Way But Loose"
"43",407556,409615,"Come on, get out.","Every Which Way But Loose"
"44",483698,484756,"Here.","Every Which Way But Loose"
"45",486768,489134,"You're getting pretty tricky, Clyde.","Every Which Way But Loose"
"46",489938,491838,"You've done real good, Ma.","Every Which Way But Loose"
"47",492674,493663,"Meathead.","Every Which Way But Loose"
"48",493742,497838,"Waited till I passed the whole testbefore he tells me I'm too old.","Every Which Way But Loose"
"49",498413,500643,"I should have remembered my wig.","Every Which Way But Loose"
"50",503084,508681,"The hell with everybody.Come on, get going, for God's sake.","Every Which Way But Loose"
"51",509891,512519,"- Philo, are you out here?- No, I ain't.","Every Which Way But Loose"
"52",514763,517391,"What are you doing?Are you working on the car?","Every Which Way But Loose"
"53",517632,521363,"Orville, that's two dumb questionsin a row you've asked me.","Every Which Way But Loose"
"54",521670,522659,"Here.","Every Which Way But Loose"
"55",523071,525938,"Help me put that block under the car here.","Every Which Way But Loose"
"56",526841,528638,"- This one here?- Yeah.","Every Which Way But Loose"
"57",529711,532305,"You want it under the wheelor under the spring?","Every Which Way But Loose"
"58",532380,533870,"Under the spring.","Every Which Way But Loose"
"59",535550,537040,"There you go.","Every Which Way But Loose"
"60",541823,542949,"- Thanks.- Sure.","Every Which Way But Loose"
"61",543592,546254,"Ma's pissed. It's Clyde.","Every Which Way But Loose"
"62",546394,549955,"He got out this morning, came over,and shit all over everything.","Every Which Way But Loose"
"63",550432,552161,"How did she get him back?","Every Which Way But Loose"
"64",552834,556361,"That's what she's pissed about.She had to bribe him with all her Oreos.","Every Which Way But Loose"
"65",557939,559531,"Well, I'll make it up to her.","Every Which Way But Loose"
