"id","startTime","endTime","text","title"
"1",73121,74935,"(EXPLODE)","Fantastic Beasts and Where to Find Them"
"2",75021,76567,"(PEOPLE SCREAMING)","Fantastic Beasts and Where to Find Them"
"3",77263,79435,"(ROARING)","Fantastic Beasts and Where to Find Them"
"4",103061,105022,"(SEAGULLS SQUAWKING)","Fantastic Beasts and Where to Find Them"
"5",112697,114490,"(INDISTINCT CHATTER)","Fantastic Beasts and Where to Find Them"
"6",133342,137013,"Dougal, settle down now, please.","Fantastic Beasts and Where to Find Them"
"7",137263,138264,"(DOUGAL GRUMBLES)","Fantastic Beasts and Where to Find Them"
"8",138431,139723,"It won't be long.","Fantastic Beasts and Where to Find Them"
"9",158075,159076,"CUSTOMS OFFICIAL: Next.","Fantastic Beasts and Where to Find Them"
"10",165625,167961,"- British, huh?- Yes.","Fantastic Beasts and Where to Find Them"
"11",168377,170212,"- First trip to New York?- Yes.","Fantastic Beasts and Where to Find Them"
"12",171421,172549,"Anything edible in there?","Fantastic Beasts and Where to Find Them"
"13",173091,174091,"No.","Fantastic Beasts and Where to Find Them"
"14",175884,176927,"Livestock?","Fantastic Beasts and Where to Find Them"
"15",178313,179094,"(CLATTER)","Fantastic Beasts and Where to Find Them"
"16",182391,184936,"Must get that fixed. Um... No.","Fantastic Beasts and Where to Find Them"
"17",186312,187354,"Let me take a look.","Fantastic Beasts and Where to Find Them"
"18",197853,198985,"(OPEN CLATTER)","Fantastic Beasts and Where to Find Them"
"19",206290,207292,"(WATCH TICKING)","Fantastic Beasts and Where to Find Them"
"20",211128,212296,"SECURITY: Welcome to New York.","Fantastic Beasts and Where to Find Them"
"21",212462,213506,"Thank you.","Fantastic Beasts and Where to Find Them"
"22",213840,214883,"Next.","Fantastic Beasts and Where to Find Them"
"23",218468,220972,"WITNESS: And it was like a... Like a wind.","Fantastic Beasts and Where to Find Them"
"24",221139,223807,"Or like a... Like a ghost.","Fantastic Beasts and Where to Find Them"
"25",223974,225018,"But dark.","Fantastic Beasts and Where to Find Them"
"26",226644,228062,"And I saw its eyes.","Fantastic Beasts and Where to Find Them"
"27",229563,231189,"Shining white eyes.","Fantastic Beasts and Where to Find Them"
"28",234776,237155,"A dark wind, with eyes?","Fantastic Beasts and Where to Find Them"
"29",237322,238990,"It's like a dark mass.","Fantastic Beasts and Where to Find Them"
"30",240157,243493,"And it dove down there. Down underground.","Fantastic Beasts and Where to Find Them"
"31",243912,246330,"Someone ought to do something about it.","Fantastic Beasts and Where to Find Them"
"32",246872,249792,"It's everywhere, this thing.It's out of control.","Fantastic Beasts and Where to Find Them"
"33",251669,253837,"Hey, you get anything?","Fantastic Beasts and Where to Find Them"
"34",254296,256507,"REPORTER: Dark wind. Blah, blah.","Fantastic Beasts and Where to Find Them"
"35",256966,259343,"PHOTOGRAPHER: Some sortaatmospheric hooey. Or electrical.","Fantastic Beasts and Where to Find Them"
"36",261095,262221,"REPORTER: Hey, you thirsty?","Fantastic Beasts and Where to Find Them"
"37",262512,266141,"No. I'm on the wagon.Promised Martha I'd lay off.","Fantastic Beasts and Where to Find Them"
"38",266516,268435,"(HISSING)","Fantastic Beasts and Where to Find Them"
"39",269437,271521,"- PHOTOGRAPHER: It's atmospheric.- (WALL CRACKING)","Fantastic Beasts and Where to Find Them"
"40",272641,273819,"(CRACK)","Fantastic Beasts and Where to Find Them"
"41",274257,275319,"(CRACK)","Fantastic Beasts and Where to Find Them"
"42",282009,283540,"(RUMBLE...)","Fantastic Beasts and Where to Find Them"
"43",293711,295129,"(PEOPLE SCREAMING)","Fantastic Beasts and Where to Find Them"
"44",308225,310478,"MAN: Out of the way, folks. Coming through!","Fantastic Beasts and Where to Find Them"
"45",310644,315399,"MARY LOU: This great city sparkleswith the jewels of man's inventions.","Fantastic Beasts and Where to Find Them"
"46",315565,317901,"Movie theaters, automobiles,","Fantastic Beasts and Where to Find Them"
"47",318069,320654,"the wireless, electric lights,","Fantastic Beasts and Where to Find Them"
"48",320862,323740,"- all dazzle and bewitch us.- I'm so sorry.","Fantastic Beasts and Where to Find Them"
"49",323992,327577,"But where there is light,there is shadow, friend.","Fantastic Beasts and Where to Find Them"
"50",327995,330497,"Something is stalking our city,","Fantastic Beasts and Where to Find Them"
"51",330790,334209,"wreaking destruction, and thendisappearing without a trace!","Fantastic Beasts and Where to Find Them"
"52",336920,338088,"We have to fight.","Fantastic Beasts and Where to Find Them"
"53",338798,342509,"Join us, the Second Salemers,in our fight.","Fantastic Beasts and Where to Find Them"
"54",342677,345512,"Excuse me, doll.Just trying to get to the bank.","Fantastic Beasts and Where to Find Them"
"55",345680,346824,"MARY LOU: We have to fight together","Fantastic Beasts and Where to Find Them"
"56",346848,348117,"- for the sake of our...- Excuse me...","Fantastic Beasts and Where to Find Them"
