"id","startTime","endTime","text","title"
"1",65774,69652,"Typical of Victor Von Doom to builda 30-foot statue of himself.","Fantastic Four"
"2",69944,72280,"Well, it's obviously aimedat first-time visitors...","Fantastic Four"
"3",72489,75700,"to create feelingsof smallness, inadequacy.","Fantastic Four"
"4",77159,78953,"Good thing it ain't working.","Fantastic Four"
"5",79662,83457,"Reed, what are we doing here?This guy's fast-food, strip-mall science.","Fantastic Four"
"6",83750,85876,"This wasn't our first stop,in case you forgot.","Fantastic Four"
"7",86043,90215,"Besides, Victor's not that bad.He's just a little larger than life.","Fantastic Four"
"8",98722,102727,"My research suggests that exposureto a high-energy cosmic storm...","Fantastic Four"
"9",102936,107272,"borne on solar winds might have triggeredthe evolution of early planetary life.","Fantastic Four"
"10",108274,112861,"In six weeks, another cloudwith the same elemental profile...","Fantastic Four"
"11",113070,114864,"will pass Earth's orbit.","Fantastic Four"
"12",115906,119743,"A study conducted in space couldfundamentally advance our knowledge...","Fantastic Four"
"13",119953,123164,"about the structure of the human genome,cure countless diseases...","Fantastic Four"
"14",123373,127501,"extend human life, give kids a chanceto live longer, stronger, healthier...","Fantastic Four"
"15",127751,129712,"Turn it off, please.","Fantastic Four"
"16",130087,132215,"I don't think I have explainedmy proposal fully.","Fantastic Four"
"17",132382,134050,"No, I think you have.","Fantastic Four"
"18",134259,136677,"Same old Reed, always stretching,reaching for the stars...","Fantastic Four"
"19",136927,139305,"with the weight of the world on his back.","Fantastic Four"
"20",139472,141473,"But dreams don't pay the bills, do they?","Fantastic Four"
"21",143768,147604,"You remember, when we were in schoolwe talked about working together.","Fantastic Four"
"22",147896,150233,"Well, that's what I was about to explain.","Fantastic Four"
"23",151901,153027,"The storm is deadly.","Fantastic Four"
"24",153152,155112,"But the shields onyour station's control room...","Fantastic Four"
"25",155280,157824,"are designed to protectany occupants inside.","Fantastic Four"
"26",160951,163121,"So it's not just my money you want.","Fantastic Four"
"27",163829,164956,"It's my toys.","Fantastic Four"
"28",166457,169418,"Tell me, if NASA doesn't trust you,then why should I?","Fantastic Four"
"29",173298,175841,"That's my job, to stay a step ahead.","Fantastic Four"
"30",176593,179763,"To know what other men don't.","Fantastic Four"
"31",180013,181473,"I can't take this.","Fantastic Four"
"32",181598,183557,"Ben, this is business, just work.","Fantastic Four"
"33",183724,186186,"He's right, Ben. It is just business.","Fantastic Four"
"34",187354,191191,"I think you both know my Directorof Genetic Research, Susan Storm.","Fantastic Four"
"35",195235,196905,"One more thing he's got.","Fantastic Four"
"36",197447,199324,"- Hey, Susie.- Hey.","Fantastic Four"
"37",199657,202743,"It's so nice to see you. How's Debbie?","Fantastic Four"
"38",202951,204454,"- Great.- Great.","Fantastic Four"
"39",206955,209042,"- How have you been?- Never better.","Fantastic Four"
"40",211670,213587,"This isn't going to be a problem, is it?","Fantastic Four"
"41",213712,214881,"- No.- Not at all.","Fantastic Four"
"42",215048,216216,"Good.","Fantastic Four"
"43",216633,220344,"Then you're just in timeto hear the great Reed Richards...","Fantastic Four"
"44",220552,222764,"ask me for help.","Fantastic Four"
"45",223682,227394,"You know, you made a lot of folks at MITfeel like a junior high science fair.","Fantastic Four"
"46",227727,230229,"So you'll excuse meif I savor the moment.","Fantastic Four"
"47",231897,235401,"You back this mission and I'll sign overa fair percentage of any application...","Fantastic Four"
"48",235735,236944,"The number's 75%.","Fantastic Four"
"49",237486,239030,"And its applications and patents.","Fantastic Four"
"50",239197,241241,"- What about his first-born?- Ben...","Fantastic Four"
"51",242074,243325,"Come on.","Fantastic Four"
"52",243784,247580,"25% of a billion is enoughto keep the lights on for a while, isn't it?","Fantastic Four"
"53",248163,251543,"Maybe even pay off your fourth mortgageon the Baxter Building.","Fantastic Four"
"54",252877,254003,"Deal?","Fantastic Four"
"55",262803,265389,"Well, then. To our future.","Fantastic Four"
"56",267934,269226,"Together!","Fantastic Four"
"57",271146,273398,"It's funny how things turn out, isn't it?","Fantastic Four"
"58",274566,275733,"Hilarious.","Fantastic Four"
"59",278737,281947,"He knew about NASA.Maybe he made the call to shut us down.","Fantastic Four"
"60",282240,285451,"Ben, think about all the peoplewe can help if this works.","Fantastic Four"
"61",285869,288245,"Look, we got what we wanted.That's enough.","Fantastic Four"
"62",288454,291249,"A few days in space, it'll be great.What's the worst that can happen?","Fantastic Four"
"63",296463,299757,"If Reed's right, this little tripcould double our stock offerings.","Fantastic Four"
"64",300007,302302,"- And if he's not...- Reed's always right.","Fantastic Four"
"65",303177,305805,"Good thing he doesn't always knowwhat he's got.","Fantastic Four"
"66",315314,318026,"Reed, you should know those solar windshave been picking up speed.","Fantastic Four"
"67",318151,319860,"I factored them into my coordinates.","Fantastic Four"
"68",319985,322279,"Right, of course you did. In theory.","Fantastic Four"
"69",322488,324324,"It's a little different once you're out there.","Fantastic Four"
"70",324490,326658,"- I can assure you I...- When are we leaving?","Fantastic Four"
"71",328786,330163,"I'll be scheduling the launch...","Fantastic Four"
"72",330329,333332,"so you can call me in the morningfor resources and crew.","Fantastic Four"
"73",334084,336795,"- I think I remember the number.- It's been changed.","Fantastic Four"
"74",343425,346387,"As far as crew, I was hopingBen could pilot the mission.","Fantastic Four"
"75",346637,350016,"We already have a pilot on our payroll,but you're welcome to ride shotgun.","Fantastic Four"
"76",350266,352018,"Remember my brother, Johnny?","Fantastic Four"
"77",369076,371413,"Can't do it. Cannot do it.","Fantastic Four"
"78",371579,375250,"External SRBs, orbital system engines,it's just like the shuttle you flew.","Fantastic Four"
