"id","startTime","endTime","text","title"
"1",74783,77411,"FANTASTIC MR. FOX","Fantastic Mr. Fox"
"2",83542,86712,"� Born on a mountain top in Tennessee �","Fantastic Mr. Fox"
"3",86879,90257,"� Greenest state in the land of the free �","Fantastic Mr. Fox"
"4",90465,93844,"� Raised in the woodsso he knew every tree �","Fantastic Mr. Fox"
"5",93969,97222,"� Kilt him a barwhen he was only three �","Fantastic Mr. Fox"
"6",97306,103979,"� Davy, Davy Crockett,king of the wild frontier! �","Fantastic Mr. Fox"
"7",107774,110736,"� Fought single-handedthrough the Injun War �","Fantastic Mr. Fox"
"8",110819,114364,"� Till the Creeks was whippedand peace was in store �","Fantastic Mr. Fox"
"9",114531,116366,"� And while he was handling... �","Fantastic Mr. Fox"
"10",117075,118911,"What'd the doctor say?- Nothing.","Fantastic Mr. Fox"
"11",119077,121205,"Supposedly, it's just atwenty-four hour bug.","Fantastic Mr. Fox"
"12",121288,122289,"He gave me some pills.","Fantastic Mr. Fox"
"13",122331,124625,"I told you. You probablyjust ate some bad gristle.","Fantastic Mr. Fox"
"14",124708,126335,"We take the short cutor the scenic route?","Fantastic Mr. Fox"
"15",126418,127711,"Let's take the short cut.","Fantastic Mr. Fox"
"16",127878,129671,"But the scenic route is so much prettier.","Fantastic Mr. Fox"
"17",129713,131965,"- Okay, let's take the scenic route.- Great.","Fantastic Mr. Fox"
"18",132007,134176,"It's actually slightly quicker,anyway.","Fantastic Mr. Fox"
"19",143936,145229,"Thank you.","Fantastic Mr. Fox"
"20",154029,156865,"- What is a squab?- You know what a squab is.","Fantastic Mr. Fox"
"21",156907,158617,"It's like a pigeon, I suppose.","Fantastic Mr. Fox"
"22",158742,160285,"Should we go through the holeunder the horse fence...","Fantastic Mr. Fox"
"23",160327,162037,"...or climb the rail over thebridle path?","Fantastic Mr. Fox"
"24",162120,164540,"Well, I guess the horse fencewould be a little safer.","Fantastic Mr. Fox"
"25",164623,168502,"But the bridle path puts us out rightnext to the squab shack.","Fantastic Mr. Fox"
"26",169044,170254,"Okay.","Fantastic Mr. Fox"
"27",170796,173215,"What's wrong?You're acting all skittish.","Fantastic Mr. Fox"
"28",173340,175217,"Don't worry. I've been stealing birdsfor a living since...","Fantastic Mr. Fox"
"29",175259,176552,"...before I could trot.","Fantastic Mr. Fox"
"30",176802,179054,"By the way, you lookunbelievably beautiful tonight.","Fantastic Mr. Fox"
"31",179096,181098,"You're practically glowing.","Fantastic Mr. Fox"
"32",181181,182724,"Maybe it's the lighting.","Fantastic Mr. Fox"
"33",182850,186144,"� I've been in this town so longthat back in the city �","Fantastic Mr. Fox"
"34",186186,188522,"� I've been taken for lost and gone �","Fantastic Mr. Fox"
"35",188564,192067,"� And unknown for a long long time �","Fantastic Mr. Fox"
"36",193110,194695,"� Fell in love years ago �","Fantastic Mr. Fox"
"37",194736,196363,"� With an innocent girl �","Fantastic Mr. Fox"
"38",196405,198991,"� From the spanish and indian home �","Fantastic Mr. Fox"
"39",199032,201702,"� Home of the heroes and villains �","Fantastic Mr. Fox"
"40",204037,206790,"� Once at nightcatillian squared the fight �","Fantastic Mr. Fox"
"41",206832,209668,"� And she was right in the rainof the bullets �","Fantastic Mr. Fox"
"42",209710,212921,"� that eventually brought her down �","Fantastic Mr. Fox"
"43",214339,216633,"� But she's still dancing in the night �","Fantastic Mr. Fox"
"44",216675,222431,"� Unafraid of what a dudell do in a townfull of heroes and villains �","Fantastic Mr. Fox"
"45",222723,223891,"What's that?- What?","Fantastic Mr. Fox"
"46",224057,225100,"I think it's a fox-trap!","Fantastic Mr. Fox"
"47",225184,226602,"- Look at this.- No, get away from there.","Fantastic Mr. Fox"
"48",226685,227853,"Is it spring-loaded?","Fantastic Mr. Fox"
"49",227936,230063,"Yeah... yeah, I guessif you come from over there,","Fantastic Mr. Fox"
"50",230105,232524,"...and you're standing at this doorto the squab shack,","Fantastic Mr. Fox"
"51",232566,233942,"...this little gadget probablytriggers the...","Fantastic Mr. Fox"
"52",233984,235319,"- What!?- Move out of the way, darling.","Fantastic Mr. Fox"
"53",235360,238197,"- That's right where it's going to land.- Stop it! Let's go!","Fantastic Mr. Fox"
"54",242576,245412,"No, it just falls straight right down...","Fantastic Mr. Fox"
"55",246288,249416,"- I guess it's not spring-loaded.- I'm pregnant.","Fantastic Mr. Fox"
"56",251502,252920,"Wow!","Fantastic Mr. Fox"
"57",253170,254796,"We're gonna have a cub.","Fantastic Mr. Fox"
"58",255631,258884,"- Honey, that's great news.- If we're still alive tomorrow...","Fantastic Mr. Fox"
"59",262304,264598,"If we're still alive tomorrow morning,","Fantastic Mr. Fox"
"60",264765,267601,"...I want you to findanother line of work.","Fantastic Mr. Fox"
"61",268602,270020,"Okay.","Fantastic Mr. Fox"
"62",271939,273440,"� My children were raised �","Fantastic Mr. Fox"
"63",273482,275526,"� You know they suddenly rise �","Fantastic Mr. Fox"
"64",275567,277986,"� They started slow long ago �","Fantastic Mr. Fox"
"65",278028,282324,"� Head to toe healthy weathy and wise �","Fantastic Mr. Fox"
"66",295754,297589,"Does anybody actually read my column?","Fantastic Mr. Fox"
"67",297673,299800,"- Do your friends ever talk about it?- Of course.","Fantastic Mr. Fox"
"68",299925,302469,"In fact, Rabbit's ex-girlfriendjust said to me last week,","Fantastic Mr. Fox"
"69",302511,305264,"""I should read Foxy's column,""but they don't get the Gazette.","Fantastic Mr. Fox"
"70",305305,308433,"- Ash! Let's get cracking!- Why would they? It's a rag-sheet.","Fantastic Mr. Fox"
"71",308517,309768,"- I'm sick.- You're not sick.","Fantastic Mr. Fox"
"72",309852,311687,"- I have a temperature.- You don't have a temperature.","Fantastic Mr. Fox"
