"id","startTime","endTime","text","title"
"2",224219,226262,"I'm Jerry Lundegaard.","Fargo"
"3",227264,228556,"You're Jerry Lundegaard?","Fargo"
"4",228640,229724,"Yeah.","Fargo"
"5",229933,231017,"Shep Proudfoot said...","Fargo"
"6",231101,234270,"Shep said you'd be here at 7:30.What gives, man?","Fargo"
"7",234438,236105,"Shep said 8:30.","Fargo"
"8",236189,237529,"We've been sitting here an hour.","Fargo"
"9",237541,239108,"He's peed three times already.","Fargo"
"10",239192,242194,"I'm sure sorry.Shep told me 8:30.","Fargo"
"11",242404,244447,"It was a mix-up, I guess.","Fargo"
"12",244781,245781,"You got the car?","Fargo"
"13",245908,247116,"Yeah.You bet.","Fargo"
"14",247200,249827,"It's out in the lot there,brand-new, burnt umber Cierra.","Fargo"
"15",249912,252371,"Yeah, okay.Well, sit down, then.","Fargo"
"16",253248,254290,"I'm Carl Showalter.","Fargo"
"17",254374,256584,"This is my associate, Gaear Grimsrud.","Fargo"
"18",256668,258085,"Yeah.How you doing?","Fargo"
"19",258170,260630,"So, we all set on this thing, then?","Fargo"
"20",260714,262555,"Sure, Jerry. We're all set.Why wouldn't we be?","Fargo"
"21",262591,263966,"Yeah, no, I'm sure you are.","Fargo"
"22",264051,265384,"Shep vouched for you and all.","Fargo"
"23",265469,268304,"I got every confidence here in you fellas.","Fargo"
"24",273226,275269,"I guess that's it, then.","Fargo"
"25",275354,276395,"Here are the keys.","Fargo"
"26",276480,277772,"No, that's not it, Jerry.","Fargo"
"27",278982,281359,"The new vehicle plus $40,000.","Fargo"
"28",281443,284028,"Yeah, but the deal was the car first,","Fargo"
"29",284112,287406,"then the 40,000, like asif it was the ransom.","Fargo"
"30",287491,288574,"I thought Shep told you.","Fargo"
"31",288659,290201,"Shep didn't tell us much, Jerry.","Fargo"
"32",290285,291327,"Well, okay...","Fargo"
"33",291411,293579,"Except that you weregonna be here at 7:30.","Fargo"
"34",293664,295247,"Yeah, well, that was a mix-up, then.","Fargo"
"35",295332,296832,"Yeah, you already said that.","Fargo"
"36",296917,300503,"Yeah, but it's not a wholepay-in-advance deal.","Fargo"
"37",300587,304757,"See, I give you a brand-newvehicle in advance, and then...","Fargo"
"38",304841,306342,"I'm not gonna debate you, Jerry.","Fargo"
"39",306426,307426,"Okay.","Fargo"
"40",307511,309595,"I'm not gonna sit here and debate.","Fargo"
"41",309680,310721,"I will say this, though.","Fargo"
"42",310806,313474,"What Shep told us didn'tmake a whole lot of sense.","Fargo"
"43",313558,316602,"Oh, no. It's real sound.It's all worked out.","Fargo"
"44",317312,319271,"You want your own wife kidnapped.","Fargo"
"45",319356,320398,"Yeah.","Fargo"
"46",322234,323442,"You...","Fargo"
"47",323986,325403,"My point is,","Fargo"
"48",325862,328322,"you pay the ransom, what, 80,000 bucks?","Fargo"
"49",328407,332284,"I mean, you give us half theransom, 40,000, you keep half.","Fargo"
"50",332369,333861,"It's like robbing Peter to pay Paul.","Fargo"
"51",333945,335054,"It doesn't make any sense.","Fargo"
"52",335138,338349,"Okay, see, it's not me paying the ransom.","Fargo"
"53",338542,341210,"The thing is, my wife, she's wealthy.","Fargo"
"54",341294,343004,"Her dad, he's real well-off.","Fargo"
"55",343088,344463,"Now, I'm in a bit of trouble.","Fargo"
"56",344548,346207,"What kind of trouble you in, Jerry?","Fargo"
"57",346291,349844,"Well, that's...I'm not gonna get into...","Fargo"
"58",349928,351345,"See, I just need the money.","Fargo"
"59",351430,353556,"Now, her dad, he's real well-off.","Fargo"
"60",353640,355400,"So, why don't you justask him for the money?","Fargo"
"61",355434,356809,"Or your fucking wife, you know?","Fargo"
"62",356893,358310,"Or your fucking wife, Jerry?","Fargo"
"63",358395,359603,"Well...","Fargo"
"64",360397,362440,"It's all part of this...","Fargo"
"65",364401,366110,"They don't know I need it, see?","Fargo"
"66",366194,369405,"Okay, so there's that.And even if they did, I wouldn't get it,","Fargo"
"67",369489,370990,"so there's that on top, then.","Fargo"
"68",371074,372354,"See, these are personal matters.","Fargo"
"69",372409,373409,"Personal matters?","Fargo"
"70",373493,376412,"Yeah, personal matters that needn't...","Fargo"
