"id","startTime","endTime","text","title"
"1",8028,11819,"A German folk tale","Faust"
"2",58400,62473,"Behold!","Faust"
"3",62560,73312,"The portals of darkness are open, and theshadows of the dead hunt over the Earth...","Faust"
"4",115700,124877,"""Back! Hold! Why dost thou scourgemankind with War, Plague, Famine?!""","Faust"
"5",126400,128860,"""The Earth is mine!""","Faust"
"6",132860,141429,"""Never will the Earth be thine:Man belongs to God!""","Faust"
"7",142560,145996,"""Look below!""","Faust"
"8",167260,171056,"""All things in heaven and on Earth","Faust"
"9",171223,173279,"are wonderful!","Faust"
"10",173477,176494,"But the greatest wonder","Faust"
"11",176606,179606,"is man's freedom to choose","Faust"
"12",179768,185375,"between good and evil!""","Faust"
"13",199960,203032,"""Dost thou know Faust?""","Faust"
"14",205740,211337,"""A knave like all others!He preaches good and does evil!","Faust"
"15",211679,216417,"He seeks to turnbase metal into gold!","Faust"
"16",216520,218397,"Behold his greed!""","Faust"
"17",284200,293193,"""A wager: I will wrestFaust's soul away from God!""","Faust"
"18",298400,303316,"""If thou canst destroy what is divine","Faust"
"19",303468,308108,"in Faust, the Earth is thine!""","Faust"
"20",313800,321070,"""No man can resist evil!The bet is on!""","Faust"
"21",402020,404593,"""The Plague! The Plague!""","Faust"
"22",444720,448418,"The devastating pestilence raged:","Faust"
"23",448579,452658,"in a few days half the town lay dying.","Faust"
"24",491660,494350,"To find a cure for the Plague,","Faust"
"25",494500,497167,"Faust spent day and night","Faust"
"26",497256,500031,"in prayer with God.","Faust"
"27",514239,523199,"And there was a great cry in Egypt, forthere was not a house without its dead.","Faust"
"28",533380,538870,"""Lord God, bless this act of redemption!","Faust"
"29",539041,544208,"Only you can alleviate our misery!""","Faust"
"30",584409,590286,"""Help... help!My mother is dying!""","Faust"
"31",737401,744569,"Mortal terror and fear of deathswept through the town.","Faust"
"32",757596,766079,"""Repent, fast, pray!Only Faith can vanquish death!""","Faust"
"33",803157,807129,"""Have respect for the dead!""","Faust"
"34",809474,818341,"""We still live, we still love! We shalldie dancing in each other's arms!""","Faust"
"35",824606,832523,"""Who has faith shall live!But death will take the sinners!""","Faust"
"36",849868,852235,"""The Plague! The Plague!""","Faust"
"37",908258,914988,"""Compassion, Faust!Only you can help us!""","Faust"
"38",916420,921197,"""Get hence! We are lost!No faith is any help.","Faust"
"39",921317,926115,"No knowledge is any help.All is vanity... ""","Faust"
"40",970812,975834,"Mine God, thou art mercifuland a great goodness.","Faust"
