"id","startTime","endTime","text","title"
"1",120052,123051,"People always ask meif I know Tyler Durden.","Fight Club"
"2",123956,124938,"Three minutes.","Fight Club"
"3",125011,127248,"This is it. Ground zero.","Fight Club"
"4",127315,130861,"Do you have a speech for the occasion?","Fight Club"
"5",130932,134346,"With a gun barrel between your teeth,you speak only in vowels.","Fight Club"
"6",134418,136425,"I can't think of anything.","Fight Club"
"7",136498,140208,"For a second, I forget aboutTyler's controlled demolition thing","Fight Club"
"8",140307,142378,"and I wonder how clean that gun is.","Fight Club"
"9",142450,144425,"It's getting exciting now.","Fight Club"
"10",144529,147564,"That old thing,how you always hurt the one you love.","Fight Club"
"11",147666,149673,"Well, it works both ways.","Fight Club"
"12",149746,153836,"We have front-row seatsfor this theater of mass destruction.","Fight Club"
"13",153938,156588,"The Demolitions Committeeof Project Mayhem","Fight Club"
"14",156657,159953,"wrapped the foundationsof 12 buildings with explosives.","Fight Club"
"15",160691,163951,"In two minutes,primary charges will blow base charges","Fight Club"
"16",164018,167247,"and a few blocks will be reducedto smouldering rubble.","Fight Club"
"17",167345,170247,"I know this because Tyler knows this.","Fight Club"
"18",170321,173584,"Two and a half.Think of everything we've accomplished.","Fight Club"
"19",173681,178798,"Suddenly I realize that all of this,the gun, the bombs, the revolution,","Fight Club"
"20",178896,182028,"has got something to dowith a girl named Marla Singer.","Fight Club"
"21",184464,186733,"Bob. Bob had bitch tits.","Fight Club"
"22",186800,190826,"This was a support groupfor men with testicular cancer.","Fight Club"
"23",190897,194060,"The big moosie slobbering all over me,that was Bob.","Fight Club"
"24",194129,196201,"We're still men.","Fight Club"
"25",196272,198376,"Yes, we're men.","Fight Club"
"26",198512,200584,"Men is what we are.","Fight Club"
"27",200655,203950,"Bob had had his testicles removed.Then hormone therapy.","Fight Club"
"28",204047,207690,"He developed bitch tits becausehis testosterone was too high","Fight Club"
"29",207758,209799,"and his body upped the oestrogen.","Fight Club"
"30",209871,213449,"- That was where I fit...- They'll have to drain my pecs again.","Fight Club"
"31",213519,215909,"..between those huge sweating tits","Fight Club"
