"id","startTime","endTime","text","title"
"1",158339,161420,"I'll give you the Cowboys and three.","Flashdance"
"2",161589,164290,"- Three and a half.- Take three, be happy.","Flashdance"
"3",164463,166750,"Three and a half. I'm ecstatic.","Flashdance"
"4",217956,219780,"Is this visit a one time shot","Flashdance"
"5",219956,221780,"or will you surprise me all the time?","Flashdance"
"6",221955,223862,"If I said, it wouldn't be a surprise.","Flashdance"
"7",224038,225496,"I'll buy you a beer.","Flashdance"
"8",327691,330358,"Jake, sit down and play a game.","Flashdance"
"9",374810,379763,"If I come up with a scoop on her,I get Dallas and three and a half.","Flashdance"
"10",379935,382683,"If you come up with anything on her,I'll give you six.","Flashdance"
"11",418222,423885,"Number 174, 63, 1503.","Flashdance"
"12",424762,426752,"Pete, I don't want her zip code.","Flashdance"
"13",426929,429548,"It's her socialsecurity number, asshole.","Flashdance"
"14",429720,431627,"She works for you.","Flashdance"
"15",455300,457421,"One cheese, medium. Fries.","Flashdance"
"16",457591,459499,"Two plain, rare,tomato and onions.","Flashdance"
"17",459674,462588,"One pastrami on kaiser.Mayo, no mustard.","Flashdance"
"18",463132,467789,"- What's a pimple on a Polack's ass?- I need that B.L. T on rye, Richie.","Flashdance"
"19",467965,470418,"A brain tumour.","Flashdance"
"20",474256,475997,"What's this?","Flashdance"
"21",476547,478040,"Come on, Richie.","Flashdance"
"22",478214,480335,"A lesbian with a hard-on.","Flashdance"
"23",481255,484536,"I'm terrific, right?You can tell me. I can take it.","Flashdance"
"24",484712,486537,"Mayo, no mustard.","Flashdance"
"25",486712,488749,"Can't you see me opening up in L. A?","Flashdance"
"26",488920,492368,"Direct from Pittsburgh,it's Richie Blazik, ladies and gentlemen.","Flashdance"
"27",492545,495661,"L. A?What's all this talk about L. A?","Flashdance"
"28",496544,498867,"You've been on the stage two times.","Flashdance"
"29",499044,503582,"I give you two lousy shots andyou're talking about going to L.A.!","Flashdance"
"30",503752,507875,"Come on. What are you, crazy?Besides, you're too short anyway.","Flashdance"
"31",508043,510330,"They don't let short peopleinto Hollywood.","Flashdance"
"32",511876,515122,"And you're makingthe hamburgers too big again.","Flashdance"
"33",515292,517330,"Make 'em smaller.","Flashdance"
"34",519250,521205,"I'll give you small.","Flashdance"
"35",521375,525830,"This place is so small you haveto go outside to change your mind.","Flashdance"
"36",533207,535031,"My turn.","Flashdance"
"37",536789,539703,"Ring, damn you.I can't believe he didn't call.","Flashdance"
"38",539872,542112,"- He'll call.- Do you think so?","Flashdance"
"39",542289,545985,"- Of course. Why wouldn't he?- Yeah, why wouldn't he!","Flashdance"
"40",546163,548616,"Maybe he'll call, I don't know.","Flashdance"
"41",549746,553691,"When I talked to him, he seemed funny.Like, ""I'll call you later, babe.""","Flashdance"
"42",553870,555825,"I don't think he'll call.","Flashdance"
"43",555995,558400,"- Don't worry, he'll call.- You really think so?","Flashdance"
"44",558578,561575,"- Why wouldn't he?- You're right. He'll call.","Flashdance"
"45",561744,563865,"If he doesn't call,should I call him?","Flashdance"
"46",564036,565233,"He'll call.","Flashdance"
"47",565411,568692,"I love how you always tryto straighten out other people's lives.","Flashdance"
"48",568868,572400,"Any time you want meto straighten out yours, let me know.","Flashdance"
"49",574617,577698,"Personally, I never call.Because I don't have to.","Flashdance"
"50",577867,581149,"- But if you want my advice...- Not really.","Flashdance"
"51",583200,585486,"- Hi, girls!- Hi, Richie.","Flashdance"
"52",585658,589698,"- Can I help? A foot massage?- Get out of here!","Flashdance"
"53",589866,593231,"- It's been long since he's had some.- I bet.","Flashdance"
"54",596115,597145,"Hi.","Flashdance"
"55",599406,600780,"Hi.","Flashdance"
"56",603447,605189,"Do you read lips?","Flashdance"
"57",605364,606642,"What?","Flashdance"
"58",607197,609601,"I saw you dance last night.","Flashdance"
"59",611363,614147,"- I just wanted to say hi.- Hi.","Flashdance"
"60",614321,616062,"You're Alex.","Flashdance"
"61",616862,618734,"I know.","Flashdance"
"62",618904,622434,"- I'm Nick Hurley.- Really?","Flashdance"
"63",624153,626771,"I've seen your nameon my pay cheques.","Flashdance"
"64",628069,631730,"What's a dancer doingworking as a welder?","Flashdance"
