"id","startTime","endTime","text","title"
"1",161411,163285,"Oh. Hmm.","Flubber"
"2",163413,165287,"Oh. Oh.","Flubber"
"3",165415,167159,"I'm up!","Flubber"
"4",170129,174043,"- Ah.- Phillip, it's 7:00. Are you awake?","Flubber"
"5",174133,177383,"Up and ready for a new day.","Flubber"
"6",177470,180554,"- Oh!- Oh what a beautiful morning","Flubber"
"7",180640,182597,"Oh what a beautiful day","Flubber"
"8",214384,217800,"- I can't find my socks.- They're in your shoes.","Flubber"
"9",217929,220385,"- Where are my shoes?- They're on your feet.","Flubber"
"10",220473,222383,"Thank you.","Flubber"
"11",228982,232767,"Thank you, Weber.","Flubber"
"12",236991,238865,"Hi.","Flubber"
"13",240912,243829,"- Have you seen the paper this morning?- Oh, yes, I did.","Flubber"
"14",243957,246033,"You know, if I could solvethis whole metastable compound business,","Flubber"
"15",246167,248160,"I could save the college.","Flubber"
"16",248294,250501,"A new energy sourcewould be worth a fortune.","Flubber"
"17",250630,253916,"You better hurry up. The loan's dueat the end of the school year.","Flubber"
"18",254009,257544,"Not to worry, Weebo.I'm very close.","Flubber"
"19",257679,259719,"May I see my schedule, please?","Flubber"
"20",259848,262968,"Ahhhh. After schoolthere's something.","Flubber"
"21",263102,264976,"I know there is. What is it?","Flubber"
"22",265104,267393,"- This is your complete schedule.- Hmm. Let's see.","Flubber"
"23",267523,269432,"Unless you didn'ttell me something.","Flubber"
"24",269525,271648,"What is it? There's something.There's something there.","Flubber"
"25",271778,273687,"What is it? Oh.","Flubber"
"26",273821,275861,"It's something to do with white.","Flubber"
"27",275990,278564,"Oh, what is it? I know it'ssomething important. I know it!","Flubber"
"28",278702,281489,"Well, I don't know. I'm sorry.I know it's so frustrating, isn't it?","Flubber"
"29",281621,284077,"I just hate that.I wish I could help you.","Flubber"
"30",284207,287292,"- But I can't.- Haircut!","Flubber"
"31",287377,290747,"Ha! Hmm!","Flubber"
"32",292883,294793,"They can't justclose down the school.","Flubber"
"33",294885,297673,"Outside of the Ivy League,name me one private college...","Flubber"
"34",297805,301139,"or university that isn'tin financial trouble.","Flubber"
"35",301225,303977,"Oh, all right. Name another.","Flubber"
"36",304062,308890,"- You don't think it's too much?- No. It's elegant.","Flubber"
"37",309025,312691,"And it's a wonderful idea to gowith the big wedding this time.","Flubber"
"38",312779,315946,"It does put the pressureon the professor to show up.","Flubber"
"39",316074,318447,"If he forgets this time,that's it.","Flubber"
"40",318577,321199,"Well, in his case,once is justifiable...","Flubber"
"41",321288,325369,"and twice is understandable,but three times--","Flubber"
"42",326877,328751,"Coming through!","Flubber"
"43",338598,340970,"Morning-- or afternoon,whatever the case may be.","Flubber"
"44",341101,344719,"We have a lot to talk about today,so let's get into it without delay.","Flubber"
"45",344813,348313,"Oh! Oh, uh, thank you,whoever gave me the plate of fruit...","Flubber"
"46",348442,350565,"and the dead pheasant,","Flubber"
"47",350694,352568,"but it does not countas extra credit.","Flubber"
"48",352696,355401,"Last time we were talking aboutNewton's Law of Gravitation.","Flubber"
"49",355491,359987,"To review: We see this ""G""is like the ""C"" in E=MC squared.","Flubber"
"50",360121,363241,"It's a constant, constant universe,as much as anything
is constant in the universe.","Flubber"
"51",363374,365747,"It's saying that the force ofattraction between two bodies...","Flubber"
"52",365877,368629,"is in direct proportion tothe product of their masses...","Flubber"
"53",368755,370997,"and in inverse proportion to the squareof the distance between them.","Flubber"
"54",371133,376589,"An example would be-- Let's make, uh,naked man, ""M-1."" Naked lady, ""M-2.""","Flubber"
"55",376680,378922,"Now, according to this formula,their attractive forces...","Flubber"
"56",379058,381762,"would want to closethe distance to zero.","Flubber"
"57",381894,384765,"Why don't they? Hmm?","Flubber"
"58",384897,386854,"The Earth! Ah.","Flubber"
"59",386983,390933,"So, in essence that isgravity and this...","Flubber"
