"id","startTime","endTime","text","title"
"1",158380,160918,"And He is testing us.","Footloose"
"2",161633,165216,"Every day, our Lord is testing us.","Footloose"
"3",166263,168055,"If He wasn't testing us,","Footloose"
"4",168265,173141,"how would you account forthe sorry state of our society,","Footloose"
"5",173354,178479,"for the crimes that plaguethe big cities of this country?","Footloose"
"6",179736,184314,"When He can sweep this pestilencefrom the face of the earth,","Footloose"
"7",184532,187367,"with one mighty gesture of His hand.","Footloose"
"8",189245,191285,"If our Lord wasn't testing us,","Footloose"
"9",191498,194119,"how would you account forthe proliferation these days","Footloose"
"10",194334,197917,"of this obscene rock and roll music","Footloose"
"11",198130,204334,"with its gospel of easy sexualityand relaxed morality?","Footloose"
"12",206013,208052,"If our Lord wasn't testing us,","Footloose"
"13",208265,213176,"He could take all thesepornographic books and albums","Footloose"
"14",213395,217345,"and turn them intoone big fiery cinder like that!","Footloose"
"15",217566,222110,"But how would that make us stronger for Him?","Footloose"
"16",225867,230612,"One of these days,my Lord is gonna come to me","Footloose"
"17",230830,236370,"and ask me for an explanation forthe lives of each and every one of you.","Footloose"
"18",237838,243461,"And what am I gonna tell Himon that day? That I was busy?","Footloose"
"19",244553,248930,"That I was tired? That I was bored?","Footloose"
"20",249141,254811,"No! I can never let up! I welcome His test.","Footloose"
"21",255022,257062,"I welcome this challenge from my Lord,","Footloose"
"22",257274,260690,"so that one day I can deliverall of you unto His hands.","Footloose"
"23",260903,266111,"And when that day dawns, I don'twant to have to do any explaining.","Footloose"
"24",266325,271949,"I don't want to be missing from your lives.","Footloose"
"25",272165,274703,"Praise the Lord in singing","Footloose"
"26",274918,281965,"hymn number 397, ""What A Friend We Have In Jesus"".","Footloose"
"27",285387,292517,"What a friend we have in Jesus","Footloose"
"28",292728,298398,"All our sins and griefs to bear","Footloose"
"29",298734,301819,"I will. You have a good week now. Bye-bye, Elroy.","Footloose"
"30",302029,306157,"Mrs MacCormack, your sister has usso excited about you coming.","Footloose"
"31",306367,308407,"- Thank you.- Did you meet my wife, Vi?","Footloose"
"32",308619,311870,"- No. How do you do?- How nice to meet you. Welcome.","Footloose"
"33",312081,314288,"- This is my son, Ren.- Hello, Ren.","Footloose"
"34",314500,316540,"Would you excuse me?","Footloose"
"35",316753,318792,"- Daddy!- Oh, Ariel...","Footloose"
"36",319005,322339,"- Come and meet the MacCormacks.- The stunning new gentleman.","Footloose"
"37",322550,324590,"This is Mrs MacCormack.","Footloose"
"38",324803,326926,"- And her son is Ren.- Ren.","Footloose"
"39",329266,331804,"Ren's gonna be new at the high school tomorrow.","Footloose"
"40",332019,333762,"- Hi.- Hi.","Footloose"
