"id","startTime","endTime","text","title"
"1",196995,201556,"Hello. My name'sForrest... Forrest Gump.","Forrest Gump"
"2",207504,209438,"Do you want a chocolate?","Forrest Gump"
"3",212009,216447,"I could eat about a millionand a half of these.","Forrest Gump"
"4",216514,218448,"My mama always said","Forrest Gump"
"5",218515,222247,"life was likea box of chocolates.","Forrest Gump"
"6",223854,226449,"You never know whatyou're going to get.","Forrest Gump"
"7",233865,236800,"Those must becomfortable shoes.","Forrest Gump"
"8",236867,240235,"I bet you could walk all dayin shoes like that","Forrest Gump"
"9",240305,242239,"and not feel a thing.","Forrest Gump"
"10",244475,247912,"I wish I had shoes like that.","Forrest Gump"
"11",247979,250413,"My feet hurt.","Forrest Gump"
"12",250481,252415,"Mama always saidthere's an awful lot","Forrest Gump"
"13",252484,256420,"you can tell abouta person by their shoes.","Forrest Gump"
"14",256487,258422,"Where they're going,","Forrest Gump"
"15",258490,259956,"where they've been.","Forrest Gump"
"16",266997,269557,"I've worn lots of shoes.","Forrest Gump"
"17",271502,274437,"I bet if I thinkabout it real hard","Forrest Gump"
"18",274505,276939,"I could remembermy first pair of shoes.","Forrest Gump"
"19",279677,282779,"Mama said they'dtake me anywhere.","Forrest Gump"
"20",282913,285939,"[Gump]She said they was my magic shoes.","Forrest Gump"
"21",286016,289451,"All right, Forrest,open your eyes now.","Forrest Gump"
"22",296026,297822,"Les take a little walk around.","Forrest Gump"
"23",305468,307060,"How do those feel?","Forrest Gump"
"24",310473,312771,"His legs are strong,Mrs. Gump,","Forrest Gump"
"25",312843,315276,"as strong as I've ever seen.","Forrest Gump"
"26",315345,319406,"But his back's ascrooked as a politician.","Forrest Gump"
"27",319483,322850,"But we're going to straighten himright up, aren't we, Forrest?","Forrest Gump"
"28",322920,324182,"Forrest!","Forrest Gump"
"29",324254,326915,"Now, when I was a baby,","Forrest Gump"
"30",326990,329754,"Mama named me afterthe great Civil War hero","Forrest Gump"
"31",329826,330827,"General Nathan Bedford Forrest.","Forrest Gump"
"32",330827,331920,"General Nathan Bedford Forrest.","Forrest Gump"
"33",331995,335430,"She said we was relatedto him in some way.","Forrest Gump"
"34",335499,336932,"What he did was,","Forrest Gump"
"35",337000,340435,"he started up this clubcalled the Ku Klux Klan.","Forrest Gump"
"36",340504,343939,"They'd all dress up in their robesand their bedsheets","Forrest Gump"
"37",344007,348444,"and act like a bunchof ghosts or spooks or something.","Forrest Gump"
"38",348512,352447,"They'd even put bedsheetson their horses and ride around.","Forrest Gump"
"39",352516,356576,"And, anyway, thas howI got my name... Forrest Gump.","Forrest Gump"
"40",356653,359985,"Mama said the Forrest partwas to remind me","Forrest Gump"
"41",360057,362992,"that sometimes we alldo things that, well,","Forrest Gump"
"42",363060,365494,"that just don't make no sense.","Forrest Gump"
"43",374504,377439,"This way. Hold on. Ugh!","Forrest Gump"
"44",377507,379668,"All right.","Forrest Gump"
"45",379742,381677,"What are y'all staring at?","Forrest Gump"
"46",381745,383177,"Haven't you ever seen","Forrest Gump"
"47",383245,386237,"a little boy with braceson his legs before?","Forrest Gump"
"48",387483,388917,"Don't ever let anybody","Forrest Gump"
"49",388985,391418,"tell you they're betterthan you, Forrest.","Forrest Gump"
"50",391487,393922,"If God intended everybodyto be the same,","Forrest Gump"
"51",393990,396925,"he'd have given us allbraces on our legs.","Forrest Gump"
"52",396992,400928,"Mama always had a way of explainingthings so I could understand them.","Forrest Gump"
"53",401130,405465,"We lived about a quarter mileoff Route 17,","Forrest Gump"
"54",405534,408470,"about a half mile from the townof Greenbow, Alabama.","Forrest Gump"
"55",408538,411473,"Thas in the countyof Greenbow.","Forrest Gump"
"56",411540,413975,"Our house had beenin Mama's family","Forrest Gump"
"57",414043,416101,"since her grandpa'sgrandpa's grandpa","Forrest Gump"
"58",416178,419615,"had come across the oceanabout a thousand years ago.","Forrest Gump"
"59",419682,422048,"Since it wasjust me and Mama","Forrest Gump"
"60",422117,424052,"and we had all these empty rooms,","Forrest Gump"
"61",424120,426553,"Mama decided to let those rooms out,","Forrest Gump"
"62",426622,428055,"mostly to people passing through,","Forrest Gump"
"63",428124,431718,"like from, oh, Mobile,Montgomery, places like that.","Forrest Gump"
"64",431795,434730,"Thas how me and Mama got money.","Forrest Gump"
"65",434798,437562,"Mama was a real smart lady.","Forrest Gump"
"66",437634,439567,"Remember what I told you, Forrest.","Forrest Gump"
"67",439636,442661,"You're no differentthan anybody else is.","Forrest Gump"
"68",444973,447408,"Did you hearwhat I said, Forrest?","Forrest Gump"
"69",447476,449911,"You're the sameas everybody else.","Forrest Gump"
"70",449978,451913,"You are no different.","Forrest Gump"
"71",451980,456644,"Your boy's... different,Mrs. Gump.","Forrest Gump"
"72",456718,459153,"His I.Q. Is 75.","Forrest Gump"
"73",459221,461747,"Well, we're all different,","Forrest Gump"
"74",461824,463086,"Mr. Hancock.","Forrest Gump"
"75",466329,468762,"She wanted me to havethe finest education","Forrest Gump"
"76",468831,472268,"so she took me tothe Greenbow County Central School.","Forrest Gump"
"77",472334,475269,"I met the principal and all.","Forrest Gump"
"78",475338,478603,"I want to show you something,Mrs. Gump.","Forrest Gump"
"79",478675,481074,"Now, this is normal.","Forrest Gump"
"80",481144,486137,"Forrest is right here.","Forrest Gump"
"81",486216,489048,"The state requiresa minimum I.Q. Of 80","Forrest Gump"
"82",489117,490846,"to attend public school.","Forrest Gump"
"83",490920,492216,"Mrs. Gump,","Forrest Gump"
"84",492288,495189,"he's going to have togo to a special school.","Forrest Gump"
"85",495257,497692,"Now, he'll be just fine.","Forrest Gump"
"86",497759,500194,"What does normal mean anyway?","Forrest Gump"
"87",500262,502197,"He might be...","Forrest Gump"
"88",502264,504391,"a bit on the slow side,","Forrest Gump"
"89",504466,505899,"but my boy Forrest","Forrest Gump"
"90",505968,508903,"is going to get the sameopportunities as everyone else.","Forrest Gump"
"91",508971,511064,"He's not going tosome special school","Forrest Gump"
"92",511139,513073,"to learn how to retread tires.","Forrest Gump"
"93",513142,516134,"We're talking aboutfive little points here.","Forrest Gump"
"94",517980,520881,"There must be somethingcan be done.","Forrest Gump"
"95",520950,525409,"We're a progressiveschool system.","Forrest Gump"
"96",525488,528251,"We don't want to seeanybody left behind.","Forrest Gump"
"97",528323,533091,"Is there a Mr. Gump, Mrs. Gump?","Forrest Gump"
"98",535899,537899,"He's on vacation.","Forrest Gump"
"99",538032,543436,"Eee! Eee! Eee!Eee! Eee! Eee!","Forrest Gump"
"100",543504,546028,"Eee! Eee! Eee! Eee!","Forrest Gump"
"101",546106,548131,"Eee! Eee! Eee! Eee!","Forrest Gump"
"102",554948,558884,"Well, your mama sure does careabout your schooling, son.","Forrest Gump"
"103",558952,560385,"Mmm-mmm-mmm.","Forrest Gump"
"104",564457,567086,"You don't say much, do you?","Forrest Gump"
"105",570364,572831,"Eee! Eee! Eee! Eee!","Forrest Gump"
"106",572899,575299,"Eee! Eee! Eee! Eee!","Forrest Gump"
"107",575369,578404,"Eee! Eee! Eee! Eee! Eee!","Forrest Gump"
"108",578538,580732,"""Finally, he had to try.","Forrest Gump"
"109",580807,583741,"""It looked easy, but...","Forrest Gump"
"110",583809,586403,"oh, what happened.First they...""","Forrest Gump"
"111",586479,589744,"Mama, whas vacation mean?","Forrest Gump"
"112",589816,591077,"Vacation?","Forrest Gump"
"113",591150,592913,"Where Daddy went?","Forrest Gump"
"114",594821,597585,"Vacation's whenyou go somewhere...","Forrest Gump"
"115",599993,602256,"and you don't ever come back.","Forrest Gump"
"116",606331,608265,"Anyway, I guess you could say","Forrest Gump"
"117",608333,610894,"me and Mama was on our own.","Forrest Gump"
"118",610970,612937,"But we didn't mind.","Forrest Gump"
"119",613005,615440,"Our house was never empty.","Forrest Gump"
"120",615508,618442,"There was always folkscoming and going.","Forrest Gump"
"121",618510,619602,"Supper!","Forrest Gump"
"122",619678,621111,"Ls supper, everyone!","Forrest Gump"
"123",621181,622705,"That sure looks special.","Forrest Gump"
"124",622782,625615,"Sometimes, we hadso many people staying with us","Forrest Gump"
"125",625684,629120,"that every room was filled,with travelers, you know,","Forrest Gump"
"126",629188,631623,"folks livingout of their suitcases","Forrest Gump"
"127",631691,635126,"and hat casesand sample cases.","Forrest Gump"
"128",635195,638892,"Forrest Gump,is suppertime! Forrest?","Forrest Gump"
"129",638965,641798,"One time, a young manwas staying with us,","Forrest Gump"
"130",641868,644961,"and he had him a guitar case.","Forrest Gump"
"131",645038,647232,"[Guitar Plays]","Forrest Gump"
"132",649542,653307,"# Well, you ain'tnever caught a rabbit #","Forrest Gump"
"133",653379,654971,"#And you ain't no #","Forrest Gump"
"134",655048,656572,"# Friend of mine ##","Forrest Gump"
"135",658451,660043,"Forrest,","Forrest Gump"
"136",660119,662883,"I told you not to botherthis nice young man.","Forrest Gump"
"137",662956,664389,"No, thas all right, ma'am.","Forrest Gump"
"138",664456,667893,"I was showing hima thing or two on the guitar.","Forrest Gump"
"139",667961,670895,"All right. Supper's readyif y'all want to eat.","Forrest Gump"
"140",670964,673899,"Yeah, that sounds good.Thank you, ma'am.","Forrest Gump"
"141",673966,677403,"Say, man, show me that crazylittle walk you did there.","Forrest Gump"
"142",677470,678903,"Slow it down some.","Forrest Gump"
"143",678971,681440,"#You ain't nothing but... #","Forrest Gump"
"144",681508,683806,"I liked that guitar.","Forrest Gump"
"145",683876,686471,"It sounded good.","Forrest Gump"
"146",686546,691778,"I started moving aroundto the music,","Forrest Gump"
"147",691850,693784,"swinging my hips.","Forrest Gump"
"148",693852,695946,"# Cryin' all the time ##","Forrest Gump"
"149",696022,697511,"This one night,","Forrest Gump"
"150",697590,699524,"me and Mama was out shopping,","Forrest Gump"
"151",699591,702025,"and we walked by Vincy'sFurniture and Appliance Store,","Forrest Gump"
"152",702095,703084,"and guess what?","Forrest Gump"
"153",705130,709567,"#You ain't nothin'but a hound dog #","Forrest Gump"
"154",709635,712696,"#Cryin'all the time #","Forrest Gump"
"155",714407,716341,"#You ain't nothin'but a hound dog #","Forrest Gump"
"156",716408,719309,"This is not forchildren's eyes.","Forrest Gump"
"157",719379,721437,"#Cryin'all the time #","Forrest Gump"
"158",721514,722947,"Some years later,","Forrest Gump"
"159",723015,725951,"that handsome young manwho they called the King,","Forrest Gump"
"160",726019,728919,"well, he sung too many songs.","Forrest Gump"
"161",728988,731923,"Had himself a heart attackor something.","Forrest Gump"
"162",731990,734982,"It must be hard being a king.","Forrest Gump"
"163",738498,740932,"You know, is funny how youremember some things,","Forrest Gump"
"164",741000,741932,"but some things you can't.","Forrest Gump"
"165",742134,745467,"You do your very best now, Forrest.","Forrest Gump"
"166",745538,747937,"I sure will, Mama.","Forrest Gump"
"167",748006,751533,"I remember the bus rideon the first day of school","Forrest Gump"
"168",751610,752942,"very well.","Forrest Gump"
"169",756014,757879,"Are you coming along?","Forrest Gump"
"170",757951,761442,"Mama said not to betaking rides from strangers.","Forrest Gump"
"171",761520,764046,"This is the bus to school.","Forrest Gump"
"172",766525,769323,"I'm Forrest...Forrest Gump.","Forrest Gump"
"173",769394,771192,"I'm Dorothy Harris.","Forrest Gump"
"174",771264,773697,"Well, now we ain'tstrangers anymore.","Forrest Gump"
"175",786446,789142,"This seas taken.","Forrest Gump"
"176",790716,792014,"Ls taken.","Forrest Gump"
"177",800493,802017,"You can't sit here.","Forrest Gump"
"178",804831,808267,"You know, is funny whata young man recollects,","Forrest Gump"
"179",808333,810666,"'cause I don'tremember being born.","Forrest Gump"
"180",810736,814138,"I don't recall what I gotfor my first Christmas,","Forrest Gump"
"181",814206,815639,"and I don't know","Forrest Gump"
"182",815707,818142,"when I went onmy first outdoor picnic,","Forrest Gump"
"183",818211,819644,"but I do remember","Forrest Gump"
"184",819711,823705,"the first time I heardthe sweetest voice","Forrest Gump"
"185",823783,825682,"in the wide world.","Forrest Gump"
"186",825751,828687,"You can sit hereif you want.","Forrest Gump"
"187",831024,834892,"I had never seen anythingso beautiful in my life.","Forrest Gump"
"188",834961,837554,"She was like an angel.","Forrest Gump"
"189",837629,841395,"Well, are you going tosit down or aren't you?","Forrest Gump"
"190",845471,847529,"Whas wrong with your legs?","Forrest Gump"
"191",847606,849541,"Um, nothing at all, thank you.","Forrest Gump"
"192",849609,852407,"My legs are just fine and dandy.","Forrest Gump"
"193",852477,855413,"I just sat next to heron that bus","Forrest Gump"
"194",855480,858416,"and had a conversationall the way to school.","Forrest Gump"
"195",858484,860918,"My back's crookedlike a question mark.","Forrest Gump"
"196",860986,863615,"Next to Mama,no one ever talked to me","Forrest Gump"
"197",863690,866090,"or asked me questions.","Forrest Gump"
"198",866158,868423,"Are you stupid or something?","Forrest Gump"
"199",868494,871553,"Mama says,""Stupid is as stupid does.""","Forrest Gump"
"200",871630,874623,"I'm Jenny.","Forrest Gump"
"201",874701,877260,"I'm Forrest... Forrest Gump.","Forrest Gump"
"202",877336,879769,"From that day on,we was always together.","Forrest Gump"
"203",879838,882399,"Jenny and mewas like peas and carrots.","Forrest Gump"
"204",885510,887411,"She taught me how to climb.","Forrest Gump"
"205",887480,889971,"Come on, Forrest,you can do it.","Forrest Gump"
"206",890048,892711,"I showed her how to dangle.","Forrest Gump"
"207",892784,894308,"""A good little...""","Forrest Gump"
"208",894386,896821,"She helped melearn how to read,","Forrest Gump"
"209",896889,899982,"and I showed her how to swing.","Forrest Gump"
"210",901126,903561,"Sometimes, we'djust sit out","Forrest Gump"
"211",903629,905927,"and wait for the stars.","Forrest Gump"
"212",905998,908466,"Mama's going to worry about me.","Forrest Gump"
"213",908533,911434,"Just stay a little longer.","Forrest Gump"
"214",911504,915600,"For some reason,Jenny didn't never want to go home.","Forrest Gump"
"215",915674,918438,"O.K., Jenny, I'll stay.","Forrest Gump"
"216",918510,922811,"She was my most special friend.","Forrest Gump"
"217",925017,926779,"My only friend.","Forrest Gump"
"218",929522,931456,"Now, my mama always told me","Forrest Gump"
"219",931524,933457,"that miracles happen every day.","Forrest Gump"
"220",933525,935460,"Some people don't think so,","Forrest Gump"
"221",935528,937018,"but they do.","Forrest Gump"
"222",939298,941390,"Hey, dummy!","Forrest Gump"
"223",942501,944936,"Are you dumb,or just plain stupid?","Forrest Gump"
"224",945004,946767,"Look, I'm Forrest Gimp.","Forrest Gump"
"225",946838,948169,"Just run away, Forrest.","Forrest Gump"
"226",949241,950606,"Run, Forrest!","Forrest Gump"
"227",950676,952769,"Run away! Hurry!","Forrest Gump"
"228",952845,954403,"Get the bikes!","Forrest Gump"
"229",954480,956277,"Les get him! Come on!","Forrest Gump"
"230",956349,958145,"Look out, Gump!","Forrest Gump"
"231",958216,961083,"We're going to get you!","Forrest Gump"
"232",961153,963280,"Run, Forrest, run!","Forrest Gump"
"233",963355,965380,"Run, Forrest!","Forrest Gump"
"234",966793,968317,"Come back here, you!","Forrest Gump"
"235",971364,972591,"Ha ha ha ha ha!","Forrest Gump"
"236",982575,984907,"Run, Forrest!","Forrest Gump"
"237",984976,986568,"Run!","Forrest Gump"
"238",1017043,1019773,"Now, you wouldn'tbelieve if I told you...","Forrest Gump"
"239",1020846,1024077,"but I could runlike the wind blows.","Forrest Gump"
"240",1025917,1028409,"From that day on,","Forrest Gump"
"241",1028487,1030921,"if I was going somewhere,","Forrest Gump"
"242",1030990,1033355,"I was running.","Forrest Gump"
"243",1066192,1069560,"That boy sureis a running fool.","Forrest Gump"
"244",1072529,1074463,"Now, remember how I told you","Forrest Gump"
"245",1074531,1077467,"that Jenny never seemedto want to go home?","Forrest Gump"
"246",1077535,1080902,"She lived in a housethat was as old as Alabama.","Forrest Gump"
"247",1080971,1083599,"Her mama had goneto heaven when she was 5,","Forrest Gump"
"248",1083674,1088112,"and her daddy wassome kind of a farmer.","Forrest Gump"
"249",1088179,1089406,"Jenny?","Forrest Gump"
"250",1089480,1092414,"He was a very loving man.","Forrest Gump"
"251",1092482,1096646,"He was always kissingand touching her and her sisters.","Forrest Gump"
"252",1098489,1100423,"And then this one time,","Forrest Gump"
"253",1100490,1103425,"Jenny wasn't on the busto go to school.","Forrest Gump"
"254",1103493,1105928,"Jenny, why didn't youcome to school today?","Forrest Gump"
"255",1105997,1108431,"Shh. Daddy's taking a nap.","Forrest Gump"
"256",1108499,1109590,"Jenny!","Forrest Gump"
"257",1109666,1111931,"Come on!","Forrest Gump"
"258",1112002,1114938,"Jenny, where'd you run to?","Forrest Gump"
