"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","From Here to Eternity"
"2",11428,12845,"Hi, I'm Tim Zinnemann.","From Here to Eternity"
"3",12930,18017,"I'm Fred Zinnemann's son,here to talk about From Here to Eternity,","From Here to Eternity"
"4",18102,19977,"or at least what I know about it.","From Here to Eternity"
"5",20145,21979,"And I'm sitting here with Alvin Sargent,","From Here to Eternity"
"6",22106,26359,"who has not only workedwith my father on Julia,","From Here to Eternity"
"7",26443,31614,"but we also worked together on a picturecalled Straight Time with Dustin Hoffman.","From Here to Eternity"
"8",34493,36703,"He can tell you more about it than I can,","From Here to Eternity"
"9",36787,42750,"because he was a soldier who was shotduring the attack in the movie.","From Here to Eternity"
"10",43252,49090,"I introduced the World War II to the film,","From Here to Eternity"
"11",50259,54137,"and I can't imagine why I'm even here,given how it all began.","From Here to Eternity"
"12",54221,58141,"In 1952,","From Here to Eternity"
"13",59059,60435,"a telephone call","From Here to Eternity"
"14",60436,61310,"a telephone call","From Here to Eternity"
"15",64940,69527,"from a casting directorat Columbia, Max Arnow,","From Here to Eternity"
"16",70070,72613,"found me one afternoon and said,","From Here to Eternity"
"17",72698,75908,"""I have a part for youin From Here to Eternity.""","From Here to Eternity"
"18",75993,79287,"I said, ""I'm not an actor any more.I haven't been an actor for years.""","From Here to Eternity"
"19",79371,81497,"He said, ""Well, we have your picture here.","From Here to Eternity"
"20",81582,87086,"""Somebody must have dropped it offabout two years ago.","From Here to Eternity"
"21",87337,91340,"""Buddy Adler wants you to come overto Hawaii tomorrow morning","From Here to Eternity"
"22",91467,93176,"""and be in this movie.""","From Here to Eternity"
"23",93302,95219,"I said, ""I can't. I have a job.","From Here to Eternity"
"24",95345,98848,"""I'm selling advertising at Daily Varietyand I can't be there.""","From Here to Eternity"
"25",99016,101517,"He said, ""Buddy Adler insiststhat you be there,","From Here to Eternity"
"26",101602,104896,"""and we'll give you $400for a week's work.""","From Here to Eternity"
"27",105647,106898,"And that's how it began.","From Here to Eternity"
"28",106982,110359,"That's why I'm sitting here todaywith Tim Zinnemann.","From Here to Eternity"
"29",111737,115990,"I wanted to talk a little bit aboutthe background to From Here to Eternity,","From Here to Eternity"
"30",116074,119118,"for those who might not be aware of it.","From Here to Eternity"
"31",120078,120787,"The movie was based onan 800-page book by James Jones,","From Here to Eternity"
"32",120788,124874,"The movie was based onan 800-page book by James Jones,","From Here to Eternity"
"33",125000,128461,"which, in its day,was a big, huge best seller.","From Here to Eternity"
"34",128587,132840,"Also, it was highly critical of the Army,","From Here to Eternity"
"35",133050,138387,"and it had a lot of things in itthat for the day were considered scandalous,","From Here to Eternity"
"36",138472,141307,"like adulterous affairs, etcetera.","From Here to Eternity"
"37",141391,144811,"So it was viewed in Hollywood","From Here to Eternity"
"38",144895,149816,"as a project that wouldnot actually ever be made,","From Here to Eternity"
"39",149900,155154,"and it became known as ""Coho's Folly""for Harry Cohn,","From Here to Eternity"
"40",155239,158783,"who bought the book for Columbia.","From Here to Eternity"
"41",159076,161577,"At the time that he bought it,","From Here to Eternity"
"42",161703,168084,"he did not even have the rightsfrom the Army to get their cooperation.","From Here to Eternity"
"43",171880,177134,"It was a venture that people thoughtwould never actually get started,","From Here to Eternity"
"44",177261,179679,"and it founderedat a couple of other studios.","From Here to Eternity"
"45",180097,186978,"A young writer named Dan Taradashwas hired to do a script","From Here to Eternity"
"46",187062,190398,"and worked with the producer, Buddy Adler,","From Here to Eternity"
"47",190941,194485,"and turned in, apparently,an amazing first draft","From Here to Eternity"
"48",194611,198406,"that everybody thought extremely highly of.","From Here to Eternity"
"49",198615,204537,"As a result, they decided to fast trackthe movie and start immediately.","From Here to Eternity"
"50",206248,210585,"My father, Fred Zinnemann,had just come off High Noon,","From Here to Eternity"
"51",210711,214881,"so he was consideredan up-and-coming director.","From Here to Eternity"
"52",216633,220136,"Prior to that, he'd been knownas a director's director","From Here to Eternity"
"53",220220,221929,"or an art-house director.","From Here to Eternity"
"54",222014,226475,"Meaning, basically, you make good pictures,but they don't make any money.","From Here to Eternity"
"55",226810,231898,"So he was really not anybody's first choice,","From Here to Eternity"
"56",231982,236319,"except Dan Taradash's,who insisted that Cohn meet him.","From Here to Eternity"
"57",236570,242825,"So my father read the script, which he loved,and went in to see Harry Cohn,","From Here to Eternity"
"58",243911,250750,"who ran Columbia with an iron fist,and he was quite the tyrant","From Here to Eternity"
"59",251293,256005,"and basically insistedon getting his own way.","From Here to Eternity"
"60",256214,261510,"So he talked to my father about the script,and my father said he loved it","From Here to Eternity"
"61",262012,264138,"and would be very interested in directing it.","From Here to Eternity"
"62",264264,271187,"Cohn then said,""I have a young actor under contract here","From Here to Eternity"
"63",272147,277777,"""who's going to play the part of Prewitt.The girls love him. He's a boxer.","From Here to Eternity"
"64",279529,281948,"""He's on salaryand hasn't worked in 10 weeks,","From Here to Eternity"
"65",282032,285534,"""so I gotta put him to workand his name is Aldo Ray.""","From Here to Eternity"
"66",286036,289789,"My father just sort of said nothingand sniffed.","From Here to Eternity"
"67",290290,294126,"Cohn said, ""What's the matter?""","From Here to Eternity"
"68",294544,297922,"My father said, ""I don't thinkhe's right for the part.""","From Here to Eternity"
"69",299007,304095,"Cohn said, ""Then who would you suggest?""","From Here to Eternity"
"70",305013,307515,"My father said, ""Montgomery Clift.""","From Here to Eternity"
"71",309726,314814,"Apparently Cohn went into a rageand he said, ""Well, Clift can't box,","From Here to Eternity"
"72",315065,318234,"""he doesn't look like a soldier,","From Here to Eternity"
"73",318318,321737,"""and for all I know,he's probably a homosexual.","From Here to Eternity"
"74",321738,322405,"""And for all I know,he's probably a homosexual.","From Here to Eternity"
"75",322572,326867,"""Absolutely not. That's the mostridiculous suggestion I ever heard.""","From Here to Eternity"
"76",326994,333207,"My father said, ""If I can't cast this picturethe way I think it should be cast,","From Here to Eternity"
"77",334751,336544,"""I think it's a wonderful script,","From Here to Eternity"
"78",336628,340172,"""and what you should probably dois get another director.","From Here to Eternity"
"79",340257,342008,"""Thank you very much.""","From Here to Eternity"
"80",342092,348222,"Cohn said, ""I'm the president of Columbia.Nobody gives me ultimatums.","From Here to Eternity"
"81",348432,349932,"""Get out.""","From Here to Eternity"
"82",350058,354103,"So my father reported into his agent, who is Abe Lastfogel,","From Here to Eternity"
"83",354187,356731,"the head of William Morris,","From Here to Eternity"
"84",356815,358858,"and said, ""I just don't thinkit's going to work.","From Here to Eternity"
"85",358942,363279,"""I love the project,but we just don't see eye to eye here.","From Here to Eternity"
"86",363447,368117,"""I'm not going to do a picturewith a cast that I don't like.","From Here to Eternity"
"87",369703,370369,"""So, I'm going to pass on the project.""","From Here to Eternity"
"88",370370,373456,"""So, I'm going to pass on the project.""","From Here to Eternity"
"89",373582,377585,"Lastfogel said, ""I completelyunderstand your point of view.","From Here to Eternity"
"90",377794,379462,"""You're absolutely right.""","From Here to Eternity"
"91",379629,384967,"Then, Lastfogel got on the phone to Cohn","From Here to Eternity"
"92",385510,387386,"and said, ""Freddy loves the pictureand he can hardly wait to start.""","From Here to Eternity"
"93",387387,389764,"and said, ""Freddy loves the pictureand he can hardly wait to start.""","From Here to Eternity"
"94",390307,396062,"Much to my father's amazement,he was given a contract, which he signed.","From Here to Eternity"
"95",396646,398856,"Cohn sent the script to Clift","From Here to Eternity"
"96",398940,403652,"and the rest is on the screenas you see it today.","From Here to Eternity"
"97",405822,410201,"In terms of other ideas for casting,","From Here to Eternity"
"98",411620,415998,"Ronald Reagan was among thoseconsidered for the part of the captain,","From Here to Eternity"
"99",417084,421420,"as was Walter Matthauand some others that I can't quite remember.","From Here to Eternity"
"100",421421,422379,"As was Walter Matthauand some others that I can't quite remember.","From Here to Eternity"
"101",422923,429804,"Joan Crawford was considered to bethe lead choice for the Deborah Kerr part.","From Here to Eternity"
"102",431014,435017,"But my father and Buddy Adler and Taradash","From Here to Eternity"
"103",435185,439939,"wanted to find somebody against type,","From Here to Eternity"
"104",440065,441440,"because they thought it wouldbe much more interesting","From Here to Eternity"
"105",441441,443192,"because they thought it wouldbe much more interesting","From Here to Eternity"
"106",445821,448322,"to have somebody as the adulterous wife","From Here to Eternity"
"107",448406,452910,"who was actually quite prim and proper","From Here to Eternity"
"108",456540,461877,"and who had a very nice demeanour,so to speak.","From Here to Eternity"
"109",463046,466048,"So that's why Deborah Kerr was cast.","From Here to Eternity"
"110",473765,474974,"Who is that?","From Here to Eternity"
"111",475058,476725,"She's Captain Holmes' wife.","From Here to Eternity"
"112",476977,479436,"I never met her.","From Here to Eternity"
"113",480063,484817,"The only actors I met were Monty Clift","From Here to Eternity"
"114",484901,491866,"in the scene that I had to do for Buddy Adler.","From Here to Eternity"
"115",491950,494994,"- But was that cut out of the movie?- No, it's in the movie.","From Here to Eternity"
"116",495078,496162,"Which is it?","From Here to Eternity"
"117",496246,501750,"No, it's a scene in which I announceto Monty Clift","From Here to Eternity"
"118",504087,509466,"that Frank Sinatra's in the brigand Fatso is beating him up.","From Here to Eternity"
"119",509551,512219,"It's on the grass,just before the big fight.","From Here to Eternity"
"120",515182,519268,"There's a couple of other thingsI could mention here.","From Here to Eternity"
"121",519519,524190,"When Cohn was first developing the script,","From Here to Eternity"
"122",524274,528360,"and Buddy Adler, who had been in the Army,I believe,","From Here to Eternity"
"123",528445,534241,"was able to get the Army's permissionto do this very controversial story,","From Here to Eternity"
"124",535911,542166,"they had two scenes that they saidcould not be in the movie","From Here to Eternity"
"125",542417,546003,"that were in that current script.","From Here to Eternity"
