"id","startTime","endTime","text","title"
"1",113680,116569,"Born of cold and winter air","Frozen"
"2",116640,120804,"And mountain rain combining","Frozen"
"3",121000,124082,"This icy force both foul and fair","Frozen"
"4",124159,128484,"Has a frozen heart worth mining","Frozen"
"5",128680,130489,"So out through the heart","Frozen"
"6",130560,131971,"Cold and clear","Frozen"
"7",132039,135009,"Strike for love and strike for fear","Frozen"
"8",135159,137890,"See the beauty sharp and sheer","Frozen"
"9",138199,140884,"Split the ice apart","Frozen"
"10",141039,144840,"And break the frozen heartHup, ho","Frozen"
"11",145240,147288,"Watch your stepLet it go","Frozen"
"12",147719,149768,"Hup, ho","Frozen"
"13",150159,152561,"Watch your stepLet it go","Frozen"
"14",152920,153920,"BeautifulPowerful","Frozen"
"15",154000,155286,"DangerousCold","Frozen"
"16",155360,157600,"Ice has a magicCan't be controlled","Frozen"
"17",157680,158841,"Stronger than one","Frozen"
"18",158920,160081,"Stronger than ten","Frozen"
"19",160439,161965,"Stronger than a hundred men!","Frozen"
"20",163120,164325,"Oh!","Frozen"
"21",165479,167766,"Born of coldAnd winter air","Frozen"
"22",167840,170081,"And mountain rain combining","Frozen"
"23",170159,172480,"This icy force both foul and fair","Frozen"
"24",172560,175245,"Has a frozen heart worth mining","Frozen"
"25",175520,176646,"Cut through the heart","Frozen"
"26",176719,177846,"Cold and clear","Frozen"
"27",177920,180081,"Strike for love and strike for fear","Frozen"
"28",180439,182602,"There's beauty and there's danger here","Frozen"
"29",182840,184921,"Split the ice apart","Frozen"
"30",185159,189210,"Beware the frozen heart","Frozen"
"31",194719,196926,"Come on, Sven.","Frozen"
"32",222120,223485,"Elsa. Psst!","Frozen"
"33",225840,227365,"Elsa!","Frozen"
"34",227639,229687,"Wake up. Wake up. Wake up!","Frozen"
"35",230000,232320,"Anna, go back to sleep.","Frozen"
"36",232840,234807,"I just can't.","Frozen"
"37",235159,237925,"The sky is awake, so I'm awake.","Frozen"
"38",238319,240128,"So, we have to play.","Frozen"
"39",240280,242122,"Go play by yourself.","Frozen"
"40",249199,251247,"Do you want to build a snowman?","Frozen"
"41",252879,253926,"Come on, come on, come on!","Frozen"
"42",258839,259887,"Do the magic!","Frozen"
"43",259959,261848,"Do the magic!","Frozen"
"44",265360,266485,"Oh...","Frozen"
"45",267199,268928,"- Ready?- Uh-huh.","Frozen"
"46",272240,274129,"This is amazing!","Frozen"
"47",276800,278211,"Watch this!","Frozen"
"48",286720,288084,"Hi, I'm Olaf,","Frozen"
"49",288159,289764,"and I like warm hugs.","Frozen"
"50",289840,291444,"I love you, Olaf!","Frozen"
"51",295199,296884,"Olaf...","Frozen"
"52",298399,299401,"Tickle bumps!","Frozen"
"53",299720,300846,"Oh!","Frozen"
"54",303560,304560,"Hang on!","Frozen"
"55",304879,305961,"Catch me!","Frozen"
"56",306040,307007,"Gotcha!","Frozen"
"57",307079,308286,"Again!","Frozen"
"58",308519,309600,"Wait!","Frozen"
"59",310439,311487,"- Whoo-hoo!- Slow down!","Frozen"
"60",313720,314766,"Whoo!","Frozen"
"61",314839,316045,"Anna!","Frozen"
"62",321399,322526,"Anna!","Frozen"
"63",325199,327043,"Mama! Papa!","Frozen"
"64",328439,330204,"No, no...","Frozen"
"65",335600,338284,"You're okay, Anna. I got you.","Frozen"
"66",338399,340846,"Elsa, what have you done?","Frozen"
"67",341360,342930,"This is getting out of hand.","Frozen"
"68",343360,346442,"It was an accident. I'm sorry, Anna!","Frozen"
"69",346600,349365,"- Oh. She's ice cold.- I know where we have to go.","Frozen"
"70",370319,371446,"Ice?","Frozen"
"71",371959,376045,"Faster, Sven.","Frozen"
"72",376120,377120,"Sven!","Frozen"
"73",380600,384081,"Please! Help! It's my daughter.","Frozen"
"74",395480,396526,"It's the king.","Frozen"
