"id","startTime","endTime","text","title"
"1",73000,75127,"Glob dyne is a consolidatorof media properties.","Fun with Dick and Jane"
"2",75302,79102,"Glob dyne is a consolidator of mediaproperties. Consolidator. Oh, no!","Fun with Dick and Jane"
"3",82309,85369,"Glob dyne�s a consolidator ofmedia properties and data retrieval...","Fun with Dick and Jane"
"4",85546,87673,"...with a focus in fibber-opticcontent provision.","Fun with Dick and Jane"
"5",87848,89577,"It's basically a synergyof Web-based...","Fun with Dick and Jane"
"6",89750,93049,"...and platform-basedUNIX-driven delivery systems.","Fun with Dick and Jane"
"7",93220,95245,"Okay, I made that last part up.","Fun with Dick and Jane"
"8",97424,100120,"We spent months on this trip.I just assumed...","Fun with Dick and Jane"
"9",100294,102854,"...that you knew you neededa passport to get into Russia.","Fun with Dick and Jane"
"10",104765,108929,"But if I should have told you,then I'm really sorry, Mr. Fairbanks.","Fun with Dick and Jane"
"11",113440,116500,"It's not my fault airport securitystrip-searched you, Mr. Fairbanks.","Fun with Dick and Jane"
"12",118245,121112,"I mean, maybe you shouldn't havemade that joke. You know?","Fun with Dick and Jane"
"13",121281,122578,"Hon? Fire.","Fun with Dick and Jane"
"14",122749,126048,"You know what, I'm going toload you up with drink coupons.","Fun with Dick and Jane"
"15",127554,130523,"Blanca? Can you make this little mansomething to eat?","Fun with Dick and Jane"
"16",142002,143333,"Are you sure about this?","Fun with Dick and Jane"
"17",143504,146064,"The trainer said it's justa minor annoyance.","Fun with Dick and Jane"
"18",146240,149505,"He said it just reminds himto be a little less vocal.","Fun with Dick and Jane"
"19",189750,192378,"- Hey, Dick.- Morning, Joe.","Fun with Dick and Jane"
"20",193887,195149,"That a new car?","Fun with Dick and Jane"
"21",195622,197214,"It's the new Mercedes S500.","Fun with Dick and Jane"
"22",197391,199723,"You can only special-orderthese from Germany.","Fun with Dick and Jane"
"23",200894,203522,"- How's it run?- Well, it's a Mercedes.","Fun with Dick and Jane"
"24",205365,206730,"Check this out.","Fun with Dick and Jane"
"25",206967,208366,"Mercedes, on.","Fun with Dick and Jane"
"26",212206,213730,"Yeah? Well, watch this.","Fun with Dick and Jane"
"27",213907,216740,"Beemer, sit. Stay.","Fun with Dick and Jane"
"28",216910,219572,"Play dead. Good boy.","Fun with Dick and Jane"
"29",220180,222808,"That's cute, Dick. Mercedes, off.","Fun with Dick and Jane"
"30",249309,251834,"""It has come to our attentionthat certain departments...","Fun with Dick and Jane"
"31",252012,255038,"...have begun to run into situations.""Situations.","Fun with Dick and Jane"
"32",255215,257342,"The big boys wantto see you upstairs.","Fun with Dick and Jane"
"33",258218,259708,"Which floor? Twentieth?","Fun with Dick and Jane"
"34",260554,261578,"Twenty-sixth?","Fun with Dick and Jane"
"35",262556,263784,"Thirty-second?","Fun with Dick and Jane"
"36",264891,267223,"- Not the 51st?- Yes.","Fun with Dick and Jane"
"37",268829,270421,"Congratulations, Mr. Harper.","Fun with Dick and Jane"
"38",273400,275300,"- Go ahead and wrap this up.- Okay.","Fun with Dick and Jane"
"39",275469,276663,"- How do I look?- Great.","Fun with Dick and Jane"
"40",276837,278702,"- Anything in my teeth?- No.","Fun with Dick and Jane"
"41",278872,280737,"I need a paper bag.","Fun with Dick and Jane"
"42",285379,288746,"- Hey, Oz.- Hey, Dick. Morning.","Fun with Dick and Jane"
"43",288915,291440,"It is, isn't it? Sure is.","Fun with Dick and Jane"
"44",291618,293245,"- Yeah.- Yeah.","Fun with Dick and Jane"
"45",293787,296119,"Hey, did you... ?Did you hear about Bill?","Fun with Dick and Jane"
"46",297024,300619,"- Oh, yeah. That's.... That's wild.- Yeah.","Fun with Dick and Jane"
"47",301695,305756,"Yeah. I wonder.... I wonderwho's going to take his place.","Fun with Dick and Jane"
"48",307334,309598,"That's the big mystery.","Fun with Dick and Jane"
"49",309770,311704,"Yeah. Yeah.","Fun with Dick and Jane"
"50",314508,317443,"- You getting off?- Not this time, Oz.","Fun with Dick and Jane"
"51",317878,319846,"Son of a bitch!","Fun with Dick and Jane"
"52",378238,379762,"That's it.","Fun with Dick and Jane"
"53",385379,387711,"Hello. I'm...","Fun with Dick and Jane"
"54",389349,392284,"...Dick Harper, and I'm hereto see Jack McAllister.","Fun with Dick and Jane"
"55",392519,396512,"Oh, well, that's him now, sorry.He had to step out.","Fun with Dick and Jane"
"56",399593,400958,"Dick.","Fun with Dick and Jane"
"57",401528,403860,"Damn glad to finally see youup here.","Fun with Dick and Jane"
"58",405766,408098,"Hey, man.","Fun with Dick and Jane"
"59",411204,413764,"- Frank Bascombe, CFO.- Nice to meet you, Frank.","Fun with Dick and Jane"
"60",413940,416306,"Nice to meet you.Listen, Dick. Dick.","Fun with Dick and Jane"
"61",416476,419673,"Jack's very sorry that he couldn'tbe here to congratulate you.","Fun with Dick and Jane"
"62",419846,423407,"Well, on becoming the newVP of Communication.","Fun with Dick and Jane"
"63",423984,425815,"Are you--?","Fun with Dick and Jane"
"64",426253,428483,"- Holy.... Thank you.- No, no, no.","Fun with Dick and Jane"
"65",428655,431317,"But also, he wanted to invite youto his house...","Fun with Dick and Jane"
"66",431491,434517,"...for an orientation meetingon Monday morning.","Fun with Dick and Jane"
"67",441134,443295,"Dick? Ann's got the address.","Fun with Dick and Jane"
"68",443470,447236,"All right. Sure, I'll get that.Okay. Ann?","Fun with Dick and Jane"
"69",447407,448806,"- Thanks.- Sure.","Fun with Dick and Jane"
"70",448975,450738,"And thank you...","Fun with Dick and Jane"
"71",451978,453240,"...Frank.","Fun with Dick and Jane"
"72",456116,457743,"Cool exit.","Fun with Dick and Jane"
"73",458485,460180,"How do you like your eggs?","Fun with Dick and Jane"
"74",462322,464187,"Pardon me!","Fun with Dick and Jane"
"75",473033,476935,"Ours is an ageof unmeasured prosperity,","Fun with Dick and Jane"
"76",477103,478661,"Oh, yeah.","Fun with Dick and Jane"
"77",478839,480067,"- You know what?- What?","Fun with Dick and Jane"
"78",480240,482003,"You should quit your job.","Fun with Dick and Jane"
"79",482342,484139,"- Quit my job?- Yeah.","Fun with Dick and Jane"
"80",484478,487811,"Do you even know what you're gettingpaid? I mean, I can't quit my job.","Fun with Dick and Jane"
"81",487981,490245,"Well, not specifically, but....","Fun with Dick and Jane"
"82",490784,494481,"Bob got VP last month,he's making 1 50 plus bonuses.","Fun with Dick and Jane"
"83",494921,497583,"Come on, you want to spendmore time with Billy.","Fun with Dick and Jane"
"84",497757,499918,"Do it. Just-- Come on.","Fun with Dick and Jane"
"85",500093,502323,"Do it. Do it. Quit your job.","Fun with Dick and Jane"
"86",502562,504257,"We must never becomea winner-take-all society,","Fun with Dick and Jane"
"87",504431,506899,"- You know what we should do?- What?","Fun with Dick and Jane"
"88",508168,510227,"We should have sex...","Fun with Dick and Jane"
"89",510770,512635,"...on Saturday.","Fun with Dick and Jane"
"90",512806,513966,"I'll buy candles.","Fun with Dick and Jane"
"91",514140,517337,"I'll pick up the new Starbucks samplerfeaturing Sade.","Fun with Dick and Jane"
"92",517511,521345,"Oh, you animal.That is going to be so wild.","Fun with Dick and Jane"
"93",521515,522914,"Yeah.","Fun with Dick and Jane"
"94",537564,538792,"Thank you.","Fun with Dick and Jane"
"95",540267,542792,"Just make yourself at home.","Fun with Dick and Jane"
"96",543370,544530,"Right.","Fun with Dick and Jane"
"97",556049,557311,"Dick.","Fun with Dick and Jane"
"98",557484,559645,"Yeah. Mr. McAllister.","Fun with Dick and Jane"
"99",560554,563751,"- Dick. Hey, call me Jack.- Likewise.","Fun with Dick and Jane"
"100",565225,568422,"With my name. Dick, I mean.","Fun with Dick and Jane"
"101",568595,570620,"Man. Dick Harper.","Fun with Dick and Jane"
"102",570797,572321,"Dick Harper.","Fun with Dick and Jane"
"103",572499,576731,"Dick Harper playing the harp.Harpo Marx playing the jew's-harp.","Fun with Dick and Jane"
"104",577170,579661,"D.H. DH.","Fun with Dick and Jane"
"105",580006,581769,"You're my designated hitter.","Fun with Dick and Jane"
"106",581942,584035,"I need you to step upinto the batter's box...","Fun with Dick and Jane"
"107",584210,586201,"...and knock one outof the ballpark for me.","Fun with Dick and Jane"
"108",586379,588074,"- Gone.- You ever have a nickname?","Fun with Dick and Jane"
"109",588915,590906,"Well, it was....","Fun with Dick and Jane"
"110",591585,593416,"Squirt. The Squirt.","Fun with Dick and Jane"
"111",593587,596556,"Something about how I wasconceived, I don't know.","Fun with Dick and Jane"
"112",597190,600182,"We going to think of something.Have trouble finding the place?","Fun with Dick and Jane"
"113",600360,604660,"No, sir. By the way, what a absolutelybeautiful hour-- Home you have.","Fun with Dick and Jane"
"114",604831,606696,"So then my lawyer saysto her lawyer:","Fun with Dick and Jane"
"115",606866,609733,"""lf she thinks she's getting that yacht,she's a little dingy.""","Fun with Dick and Jane"
"116",612205,614036,"He always-- He loves that one.","Fun with Dick and Jane"
"117",615208,616971,"The point isthat we need somebody...","Fun with Dick and Jane"
"118",617143,619236,"...who projects confidencein this position.","Fun with Dick and Jane"
"119",619412,621004,"We've seen howyou handle yourself.","Fun with Dick and Jane"
"120",621181,623615,"You've been a great cheerleaderfor this company.","Fun with Dick and Jane"
"121",623783,625307,"So we were thinking that....","Fun with Dick and Jane"
"122",626119,629054,"- Well, you go ahead and tell him.- No, you go ahead.","Fun with Dick and Jane"
"123",631391,635589,"What's up, guys? Come on.Don't hold out on me here. What?","Fun with Dick and Jane"
"124",635762,638060,"We want you to go onMoney Life this afternoon...","Fun with Dick and Jane"
"125",638231,640461,"...and announceour quarterly projections.","Fun with Dick and Jane"
"126",643236,645466,"You're the guy.You're the guy we have faith in.","Fun with Dick and Jane"
"127",645639,647664,"You can get our positive spinout there.","Fun with Dick and Jane"
"128",648742,651302,"Right. Positive spin.","Fun with Dick and Jane"
"129",651478,653446,"These are fickle times, Dick.","Fun with Dick and Jane"
"130",654114,656275,"We need to stick togetheras a team.","Fun with Dick and Jane"
"131",657183,659879,"Like my daddy always used to say....","Fun with Dick and Jane"
"132",667694,669491,"Well, you can count on me, sir.","Fun with Dick and Jane"
"133",669663,672029,"I mean, I can't tell youhow happy I am.","Fun with Dick and Jane"
"134",674367,676562,"- Thank you.- How were those eggs Florentine?","Fun with Dick and Jane"
"135",676936,679336,"- Best I've ever had.- Good answer.","Fun with Dick and Jane"
"136",684177,685371,"I'm on the plane right now!","Fun with Dick and Jane"
"137",685545,688343,"Do you know what's sittingin front of me? Do you know?","Fun with Dick and Jane"
"138",688515,691541,"A kosher meal! A kosher meal!","Fun with Dick and Jane"
"139",691718,695051,"How many times do I need to tellyou? ! I don't need a kosher meal!","Fun with Dick and Jane"
"140",695221,696552,"I'm Episcopalian!","Fun with Dick and Jane"
"141",696723,700386,"No-- No, you, miss-- You--No, you grow up!","Fun with Dick and Jane"
"142",701027,702392,"For-- No, you, miss--","Fun with Dick and Jane"
"143",702562,705725,"Phyllis, can l... ?Can I talk to you for a minute?","Fun with Dick and Jane"
"144",705899,708197,"- Here's a yell!- It's personal.","Fun with Dick and Jane"
"145",709502,712869,"- Never actually had makeup on.- I'm happy for you.","Fun with Dick and Jane"
"146",713506,715736,"- Hi.- Hi.","Fun with Dick and Jane"
"147",716342,718742,"- Where's Sam?- Washington.","Fun with Dick and Jane"
"148",719012,721537,"These are your talking points.They were just faxed over.","Fun with Dick and Jane"
"149",721715,723683,"And Sam is on the line for you.","Fun with Dick and Jane"
"150",724284,725342,"Hello, Mr, Harper,","Fun with Dick and Jane"
"151",725518,728954,"Hey, Sam. How you doing?Nice talking to you.","Fun with Dick and Jane"
"152",729122,731386,"I thought you were going to be here.","Fun with Dick and Jane"
"153",731558,733822,"- Me too, I hear it's beautiful there,- That's the thing--","Fun with Dick and Jane"
