"id","startTime","endTime","text","title"
"1",26000,36000,"Synced And Corrected By pSYcH0@Subscene","Furious 7"
"2",48594,50587,"LONDON, ENGLAND","Furious 7"
"3",50743,52799,"They say if you want a glimpse of the future...","Furious 7"
"4",53716,55454,"Just look behind you.","Furious 7"
"5",57155,59061,"I used to think that was bollocks.","Furious 7"
"6",61122,62349,"Now I realize...","Furious 7"
"7",65125,66567,"you can't outrun the past.","Furious 7"
"8",72367,74061,"When we were kids...","Furious 7"
"9",75884,78745,"You'd start fights with the toughest bastards in the yard.","Furious 7"
"10",79603,80960,"But I was the one...","Furious 7"
"11",81073,83334,"who were to step in and finish them.","Furious 7"
"12",84105,85623,"Rest now, little brother.","Furious 7"
"13",86664,88317,"While I settle your one last score.","Furious 7"
"14",95246,96473,"Take care of my brother.","Furious 7"
"15",98012,99367,"Anything happens to him...","Furious 7"
"16",99960,101295,"I'll come back looking for you.","Furious 7"
"17",124317,125317,"Here.","Furious 7"
"18",125317,126317,"Hold this.","Furious 7"
"19",182572,185110,"FAST & FURIOUS 7","Furious 7"
"20",192110,194491,"Come on, Dom, so where are you taking me?","Furious 7"
"21",195109,197457,"They say an open road helps you think...","Furious 7"
"22",198549,200062,"about where you've been...","Furious 7"
"23",200828,202057,"where you're going.","Furious 7"
"24",205020,206750,"So you don't remember any of this yet?","Furious 7"
"25",207437,208437,"It's not fair.","Furious 7"
"26",209162,210602,"You know I don't.","Furious 7"
"27",215356,218206,"So what is it exactly that you're trying to show me?","Furious 7"
"28",219426,220524,"That.","Furious 7"
"29",225081,226522,"Race Wars.","Furious 7"
"30",228603,229764,"We used to come here?","Furious 7"
"31",230051,231296,"""Come here""?","Furious 7"
"32",231915,232961,"We invented it.","Furious 7"
"33",236781,237781,"RACE WARS","Furious 7"
"34",275163,277247,"Keep it under 9000 rpms.","Furious 7"
"35",277249,280629,"Kid's gonna fire his pistons after the first 200.","Furious 7"
"36",281786,284262,"You know that's not my style, I got to ride or die, right?","Furious 7"
"37",286523,288249,"How about you just ride on this one.","Furious 7"
"38",306999,307999,"Are you ready?","Furious 7"
"39",310843,311872,"I know you're ready!","Furious 7"
"40",325992,327175,"Go!","Furious 7"
"41",372129,373185,"Nice job!","Furious 7"
"42",376781,377781,"Hey!","Furious 7"
"43",378540,380538,"That's the girl I heard so much about.","Furious 7"
"44",380699,382882,"Where you been at, ghost girl?","Furious 7"
"45",386673,387863,"That's the girl...","Furious 7"
"46",388749,390713,"Ghost girl...","Furious 7"
"47",399891,401053,"Letty, what the hell?","Furious 7"
"48",407336,410577,"Damn, Dom! Your girl's still got that swing, homie.","Furious 7"
"49",412653,414187,"You never could take a punch.","Furious 7"
"50",416007,417158,"Right, right.","Furious 7"
