"id","startTime","endTime","text","title"
"1",71400,72690,"Faster, boys.","G.I. Joe: Retaliation"
"2",72700,77400,"Must catch defectorand get out of there.","G.I. Joe: Retaliation"
"3",82400,84390,"Mouse, you're ready tothe target of 18?","G.I. Joe: Retaliation"
"4",84400,88400,"Yes, sir.","G.I. Joe: Retaliation"
"5",106400,110400,"Let's go!","G.I. Joe: Retaliation"
"6",114400,117390,"Come on, where's the guy?","G.I. Joe: Retaliation"
"7",117400,121400,"Let...","G.I. Joe: Retaliation"
"8",128400,132400,"Mouse, create a diversion.","G.I. Joe: Retaliation"
"9",134400,138400,"- Let's go!- I'd like to stand still.","G.I. Joe: Retaliation"
"10",154400,156390,"Did I ever tell youthat the fight ugly?","G.I. Joe: Retaliation"
"11",156400,158390,"Not when lying down.","G.I. Joe: Retaliation"
"12",158400,160390,"It's bad...","G.I. Joe: Retaliation"
"13",160400,162390,"Flint!.Flint!","G.I. Joe: Retaliation"
"14",162400,164390,"What are you doing?","G.I. Joe: Retaliation"
"15",164400,166390,"Montez detonator, sir.","G.I. Joe: Retaliation"
"16",166400,168390,"Soldier Games, if you haveFlint in sight, break it.","G.I. Joe: Retaliation"
"17",168400,172400,"With pleasure.","G.I. Joe: Retaliation"
"18",175400,179400,"Defector was recovered.Go to the point of withdrawal. Go!","G.I. Joe: Retaliation"
"19",180400,184400,"I did not see.You?","G.I. Joe: Retaliation"
"20",185400,189360,"Be careful.Are in motion.","G.I. Joe: Retaliation"
"21",189400,193400,"You would not think that, Roadblock.","G.I. Joe: Retaliation"
"22",198400,202400,"Maybe!","G.I. Joe: Retaliation"
"23",208400,210390,"From Nanite wars end,","G.I. Joe: Retaliation"
"24",210400,213390,"Captain Duke Hauser leadsJoe tactical operations.","G.I. Joe: Retaliation"
"25",213400,217400,"Under the command of DukeRoudblock is...","G.I. Joe: Retaliation"
"26",218400,221390,"Lady Jaye..","G.I. Joe: Retaliation"
"27",221400,223390,"Flint..","G.I. Joe: Retaliation"
"28",223400,227360,".. and Snake Eyes.","G.I. Joe: Retaliation"
"29",227400,231400,"Ruthless terrorist knownas Cobra Commander and...","G.I. Joe: Retaliation"
"30",232400,234390,"...and desero.","G.I. Joe: Retaliation"
"31",234400,238400,"Were captured by GI Joe and closing andin a maximum security prison.","G.I. Joe: Retaliation"
"32",240400,243390,"But agents Cobra, Storm Shadow..","G.I. Joe: Retaliation"
"33",243400,246390,"...and Zartan are still free.","G.I. Joe: Retaliation"
"34",246400,248390,"Europe and the world..","G.I. Joe: Retaliation"
"35",248400,252400,".. are on alert after last oaththe Cobra Commander..","G.I. Joe: Retaliation"
"36",255400,257390,"...retaliation.","G.I. Joe: Retaliation"
"37",257400,259390,"Enemies in the face!","G.I. Joe: Retaliation"
"38",259400,263400,"Strong enemy fire!Bring people at the forefront.","G.I. Joe: Retaliation"
"39",263430,265390,"I can not.We are under attack.","G.I. Joe: Retaliation"
"40",265400,269400,"- I need you.- Ask an airstrike.","G.I. Joe: Retaliation"
"41",269430,272390,"Wait!How to do this?","G.I. Joe: Retaliation"
"42",272400,275390,"Uses a packetfirst aid.","G.I. Joe: Retaliation"
"43",275400,277390,"Bleeding, you need to sprint.","G.I. Joe: Retaliation"
"44",277400,279390,"Can I get the first aid kit?","G.I. Joe: Retaliation"
"45",279400,282390,"First aid kit?","G.I. Joe: Retaliation"
"46",282400,284390,"Who shoot me?","G.I. Joe: Retaliation"
"47",284400,288400,"Bleeding kill me","G.I. Joe: Retaliation"
"48",290400,293390,"- You spin.- Need to cover 360 degrees.","G.I. Joe: Retaliation"
"49",293400,295390,"You spin.","G.I. Joe: Retaliation"
"50",295400,297390,"How can you be so good in battle?That's what you're pathetic.","G.I. Joe: Retaliation"
"51",297400,299390,"I think you need to relax.I think greater.","G.I. Joe: Retaliation"
"52",299400,303400,"And not in my house.","G.I. Joe: Retaliation"
"53",305400,308390,"Pause.","G.I. Joe: Retaliation"
"54",308400,309390,"Enemy in front!","G.I. Joe: Retaliation"
"55",309400,312390,"Uncle Duke's ears.","G.I. Joe: Retaliation"
"56",312400,314390,"Do you have a big head.Come here.","G.I. Joe: Retaliation"
"57",314400,318400,"Fight back.What is it?","G.I. Joe: Retaliation"
"58",319400,321390,"You will not get away with screams.","G.I. Joe: Retaliation"
"59",321400,325400,"- Request assistance, bro Block.- I can not move that brother Duke.","G.I. Joe: Retaliation"
"60",325430,329400,"I'm with my friend demon dog!","G.I. Joe: Retaliation"
"61",331400,335360,"Grandma, help us.We need backup. ","G.I. Joe: Retaliation"
"62",335400,339400,"It's not the first time a girlfled the room screaming.","G.I. Joe: Retaliation"
"63",339430,343400,"It's my first timetwo girls to flee screaming.","G.I. Joe: Retaliation"
"64",343430,345390,"Completely uncalled for.","G.I. Joe: Retaliation"
"65",345400,349400,"- And I said it.- Completely.","G.I. Joe: Retaliation"
"66",363400,367400,"Pakistan President is deadbut Pakistan is our ally.","G.I. Joe: Retaliation"
"67",369400,371390,"- And a sovereign nation.- It was.","G.I. Joe: Retaliation"
"68",371400,374390,"It is a revolt Postcode.","G.I. Joe: Retaliation"
"69",374400,377390,"Every minute spent talkingis a loss.","G.I. Joe: Retaliation"
"70",377400,379390,"There are nuclear warheads","G.I. Joe: Retaliation"
"71",379400,381390,"made to start a chaos.","G.I. Joe: Retaliation"
"72",381400,385400,"We can not let enemiesto seize them.","G.I. Joe: Retaliation"
"73",387400,390390,"Recommendations?","G.I. Joe: Retaliation"
"74",390430,393390,"Attack.","G.I. Joe: Retaliation"
