"id","startTime","endTime","text","title"
"1",53240,55368,"No, son. Never.","Gangs of New York"
"2",56327,58996,"The blood stays on the blade.","Gangs of New York"
"3",61749,64168,"One day you'll understand.","Gangs of New York"
"4",73094,75471,"Some of it I half remember.","Gangs of New York"
"5",76013,78015,"And the rest...","Gangs of New York"
"6",78599,81352,"The rest I took from dreams.","Gangs of New York"
"7",84939,88359,"St. Michael, the archangel,defend us in battle.","Gangs of New York"
"8",88526,93114,"Be our protector against the snares...","Gangs of New York"
"9",93614,96867,"and the wickedness of the devil.","Gangs of New York"
"10",97034,98869,"Now, son, who's that?","Gangs of New York"
"11",99036,100788,"- St. Michael.- Who is it?","Gangs of New York"
"12",100955,102873,"- St. Michael!- And what did he do?","Gangs of New York"
"13",103040,105835,"He cast Satan out of paradise.","Gangs of New York"
"14",106293,108170,"Good boy.","Gangs of New York"
"15",178449,181327,"May God put the steel of theHoly Spirit in your spine...","Gangs of New York"
"16",181494,184372,"and the love of the BlessedVirgin in your heart.","Gangs of New York"
"17",210523,213859,"- Hey, boyo!- Johnny.","Gangs of New York"
"18",214026,216946,"- What's the battle?- Natives against the 'Dead Rabbits'.","Gangs of New York"
"19",217113,220783,"- Which are you?- What do you think? 'Dead Rabbits'.","Gangs of New York"
"20",260906,263284,"Well, well, Monk.","Gangs of New York"
"21",263534,265536,"Are you with us or not?","Gangs of New York"
"22",265703,268914,"For the last time, Vallon,I'm with you if the money is right.","Gangs of New York"
"23",269915,272877,"I'll give you 10 per notch.","Gangs of New York"
"24",273085,276714,"- Ten?- You have my word.","Gangs of New York"
"25",280926,284722,"- Ten per notch?- Per new notch.","Gangs of New York"
"26",288434,290269,"Then I'm your man.","Gangs of New York"
"27",399128,401964,"Is this it, Priest?The pope's new army?","Gangs of New York"
"28",402131,405509,"A few crusty bitchesand a handful of ragtags?","Gangs of New York"
"29",405676,409221,"Now, now, Bill, you swore this wasa battle between warriors...","Gangs of New York"
"30",409388,411724,"not a bunch of Miss Nancys.","Gangs of New York"
"31",411891,414727,"So warriors is what I brought.","Gangs of New York"
"32",417647,419065,"The 'O'Connell Guard'.","Gangs of New York"
"33",419231,420733,"The 'Plug Uglies'.","Gangs of New York"
"34",420900,423361,"The 'Shirt Tails'.","Gangs of New York"
"35",428240,429909,"The 'Chichesters'.","Gangs of New York"
"36",430076,432870,"The 'Forty Thieves'.","Gangs of New York"
"37",449053,451722,"On my challenge...","Gangs of New York"
"38",451931,457687,"by the ancient laws of combat, wehave met at this chosen ground...","Gangs of New York"
"39",457853,460272,"to settle, for good and all...","Gangs of New York"
"40",460439,464402,"who holds sway over the Five Points:","Gangs of New York"
"41",464735,470449,"Us Natives, born right-wiseto this fine land...","Gangs of New York"
"42",470616,473452,"or the foreign hordes defiling it.","Gangs of New York"
"43",477999,483170,"By the ancient laws of combat, I acceptthe challenge of the so-called Natives.","Gangs of New York"
"44",483337,485756,"You plague our people at every turn.","Gangs of New York"
"45",485923,488801,"But from this day out,you shall plague us no more.","Gangs of New York"
"46",488968,492763,"For let it be known that the hand thattries to strike us from this land...","Gangs of New York"
"47",492930,494640,"shall be swiftly cut down.","Gangs of New York"
"48",496809,500271,"Then may the Christian Lordguide my hand...","Gangs of New York"
"49",500438,502690,"against your Roman popery!","Gangs of New York"
"50",502857,505651,"Prepare to receive the true Lord!","Gangs of New York"
"51",628691,630609,"Priest!","Gangs of New York"
"52",678658,681077,"Look to me.","Gangs of New York"
"53",682411,685498,"Who is this under my knife?","Gangs of New York"
"54",693506,696008,"Father, get up. Get up!","Gangs of New York"
"55",696175,699762,"Where are you? Where are you?","Gangs of New York"
"56",701097,702640,"Oh, my son.","Gangs of New York"
"57",705935,709605,"Don't never look away.","Gangs of New York"
"58",716779,719448,"Soon be over, Priest.","Gangs of New York"
"59",721450,723452,"Finish it.","Gangs of New York"
"60",741470,744390,"You may need this across the river.","Gangs of New York"
"61",753316,756736,"Ears and noses will bethe trophies of the day.","Gangs of New York"
"62",757570,761407,"But no hand shall touch him!","Gangs of New York"
"63",763492,766329,"No hand shall touch him!","Gangs of New York"
"64",768372,771000,"He'll cross over whole...","Gangs of New York"
"65",772001,773711,"in honor.","Gangs of New York"
"66",773878,776589,"Not before I get what's owed.","Gangs of New York"
"67",783220,785222,"No!","Gangs of New York"
"68",786265,790770,"It's fair. A touch indelicate,but fair.","Gangs of New York"
"69",795399,797401,"My sympathies.","Gangs of New York"
"70",798319,799945,"What will we do with the boy?","Gangs of New York"
"71",800404,802573,"Look at me.","Gangs of New York"
"72",808245,809914,"Give him to the law.","Gangs of New York"
"73",810081,812792,"See he gets a good education.","Gangs of New York"
"74",813459,816420,"Okay, boy, say goodbye to your father.","Gangs of New York"
"75",823469,825680,"- Get him!- Get him!","Gangs of New York"
"76",826597,828099,"Don't let him get away.","Gangs of New York"
"77",828265,830768,"Hurry, come in here!","Gangs of New York"
"78",832937,834563,"He's going downstairs.","Gangs of New York"
"79",850955,852206,"Come here, boy.","Gangs of New York"
"80",852373,855292,"- You're going to Hellgate, son.- There he is. Get him.","Gangs of New York"
"81",855459,858462,"- Priest Vallon died a noble death...- Let go of me!","Gangs of New York"
"82",858629,864051,"...but his 'Dead Rabbits'is done and outlawed!","Gangs of New York"
"83",865803,870891,"Let no one even speak their namefrom this time on.","Gangs of New York"
"84",915561,921067,"In this place, you have grownfrom a boy into a man.","Gangs of New York"
"85",921902,925614,"Put to death the earthly thingsin you: Immorality, impurity...","Gangs of New York"
"86",926781,929408,"passion, vengeance.","Gangs of New York"
"87",929575,932912,"The Lord has forgiven you.","Gangs of New York"
"88",933079,936415,"You also must forgive.","Gangs of New York"
"89",937208,939877,"You go forth to a country tornapart by civil strife.","Gangs of New York"
"90",942254,944256,"Thank you, Reverend.","Gangs of New York"
"91",947301,950096,"Lend your hand to the workthat yet remains...","Gangs of New York"
"92",950262,952473,"that this war may end...","Gangs of New York"
"93",952640,956018,"and the plague of slavery thatbrought this conflagration...","Gangs of New York"
