"id","startTime","endTime","text","title"
"1",148520,150966,"Buenos días, Cecelio!","Get Hard"
"2",156039,158884,"Sir, I'm just saying, your ad says,""Bad credit, no problem.""","Get Hard"
"3",159039,160485,"So can you define ""no problem""?","Get Hard"
"4",160680,163001,"Because me not getting this loanis a problem.","Get Hard"
"5",163159,165322,"I'm sorry. That's whyI'm asking you to...","Get Hard"
"6",166599,169251,"- Sorry, Daddy.- That's okay, but that's just nasty.","Get Hard"
"7",170199,171724,"No, no, no. Not you, sir.","Get Hard"
"8",171879,175930,"Listen to this. What if I have everythingI need except the $30,000?","Get Hard"
"9",176079,178605,"Keep calm? Sir. Sir. Can you...?","Get Hard"
"10",178759,180762,"Ma'am. Okay. I couldn't tell.","Get Hard"
"11",180960,183804,"Aren't you supposed to bea predatory lender? Then prey on me!","Get Hard"
"12",183960,185723,"Okay? You're a lion, I'm a gazelle.","Get Hard"
"13",185879,188849,"Okay, fine. Fine. Do you know what?I'm putting my daughter on the phone.","Get Hard"
"14",189039,192088,"Explain to her why she has to goto school in a gangbanger school district...","Get Hard"
"15",192240,194765,"where they're murdering kids. Murdering!","Get Hard"
"16",195199,196247,"Here, you tell her.","Get Hard"
"17",196400,197889,"Hey, baby, do what I showed you.","Get Hard"
"18",199560,202290,"- Why do you want me to get murdered?- No.","Get Hard"
"19",202439,205125,"""Murdered. Why do you want meto get murdered?""","Get Hard"
"20",206159,207206,"They hung up.","Get Hard"
"21",207360,209806,"Because you're not doingwhat I told you to.","Get Hard"
"22",209960,213442,"- You are sick.- I'm not sick. It's called desperate.","Get Hard"
"23",214079,218085,"Baby, all we have to do is keep saving.","Get Hard"
"24",218240,220765,"I just need some love.Can you just hug me?","Get Hard"
"25",220920,222251,"Just kiss me?","Get Hard"
"26",222439,224043,"- Any better?- Awkward.","Get Hard"
"27",224479,226448,"Come on.Get your juice, and your book bag.","Get Hard"
"28",226599,228283,"I told you to hit the bull's-eye.","Get Hard"
"29",228479,230084,"How hard is it to cry, Makayla?","Get Hard"
"30",230240,232811,"""Murder. Murder.""","Get Hard"
"31",235599,237841,"- Watch out.- Move, old man.","Get Hard"
"32",238240,239843,"Is that weed?","Get Hard"
"33",240560,242288,"Hey, I want you to be safe, okay?","Get Hard"
"34",242439,245682,"Listen to me. Listen to me.You're not gonna be at this school forever.","Get Hard"
"35",245840,247807,"Daddy's working on it. I love you.","Get Hard"
