"id","startTime","endTime","text","title"
"1",140390,142654,"For the lady of the camellias.","Ghost Rider"
"2",145461,148658,"And they're almost twice as largeas usual.","Ghost Rider"
"3",148832,151801,"I shall have twice as manyas usual tomorrow.","Ghost Rider"
"4",151968,156337,"Twice as man...? Oh, don't listen to her,Barjon. I know what those things cost.","Ghost Rider"
"5",156506,160101,"Aren't you willing to listen to her whenshe orders hats and dresses from you?","Ghost Rider"
"6",160276,161800,"They're an investment.","Ghost Rider"
"7",161978,165311,"Of course, I order too many flowers,hats and too many everything.","Ghost Rider"
"8",165481,166812,"But I want them.","Ghost Rider"
"9",166983,168575,"To the theater.","Ghost Rider"
"10",172155,175989,"And there's no limit to your extravagance.Now, you won't be young forever.","Ghost Rider"
"11",176159,179151,"It's high time you settle somethingabout your future.","Ghost Rider"
"12",179662,182426,"And I know the very man for you.","Ghost Rider"
"13",182599,185329,"- Really?- Yes, really.","Ghost Rider"
"14",186502,188663,"Aren't you interestedto know who it is?","Ghost Rider"
"15",188838,190203,"Oh, yes, who is it?","Ghost Rider"
"16",190373,196278,"The Baron de Varville, one of the richestand most elegant gentlemen in Paris.","Ghost Rider"
"17",196446,198676,"One foot in the graveand a wig on his head.","Ghost Rider"
"18",198848,202716,"Not at all. Not at all. Quite the contrary.He's young and handsome.","Ghost Rider"
"19",202886,206083,"I heard from one of the girls in my shopwho heard from his valet...","Ghost Rider"
"20",206256,210693,"...he's gonna be at the theater tonight.That's why I wanted you to look your best.","Ghost Rider"
"21",246529,248019,"Come here.","Ghost Rider"
"22",248197,249425,"I want to send a note.","Ghost Rider"
"23",249599,253330,"And I'll give you a handsome tipif you get it to the right person.","Ghost Rider"
"24",253503,255300,"Do you know the Baron de Varville?","Ghost Rider"
"25",255471,257371,"- Yes, madame.- Good.","Ghost Rider"
"26",270019,272078,"Well, that's done.","Ghost Rider"
"27",272822,274312,"We go this way.","Ghost Rider"
"28",280063,283658,"My dear, you're as goodas a baroness already.","Ghost Rider"
"29",283833,285858,"Don't forget. I arranged it all.","Ghost Rider"
"30",286035,289527,"- Where are we sitting?- Box A, of course. I always ask for Box A.","Ghost Rider"
"31",289706,292903,"The baron can't miss it.Come, come, old dear, open Box A.","Ghost Rider"
"32",293076,294771,"- Someone else is in there.- What?","Ghost Rider"
"33",294944,298243,"- Good evening. Let me see your ticket.- Here.","Ghost Rider"
"34",298414,301508,"- Why, this says Box B.- I asked for Box A.","Ghost Rider"
"35",301684,304152,"If you'd wear your spectacles,you'd see what you get.","Ghost Rider"
"36",304320,306151,"- None of your lip.- Not so much fuss.","Ghost Rider"
"37",306322,309485,"- Wait, who's in there?- A friend of yours.","Ghost Rider"
"38",311828,313056,"- Olympe.- Olympe.","Ghost Rider"
"39",313229,314719,"Right.","Ghost Rider"
"40",314897,317127,"Well, what's so funny about it,I'd like to know.","Ghost Rider"
"41",317300,319768,"How you arranged everything for Olympe.","Ghost Rider"
"42",319936,323064,"That cat. If you think I'm going to let...","Ghost Rider"
"43",323239,326436,"...a cheating, lying wretch like thatupset my plans, you're wrong.","Ghost Rider"
"44",326609,331376,"- She's got to change places with us.- Well, fight it out, ladies.","Ghost Rider"
"45",333683,337881,"- My angel.- Marguerite, darling.","Ghost Rider"
"46",338054,342218,"Oh, how are you, my dear?How beautiful we look this evening.","Ghost Rider"
"47",342392,344622,"- Nice perfume. What is it?- That's my secret.","Ghost Rider"
"48",344794,350357,"- And how are you, you old robber?- You're great for teasing, aren't you?","Ghost Rider"
"49",350533,354526,"Is there any point in our staying out herein this draft?","Ghost Rider"
"50",354704,358333,"Oh, look here, Olympe, there's beena little mistake about our tickets...","Ghost Rider"
"51",358508,361602,"...and we want youto change boxes with us.","Ghost Rider"
"52",361778,363302,"Why?","Ghost Rider"
"53",363479,366971,"I can't understand why you must sitin this box when yours is just as good.","Ghost Rider"
"54",367150,369778,"Well, you know Prudence.She's a woman full of secrets.","Ghost Rider"
"55",369952,372079,"Even changing her corsetis a great mystery.","Ghost Rider"
"56",372255,374553,"Some things have to be a mystery.","Ghost Rider"
"57",374724,378751,"But if you'll do what I ask you to do,I'll send you that fur toque for a present.","Ghost Rider"
"58",378928,381260,"It's a bargain.During the intermission, I'll move.","Ghost Rider"
"59",381431,382455,"Come here, Marguerite.","Ghost Rider"
"60",394911,397607,"A note for Monsieur le Baron.","Ghost Rider"
"61",410660,413720,"- Which is Box A?- There, Monsieur le Baron. At the left.","Ghost Rider"
"62",414564,415826,"Show me to my seat.","Ghost Rider"
"63",415998,418228,"Doesn't Monsieur le Baronwish to send an answer?","Ghost Rider"
"64",418401,421700,"I'll wait and decide that later.","Ghost Rider"
"65",457440,460671,"My dear, do you see that gentlemanstanding up?","Ghost Rider"
"66",460843,463539,"- Which one?- In the second row on the aisle.","Ghost Rider"
"67",470253,472414,"- Yes. Do you know him?- I know who he is.","Ghost Rider"
"68",472588,475887,"He's the fabulously rich de Varville,Baron de Varville.","Ghost Rider"
"69",480229,482993,"I didn't know that rich menever looked like that.","Ghost Rider"
"70",483166,485634,"This one does. He's looking at us.","Ghost Rider"
"71",485801,487098,"He's seen us looking at him.","Ghost Rider"
"72",496879,499746,"I've changed my mind, Prudence.You can keep your fur toque.","Ghost Rider"
"73",499916,503784,"The Baron de Varville is on his way to thisbox, and I'm going to stay and meet him.","Ghost Rider"
"74",503953,505978,"But he's coming here to meet me.","Ghost Rider"
"75",506155,509852,"- So that's what you had up your sleeve.- I invited him to join us here myself.","Ghost Rider"
"76",510026,513655,"Nothing could be better. Thank you,my dear Prudence, for arranging it.","Ghost Rider"
"77",513829,517356,"But having done so much,you really must let me receive him alone.","Ghost Rider"
"78",517533,521299,"- Unfortunately, I like him too.- Why unfortunately?","Ghost Rider"
"79",521470,524098,"Because his eyes have made love to meall evening.","Ghost Rider"
"80",524273,529210,"That's a lie. He barely glanced at you.I never took my glasses from his face...","Ghost Rider"
"81",529378,531846,"...except for an instantto let him see mine.","Ghost Rider"
"82",532014,534676,"Perhaps that was the instanthe smiled at me.","Ghost Rider"
"83",534850,537614,"He did not smile at you,and he won't meet you here.","Ghost Rider"
"84",537787,540756,"- Then he must look for me somewhere else.- Sit down, Marguerite.","Ghost Rider"
"85",540923,545360,"Listen, Olympe, I appeal to your senseof honor, if you have such a thing.","Ghost Rider"
"86",545528,548588,"Oh, shut up, you old woman.Get out before I have you dragged out.","Ghost Rider"
"87",548764,551597,"Come, come, Prudence.You really are a fool, Olympe.","Ghost Rider"
"88",551767,553564,"You're the fool.","Ghost Rider"
"89",555004,557564,"You know that Prudenceis nothing but an old vulture.","Ghost Rider"
"90",557740,561267,"Vulture! She called me a vulture.","Ghost Rider"
