"id","startTime","endTime","text","title"
"1",411827,413829,"What do we care if we were expelled?","Gone with the Wind"
"2",414079,416872,"The war's gonna start,so we would've left anyhow.","Gone with the Wind"
"3",417125,418834,"War! Isn't it exciting, Scarlett?","Gone with the Wind"
"4",419043,421586,"- Those fool Yankees want a war.- We'll show them!","Gone with the Wind"
"5",421838,424505,"Fiddle-dee-dee. War, war, war!","Gone with the Wind"
"6",424757,427591,"This war talk's spoilingall the fun at every party.","Gone with the Wind"
"7",427802,430177,"I get so bored I could scream.","Gone with the Wind"
"8",430387,432596,"Besides, there isn'tgoing to be any war.","Gone with the Wind"
"9",432848,435766,"- Not gonna be any war?- Of course there'll be a war.","Gone with the Wind"
"10",436018,438478,"If either of you boyssays ""war"" once again...","Gone with the Wind"
"11",438728,440021,"I'll go in the house.","Gone with the Wind"
"12",440273,443315,"- But, Scarlett!- Don't you want us to have a war?","Gone with the Wind"
"13",443526,446485,"- Wait a minute, honey, please!- We're sorry.","Gone with the Wind"
"14",449156,450740,"Well...","Gone with the Wind"
"15",451617,454619,"But remember, I warned you.","Gone with the Wind"
"16",454870,456204,"I've got an idea!","Gone with the Wind"
"17",456456,458874,"We'll talk about the Wilkes' barbecueat Twelve Oaks.","Gone with the Wind"
"18",459125,461543,"You're eating barbecue with us,aren't you?","Gone with the Wind"
"19",461752,464754,"I haven't thought about that yet.I'll think about that tomorrow.","Gone with the Wind"
"20",464922,466088,"We want all your waltzes.","Gone with the Wind"
"21",466257,468675,"First Brent, then me,then Brent, and so on.","Gone with the Wind"
"22",468925,471636,"- Promise?- Why, I'd just love to.","Gone with the Wind"
"23",471887,475389,"If only I didn't have every oneof them taken already.","Gone with the Wind"
"24",475641,478393,"- You can't do that to us!- We'll tell you a secret.","Gone with the Wind"
"25",478603,479769,"A secret? Who by?","Gone with the Wind"
"26",480021,481646,"You know Melanie Hamilton?","Gone with the Wind"
"27",481898,484315,"Ashley Wilkes' cousin?She's visiting...","Gone with the Wind"
"28",484524,487276,"That goody-goody!Who wants to know about her?","Gone with the Wind"
"29",487528,489028,"Anyway, we heard... They say...","Gone with the Wind"
"30",489279,491322,"Ashley Wilkes is gonna marry her.","Gone with the Wind"
"31",491574,495160,"- Wilkeses always marry their cousins.- Do we get those waltzes?","Gone with the Wind"
"32",495369,496827,"Of course.","Gone with the Wind"
"33",502293,505211,"- It can't be true! Ashley loves me!- Scarlett!","Gone with the Wind"
"34",506422,509716,"- What's gotten into her?- Suppose we made her mad?","Gone with the Wind"
"35",509966,513636,"Where are you going without yourshawl and the night air coming?","Gone with the Wind"
"36",513888,516347,"How come you didn't ask themgentlemen to supper?","Gone with the Wind"
"37",516599,518807,"You got no more mannersthan a field hand.","Gone with the Wind"
"38",519018,521644,"After me and Miss Ellendone labored with you!","Gone with the Wind"
