"id","startTime","endTime","text","title"
"1",112680,116250,"ZACH:""Madison, Delaware."" Wow.","Goosebumps"
"2",116283,118551,"Mom, are you positive thereweren't any other places","Goosebumps"
"3",118585,119954,"looking forvice principals?","Goosebumps"
"4",119986,121421,"Like where?","Goosebumps"
"5",121454,122790,"Guantanamo Bay?","Goosebumps"
"6",122822,124391,"Ooh, too hot.","Goosebumps"
"7",124424,125825,"North Korea?No.","Goosebumps"
"8",125859,127427,"They didn't call me back.","Goosebumps"
"9",127460,128929,"[SCOFFS]","Goosebumps"
"10",128962,130296,"Detroit?","Goosebumps"
"11",161628,162997,"This is it.","Goosebumps"
"12",163030,166300,"Come on, come on.","Goosebumps"
"13",168635,169836,"Look. A yard.","Goosebumps"
"14",169870,171538,"You'd never get thisin New York.","Goosebumps"
"15",171572,173540,"You don't have to keepselling me on this place.","Goosebumps"
"16",173574,176409,"I'm staying because I love you.Aw, I love you too.","Goosebumps"
"17",176442,177877,"And I looked into it.","Goosebumps"
"18",177912,180848,"Legally, I can't liveon my own until I'm 18.","Goosebumps"
"19",211412,212812,"Look at this kitchen.","Goosebumps"
"20",212846,214615,"It's biggerthan our apartment.","Goosebumps"
"21",214647,216283,"We don't cook.","Goosebumps"
"22",216317,217817,"Well, look at allthis counter space","Goosebumps"
"23",217850,220753,"to put the takeout on.Whew.","Goosebumps"
"24",220788,222622,"Do you hear that?","Goosebumps"
"25",222656,224390,"No, I don't hearanything.","Goosebumps"
"26",224425,226293,"Exactly.","Goosebumps"
"27",226326,227927,"[DOOR SLAMS]WOMAN: Live from New York,","Goosebumps"
"28",227961,229295,"it's my sister Gale!","Goosebumps"
"29",229329,231064,"With special guest,my nephew Zach.","Goosebumps"
"30",231098,233366,"Get in here with a hug!Hey. Oh.","Goosebumps"
"31",233400,234701,"Oh, it's anSNL
reference.","Goosebumps"
"32",234735,235969,"Oh, yeah.You lived in New York.","Goosebumps"
"33",236002,237604,"Okay, yeah.Oh, my goodness!","Goosebumps"
"34",237638,238805,"Look at you![LAUGHS]","Goosebumps"
"35",238838,240608,"You're notin any color.","Goosebumps"
"36",240640,242342,"Hey.We should change that.","Goosebumps"
"37",242376,243943,"Oh, my God.It's good to see you.","Goosebumps"
"38",243978,245712,"Wow, you too.Okay. Let me take him in.","Goosebumps"
"39",245746,249349,"Oh, my gosh. He gets morehandsome every time I see him.","Goosebumps"
"40",249383,251518,"So good-looking.Thank you, Aunt Lorraine.","Goosebumps"
"41",251551,253353,"He's just a beautiful boy.","Goosebumps"
"42",253387,255322,"Thank God, because you were suchan ugly baby.","Goosebumps"
"43",255355,256790,"There it is.Oh, Lorraine.","Goosebumps"
"44",256824,258324,"What? It's fine.He's handsome now.","Goosebumps"
"45",258358,260093,"It's not likehe's gonna go ugly,","Goosebumps"
"46",260127,262629,"handsome and thenback to ugly.","Goosebumps"
"47",262663,264964,"No. The danger's past.","Goosebumps"
"48",264999,266500,"Oh, I almost forgot.","Goosebumps"
"49",266533,268502,"I got a present for you,because I'm a cool aunt.","Goosebumps"
"50",268535,270504,"This is from my newsignature men's line.","Goosebumps"
"51",270536,272439,"Ooh.Check it out.","Goosebumps"
"52",272473,274007,"Awesome.","Goosebumps"
"53",274040,275975,"It's limited edition,so you're not gonna see","Goosebumps"
"54",276009,277711,"a lot of menwearing that hat.","Goosebumps"
"55",277745,280014,"Yeah, no, I can't imagineanyone would be wearing it.","Goosebumps"
"56",280047,281882,"It's so limited edition.","Goosebumps"
"57",281915,283483,"Try it on.Make sure it fits.","Goosebumps"
"58",283516,284817,"Try it on right now? Okay.","Goosebumps"
"59",284851,287687,"Yeah, take her for a spin.Vroom, vroom, vroom.","Goosebumps"
"60",287721,289122,"BOTH:Aww!","Goosebumps"
"61",289156,292026,"Oh, yes. Look at that.I mean, come on. That is it.","Goosebumps"
"62",292058,293627,"Okay.","Goosebumps"
"63",293661,297363,"Um, I'm gonna go unload someboxes now, and see you around.","Goosebumps"
"64",297398,299699,"Oh, honey. Leave the hat on.I don't want you to burn.","Goosebumps"
"65",299733,301935,"Mm. And you look good with iton.","Goosebumps"
"66",301968,303603,"Thank you. Cool.","Goosebumps"
"67",316783,318819,"[SIGHS]","Goosebumps"
"68",318851,321021,"GIRL:Smooth.","Goosebumps"
"69",327060,329997,"So you're the new neighbor?","Goosebumps"
"70",330029,332031,"Yeah. Nice to meet you.","Goosebumps"
