"id","startTime","endTime","text","title"
"1",72572,74739,"I'm real sorry about Dorothy, Walt.","Gran Torino"
"2",75408,77492,"She was a real peach.","Gran Torino"
"3",77659,78911,"Thanks for coming, Al.","Gran Torino"
"4",87378,89254,"Father, Son, Holy Spirit.","Gran Torino"
"5",92133,95093,"Father. Spirit.","Gran Torino"
"6",100015,101432,"Uh.","Gran Torino"
"7",101600,103185,"Holy Spirit.","Gran Torino"
"8",103353,105145,"It's okay, I can move down.","Gran Torino"
"9",108566,110901,"Spectacles, testicles, wallet, and watch.","Gran Torino"
"10",118951,122120,"Look at the way the old manglared at Ashley.","Gran Torino"
"11",122287,125206,"Can't even tone it downfor Mom's funeral.","Gran Torino"
"12",125917,129002,"What do you expect?Dad's still living in the '50s.","Gran Torino"
"13",129169,131963,"He expects his granddaughterto dress a little more modestly.","Gran Torino"
"14",132132,135467,"Well, your kid's wearing a Lions jersey.I'm sure Dad appreciates that.","Gran Torino"
"15",135634,139680,"The point is that there's nothing anyonecan do that won't disappoint the old man.","Gran Torino"
"16",139848,142056,"It's inevitable.","Gran Torino"
"17",144853,147228,"You know, that's why we stoppeddoing Thanksgivings.","Gran Torino"
"18",147396,152609,"You know, that deal with the boat motor,the broken birdbath. It's always something.","Gran Torino"
"19",152776,154194,"What are we gonna do with him?","Gran Torino"
"20",154361,158656,"Don't you think he's gonna get in trouble,all by himself in the old neighborhood?","Gran Torino"
"21",160742,163537,"Well, why don't you have himmove in with you?","Gran Torino"
"22",164997,166372,"Ha, ha, ha.","Gran Torino"
"23",166540,168457,"Hey. Shh.","Gran Torino"
"24",185935,190897,"Death is often a bittersweet occasionto us Catholics.","Gran Torino"
"25",191274,196444,"Bitter in the pain, sweet in the salvation.","Gran Torino"
"26",196612,202742,"Bitter in the pain it causes the deceasedand their families.","Gran Torino"
"27",203286,208789,"Sweet to those of uswho know the salvation that awaits.","Gran Torino"
"28",209292,212711,"And some may ask, ""What is death?","Gran Torino"
"29",213295,215379,"Is it the end?","Gran Torino"
"30",216049,217799,"Or is it the beginning?","Gran Torino"
"31",218800,223555,"And what is life?What is this thing we call life?""","Gran Torino"
"32",225182,227768,"- All these questions can frustrate you.Ashley, stop it.","Gran Torino"
"33",228561,230478,"That's why you have to turn to the Lord.","Gran Torino"
"34",230646,231729,"Jesus.","Gran Torino"
"35",231897,234399,"Because the Lord is the sweetness...","Gran Torino"
"36",238070,241990,"This is so good.Did you have a chance to call Martha?","Gran Torino"
"37",250707,253460,"Is that Dad?No. That's Grandpa Walt.","Gran Torino"
"38",253627,259007,"""Third platoon, E company,March 2nd, 1952, Korea""?","Gran Torino"
"39",259175,260968,"Where's Korea?","Gran Torino"
"40",264680,266682,"A lot of people showed upafter the service.","Gran Torino"
"41",266848,269685,"Well, I suppose they heardthere's gonna be a lot of ham.","Gran Torino"
"42",269851,272144,"I'll go down in the basementand get some chairs.","Gran Torino"
"43",272312,275356,"- Oh, I can do that, Dad.- No, I need them now, not next week.","Gran Torino"
"44",280654,282781,"Cool, I found a medal. Look at this.","Gran Torino"
"45",305137,307221,"How much longer do we have to stay?","Gran Torino"
"46",307389,311310,"This ghetto is a dead zone for my cell,and I'm bored.","Gran Torino"
"47",311476,314187,"Ashley, why don't you gohelp Grandpa Walt with the chairs?","Gran Torino"
"48",314355,317106,"- Me?- Yes, you. Go. Go help him.","Gran Torino"
"49",319110,321903,"Grandpa Walt,would you like some help with this?","Gran Torino"
"50",322071,323196,"With your chairs?","Gran Torino"
"51",323363,326574,"No. You probably just painted your nails.","Gran Torino"
"52",329202,334040,"Honey, come here.Okay, well, your dad is driving me crazy.","Gran Torino"
"53",336209,339004,"- Why did you make me do that?It's okay. We're leaving soon.","Gran Torino"
"54",339172,341840,"Hey, girl. Come on.","Gran Torino"
"55",342007,345427,"Come on. Come on.","Gran Torino"
"56",345845,347803,"Come with me.","Gran Torino"
