"id","startTime","endTime","text","title"
"1",55500,57002,"Somebody asked me:","Groundhog Day"
"2",57252,60506,"""Phil, if you could be anywhere,where would you be?""","Groundhog Day"
"3",60756,63299,"I said to him,""Probably right here...","Groundhog Day"
"4",63549,66637,"...Elko, Nevada.""Our nation's high at 79 today.","Groundhog Day"
"5",66929,69555,"In California, they'll havewarm weather tomorrow...","Groundhog Day"
"6",69807,72433,"...gang wars and someoverpriced real estate.","Groundhog Day"
"7",72683,75521,"In the Pacific Northwest,they'll have some...","Groundhog Day"
"8",75813,77438,"...very, very tall trees.","Groundhog Day"
"9",77688,80234,"Clear across the Rockiesand Great Plains.","Groundhog Day"
"10",80484,82902,"But look out, here comes trouble.","Groundhog Day"
"11",85072,86114,"Oh, boy!","Groundhog Day"
"12",86698,88492,"Front coming our way!Look out!","Groundhog Day"
"13",88950,92537,"What will that mean to us?One of these big blue things!","Groundhog Day"
"14",92787,96667,"This cold, frigid arctic air,this big mass out of the north.","Groundhog Day"
"15",97584,100878,"It'll meet up with all thismoisture out of the Gulf.","Groundhog Day"
"16",101129,103507,"They'll mix at high altitudesand cause snow.","Groundhog Day"
"17",104216,109221,"It won't hit us here in Pittsburgh.It'll push off and hit Altoona.","Groundhog Day"
"18",109429,110514,"Close call!","Groundhog Day"
"19",110764,112432,"Let's look at the five-day.","Groundhog Day"
"20",113099,116061,"As you can see, nothing to betoo scared about.","Groundhog Day"
"21",116561,120022,"Bundle up warm, but you canleave your galoshes at home.","Groundhog Day"
"22",120231,122984,"I won't be here at 10:00.Tomorrow's Groundhog Day.","Groundhog Day"
"23",123234,127739,"I'll be in Punxsutawney for ourcountry's oldest Groundhog Festival.","Groundhog Day"
"24",127989,131200,"According to the legend,tomorrow, February 2nd...","Groundhog Day"
"25",131492,134204,"...if the groundhog wakesand sees his shadow...","Groundhog Day"
"26",134413,136539,"...we've got six more weeksof winter.","Groundhog Day"
"27",136831,137875,"Sounds like fun.","Groundhog Day"
"28",138125,141670,"You must really enjoy it.This is your third year in a row.","Groundhog Day"
"29",141920,143171,"Four, Nan.","Groundhog Day"
"30",143421,144381,"Four.","Groundhog Day"
"31",144631,145799,"Thanks, Phil.","Groundhog Day"
"32",146258,150721,"Next, our entertainment editorlooks at sex and violence in movies.","Groundhog Day"
"33",150971,152055,"Stay with us.","Groundhog Day"
"34",155141,156183,"We're clear.","Groundhog Day"
"35",156435,158312,"Have fun in Punxsutawney.","Groundhog Day"
"36",159312,164317,"For your information, Hairdo,a major network is interested in me.","Groundhog Day"
"37",164567,167194,"That would be theHome Shopping Network.","Groundhog Day"
"38",168572,171240,"Thanks, Larry.Go wait in the van.","Groundhog Day"
"39",171824,174328,"That was nice, Phil.""Big trees""!","Groundhog Day"
"40",174578,175454,"Stop, Kenny.","Groundhog Day"
"41",175662,178331,"Look, can you handlethe 10:00 or not?","Groundhog Day"
"42",178664,182711,"If you don't want to rush back,I can do the 5:00 tomorrow.","Groundhog Day"
"43",182961,185923,"Stay an extra second in Punxsutawney?Please!","Groundhog Day"
"44",186173,188383,"Rita thinks it'd bea great idea...","Groundhog Day"
"45",188634,192012,"...to stay for other events.You'll get incredible footage.","Groundhog Day"
"46",192262,194598,"The people and the fun.The excitement!","Groundhog Day"
"47",194848,198018,"You haven't worked with her yet.She's really nice.","Groundhog Day"
"48",198225,201396,"I think she'll bea really good producer.","Groundhog Day"
"49",201646,204066,"You guys are going to have fun.","Groundhog Day"
"50",206360,210530,"She's fun. But not my kind of fun.I'll be here for the 5:00.","Groundhog Day"
"51",272675,274636,"Can you keep a secret, Larry?","Groundhog Day"
"52",275387,277346,"I'm probably leaving PBH.","Groundhog Day"
"53",277805,280433,"So this will be the last time...","Groundhog Day"
"54",280766,282269,"...we do the Groundhog together.","Groundhog Day"
"55",283103,285771,"What's wrong withthe Groundhog Festival?","Groundhog Day"
"56",286021,287106,"In San Diego...","Groundhog Day"
"57",287356,291026,"...I covered the swallows returningto Capistrano for six years.","Groundhog Day"
"58",291694,295865,"Someone will see me interviewa groundhog and think I have no future.","Groundhog Day"
"59",296074,298159,"I think it's a nice story.","Groundhog Day"
"60",298409,301204,"He comes out.He looks around.","Groundhog Day"
"61",301413,303165,"He wrinkles up his nose.","Groundhog Day"
"62",303415,307209,"He sees his shadow or not.It's nice! People like it!","Groundhog Day"
"63",307459,309838,"You are new, aren't you?","Groundhog Day"
"64",310547,312716,"People like blood sausage too.","Groundhog Day"
"65",313300,314466,"People are morons!","Groundhog Day"
"66",315093,316720,"Nice attitude.","Groundhog Day"
"67",316970,321307,"Look in the mirror and see how youlook when you do that groundhog thing.","Groundhog Day"
"68",321557,322725,"For me? Once?","Groundhog Day"
"69",322934,326730,"He comes out, and there helooks at his little shadow.","Groundhog Day"
"70",328148,330024,"Want some blood sausage?I have some...","Groundhog Day"
"71",330233,332151,"I like blood sausage.","Groundhog Day"
"72",391418,392963,"Rita, I can't stay here.","Groundhog Day"
"73",394505,395757,"Prima donna.","Groundhog Day"
"74",396423,398218,"- What's the matter?- I hate this place.","Groundhog Day"
"75",398425,401096,"I stayed here two years ago.I was miserable.","Groundhog Day"
"76",401303,403932,"- I won't stay here.- You're not staying here.","Groundhog Day"
"77",404182,405307,"I'm not?","Groundhog Day"
"78",406308,407560,"Larry's dropping me off.","Groundhog Day"
"79",407769,410355,"I booked you ina nice bed and breakfast.","Groundhog Day"
"80",411439,412564,"Great.","Groundhog Day"
"81",413483,416985,"I think this is one of the traitsof a good producer.","Groundhog Day"
"82",417278,418947,"Keep the talent happy.","Groundhog Day"
"83",419363,420656,"Anything I can do.","Groundhog Day"
"84",421031,423451,"Would you help mewith my pelvic tilt?","Groundhog Day"
"85",425370,428997,"Within reason. Want to cometo dinner with Larry and me?","Groundhog Day"
"86",429708,432418,"No, thank you.I've seen Larry eat.","Groundhog Day"
"87",434838,437548,"You get your sleep.See you in the morning.","Groundhog Day"
"88",438425,439800,"Don't be late.","Groundhog Day"
"89",442095,444596,"Did he actually call himself""the talent""?","Groundhog Day"
"90",472875,476336,"Campers, rise and shine!Don't forget your booties.","Groundhog Day"
"91",476588,479382,"- It's cold out there!- It's cold every day!","Groundhog Day"
"92",479591,481884,"- Is this Miami Beach?- Not hardly!","Groundhog Day"
"93",482134,484928,"Expect hazardous travellater today with...","Groundhog Day"
"94",485180,486598,"...that blizzard thing.","Groundhog Day"
"95",486848,489975,"That blizzard thing.Here's the report.","Groundhog Day"
"96",490225,494564,"The National Weather Serviceis calling for a big blizzard thing.","Groundhog Day"
"97",494771,497567,"There's another reasontoday's especially ex citing...","Groundhog Day"
"98",497774,499526,"Especially cold.","Groundhog Day"
