"id","startTime","endTime","text","title"
"1",38300,40887,"('Come Back' by J Geils Band)","Grown Ups"
"2",45805,53758,"Grown ups 2010Subtitles by greeneagle5","Grown Ups"
"3",63900,68899,"when you left meall alone","Grown Ups"
"4",70737,73226,"Double dribble- Why? because I'm black","Grown Ups"
"5",74099,75800,"Yeah, that's what I thought","Grown Ups"
"6",75801,82270,"on my owntell me and tell me, whatcha gonna do?","Grown Ups"
"7",82271,86125,"tell me pretty babybecause I'm still in love with you","Grown Ups"
"8",86126,93584,"come back (baby)come back (won't you come back to me)","Grown Ups"
"9",93585,97999,"come back (baby)come back","Grown Ups"
"10",98000,102000,"Ten seconds leftCome on! we need a basket","Grown Ups"
"11",102005,104663,"Play onePlay one","Grown Ups"
"12",105000,108663,"Kurt, Kurt, KurtHere","Grown Ups"
"13",110400,111770,"Bring it in","Grown Ups"
"14",111999,114000,"Banks open Lenny","Grown Ups"
"15",117690,118740,"Great hoop","Grown Ups"
"16",119600,121810,"His foot was on the line","Grown Ups"
"17",129664,132366,"First off, I'd like to thankthe Earnshaw family for...","Grown Ups"
"18",133387,137010,"Lending us their beautiful lake houseto help us celebrate our victory","Grown Ups"
"19",137400,142015,"Yeah! the Fernando fiveis Dyn-o-mite!","Grown Ups"
"20",142195,144856,"You're drunk Dad- Yeah","Grown Ups"
"21",146077,149980,"Hey, we're here to celebratethe kids shots, not your shots","Grown Ups"
"22",151682,155024,"Anyway, I want to talk aboutwhat you kids did this afternoon","Grown Ups"
"23",155765,160068,"You know, you played the gamejust like I always asked you to","Grown Ups"
"24",160408,163030,"You left everything you hadout there on that court","Grown Ups"
"25",163451,166553,"So when the final buzzer went off","Grown Ups"
"26",167694,169275,"You were champions","Grown Ups"
"27",169376,171277,"I want you to promise me something","Grown Ups"
"28",171457,175680,"I want you to play lifejust like you played that game today","Grown Ups"
"29",176421,181045,"So when that final buzzer of life goes off","Grown Ups"
"30",182426,184327,"You'll have no regrets","Grown Ups"
"31",184988,186489,"Here's to coach","Grown Ups"
"32",193475,196017,"You're my first championsmy first champions","Grown Ups"
"33",197398,198448,"Stick together","Grown Ups"
"34",198449,200520,"time to die!","Grown Ups"
"35",205004,208347,"I am the biggest agent in Hollywoodand you just pissed me off!","Grown Ups"
"36",208607,210707,"and now I'll pull Brad pitt from your movie","Grown Ups"
"37",211009,214031,"I'll pull Julia Roberts from your movie!I don't care Sandy","Grown Ups"
"38",214532,216833,"That's right.You better back down","Grown Ups"
"39",216834,218454,"Thank you","Grown Ups"
"40",218455,220925,"Have a good Fourth of Julyall right, love you too","Grown Ups"
"41",221417,222598,"What's up boys?","Grown Ups"
"42",222939,224039,"Hey!","Grown Ups"
"43",224059,225400,"Greggy, Keithie","Grown Ups"
