"id","startTime","endTime","text","title"
"1",54679,66679,"Fixed & Synced by bozxphd. Enjoy The Flick.","Guardians of the Galaxy Vol. 2"
"2",67680,71228,"There's a girl in this harbor town.","Guardians of the Galaxy Vol. 2"
"3",71400,74358,"And she works layin' whiskey down.","Guardians of the Galaxy Vol. 2"
"4",75079,78867,"They say, ""Brandy, fetch another round"".","Guardians of the Galaxy Vol. 2"
"5",79039,81998,"And she serves them whiskey and wine.","Guardians of the Galaxy Vol. 2"
"6",82239,86198,"The sailors say""Brandy, you're a fine girl"".","Guardians of the Galaxy Vol. 2"
"7",86359,90147,"""What a good wife you would be"".","Guardians of the Galaxy Vol. 2"
"8",101280,103156,"- Come on!- Slow down!","Guardians of the Galaxy Vol. 2"
"9",103240,105230,"This way, my river lily! Come on!","Guardians of the Galaxy Vol. 2"
"10",108039,109188,"Where are you taking me?","Guardians of the Galaxy Vol. 2"
"11",109359,110359,"Come on, come on.","Guardians of the Galaxy Vol. 2"
"12",110879,112710,"Look. Look!","Guardians of the Galaxy Vol. 2"
"13",112920,114876,"Oh, it's beautiful!","Guardians of the Galaxy Vol. 2"
"14",115039,117031,"I was afraidit wouldn't take to the soil...","Guardians of the Galaxy Vol. 2"
"15",117240,118514,"but it rooted quickly.","Guardians of the Galaxy Vol. 2"
"16",118719,121280,"And soon, it'll be everywhere.","Guardians of the Galaxy Vol. 2"
"17",121519,124512,"All across the universe.","Guardians of the Galaxy Vol. 2"
"18",125879,127870,"Well, I don't know whatyou're talking about...","Guardians of the Galaxy Vol. 2"
"19",128039,129632,"but I like the way you say it.","Guardians of the Galaxy Vol. 2"
"20",130080,131478,"My heart is yours...","Guardians of the Galaxy Vol. 2"
"21",132599,134192,"Meredith Quill.","Guardians of the Galaxy Vol. 2"
"22",135400,138710,"I can't believe I fell in lovewith a spaceman.","Guardians of the Galaxy Vol. 2"
"23",191439,193475,"Showtime, a-holes!","Guardians of the Galaxy Vol. 2"
"24",194039,196429,"It will be here any minute.","Guardians of the Galaxy Vol. 2"
"25",196599,198352,"Which will be its loss.","Guardians of the Galaxy Vol. 2"
"26",198560,199959,"I thought your thing was a sword?","Guardians of the Galaxy Vol. 2"
"27",200199,202280,"We've been hired to stopan interdimensional beast...","Guardians of the Galaxy Vol. 2"
"28",202439,205120,"from feeding on those batteries,and I'm gonna stop it with a sword?","Guardians of the Galaxy Vol. 2"
"29",205280,207360,"It's just, swords were your thingand guns were mine.","Guardians of the Galaxy Vol. 2"
"30",207400,210118,"But I guess we're both doing guns now.I just didn't know that.","Guardians of the Galaxy Vol. 2"
"31",210360,213635,"Drax, why aren't you wearingone of Rocket's aero-rigs?","Guardians of the Galaxy Vol. 2"
