"id","startTime","endTime","text","title"
"1",128325,132038,"Black cats and goblinsand broomsticks and ghosts.","Halloween"
"2",132247,135625,"Pumpkins of witches are there to roast.","Halloween"
"3",135625,139128,"You may think, they scare me.You're probably right.","Halloween"
"4",139128,142132,"Black cats and goblinson Halloween night.","Halloween"
"5",142132,143841,"Trick-or-treat!!!","Halloween"
"6",164528,168033,"My parents won't be home until ten.- Are you sure?","Halloween"
"7",177751,179252,"We're all alone, aren't we?","Halloween"
"8",180127,182046,"Michael's around someplace ...","Halloween"
"9",183423,185217,"Take off that thing.","Halloween"
"10",187635,189638,"Let's go upstairs.- Ok.","Halloween"
"11",272052,273721,"Look, Judith, it's very late.","Halloween"
"12",273721,275055,"I gotta go.","Halloween"
"13",275055,276641,"Will you call me tomorrow?","Halloween"
"14",277350,279351,"Yeah, sure.- Promise?","Halloween"
"15",279351,280353,"Yeah.","Halloween"
"16",347920,349422,"Michael?","Halloween"
"17",389254,390754,"Michael?","Halloween"
"18",465454,467540,"Ever done anything like this before?","Halloween"
"19",468750,470627,"Only minimum security.","Halloween"
"20",471043,472420,"I see.","Halloween"
"21",474548,477925,"The driveway's a few hundred yardsup on the right.","Halloween"
"22",479845,482848,"The only thing that ever bothers meis their jibberish.","Halloween"
"23",483514,486517,"When they start raving on and on ...","Halloween"
"24",486725,489228,"You haven't anything to worry about.","Halloween"
"25",489521,493024,"He hasn't spoken a word in 15 years.","Halloween"
"26",493733,495735,"Are there any special instructions?","Halloween"
"27",496319,499156,"Just try to understandwhat we're dealing with here.","Halloween"
"28",499822,501240,"Don't underestimate it.","Halloween"
"29",501240,504244,"Don't you thinkwe could refer to 'it' as him?","Halloween"
"30",505120,506745,"If you say so.","Halloween"
"31",507747,510417,"Your compassion'soverwhelming, Doctor.","Halloween"
"32",517923,520217,"What do I give him, when we're taking himin front of the judge?","Halloween"
"33",521052,522220,"Thorazin.","Halloween"
"34",524054,527225,"Barely be able to sit up.- That's the idea.","Halloween"
"35",537027,539153,"You're serious about that, aren't you?","Halloween"
"36",539653,540529,"Yeah.","Halloween"
"37",543033,547037,"You mean, you actually never want him to get out.- Never ever ...","Halloween"
"38",547745,548621,"Never.","Halloween"
"39",549538,554126,"Then why we're taking up to Hardy county,if he just gonna ... - Because that is the law.","Halloween"
"40",555754,556922,"We are.","Halloween"
"41",563552,565846,"Since when do they let them wander around?","Halloween"
"42",568015,570644,"Pull up to the main gate.- Shouldn't we ... - Pull up?","Halloween"
"43",580320,581529,"Stop here.","Halloween"
"44",585241,588245,"Shouldn't we go on up to the hospital on ...- Wait!","Halloween"
"45",647220,648554,"Are you all right?","Halloween"
"46",648554,652225,"You all right?- Yes, I'm ok. - He's gone. He's gone?","Halloween"
"47",652225,653851,"The evil is gone!","Halloween"
"48",659149,660317,"I gotta ...","Halloween"
"49",719125,722044,"Don't forget to drop the key offthe Myers place ...","Halloween"
"50",722546,723922,"I won't.","Halloween"
"51",723922,728927,"They're coming by look at the house at 10:30.Be sure you leave it under the mat ... - Promise.","Halloween"
"52",762418,763419,"Laurie ...","Halloween"
"53",765254,766755,"Hi Tommy.","Halloween"
"54",769216,772052,"Coming over tonight?- Same time, same place.","Halloween"
"55",772052,774054,"Can we make Jack-O-Lanterns?- Sure.","Halloween"
"56",774054,776224,"And watch the monster movies?- Sure.","Halloween"
"57",776224,777517,"Will you read to me?","Halloween"
"58",777517,780644,"Can we make popcorn?- Sure, sure, sure.","Halloween"
"59",783355,784732,"You better hurry up.","Halloween"
"60",786234,789528,"How can you walk in the school this way?- My dad asked me to.","Halloween"
"61",789528,790739,"Why?","Halloween"
"62",790739,792157,"I have to drop off the key.","Halloween"
"63",792157,793240,"Why?","Halloween"
"64",793240,794743,"Because he's gonna sell a house.","Halloween"
"65",794743,795951,"Why?","Halloween"
"66",795951,798038,"Because that's his job.- Where?","Halloween"
"67",798455,799456,"The Meyers house.","Halloween"
"68",799456,801124,"The Meyers house!","Halloween"
"69",810049,811927,"You're not supposed to go up there?","Halloween"
"70",811927,813345,"Yes, I am.","Halloween"
"71",814638,816347,"That's a spook house.","Halloween"
"72",816722,818225,"Just watch.","Halloween"
"73",827817,830320,"Lonnie Elam said never to go up there.","Halloween"
"74",830821,833240,"Lonnie Elam said that's a haunted house.","Halloween"
"75",833240,838120,"He said real awful stuff happened there once.- Lonnie Elam probably won't get out of the 6th grade.","Halloween"
"76",838452,839538,"I gotta go.","Halloween"
"77",839538,840746,"I see you tonight.","Halloween"
"78",841123,842624,"Bye.- Bye.","Halloween"
"79",846128,850715,"# I wish I had you all alone ... #","Halloween"
"80",851048,854219,"# Just the two of us ... #","Halloween"
"81",856221,860225,"# I would hold you close to me ... #","Halloween"
"82",861017,863854,"# So close to me ... #","Halloween"
"83",866148,869150,"# Just the two ... #","Halloween"
"84",871027,873529,"I'm not responsible, Sam. - Oh, no ...","Halloween"
"85",873529,874739,"I told them how dangerous he was!","Halloween"
"86",874739,878451,"You wouldn't have enough two roadblocks andan all-points bulletin wouldn't stop a five-year-old!","Halloween"
"87",878451,881538,"But he was your patient, Doctor. If precautionsweren't strong enough, you should have told somebody.","Halloween"
"88",881538,883038,"I told everybody!","Halloween"
"89",883038,884624,"Nobody listened.- There's nothing else I can do.","Halloween"
"90",884624,886918,"You can get back in thereand get back on the telephone.","Halloween"
"91",886918,889044,"Tell them exactlywho walked out of here last night ...","Halloween"
"92",889044,891630,"And tell them exactly where he is going.- Probably going.","Halloween"
"93",891630,894926,"I'm wasting my time. - Sam, Haddonfield isa hundred and fifty miles away from here.","Halloween"
"94",894926,898846,"Now, now for God's sake, he can't drive a car!- He was doing very well last night!","Halloween"
"95",898846,901224,"Maybe someone around here gave him lessons.","Halloween"
"96",905352,908731,"Doctor Chance, plese come to point C ...","Halloween"
"97",909024,913028,"Doctor Chance, point C please.","Halloween"
"98",913653,916322,"... and the book ends.","Halloween"
"99",916322,920951,"But what Samuels is really talking about here ...","Halloween"
"100",920951,922745,"is fate.","Halloween"
"101",923455,924748,"You see ...","Halloween"
"102",924748,929043,"fate caught up with several lives here.","Halloween"
"103",929628,934048,"No matter what course of action Collins took ...","Halloween"
"104",934048,937719,"he was destined to his own fate,","Halloween"
"105",937719,941722,"his own day of reckoning with himself.","Halloween"
"106",942349,944142,"The idea ...","Halloween"
"107",944142,945143,"is ...","Halloween"
"108",945351,947144,"that destiny ...","Halloween"
"109",947144,953025,"is a very real, concrete thingthat every person has to deal with.","Halloween"
"110",953317,959032,"How does Samuels' view of fatediffer from that of Costaine's? Laurie?","Halloween"
"111",959032,959615,"M'am?","Halloween"
"112",959615,961451,"Answer the question.","Halloween"
"113",962619,966623,"Costaine wrote that fate--was somehow related only to religion","Halloween"
