"id","startTime","endTime","text","title"
"1",0,2399,"Methinks it islike a weasel.","Hamlet"
"2",2519,5799,"- It is backed like a weasel.- Or like a whale ?","Hamlet"
"3",5879,7719,"Very like a whale.","Hamlet"
"4",9118,11558,"Then I will come to my motherby and by.","Hamlet"
"5",11638,13478,"I will say so.","Hamlet"
"6",19118,20960,"��By and by��is easily said.","Hamlet"
"7",25079,27638,"Leave me, friend.","Hamlet"
"8",48198,51319,"�Tis now the very witching timeof night,","Hamlet"
"9",51399,55439,"when churchyards yawn and hellitself breathes out contagion...","Hamlet"
"10",55518,57359,"to this world.","Hamlet"
"11",60518,63319,"Now could I drink hot blood...","Hamlet"
"12",63399,67319,"and do such bitter business as the daywould quake to look on.","Hamlet"
"13",69319,71679,"Soft.","Hamlet"
"14",71760,73638,"Now to my mother.","Hamlet"
"15",80879,83159,"O heart, lose notthy nature.","Hamlet"
"16",84679,89358,"Let not ever the soul of Neroenter this firm bosom.","Hamlet"
"17",92039,95438,"Let me be cruel,not unnatural.","Hamlet"
"18",97319,101000,"I will speak daggers to her,","Hamlet"
"19",101039,102920,"but use none.","Hamlet"
"20",108840,111239,"[ Panting ]","Hamlet"
"21",111118,113840,"My lord ?","Hamlet"
"22",113920,115959,"He�s going to his mother�scloset.","Hamlet"
"23",116000,119198,"Behind the arras I�ll concealmyself to hear the process.","Hamlet"
"24",119239,122438,"I warrant she�ll tax him home,and as you said--","Hamlet"
"25",124478,128239,"and wisely was it said-- �tis meetthat some more audience than a mother--","Hamlet"
"26",128318,132038,"since nature makes them partial--should o�er hear the speech of vantage.","Hamlet"
"27",132118,134840,"Fare you well, my liege. I�ll callupon you ere you go to bed...","Hamlet"
"28",134879,137438,"and tell you what I know.","Hamlet"
"29",137519,139359,"- Thanks, dear my lord.- [ Mutters ]","Hamlet"
"30",148060,152780,"Oh, my offense is rank.It smells to heaven.","Hamlet"
"31",153820,158140,"It hath the primal eldest curseupon it:","Hamlet"
"32",158260,160100,"a brother�s murder.","Hamlet"
"33",166220,171220,"Pray, can I not, though inclinationbe as sharp as will.","Hamlet"
"34",176180,180860,"What if this cursed hand were thickerthan itself with brother�s blood ?","Hamlet"
"35",182060,184700,"Is there not rain enoughin the sweet heavens...","Hamlet"
"36",184780,187540,"to wash it white as snow ?","Hamlet"
"37",192060,195700,"Oh, what form of prayercan serve my turn ?","Hamlet"
"38",195780,198420,"��Forgive me my foul murder�� ?","Hamlet"
"39",198500,201380,"That cannot be, since I am stillpossessed of those effects...","Hamlet"
"40",201460,203300,"for which I did the murder:","Hamlet"
"41",203380,206220,"my crown,mine own ambition...","Hamlet"
"42",206300,208140,"and my queen.","Hamlet"
"43",209860,212819,"Oh, wretched state.","Hamlet"
"44",212900,215700,"Oh, bosom black as death !","Hamlet"
"45",220020,221860,"Help, angels.","Hamlet"
"46",224340,226220,"All may yet be well.","Hamlet"
"47",235020,237379,"[ Thinking ]Now might I do it pat.","Hamlet"
"48",237460,239300,"Now he�s praying.","Hamlet"
"49",240340,242180,"And now I�ll do it.","Hamlet"
"50",256139,258620,"And so he goesto heaven.","Hamlet"
"51",258700,260540,"And so am I revenged.","Hamlet"
"52",261740,264420,"That would be thought on.","Hamlet"
"53",264500,266700,"A villain kills my father,","Hamlet"
"54",266740,270540,"and for that, I, his sole sondo the same villain send to heaven.","Hamlet"
"55",272060,274940,"Oh, this is hire and salary,not revenge.","Hamlet"
"56",276180,279019,"He took my father with all hiscrimes full-blown,","Hamlet"
"57",279060,280940,"as flush as May.","Hamlet"
"58",280980,284180,"And how his audit stands,who knows save Heaven ?","Hamlet"
"59",284300,287660,"But in our circumstance and courseof thought �tis heavy with him.","Hamlet"
"60",289100,292300,"And am I then revenged to takehim in the purging of his soul,","Hamlet"
"61",292340,295060,"when he is fit and seasonedfor his passage ?","Hamlet"
"62",296580,298620,"No.","Hamlet"
"63",298700,301340,"Up, sword, and knowthou a more dark intent.","Hamlet"
"64",301420,304420,"When he is drunk, asleepor in his rage,","Hamlet"
"65",304500,307139,"or in the incestuous pleasureof his bed,","Hamlet"
"66",307220,312019,"at gaming, swearing or about some actthat has no relish of salvation in it.","Hamlet"
"67",312100,315220,"Then trip him, that his heelsmay kick at heaven,","Hamlet"
"68",315340,319100,"and that his soul may be as damnedand black as hell whereto it goes.","Hamlet"
"69",320180,322019,"My mother stays.","Hamlet"
"70",323100,327019,"This physic but prolongsthy sickly days.","Hamlet"
"71",333139,335820,"My words fly up.","Hamlet"
"72",335860,338420,"My thoughts remain below.","Hamlet"
"73",340340,344700,"Words without thoughtsnever to heaven go.","Hamlet"
"74",355580,357460,"He will come straight.","Hamlet"
"75",357500,361899,"Look you lay hold to him.Tell him his pranks have
been too broad to bear with...","Hamlet"
"76",361940,366100,"and that Your Grace hath screenedand stood between much heat and him.","Hamlet"
"77",366139,368300,"I�ll silence me e�en here.","Hamlet"
"78",369700,372500,"- Pray you, be round with him !- Mother?","Hamlet"
"79",375220,377100,"Mother ?","Hamlet"
"80",379779,381860,"Mother.","Hamlet"
"81",381940,384660,"I�ll warrant you,fear me not.","Hamlet"
"82",384700,386580,"Withdraw.I hear him coming.","Hamlet"
"83",396340,400500,"- Now, Mother, what�s the matter ?- Hamlet, thou hast thy father
much offended.","Hamlet"
"84",400540,402860,"Mother, you have my fathermuch offended.","Hamlet"
"85",402900,405139,"Come, come. You answerwith an idle tongue.","Hamlet"
"86",405180,407660,"Go, go. You questionwith a wicked tongue.","Hamlet"
"87",407699,410220,"- Why, how now, Hamlet ?- What�s the matter now ?","Hamlet"
"88",410259,413379,"- Have you forgot me ?- No, by the rood ! Not so.","Hamlet"
"89",413460,417180,"You are the queen.Your husband�s brother�s wife.","Hamlet"
"90",417259,419100,"And would it were not so.You are my mother.","Hamlet"
"91",419180,421740,"- Nay, then I�ll set thoseto you that can speak.
- Come, come, and sit you down !","Hamlet"
"92",421780,423860,"You shall not budge !","Hamlet"
"93",423939,428340,"You go not till I set you upa glass where you may see
the inmost part of you.","Hamlet"
"94",430980,433900,"What wilt thou do ?Thou wilt not murder me ? Help !","Hamlet"
"95",433980,436939,"- [ Polonius ] Help ! Help !- Help ! Help !","Hamlet"
"96",436980,439220,"How now ?A rat !","Hamlet"
"97",439259,441980,"Dead for a ducat !","Hamlet"
"98",442060,444740,"- [ Screaming ]- Dead.","Hamlet"
"99",444819,447340,"Oh, me.What hast thou done ?","Hamlet"
"100",447460,449300,"Nay, I know not.","Hamlet"
"101",451699,453620,"Is it the king ?","Hamlet"
"102",453699,457259,"Oh, what a wretched,bloody deed is this.","Hamlet"
"103",457300,461540,"A bloody deed. Almost as bad,good mother, as kill a king...","Hamlet"
"104",461620,463420,"and marry with his brother.","Hamlet"
"105",465740,467580,"As kill a king ?","Hamlet"
"106",468819,470860,"Aye, lady.","Hamlet"
"107",470939,472819,"�Twas my word.","Hamlet"
"108",486580,491139,"Thou wretched, rash,intruding fool, farewell.","Hamlet"
"109",492740,494580,"I took thee for thy better.","Hamlet"
"110",495000,496840,"Take thy fortune.","Hamlet"
"111",498000,500960,"Thou find�st to be too busyis some danger.","Hamlet"
"112",502639,504560,"[ Sobbing ]","Hamlet"
"113",504639,506879,"Leave wringing of the hands!Peace, sit you down !","Hamlet"
"114",506960,509600,"And let me wring your heart,for so I shall, if it be made
of penetrable stuff.","Hamlet"
"115",509680,512440,"What have I done that thou darest wagthy tongue in noise so rude against me ?","Hamlet"
"116",512480,514960,"Such an act that blursthe grace and blush of modesty,","Hamlet"
"117",515039,519080,"calls virtue hypocrite,takes off the rose from the fair
forehead of an innocent love...","Hamlet"
"118",519160,522879,"and sets a blister there, makes marriagevows as false as dicers� oaths.","Hamlet"
"119",522920,527200,"- Aye me, what act ?- Look here upon this picture,
and on this !","Hamlet"
"120",527240,529440,"The counterfeit presentmentof two brothers.","Hamlet"
"121",529519,531840,"See what a grace was seatedon this brow.","Hamlet"
"122",531879,534080,"An eye like Mars,to threaten and command,","Hamlet"
"123",534160,537720,"a stature like the herald Mercury,new-lighted on a heaven kissing hill,","Hamlet"
"124",537759,541080,"a combination and a form, indeed, whereevery god did seem to set his seal...","Hamlet"
"125",541160,543039,"to give the worldassurance of a man !","Hamlet"
"126",543080,546240,"This was your husband.Look you now what follows.","Hamlet"
"127",546319,550279,"Here is your husband like a mildewedear, blasting his wholesome brother !","Hamlet"
"128",550360,552319,"Have you eyes ?You cannot call it love,","Hamlet"
"129",552400,554240,"for at your age the heydayin the blood is tame.","Hamlet"
"130",554319,558440,"It�s humble and waits upon thejudgement. What judgement
would step from this to this ?","Hamlet"
"131",558519,560920,"What devil was�t that thushath hoodwinked you ?","Hamlet"
"132",560960,564160,"Oh, shame. Where is thy blush ? Ifhell can rise up in a matron�s bones...","Hamlet"
"133",564400,566240,"to flaming youth,let virtue be as wax !","Hamlet"
"134",566319,568200,"Oh, Hamlet !Speak no more.","Hamlet"
"135",568279,570480,"Thou turn�st mine eyesinto my very soul,","Hamlet"
"136",570559,575360,"and there I see such black and grainedspots as will not lose their stain.","Hamlet"
"137",575480,578319,"Nay ! But to live in the ranksweat of a lascivious bed,","Hamlet"
"138",578360,582160,"stewed in corruption, honeyingand making love over the nasty sty--","Hamlet"
"139",582200,584799,"Speak to me no more. These wordslike daggers enter into mine ears !","Hamlet"
"140",584879,587480,"- No more, sweet Hamlet !- A murderer and a villain !","Hamlet"
"141",587559,590360,"A slave that is not twentieth partthe worth of your true lord.","Hamlet"
"142",590400,595160,"A cutpurse of the empire andthe throne, that from a shelf
the precious diadem stole !","Hamlet"
"143",595200,598600,"- No more !- A king of shreds and patches !","Hamlet"
"144",598680,601480,"[ Loud Heartbeat Pounding ]","Hamlet"
"145",615759,618559,"[ Heartbeat Continues ]","Hamlet"
"146",626039,630000,"Save me, and hover over mewith your wings, you heavenly guards.","Hamlet"
"147",635039,637440,"What wouldyour gracious figure ?","Hamlet"
"148",638519,640400,"Alas, he�s mad.","Hamlet"
"149",640519,643120,"Do you not comeyour tardy son to chide,","Hamlet"
"150",643160,646759,"that lapsed in time and passion,","Hamlet"
