"id","startTime","endTime","text","title"
"1",35435,37630,"[Crowd chattering, cheering]","Hannah Montana: The Movie"
"2",47447,51144,"[Crowd] Hannah! Hannah! Hannah!","Hannah Montana: The Movie"
"3",59292,61089,"[Chattering, cheering continues]","Hannah Montana: The Movie"
"4",79179,81374,"What is with all the pushing behind me?","Hannah Montana: The Movie"
"5",81414,82608,"Here you go, girls.","Hannah Montana: The Movie"
"6",83316,85580,"It's Miley Stewart.We've got to get in there.","Hannah Montana: The Movie"
"7",85618,87347,"Our names are on the list.","Hannah Montana: The Movie"
"8",87387,91824,"Well, why didn't you say so?In your dreams, sweet cheeks. Next!","Hannah Montana: The Movie"
"9",91858,94418,"- No, no. They're on there. I promise.- We need two.","Hannah Montana: The Movie"
"10",96096,99259,"You are the only pop star I knowwho can't get into her own concert.","Hannah Montana: The Movie"
"11",99299,102894,"She was just here.I don't know where she went.","Hannah Montana: The Movie"
"12",107040,108905,"- [Man] Stop!- [Lilly] Go!","Hannah Montana: The Movie"
"13",108942,110807,"[Yelling]","Hannah Montana: The Movie"
"14",110844,112675,"Somebody, stop those girls!","Hannah Montana: The Movie"
"15",112712,115579,"- Go faster!- I can't! This is a golf cart!","Hannah Montana: The Movie"
"16",115615,117583,"Stop!","Hannah Montana: The Movie"
"17",117617,120586,"Those girls shouldn't be here!They don't have a backstage pass!","Hannah Montana: The Movie"
"18",120620,124021,"- What are you doing?- [Man] Stop in the name of Security!","Hannah Montana: The Movie"
"19",124057,125524,"- Watch out!- [Man] I need backup!","Hannah Montana: The Movie"
"20",125558,129085,"Call for backup! Whoa!","Hannah Montana: The Movie"
"21",129129,131120,"- Yes!- Yes! Oh!","Hannah Montana: The Movie"
"22",131164,132722,"[Both screaming]","Hannah Montana: The Movie"
"23",139572,141369,"[Both laughing]","Hannah Montana: The Movie"
"24",143009,144704,"Stop!","Hannah Montana: The Movie"
"25",144744,148544,"- Please stop!- It's OK. It's OK. They're with me.","Hannah Montana: The Movie"
"26",148581,150947,"Come on. Go, go, go.","Hannah Montana: The Movie"
"27",171938,173565,"Hey.","Hannah Montana: The Movie"
"28",176943,178171,"Dad.","Hannah Montana: The Movie"
"29",178878,179902,"What?","Hannah Montana: The Movie"
"30",208508,210203,"[Exhales]","Hannah Montana: The Movie"
"31",211544,214570,"- Showtime, baby doll.- [Sputters]","Hannah Montana: The Movie"
"32",215882,218009,"- She's on the move.- [Man] All right, let's go.","Hannah Montana: The Movie"
"33",218051,220383,"Good luck! Don't mess up!","Hannah Montana: The Movie"
"34",222322,224222,"This way. Follow me.","Hannah Montana: The Movie"
"35",231331,233196,"- Come on.- She's coming right now.","Hannah Montana: The Movie"
"36",233233,234564,"[Man] All right, talent's on its way.","Hannah Montana: The Movie"
"37",234601,237092,"- Oh!- You do that every night.","Hannah Montana: The Movie"
"38",239239,241730,"- Love you, Daddy.- I'm loving you right back, darling.","Hannah Montana: The Movie"
"39",241774,244402,"Don't forget it's your turnto do the dishes tonight.","Hannah Montana: The Movie"
"40",244444,245604,"I did them last night.","Hannah Montana: The Movie"
"41",245645,249103,"Don't give me no lip. You're the onethat wanted the best of both worlds.","Hannah Montana: The Movie"
"42",249148,251378,"[# Hannah Montana: The Best OfBoth Worlds: The 2009 Movie Mix]","Hannah Montana: The Movie"
"43",251417,254648,"- [Crowd] Hannah! Hannah! Hannah!- Watch your head.","Hannah Montana: The Movie"
"44",255855,259188,"Here we go, everybody! Whoo!","Hannah Montana: The Movie"
"45",263997,265965,"Oh, yeah.","Hannah Montana: The Movie"
"46",265999,267523,"Come on.","Hannah Montana: The Movie"
"47",345345,348837,"[Hawaiian music playing]","Hannah Montana: The Movie"
"48",372605,374903,"Cut! We'll fix that last bit in post.","Hannah Montana: The Movie"
"49",374941,376966,"- That's a wrap, people.- [All cheering]","Hannah Montana: The Movie"
"50",377009,379910,"- Hannah, as always, fabulous.- Thank you.","Hannah Montana: The Movie"
"51",379946,382915,"[Indistinct chattering]","Hannah Montana: The Movie"
"52",395561,398496,"No. It's OK. I'm sorry.I just had to meet you.","Hannah Montana: The Movie"
"53",398531,401022,"I promised my girlsI'd say hi to you for them.","Hannah Montana: The Movie"
