"id","startTime","endTime","text","title"
"1",42545,48916,"Once there was a wayTo get back homeward","Happy Feet"
"2",49085,53078,"Are the stars out tonight?","Happy Feet"
"3",53256,58523,"Once there was a way to get back home","Happy Feet"
"4",58695,60959,"I only have eyes","Happy Feet"
"5",61137,66159,"Sleep, pretty darling, do not cry","Happy Feet"
"6",66336,68668,"For you","Happy Feet"
"7",68838,71432,"And I will sing a lullaby","Happy Feet"
"8",71608,74543,"With a song in my heart","Happy Feet"
"9",75044,77103,"So tell me","Happy Feet"
"10",77280,80579,"Tell me something good","Happy Feet"
"11",82919,85752,"Tell me that you love me","Happy Feet"
"12",85922,88550,"Tell me, baby","Happy Feet"
"13",88725,91125,"Tell me something good","Happy Feet"
"14",91294,93023,"Only you","Happy Feet"
"15",93196,95096,"But how can you know for sure?","Happy Feet"
"16",95265,98200,"Can make this world seem right","Happy Feet"
"17",98368,99926,"Is there really just one?","Happy Feet"
"18",100103,102731,"I need your love","Happy Feet"
"19",103139,107509,"So many songs, but I'm feeling so lonely.","Happy Feet"
"20",107711,111477,"Where is the love?","Happy Feet"
"21",115553,119990,"You don't have to be beautiful","Happy Feet"
"22",120157,123092,"To turn me on","Happy Feet"
"23",123961,127328,"I just need your body, baby","Happy Feet"
"24",127498,128726,"Hello","Happy Feet"
"25",128899,132164,"- From dusk till dawn- Is it me you're looking for?","Happy Feet"
"26",132336,135430,"You don't need experience","Happy Feet"
"27",135606,136698,"Take","Happy Feet"
"28",136874,140366,"- To turn me out- These broken wings","Happy Feet"
"29",140544,143638,"You just leave it all up to me","Happy Feet"
"30",143814,148751,"Let's talk about eggs, babyLet's talk about you and me","Happy Feet"
"31",148919,150546,"You don't have to be rich","Happy Feet"
"32",150721,152985,"- Give me all your loving- To be my pearl","Happy Feet"
"33",153157,157093,"You don't have to be coolTo rule my world","Happy Feet"
"34",157261,161357,"Ain't no particular songI'm more compatible with","Happy Feet"
"35",161532,163966,"I just want your extra...","Happy Feet"
"36",164134,166864,"Boys. Boys.","Happy Feet"
"37",167037,168868,"Give a chick a chance.","Happy Feet"
"38",169039,173476,"Well, since my baby left me","Happy Feet"
"39",173644,177045,"I found a new place to dwell","Happy Feet"
"40",177214,181708,"It's down at the end of Lonely StreetAt Heartbreak Hotel","Happy Feet"
"41",181886,185322,"And I said, ""I'm feelin' so lonely, baby","Happy Feet"
"42",185489,188049,"I'm feelin' so lonely","Happy Feet"
"43",188225,190523,"Oh, I'm feelin' so lonely""...","Happy Feet"
"44",190694,193686,"I could die","Happy Feet"
"45",195199,200569,"Don't have to be rich to be my girl","Happy Feet"
"46",200738,205732,"Don't have to be cool to rule my world","Happy Feet"
"47",205910,207400,"You rule my world","Happy Feet"
"48",207578,212277,"You're the particular songI'm compatible with","Happy Feet"
"49",212449,214280,"I just want your","Happy Feet"
"50",214451,217978,"- Extra time- Extra time","Happy Feet"
"51",218155,224253,"- And your kiss- And your kiss","Happy Feet"
"52",224428,227761,"His mom and dad met in the usual way.","Happy Feet"
