"id","startTime","endTime","text","title"
"1",73370,75370,"l can't let you out, Hedwig.","Harry Potter and the Chamber of Secrets"
"2",75539,79090,"l'm not allowed to use magicoutside of school.","Harry Potter and the Chamber of Secrets"
"3",79549,83420,"-Besides, if Uncle Vernon---Harry Potter!","Harry Potter and the Chamber of Secrets"
"4",85260,86890,"Now you've done it.","Harry Potter and the Chamber of Secrets"
"5",91719,94390,"He's in there. Vernon?","Harry Potter and the Chamber of Secrets"
"6",96729,100520,"l'm warning you, if you can't controlthat bloody bird, it'll have to go.","Harry Potter and the Chamber of Secrets"
"7",101069,102479,"But she's bored.","Harry Potter and the Chamber of Secrets"
"8",102650,107159,"lf l could only let her outfor an hour or two.","Harry Potter and the Chamber of Secrets"
"9",107319,111289,"So you can send secret messagesto your freaky little friends? No, sir.","Harry Potter and the Chamber of Secrets"
"10",111450,116579,"But l haven't had any messagesfrom any of my friends.","Harry Potter and the Chamber of Secrets"
"11",116750,118420,"Not one. . .","Harry Potter and the Chamber of Secrets"
"12",118829,120290,". . .all summer.","Harry Potter and the Chamber of Secrets"
"13",120459,123709,"Who would want to befriends with you?","Harry Potter and the Chamber of Secrets"
"14",125969,128430,"l should think you'd bea little more grateful.","Harry Potter and the Chamber of Secrets"
"15",128590,132099,"We've raised you since you were a baby,given you the food off our table. . .","Harry Potter and the Chamber of Secrets"
"16",132259,134389,". . .even let you haveDudley's second bedroom. . .","Harry Potter and the Chamber of Secrets"
"17",134560,137099,". . .purely out of the goodnessof our hearts.","Harry Potter and the Chamber of Secrets"
"18",137520,139770,"Not now.lt's for when the Masons arrive.","Harry Potter and the Chamber of Secrets"
"19",140229,143280,"Which should be any minute.","Harry Potter and the Chamber of Secrets"
"20",143939,146780,"Now, let's go over our scheduleonce again, shall we?","Harry Potter and the Chamber of Secrets"
"21",146949,148860,"Petunia, when the Masons arrive,you will be. . .?","Harry Potter and the Chamber of Secrets"
"22",149030,152740,"ln the lounge, waiting to welcomethem graciously to our home.","Harry Potter and the Chamber of Secrets"
"23",152909,156829,"-Good. And, Dudley, you will be. . .?-l'll be waiting to open the door.","Harry Potter and the Chamber of Secrets"
"24",157000,158920,"Excellent.","Harry Potter and the Chamber of Secrets"
"25",163460,165300,"And you?","Harry Potter and the Chamber of Secrets"
"26",165879,170259,"l'll be in my bedroom, making no noiseand pretending that l don't exist.","Harry Potter and the Chamber of Secrets"
"27",170430,172139,"Too right, you will.","Harry Potter and the Chamber of Secrets"
"28",172300,175810,"With any luck, this could be the dayl make the biggest deal of my career. . .","Harry Potter and the Chamber of Secrets"
"29",175979,179520,". . .and you will not mess it up.","Harry Potter and the Chamber of Secrets"
"30",190659,195490,"Harry Potter, such an honor it is.","Harry Potter and the Chamber of Secrets"
"31",198370,203289,"-Who are you?-Dobby, sir. Dobby the house-elf.","Harry Potter and the Chamber of Secrets"
"32",204039,205379,"Not to be rude or anything. . .","Harry Potter and the Chamber of Secrets"
"33",205550,209509,". . .but this isn't a great time for meto have a house-elf in my bedroom.","Harry Potter and the Chamber of Secrets"
"34",209680,212180,"Yes, sir. Dobby understands.","Harry Potter and the Chamber of Secrets"
"35",212340,215469,"lt's just that Dobbyhas come to tell you. . . .","Harry Potter and the Chamber of Secrets"
"36",215639,220479,"lt is difficult, sir.Dobby wonders where to begin.","Harry Potter and the Chamber of Secrets"
"37",220639,226439,"-Why don't you sit down?-Sit down? Sit down?","Harry Potter and the Chamber of Secrets"
"38",229699,234199,"Dobby, l'm sorry. l didn't meanto offend you or anything.","Harry Potter and the Chamber of Secrets"
"39",234370,236539,"Offend Dobby?","Harry Potter and the Chamber of Secrets"
"40",236699,239039,"Dobby has heardof your greatness, sir. . .","Harry Potter and the Chamber of Secrets"
"41",239199,245000,". . .but never has he been askedto sit down by a wizard, like an equal.","Harry Potter and the Chamber of Secrets"
"42",245919,248550,"You can't have metmany decent wizards then.","Harry Potter and the Chamber of Secrets"
"43",248710,251129,"No, l haven't.","Harry Potter and the Chamber of Secrets"
"44",251300,254050,"That was an awful thing to say.","Harry Potter and the Chamber of Secrets"
"45",254719,258180,"-Bad Dobby! Bad Dobby!-Stop, Dobby. Dobby, shush.","Harry Potter and the Chamber of Secrets"
"46",258350,259730,"Dobby, please, stop.","Harry Potter and the Chamber of Secrets"
"47",264230,266860,"Don't mind that. lt's just the cat.","Harry Potter and the Chamber of Secrets"
"48",268779,273319,"-Bad Dobby.-Stop! Stop, Dobby. Please, be quiet.","Harry Potter and the Chamber of Secrets"
"49",273490,275779,"Are you all right?","Harry Potter and the Chamber of Secrets"
"50",276529,279409,"Dobby had to punish himself, sir.","Harry Potter and the Chamber of Secrets"
"51",279579,282790,"Dobby almost spoke illof his family, sir.","Harry Potter and the Chamber of Secrets"
"52",282959,286920,"-Your family?-The wizard family Dobby serves, sir.","Harry Potter and the Chamber of Secrets"
"53",287090,290090,"Dobby is bound to serveone family forever.","Harry Potter and the Chamber of Secrets"
"54",290259,292800,"lf they ever knew Dobby was here. . . .","Harry Potter and the Chamber of Secrets"
"55",294430,300220,"But Dobby had to come. Dobby hasto protect Harry Potter. To warn him.","Harry Potter and the Chamber of Secrets"
"56",300389,302689,"Harry Potter must not go back. . .","Harry Potter and the Chamber of Secrets"
"57",302850,307560,". . .to Hogwarts Schoolof Witchcraft and Wizardry this year.","Harry Potter and the Chamber of Secrets"
"58",307730,312899,"There is a plot, a plot to makemost terrible things happen.","Harry Potter and the Chamber of Secrets"
"59",313069,316410,"What terrible things?Who's plotting them?","Harry Potter and the Chamber of Secrets"
"60",317279,319740,"Can't say.","Harry Potter and the Chamber of Secrets"
"61",320199,325920,"-Okay, l understand. You can't say.-Don't make me talk. l--","Harry Potter and the Chamber of Secrets"
