"id","startTime","endTime","text","title"
"1",22100,25436,"I killed Sirius Black!","Harry Potter and the Half-Blood Prince"
"2",30233,31797,"He's back.","Harry Potter and the Half-Blood Prince"
"3",175785,178495,"The police arecontinuing with the investigation...","Harry Potter and the Half-Blood Prince"
"4",178704,180789,"... into the causeof the Millennium Bridge disaster.","Harry Potter and the Half-Blood Prince"
"5",180894,184647,"Traffic has been haltedas police search for survivors.","Harry Potter and the Half-Blood Prince"
"6",184751,186420,"The surrounding area remains closed.","Harry Potter and the Half-Blood Prince"
"7",186628,189756,"The mayor has urged Londonersto remain calm...","Harry Potter and the Half-Blood Prince"
"8",195178,196429,"""Harry Potter.""","Harry Potter and the Half-Blood Prince"
"9",196846,198514,"Who's Harry Potter?","Harry Potter and the Half-Blood Prince"
"10",200078,202059,"Oh, no one.","Harry Potter and the Half-Blood Prince"
"11",202685,204040,"Bit of a tosser, really.","Harry Potter and the Half-Blood Prince"
"12",206542,208211,"Funny, that paper of yours.","Harry Potter and the Half-Blood Prince"
"13",208315,211026,"Couple nights ago,I could've sworn I saw a picture move.","Harry Potter and the Half-Blood Prince"
"14",211130,213945,"- Really?- Thought I was going around the twist.","Harry Potter and the Half-Blood Prince"
"15",220618,225206,"- Hey, I was wondering...- Eleven. That's when I get off.","Harry Potter and the Half-Blood Prince"
"16",225414,228229,"You can tell me all aboutthat tosser Harry Potter.","Harry Potter and the Half-Blood Prince"
"17",279110,281299,"You've been reckless this summer, Harry.","Harry Potter and the Half-Blood Prince"
"18",281508,283802,"I like riding around on trains.","Harry Potter and the Half-Blood Prince"
"19",284844,286930,"Takes my mind off things.","Harry Potter and the Half-Blood Prince"
"20",288494,290370,"Rather unpleasant to behold, isn't it?","Harry Potter and the Half-Blood Prince"
"21",290579,293915,"The tale is thrilling,if I say so myself.","Harry Potter and the Half-Blood Prince"
"22",294020,296626,"But now is not the time to tell it.","Harry Potter and the Half-Blood Prince"
"23",296730,298399,"Take my arm.","Harry Potter and the Half-Blood Prince"
"24",301527,303299,"Do as I say.","Harry Potter and the Half-Blood Prince"
"25",312370,313830,"I just Apparated, didn't I?","Harry Potter and the Half-Blood Prince"
"26",314038,317166,"Indeed. Quite successfully too,I might add.","Harry Potter and the Half-Blood Prince"
"27",317375,319981,"Most people vomit the first time.","Harry Potter and the Half-Blood Prince"
"28",320190,321962,"I can't imagine why.","Harry Potter and the Half-Blood Prince"
"29",329574,333431,"Welcome to thecharming village of Budleigh Babberton.","Harry Potter and the Half-Blood Prince"
"30",333536,337810,"Harry, I assume, right about now, you'rewondering why I brought you here.","Harry Potter and the Half-Blood Prince"
"31",338019,339687,"Am I right?","Harry Potter and the Half-Blood Prince"
"32",339896,343232,"Actually, sir, after all these years,I just sort of go with it.","Harry Potter and the Half-Blood Prince"
"33",347820,349696,"Wands out, Harry.","Harry Potter and the Half-Blood Prince"
"34",361061,362521,"Horace?","Harry Potter and the Half-Blood Prince"
"35",374720,376075,"Horace?","Harry Potter and the Half-Blood Prince"
"36",428103,429667,"Merlin's beard!","Harry Potter and the Half-Blood Prince"
"37",430814,433107,"No need to disfigure me, Albus.","Harry Potter and the Half-Blood Prince"
"38",433316,436965,"Well, I must say youmake a very convincing armchair, Horace.","Harry Potter and the Half-Blood Prince"
"39",438008,442283,"It's all in the upholstery. I come by thestuffing naturally. What gave me away?","Harry Potter and the Half-Blood Prince"
"40",443325,445202,"Dragon's blood.","Harry Potter and the Half-Blood Prince"
"41",445619,448747,"- Oh.- Oh, yes, introductions.","Harry Potter and the Half-Blood Prince"
"42",448851,452917,"Harry, I'd like you to meetan old friend and colleague of mine...","Harry Potter and the Half-Blood Prince"
"43",453022,454481,"...Horace Slughorn.","Harry Potter and the Half-Blood Prince"
"44",454690,456150,"Horace...","Harry Potter and the Half-Blood Prince"
"45",456358,459173,"...well, you know who this is.","Harry Potter and the Half-Blood Prince"
"46",459695,461988,"Harry Potter.","Harry Potter and the Half-Blood Prince"
"47",464803,466576,"What's with all the theatrics, Horace?","Harry Potter and the Half-Blood Prince"
