"id","startTime","endTime","text","title"
"1",34560,36811,"Lumos Maxima.","Harry Potter and the Prisoner of Azkaban"
"2",39106,41857,"Lumos Maxima.","Harry Potter and the Prisoner of Azkaban"
"3",61962,63588,"Lumos Maxima.","Harry Potter and the Prisoner of Azkaban"
"4",65840,67759,"Lumos Maxima.","Harry Potter and the Prisoner of Azkaban"
"5",69719,71638,"Lumos Maxima!","Harry Potter and the Prisoner of Azkaban"
"6",74557,77728,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban"
"7",101043,102628,"Harry. Harry.","Harry Potter and the Prisoner of Azkaban"
"8",102793,104795,"Harry, open the door.","Harry Potter and the Prisoner of Azkaban"
"9",111677,114014,"Marge. How lovely to see...","Harry Potter and the Prisoner of Azkaban"
"10",114222,117600,"Uncle Vernon,I need you to sign this form.","Harry Potter and the Prisoner of Azkaban"
"11",117768,119102,"What is it?","Harry Potter and the Prisoner of Azkaban"
"12",119269,121396,"Nothing. School stuff.","Harry Potter and the Prisoner of Azkaban"
"13",121563,124233,"Later perhaps, if you behave.","Harry Potter and the Prisoner of Azkaban"
"14",124399,126609,"I will if she does.","Harry Potter and the Prisoner of Azkaban"
"15",126777,129905,"- Oh, you're still here, are you?- Yes.","Harry Potter and the Prisoner of Azkaban"
"16",130322,132949,"Don't say yesin that ungrateful way.","Harry Potter and the Prisoner of Azkaban"
"17",133115,135076,"Damn good of my brotherto keep you.","Harry Potter and the Prisoner of Azkaban"
"18",135243,139580,"He'd have been straight to an orphanageif he'd been dumped on my doorstep.","Harry Potter and the Prisoner of Azkaban"
"19",139747,144127,"Is that my Dudders?Is that my little neffy-pooh?","Harry Potter and the Prisoner of Azkaban"
"20",144294,146087,"Give us a kiss. Come on. Up, up.","Harry Potter and the Prisoner of Azkaban"
"21",146254,148549,"Take Marge's suitcase upstairs.","Harry Potter and the Prisoner of Azkaban"
"22",148715,150675,"Okay.","Harry Potter and the Prisoner of Azkaban"
"23",154054,156932,"Finish that off for Mommy.Good boy, Rippy-pooh.","Harry Potter and the Prisoner of Azkaban"
"24",157932,160894,"- Can I tempt you, Marge?- Just a small one.","Harry Potter and the Prisoner of Azkaban"
"25",161103,164063,"Excellent nosh, Petunia.","Harry Potter and the Prisoner of Azkaban"
"26",164647,166650,"A bit more.","Harry Potter and the Prisoner of Azkaban"
"27",167192,170486,"Usually just a fry-up for me,what with 12 dogs.","Harry Potter and the Prisoner of Azkaban"
"28",170695,173281,"Just a bit more. That's a boy.","Harry Potter and the Prisoner of Azkaban"
"29",176367,178370,"You wanna trya little drop of brandy?","Harry Potter and the Prisoner of Azkaban"
"30",178537,182582,"A little drop of brandy-brandywindy-wandy for Rippy-pippy-pooh?","Harry Potter and the Prisoner of Azkaban"
"31",184084,185877,"What are you smirking at?","Harry Potter and the Prisoner of Azkaban"
"32",186044,187879,"Where did you send the boy,Vernon?","Harry Potter and the Prisoner of Azkaban"
"33",188087,191383,"St. Brutus'. It's a fineinstitution for hopeless cases.","Harry Potter and the Prisoner of Azkaban"
"34",191550,194552,"Do they use a caneat St. Brutus', boy?","Harry Potter and the Prisoner of Azkaban"
"35",198014,199348,"Oh, yeah.","Harry Potter and the Prisoner of Azkaban"
"36",199557,202227,"Yeah. I've been beaten loads of times.","Harry Potter and the Prisoner of Azkaban"
"37",202394,204979,"Excellent. I won't have thisnamby-pamby...","Harry Potter and the Prisoner of Azkaban"
"38",205187,208317,"...wishy-washy nonsense aboutnot beating people who deserve it.","Harry Potter and the Prisoner of Azkaban"
"39",208483,211611,"You mustn't blame yourselfabout how this one turned out.","Harry Potter and the Prisoner of Azkaban"
"40",211777,215699,"It's all to do with blood.Bad blood will out.","Harry Potter and the Prisoner of Azkaban"
"41",215865,218034,"What is it the boy's father did,Petunia?","Harry Potter and the Prisoner of Azkaban"
"42",218201,221204,"Nothing. He didn't work.He was unemployed.","Harry Potter and the Prisoner of Azkaban"
"43",221371,224207,"- And a drunk too, no doubt?- That's a lie.","Harry Potter and the Prisoner of Azkaban"
"44",224373,226918,"- What did you say?- My dad wasn't a drunk.","Harry Potter and the Prisoner of Azkaban"
"45",229921,234009,"Don't worry. Don't fuss, Petunia.I have a very firm grip.","Harry Potter and the Prisoner of Azkaban"
"46",234175,236010,"I think it's time you went to bed.","Harry Potter and the Prisoner of Azkaban"
"47",236177,239430,"Quiet, Vernon. You, clean it up.","Harry Potter and the Prisoner of Azkaban"
"48",240806,243810,"Actually, it's nothing to dowith the father.","Harry Potter and the Prisoner of Azkaban"
"49",244019,247772,"It's all to do with the mother.You see it all the time with dogs.","Harry Potter and the Prisoner of Azkaban"
"50",247939,251985,"If something's wrong with the bitch,then something's wrong with the pup.","Harry Potter and the Prisoner of Azkaban"
"51",252193,253861,"Shut up! Shut up!","Harry Potter and the Prisoner of Azkaban"
"52",258867,260619,"Right.","Harry Potter and the Prisoner of Azkaban"
"53",260786,262913,"Let me tell you...","Harry Potter and the Prisoner of Azkaban"
"54",284350,286478,"Vernon!","Harry Potter and the Prisoner of Azkaban"
"55",289523,291316,"Vernon! Vernon, do something!","Harry Potter and the Prisoner of Azkaban"
"56",334776,336778,"Stop!","Harry Potter and the Prisoner of Azkaban"
"57",339363,341908,"I've got you, Marge. I've got you.","Harry Potter and the Prisoner of Azkaban"
"58",345370,347331,"- Hold on, hold on.- Get off.","Harry Potter and the Prisoner of Azkaban"
"59",348624,350417,"- Don't you dare!- Sorry.","Harry Potter and the Prisoner of Azkaban"
"60",351627,353461,"Oh, Vernon.","Harry Potter and the Prisoner of Azkaban"
"61",353629,355379,"Oh, God.","Harry Potter and the Prisoner of Azkaban"
"62",355547,357341,"Marge!","Harry Potter and the Prisoner of Azkaban"
