"id","startTime","endTime","text","title"
"1",40,40,"25.000","Harvey"
"2",92520,94640,"After you.","Harvey"
"3",100479,104280,"Is this 348?Yes, it is.","Harvey"
"4",104359,107359,"I've gota special delivery here.
That sounds interesting.","Harvey"
"5",107439,110640,"It's for Dowd.Dowd's my name.
Elwood P.","Harvey"
"6",110719,113479,"Here, sir.Let me give you one
of my cards.","Harvey"
"7",113520,117560,"That won't be necessary.Just sign right here.
Uh-huh.","Harvey"
"8",117640,122120,"Beautiful day.Every day's
a beautiful day.","Harvey"
"9",122840,125079,"Thank you.","Harvey"
"10",126319,129000,"He was a nice man.","Harvey"
"11",131560,133520,"Come on.","Harvey"
"12",144800,147319,"Thank heavenshe's gone!","Harvey"
"13",147400,149719,"Oh, Myrtle, it'sa wonderful feeling...","Harvey"
"14",149800,153120,"to have your relativeout of the house
before the company comes.","Harvey"
"15",153159,156280,"You're sure Uncle Elwoodwon't come back
and spoil everything?","Harvey"
"16",156360,159599,"Of course not, dear.Your uncle always spends
the afternoon...","Harvey"
"17",159639,163319,"downtown at those filthy barsand taverns,
you know that.","Harvey"
"18",163400,165840,"I'll go tell the cateressto get started.","Harvey"
"19",165879,168599,"Why, Miss Johnson,what are you doing?
Leaving.","Harvey"
"20",168680,171520,"Miss Johnson,you were hired to serve
as well as cater.","Harvey"
"21",171599,174439,"Our guests will be hereany minute.
Now, Miss Johnson...","Harvey"
"22",174479,177719,"Myrtle, let me handlethis, dear.
Miss Johnson, what's wrong?","Harvey"
"23",177800,181080,"There was a man herea minute ago and he stopped
and he spoke to me.","Harvey"
"24",181120,185319,"You didn't tell him anythingabout our party, did you?
I didn't tell him nothin'!","Harvey"
"25",185400,189479,"He gave me his card.Here. And then he
introduced me to somebody.","Harvey"
"26",189560,193479,"To whom?Do you think I'd stay
in this house after that?","Harvey"
"27",193560,196840,"Um, well...Oh!","Harvey"
"28",196920,201400,"People get run over by trucksevery day. Why can't that
happen to Uncle Elwood?","Harvey"
"29",201479,204000,"Myrtle Mae Simmons,I'm ashamed of you!","Harvey"
"30",204079,208280,"Even if people do callyour uncle peculiar,
he is still my baby brother...","Harvey"
"31",208360,211319,"and thisis not his fault.
Whose fault is it?","Harvey"
"32",211400,214879,"We'll get the cookto do the serving.
Come and lend me a hand.","Harvey"
"33",215079,218039,"We haven't got much time.Elvira!","Harvey"
"34",218120,220560,"If it isn't his fault,whose fault is it?","Harvey"
"35",220639,226000,"I know whose fault it is,but I'm not telling.
You're not telling?","Harvey"
"36",226039,228439,"Elvira?","Harvey"
"37",228520,232319,"Elvira, you can bringthose things in now.","Harvey"
"38",232400,234800,"Mother, why can't we livelike other people?","Harvey"
"39",234879,236800,"Do I haveto keep reminding you...","Harvey"
"40",236879,240360,"your Uncle Elwoodis not living with us,
we're living with him?","Harvey"
"41",240439,242639,"Living with himand his pal!
You promised!","Harvey"
"42",242719,246680,"- His pal Harvey!- Oh, you said that name.","Harvey"
"43",246719,250280,"You promised you wouldn't saythat name and you said it!","Harvey"
"44",250360,252840,"[Shoes Squeaking]","Harvey"
"45",254080,256040,"[Shoes Squeaking]","Harvey"
"46",258120,261360,"Mother, why did grandmotherleave all her property
to Uncle Elwood?","Harvey"
"47",261439,264319,"I suppose it was becauseshe died in his arms.","Harvey"
"48",264399,267079,"People are sentimentalabout things like that.","Harvey"
"49",267160,269319,"You always say thatand it doesn't make sense.","Harvey"
"50",269399,273759,"She couldn't make out a willafter she died, could she?
Don't be didactic.","Harvey"
"51",273840,277480,"It's not becomingin a young girl.
Besides, men loathe it.","Harvey"
"52",277519,279519,"Men! A fine chanceI've got!","Harvey"
"53",279600,283639,"Dear, the whole ideaof this party this afternoon
is to...","Harvey"
"54",283720,287560,"[Shoes Squeaking]","Harvey"
"55",287600,290480,"[Shoes Squeaking]","Harvey"
"56",290560,294840,"Is to get you started socially,so that you can meet
some nice young men.","Harvey"
"57",294920,297279,"What's the use?Myrtle Mae Simmons,","Harvey"
"58",297360,300199,"her uncle, Elwood P. Dowd,is the biggest screw...
[Shoes Squeaking]","Harvey"
"59",303360,305639,"[Shoes Squeaking]","Harvey"
"60",305680,309000,"Screwball in town!Who'd want me?","Harvey"
"61",309079,313319,"Myrtle, dear, you're sweetand you have so much to offer.","Harvey"
"62",313399,317920,"I don't care what anyone says,there's something sweet
about every young girl.","Harvey"
"63",318000,321439,"And a man takes that sweetnessand look what he does with it!","Harvey"
"64",321519,325959,"Oh, show some poise, dear.I want you to charm
Mrs. Chauvenet.","Harvey"
"65",326040,328399,"She has a grandsonjust about your age.","Harvey"
"66",328480,333519,"A lot of good that'll doif Uncle Elwood comes home.
Uncle Elwood won't be home.","Harvey"
"67",333600,338560,"Or will he? I'm goingto telephone Judge Gaffney.
We can't take any chances.","Harvey"
"68",338639,340560,"[Car Approaching]","Harvey"
"69",343879,346480,"Mother,you better hurry!","Harvey"
"70",346560,349480,"Mrs. Halseyand Miss Tewksbury
are here already.","Harvey"
"71",349560,352279,"Oh, dear.Yes, dear, I am hurrying.","Harvey"
"72",352360,354920,"Hurry, Mother.They're getting out
of the car.","Harvey"
"73",354959,357199,"Oh...","Harvey"
"74",362959,367160,"Judge Gaffney, please.Mrs. Veta Simmons calling.
[Door Opens]","Harvey"
"75",367240,369680,"[Phone Buzzes]","Harvey"
"76",371240,373000,"Yes?","Harvey"
"77",373079,375920,"Oh, put her on.","Harvey"
"78",376000,378399,"Veta, my girl,this is a pleasure.","Harvey"
"79",378480,380480,"Judge, we haven't gota moment to lose.","Harvey"
"80",380560,385720,"I'm having the Wednesday Forumover for a program tea
for Ethel Chauvenet.","Harvey"
"81",385759,389000,"Elwood has just gone out,but I'm so afraid
he may come back.","Harvey"
"82",389079,391199,"You can understand why.Oh!","Harvey"
"83",391279,394199,"Hello, Miss Tewksbury,Mrs. Halsey.","Harvey"
"84",394279,398360,"Go right into the drawing room.Myrtle, take their things.","Harvey"
"85",398439,400720,"Yes, you've got to help me,Judge.","Harvey"
"86",400800,402800,"[Whispering]You've got to help me.
I can't...","Harvey"
"87",402879,404840,"Speak up, Veta!","Harvey"
"88",404920,409680,"[Whispering]What? I can't make out...
Is that so?","Harvey"
"89",412199,416519,"Oh, yoo-hoo,Mrs. Streickelberger.
Hello, Mrs. Simmons.","Harvey"
"90",416600,419680,"[Whispering]","Harvey"
"91",419759,422279,"[Whispering]","Harvey"
"92",422360,425360,"Oh, no, no, no.Yes, that'll be all right.","Harvey"
"93",425399,427399,"You can depend on me.","Harvey"
"94",427480,429720,"All right.[Clears Throat]","Harvey"
"95",432040,435079,"Minninger,in a few minutes, a man
will be crossing the square.","Harvey"
"96",435160,438000,"He'll be wearing a hat and coatand carrying another one
over his arms.","Harvey"
"97",438079,441720,"I want you to follow him.If necessary, even confront him,
quietly, of course.","Harvey"
"98",441800,444920,"But at all events,I want you to prevent him
from returning to his house.","Harvey"
"99",445000,448360,"His sister is giving a party.He wouldn't fit in.
His name is Elwood P. Dowd.","Harvey"
"100",448439,451199,"Elwood Dowd, sir!Couldn't you get
someone else?","Harvey"
"101",451279,454000,"Kratke maybe or Beck?They're bigger than I am.","Harvey"
"102",454079,458240,"You'll be able to hide better.Hurry and stick with him
all afternoon. Quickly, boy.","Harvey"
"103",458319,461720,"Yes, sir.","Harvey"
"104",463680,465680,"Oh, elevator!","Harvey"
"105",470079,472480,"[Woman]Come in.","Harvey"
"106",474560,477920,"Yes?Who is it?","Harvey"
"107",479399,484240,"Oh! The doctorwill see you in a minute.","Harvey"
"108",486680,489399,"Good afternoon,Mr. Dowd.
Howdy do?","Harvey"
"109",500279,503240,"[Siren Wailing]","Harvey"
"110",505839,508680,"We must bemore careful.","Harvey"
"111",516399,518360,"After you.","Harvey"
"112",525120,527679,"How do, Mr. Dowd?Afternoon,
Mr. Cracker.","Harvey"
"113",527759,529679,"Excuse me.","Harvey"
"114",529759,533879,"How is he?Oh, he's just fine, fine.
HoW are you?","Harvey"
"115",533960,537240,"Oh, can't complain.That's good.","Harvey"
"116",539240,541840,"Is this all right?You sure, hmm?","Harvey"
"117",541919,546960,"Well, all right.Give you a hand there.
Whoop, don't slip! There.","Harvey"
"118",547039,550039,"You sure this is all right?You wouldn't rather sit
in a booth?","Harvey"
"119",550120,552080,"Well, all right.Would he prefer
a booth?","Harvey"
"120",552159,554960,"Thank you, Mr. Cracker.He seems to prefer
the bar today.","Harvey"
"121",555120,558120,"Good afternoonto you, sir.","Harvey"
