"id","startTime","endTime","text","title"
"1",71370,75307,"SOLDIER OVER PA: Unit Christmas rationsmust be picked up by 0900 hours.","Hellboy II: The Golden Army"
"2",76341,81472,"Armor group tree decoration team,report to the Engineering Depot.","Hellboy II: The Golden Army"
"3",85951,89649,"My son, will you turn offthat wretched puppet?","Hellboy II: The Golden Army"
"4",90656,92625,"Brush your teeth.","Hellboy II: The Golden Army"
"5",92692,95353,"Don't call him a puppet.","Hellboy II: The Golden Army"
"6",95427,96895,"I beg your pardon.","Hellboy II: The Golden Army"
"7",96962,99591,"Look, he's not a puppet.","Hellboy II: The Golden Army"
"8",99665,100894,"Howdy Doody's real.","Hellboy II: The Golden Army"
"9",100966,102127,"Well...He's real.","Hellboy II: The Golden Army"
"10",102201,104727,"Mr. Deedee Doodoo willhave to say good night.","Hellboy II: The Golden Army"
"11",104804,106567,"Oh, no.","Hellboy II: The Golden Army"
"12",106639,109164,"And remember,you have to be asleep","Hellboy II: The Golden Army"
"13",109241,111733,"when he comesdown the chimney.","Hellboy II: The Golden Army"
"14",112778,114679,"It's not even a chimney, Pop.","Hellboy II: The Golden Army"
"15",115682,116978,"He has his ways.","Hellboy II: The Golden Army"
"16",117049,118381,"Then I want to wait up.Watch him do it.","Hellboy II: The Golden Army"
"17",118450,119509,"Nonsense.","Hellboy II: The Golden Army"
"18",119585,122349,"(SIGHS) Okay.I want a story then.","Hellboy II: The Golden Army"
"19",122421,123787,"Oh, no, no, no.No stories tonight.","Hellboy II: The Golden Army"
"20",123856,125950,"Just one.And then I'll go to bed.","Hellboy II: The Golden Army"
"21",126025,127457,"Right away.","Hellboy II: The Golden Army"
"22",127527,130257,"Then I'll brush my teeth,I promise.","Hellboy II: The Golden Army"
"23",139872,143808,"""It is said thatat the dawn of time,","Hellboy II: The Golden Army"
"24",143877,150783,"""man, beast and all magical beings livedtogether under Aiglin the Father Tree.","Hellboy II: The Golden Army"
"25",151550,155486,"""But man had been createdwith a hole in his heart,","Hellboy II: The Golden Army"
"26",155555,161050,"""a hole that no possession,power or knowledge could fill.","Hellboy II: The Golden Army"
"27",161127,163356,"""And in his infinite greed,","Hellboy II: The Golden Army"
"28",163429,168593,"""man dreamt of expanding hisdominion over the entire Earth.","Hellboy II: The Golden Army"
"29",173573,175473,"(ROARS)","Hellboy II: The Golden Army"
"30",177310,178776,"(ALL SHOUTING)","Hellboy II: The Golden Army"
"31",183216,187050,""" The blood of many an elf,ogre and goblin","Hellboy II: The Golden Army"
"32",187120,189849,"was spilled intheir war with man.","Hellboy II: The Golden Army"
"33",189923,193324,"""And King Balor, theone-armed king of Elfland,","Hellboy II: The Golden Army"
"34",193393,197123,""" watched the slaughterin dread and despair.","Hellboy II: The Golden Army"
"35",198664,202100,""" But one day, the masterof the goblin blacksmiths","Hellboy II: The Golden Army"
"36",202168,206264,""" offered to build the kinga golden mechanical army,","Hellboy II: The Golden Army"
"37",206338,208704,"""seventy times 70 soldiers","Hellboy II: The Golden Army"
"38",208775,212711,""" that would never know hungerand could not be stopped.","Hellboy II: The Golden Army"
"39",212778,215713,""" Prince Nuada beggedhis father to agree.","Hellboy II: The Golden Army"
"40",216883,219408,""" 'Build me this army, 'the king said.","Hellboy II: The Golden Army"
"41",229728,232721,""" So a magical crownwas forged","Hellboy II: The Golden Army"
"42",232799,235028,""" that would allowthose of royal blood","Hellboy II: The Golden Army"
"43",235100,237933,""" to command the Golden Armyif unchallenged.","Hellboy II: The Golden Army"
"44",238003,242133,""" 'I am King Balor,leader of the Golden Army.","Hellboy II: The Golden Army"
"45",242207,244768,""" 'ls there anyonewho disputes my right? '","Hellboy II: The Golden Army"
"46",244843,248644,"""And in his throne roomno one challenged his word.""","Hellboy II: The Golden Army"
"47",249581,252745,"But, wait, what if someonecould challenge him?","Hellboy II: The Golden Army"
"48",252818,253877,"Would they have a fight?","Hellboy II: The Golden Army"
"49",253953,255215,"Well, most likely.","Hellboy II: The Golden Army"
"50",255288,256481,"A challenge mustbe answered.","Hellboy II: The Golden Army"
"51",256555,258649,"But do you want to hearthe end of this story or not?","Hellboy II: The Golden Army"
"52",258725,259817,"Yes, please.","Hellboy II: The Golden Army"
"53",259891,260949,"Right.","Hellboy II: The Golden Army"
"54",261026,266158,"""So the world was changed, andthe next time the humans marched,","Hellboy II: The Golden Army"
"55",266231,269860,""" they felt the earthtremble beneath their feet","Hellboy II: The Golden Army"
"56",269935,274430,""" and saw the sky darkenwith monstrous shapes.","Hellboy II: The Golden Army"
"57",279612,286278,""" The Golden Army had noremorse, felt no loyalty or pain.","Hellboy II: The Golden Army"
"58",290088,293490,"""And King Balor's heartgrew heavy with regret.","Hellboy II: The Golden Army"
"59",293558,298826,""" So he called a truce anddivided the crown in three pieces,","Hellboy II: The Golden Army"
"60",298898,302560,""" one for the humans,and two for himself.","Hellboy II: The Golden Army"
"61",302634,305899,""" In exchange, manwould keep to the cities","Hellboy II: The Golden Army"
"62",305971,308963,""" and the magical beingswould own the forests.","Hellboy II: The Golden Army"
"63",309041,313307,""" This truce would be honored bytheir sons and the sons of their sons","Hellboy II: The Golden Army"
"64",313379,315175,""" until the end of time.","Hellboy II: The Golden Army"
"65",316415,320317,""" But Prince Nuada did notbelieve in the promises of man.","Hellboy II: The Golden Army"
"66",320386,323355,"""And it is said thathe went into exile,","Hellboy II: The Golden Army"
"67",323456,327620,""" vowing to return the dayhis people needed him most.","Hellboy II: The Golden Army"
"68",328226,331822,""" So the GoldenArmy lay dormant,","Hellboy II: The Golden Army"
"69",331898,335425,""" locked inside the Earth,waiting.","Hellboy II: The Golden Army"
"70",337336,340170,"""And there it is to this day,","Hellboy II: The Golden Army"
"71",340238,344038,"""awaiting the day the crownis made whole again.","Hellboy II: The Golden Army"
"72",344110,349706,"""Silent,still and indestructible.""","Hellboy II: The Golden Army"
"73",349781,353411,"Wow. What does itmean ""industrable""?","Hellboy II: The Golden Army"
"74",353485,354713,"Indestructible.","Hellboy II: The Golden Army"
"75",354786,355947,"Indestruct...","Hellboy II: The Golden Army"
"76",356021,357182,"It means no onecan destroy them.","Hellboy II: The Golden Army"
"77",357255,358382,"Wow.","Hellboy II: The Golden Army"
"78",358457,360584,"Go to sleep, my son.","Hellboy II: The Golden Army"
"79",360660,363560,"But it's justa story, right, Pops?","Hellboy II: The Golden Army"
"80",363629,364687,"Is it now?","Hellboy II: The Golden Army"
"81",364764,366129,"(CHUCKLES)Yeah, come on.","Hellboy II: The Golden Army"
"82",366199,367529,"Those guys,they can't be real.","Hellboy II: The Golden Army"
"83",367600,371730,"Well, my son,I'm sure you'll find out.","Hellboy II: The Golden Army"
