"id","startTime","endTime","text","title"
"1",0,16617,"http://subscene.com/u/659433Improved by: @Ivandrofly","Hercules"
"2",16619,20374,"NARRATOR: Long ago,in the faraway land of ancient Greece,","Hercules"
"3",20456,25929,"there was a golden age of powerfulgods and extraordinary heroes.","Hercules"
"4",26003,31885,"And the greatest and strongest of allthese heroes was the mighty Hercules.","Hercules"
"5",31968,35472,"But what is the measure of a true hero?","Hercules"
"6",35555,38559,"- That is what our story is...- Will you listen to him?","Hercules"
"7",38641,41565,"He's makin' the story sound likesome Greek tragedy.","Hercules"
"8",41644,45239,"- Lighten up, dude.- We'll take it from here, darling.","Hercules"
"9",45314,48568,"NARRATOR: You go, girl.","Hercules"
"10",48651,54658,"We are the Muses, goddesses ofthe arts and proclaimers of heroes.","Hercules"
"11",54740,56538,"Heroes like Hercules.","Hercules"
"12",56617,58585,"Honey, you mean ""Hunk-ules.""","Hercules"
"13",58661,60914,"Ooh, I'd like to makesome sweet music with him...","Hercules"
"14",60997,67972,"Our story actually begins long beforeHercules, many aeons ago.","Hercules"
"15",68337,69554,"Ah.","Hercules"
"16",69755,72850,"Back when the world was new.","Hercules"
"17",72925,75769,"The planet Earth was down on its luck.","Hercules"
"18",75845,81693,"And everywhere gigantic brutescalled Titans ran amok.","Hercules"
"19",81767,84941,"It was a nasty place.","Hercules"
"20",85021,87945,"There was a messwherever you stepped.","Hercules"
"21",88024,93281,"Where chaos reigned and theearthquakes and volcanoes never slept.","Hercules"
"22",93362,94363,"Say it, girlfriend!","Hercules"
"23",94447,96074,"And then along came Zeus.","Hercules"
"24",96157,98956,"- He hurled his thunderbolt- CHORUS: He zapped.","Hercules"
"25",99035,101959,"- Locked those suckers in a vault.- They're trapped.","Hercules"
"26",102038,106418,"And on his ownstopped chaos in its tracks.","Hercules"
"27",106500,107968,"And that's the gospel truth.","Hercules"
"28",108044,112550,"The guy was too ""Type A"" to just relax.","Hercules"
"29",112632,114509,"And that's the world's first dish.","Hercules"
"30",114592,115593,"Yeah, baby.","Hercules"
"31",115676,118475,"Zeus tamed the globewhile still in his youth.","Hercules"
"32",118554,121524,"Though, honey it may seem impossible.","Hercules"
"33",121599,124819,"That's the gospel truth.","Hercules"
"34",124894,129525,"On Mount Olympus life was neatAnd smooth as sweet vermouth.","Hercules"
"35",130566,133695,"Although, honeyit may seem impossible.","Hercules"
"36",133778,140081,"That's the gospel truth.","Hercules"
"37",140159,141832,"CHORUS: Ah, ah.","Hercules"
"38",141952,146458,"- Yeah, yeah.- Ah, ah.","Hercules"
"39",146540,148133,"Hey, hey, hey.","Hercules"
"40",148209,149961,"Ah, ah.","Hercules"
"41",150586,152463,"Hey, yeah","Hercules"
"42",152546,153923,"(CHORUS HARMONISING)","Hercules"
"43",175861,177113,"(CHATTERING)","Hercules"
