"id","startTime","endTime","text","title"
"1",39700,41577,"[cheering]","High School Musical 3: Senior Year"
"2",48876,51587,"[labored breathing, heart thumping]","High School Musical 3: Senior Year"
"3",54757,57552,"[clock ticking fast]","High School Musical 3: Senior Year"
"4",62974,64392,"Let's go!","High School Musical 3: Senior Year"
"5",69063,70940,"- I'm open, I'm open.- I don't see it!","High School Musical 3: Senior Year"
"6",71023,73359,"- Take your time!- Run!","High School Musical 3: Senior Year"
"7",73442,75486,"- Run!- Go, go!","High School Musical 3: Senior Year"
"8",75570,78489,"- Let's go!- [audience] Defense! Defense!","High School Musical 3: Senior Year"
"9",78531,79699,"Come on,man!","High School Musical 3: Senior Year"
"10",79865,82285,"- Hustle, hustle!- Control that ball!","High School Musical 3: Senior Year"
"11",82368,84829,"- Bolton! I'm open!- Set it up! Let's go!","High School Musical 3: Senior Year"
"12",84871,87373,"All right, let's go!Let's move! Let's move!","High School Musical 3: Senior Year"
"13",87456,90334,"- Watch the run in.- Watch the back door!","High School Musical 3: Senior Year"
"14",90376,93504,"- Get it!- [buzzer rings]","High School Musical 3: Senior Year"
"15",93546,95590,"[announcer] That concludesthe first half of play","High School Musical 3: Senior Year"
"16",95673,98384,"in our final game,with the West High Knights","High School Musical 3: Senior Year"
"17",98467,102388,"leading defending championEast High Wildcats 47 - 26.","High School Musical 3: Senior Year"
"18",102471,104515,"Sixteen minutes remain in the game.","High School Musical 3: Senior Year"
"19",126662,129707,"All right! No more X's and O's. OK?","High School Musical 3: Senior Year"
"20",129749,133711,"Forget about the scoreboard becausehere's a number that matters.","High School Musical 3: Senior Year"
"21",133753,138591,"Sixteen. There's 16 minutesleft in this game, guys.","High School Musical 3: Senior Year"
"22",138674,141886,"There's only 16 minutesleft in the season.","High School Musical 3: Senior Year"
"23",141969,145765,"And for the seniorson this squad... guys...","High School Musical 3: Senior Year"
"24",148601,151646,"...you've only got 16 minutesleft in a Wildcat uniform.","High School Musical 3: Senior Year"
"25",153773,155107,"So make them count.","High School Musical 3: Senior Year"
"26",157026,160071,"Sixteen minutes to be a team.","High School Musical 3: Senior Year"
"27",163658,164742,"Captains!","High School Musical 3: Senior Year"
"28",168538,169664,"All right.","High School Musical 3: Senior Year"
"29",170873,172208,"Hey, guys.","High School Musical 3: Senior Year"
"30",173709,175795,"Now, you heard Coach.","High School Musical 3: Senior Year"
"31",175878,178422,"We're all gonna rememberthe next 16 minutes","High School Musical 3: Senior Year"
"32",178464,180633,"for a long timeafter we leave East High.","High School Musical 3: Senior Year"
"33",182134,183553,"So it's now or never.","High School Musical 3: Senior Year"
"34",185805,186847,"Chad.","High School Musical 3: Senior Year"
"35",189850,191811,"- What team?- Wildcats!","High School Musical 3: Senior Year"
"36",191894,193521,"- What team?- Wildcats!","High School Musical 3: Senior Year"
"37",193604,195773,"- What team?- Wildcats!","High School Musical 3: Senior Year"
"38",195856,197858,"[cheering]","High School Musical 3: Senior Year"
"39",200319,204198,"# Sixteen, 16, 16 minutes leftBetter get it done","High School Musical 3: Senior Year"
"40",204282,208661,"# Sixteen, 16, 16 more minutesGet ready, game on!","High School Musical 3: Senior Year"
"41",208744,213082,"# Sixteen, 16, 16 minutes leftRunning out of time","High School Musical 3: Senior Year"
"42",213165,216961,"# Sixteen, 16, 16 more minutesAnd it's on the line","High School Musical 3: Senior Year"
"43",217003,221132,"# Sixteen, 16, 16 minutes leftGot to get it done","High School Musical 3: Senior Year"
"44",221215,224886,"# Sixteen, 16, 16 more minutestill we're number one!","High School Musical 3: Senior Year"
"45",224969,228222,"# W-I-L-D Wildcats!","High School Musical 3: Senior Year"
"46",228306,229891,"Huddle up! Let's go!","High School Musical 3: Senior Year"
"47",229974,233728,"# W-I-L-D Wildcats!Come on, come on","High School Musical 3: Senior Year"
"48",234645,235813,"Ready?","High School Musical 3: Senior Year"
"49",236814,237982,"Break!","High School Musical 3: Senior Year"
"50",238024,242445,"# W-I-L-D Wildcats!Now's the time","High School Musical 3: Senior Year"
"51",242528,246032,"# Got to get it insideDown low, in the paint, now shoot","High School Musical 3: Senior Year"
"52",246115,247200,"# Score!","High School Musical 3: Senior Year"
"53",247283,249285,"- # Gotta work together- Defense!","High School Musical 3: Senior Year"
"54",249368,251120,"# Give me the ball","High School Musical 3: Senior Year"
"55",251204,254165,"# Fast break, keep the ballin control, let it fly from downtown","High School Musical 3: Senior Year"
"56",254207,256209,"# Three more","High School Musical 3: Senior Year"
"57",256292,258169,"- # Show them we can do better- # No way!","High School Musical 3: Senior Year"
"58",258211,259670,"Come on, boys!","High School Musical 3: Senior Year"
"59",259712,264008,"# The way we play tonightis what we leave behind","High School Musical 3: Senior Year"
"60",264050,267887,"# It all comes downto right now, it's up to us","High School Musical 3: Senior Year"
"61",267970,270765,"- # Let's go!- # So what are we gonna be","High School Musical 3: Senior Year"
"62",270848,272433,"# T-E-A-MTeam!","High School Musical 3: Senior Year"
"63",272516,275561,"# Gotta work it outTurn it on","High School Musical 3: Senior Year"
"64",275645,277063,"# This is the last time to get it right","High School Musical 3: Senior Year"
"65",277146,279732,"# This is the last chanceto make it our night","High School Musical 3: Senior Year"
"66",279815,281901,"# We got to show what we're all about","High School Musical 3: Senior Year"
"67",281984,284028,"- # Work together- Time out!","High School Musical 3: Senior Year"
"68",284111,287865,"# This is the last chance to makeour mark, history will know who we are","High School Musical 3: Senior Year"
"69",287949,292620,"# This is the last game so makeit count, it's now or never","High School Musical 3: Senior Year"
"70",295039,297416,"- Hey! That's a foul!- Oh, dear.","High School Musical 3: Senior Year"
"71",297500,299502,"[heart thumping]","High School Musical 3: Senior Year"
"72",299585,302964,"- You OK?- Come on, Troy!","High School Musical 3: Senior Year"
"73",305466,307510,"Let's go, buddy!","High School Musical 3: Senior Year"
"74",308886,311556,"# Troy","High School Musical 3: Senior Year"
"75",311597,314725,"# Right now I can hardly breathe","High School Musical 3: Senior Year"
"76",314809,319647,"# Oh, you can do itJust know that I believe","High School Musical 3: Senior Year"
"77",319730,322692,"# And that's all I really need","High School Musical 3: Senior Year"
"78",322775,324777,"- # Then come on- # Make me strong","High School Musical 3: Senior Year"
"79",324860,327738,"# It's time to turn it upGame on!","High School Musical 3: Senior Year"
"80",327780,331409,"# Wildcats gonna tear it upGo, Wildcats, yeah, we're number one","High School Musical 3: Senior Year"
"81",334287,335621,"[groans]","High School Musical 3: Senior Year"
"82",336914,338499,"Foul!","High School Musical 3: Senior Year"
"83",338583,340126,"- Yeah!- All right!","High School Musical 3: Senior Year"
"84",340209,341878,"- What?- Yeah!","High School Musical 3: Senior Year"
"85",341961,344088,"# Let me hear you sayHey, hey, hey, yeah","High School Musical 3: Senior Year"
"86",347717,350177,"I'm tripled-teamed.I can't get a shot off.","High School Musical 3: Senior Year"
"87",350261,353139,"- What do you want to do?- Let's put in Rocket Man.","High School Musical 3: Senior Year"
"88",353222,355141,"Rocket Man?","High School Musical 3: Senior Year"
"89",355182,357435,"- Troy, you're two points away from...- I know.","High School Musical 3: Senior Year"
"90",357518,360187,"- Just get me the ball.- OK.","High School Musical 3: Senior Year"
"91",360271,363024,"Rocket Man! Come on!Come on, Rocket Man! You're in!","High School Musical 3: Senior Year"
"92",363107,364108,"- Get in here!- Go!","High School Musical 3: Senior Year"
"93",364191,365192,"- Let's go!- Move!","High School Musical 3: Senior Year"
"94",365276,366694,"Go, go, go! Move!","High School Musical 3: Senior Year"
"95",367403,369113,"Yeah! Oh, yeah!","High School Musical 3: Senior Year"
"96",369196,371324,"Calm down, OK?","High School Musical 3: Senior Year"
"97",371407,374160,"- All right, keep your eyes on me.- # Game on!","High School Musical 3: Senior Year"
"98",374243,376287,"# This is the last time to get it right","High School Musical 3: Senior Year"
"99",376329,378623,"# This is the last chanceto make it our night","High School Musical 3: Senior Year"
"100",378664,382543,"# We gotta show what we'reall about, team! Work together","High School Musical 3: Senior Year"
"101",382627,384629,"# This is the last chanceto make our mark","High School Musical 3: Senior Year"
"102",384670,387089,"# History will know who we are","High School Musical 3: Senior Year"
"103",387173,390593,"# This is the last game so make it countIt's now or never #","High School Musical 3: Senior Year"
"104",392178,393137,"Come on!","High School Musical 3: Senior Year"
"105",397183,398267,"Shoot it!","High School Musical 3: Senior Year"
"106",405316,406275,"Yes!","High School Musical 3: Senior Year"
"107",407693,410655,"We won, dude! We won! You OK?","High School Musical 3: Senior Year"
"108",410738,412782,"[gasping]","High School Musical 3: Senior Year"
"109",412865,416369,"Yeah! Yeah!","High School Musical 3: Senior Year"
"110",416452,417870,"Yeah!","High School Musical 3: Senior Year"
"111",420957,423084,"That's what I'm talking about. Yeah!","High School Musical 3: Senior Year"
"112",429549,430675,"I'm pushing.","High School Musical 3: Senior Year"
"113",430716,432677,"- You better be.- I'm pushing!","High School Musical 3: Senior Year"
"114",432718,435054,"- Push harder!- Chad, tree!","High School Musical 3: Senior Year"
"115",440017,441185,"Home sweet home.","High School Musical 3: Senior Year"
"116",443646,446816,"- I'm saving for a new fuel pump.- Mm-hm. Save faster.","High School Musical 3: Senior Year"
"117",448901,451112,"[pop music plays]","High School Musical 3: Senior Year"
"118",455575,456951,"Hey, turn it up, Kels.","High School Musical 3: Senior Year"
"119",458578,460371,"- How you doing, girl?- I'm good!","High School Musical 3: Senior Year"
"120",460413,462290,"- Great comeback!- Thanks.","High School Musical 3: Senior Year"
"121",462373,464375,"- Watch that tail. It's dangerous.- You know it!","High School Musical 3: Senior Year"
"122",464458,467920,"- Amazing! We won!- I didn't think they'd come back.","High School Musical 3: Senior Year"
"123",467962,469130,"Hey!","High School Musical 3: Senior Year"
"124",469213,471924,"- Congratulations!- Thanks. Can I fix you a plate?","High School Musical 3: Senior Year"
"125",472008,474635,"- I want one of everything!- Are we celebrating?","High School Musical 3: Senior Year"
"126",474719,476178,"What's up, Hoops?","High School Musical 3: Senior Year"
"127",476262,478306,"- Back-to-back champions!- Yeah, thanks.","High School Musical 3: Senior Year"
"128",478389,480725,"Coach, got a coupleof empty lockers at U of A?","High School Musical 3: Senior Year"
"129",480808,482268,"Hopefully not for long.","High School Musical 3: Senior Year"
"130",482310,484437,"Charlie Danforthwill suit up next season.","High School Musical 3: Senior Year"
"131",484520,486230,"Front row seat will be fine.","High School Musical 3: Senior Year"
"132",486314,490067,"That teamwork I saw tonight, that assistwhere you gave up the final shot,","High School Musical 3: Senior Year"
"133",490151,492486,"that's the kind of playersI'm looking for.","High School Musical 3: Senior Year"
"134",492570,495031,"We're going to see youin Redhawk uniforms?","High School Musical 3: Senior Year"
"135",495114,496908,"- Done deal.- Amen to that.","High School Musical 3: Senior Year"
"136",496991,498618,"- Go have some fun.- OK.","High School Musical 3: Senior Year"
"137",498701,501120,"- Congratulations, Troy!- Hey! Thanks.","High School Musical 3: Senior Year"
"138",501204,502246,"- Yo!- Hey, dude!","High School Musical 3: Senior Year"
"139",502330,503789,"Sweet game!","High School Musical 3: Senior Year"
"140",503873,507543,"Hey, Troy. Great house, bro.Your room is way cool.","High School Musical 3: Senior Year"
"141",507627,510129,"Thanks, man. You were in my room?","High School Musical 3: Senior Year"
"142",510213,513216,"Well, yeah. I just took a picture. Look.","High School Musical 3: Senior Year"
"143",513299,515927,"- I'm doing mine the same way.- Great.","High School Musical 3: Senior Year"
"144",515968,519347,"We should hang out tonight.Get to know each other or something.","High School Musical 3: Senior Year"
"145",519430,522850,"I just gotta grab the championshiptrophy I left it in my truck.","High School Musical 3: Senior Year"
"146",522934,524769,"- Don't sweat it! I'm on it!- OK.","High School Musical 3: Senior Year"
"147",527772,528731,"Hi!","High School Musical 3: Senior Year"
"148",539575,542703,"So, another top-secret hiding place?","High School Musical 3: Senior Year"
"149",543913,545957,"You're the second girl I've had up here.","High School Musical 3: Senior Year"
"150",548626,550503,"The first was my mom.","High School Musical 3: Senior Year"
"151",550586,552547,"She only climbed up here to get me down.","High School Musical 3: Senior Year"
"152",554173,557802,"Well, I'm honored.This place is so cool.","High School Musical 3: Senior Year"
"153",559053,560763,"Me and my dad built it.","High School Musical 3: Senior Year"
"154",563599,565643,"[Gabriella] That the coachfrom U of A down there?","High School Musical 3: Senior Year"
"155",565685,569272,"- Yeah. He's at my house.- Yeah.","High School Musical 3: Senior Year"
"156",569355,570815,"Crazy.","High School Musical 3: Senior Year"
"157",570898,574485,"I bet he's already gotyour name on a locker.","High School Musical 3: Senior Year"
"158",574569,579156,"It's always been my dad's dream. NowI'm going to end up at his alma mater.","High School Musical 3: Senior Year"
"159",581993,583327,"Did I just say that?","High School Musical 3: Senior Year"
"160",586205,590501,"My mom and I have been talking aboutStanford pretty much since I was born.","High School Musical 3: Senior Year"
"161",590543,593880,"And you're already in. That's so cool.","High School Musical 3: Senior Year"
"162",596299,599844,"Except she won't stop talkingabout it. It's embarrassing.","High School Musical 3: Senior Year"
"163",599886,602138,"Come on. She's proud of you.","High School Musical 3: Senior Year"
"164",604265,605641,"I'm proud of you.","High School Musical 3: Senior Year"
"165",607977,610897,"The thing about Stanfordis it's a thousand and fifty...","High School Musical 3: Senior Year"
"166",610980,612982,"...fifty-three miles from here.","High School Musical 3: Senior Year"
"167",615067,616360,"I know.","High School Musical 3: Senior Year"
"168",620823,624368,"It suddenly seems like the restof the school year is coming so fast.","High School Musical 3: Senior Year"
"169",624410,627330,"Yeah. I wish it would all just stop.","High School Musical 3: Senior Year"
"170",629999,631667,"At least just slow down.","High School Musical 3: Senior Year"
"171",641135,645264,"# Can you imagine what would happen","High School Musical 3: Senior Year"
"172",645348,648017,"# If we could have any dream?","High School Musical 3: Senior Year"
"173",649727,653814,"# I'd wish this momentwas ours to own it","High School Musical 3: Senior Year"
"174",653898,657360,"# And that it would never leave","High School Musical 3: Senior Year"
