"id","startTime","endTime","text","title"
"1",89249,92127,"-Wait a minute, will you? l'll be right out.-All right.","Holiday"
"2",99089,100363,"The doorbell's ringing.","Holiday"
"3",100449,101768,"Yes, l know.","Holiday"
"4",107489,109445,"Well, l'm not expecting anybody.","Holiday"
"5",109529,110484,"Neither am l.","Holiday"
"6",110569,113083,"Come on, open up.","Holiday"
"7",113169,115046,"Why, that's Johnny Case.","Holiday"
"8",115609,118601,"Open up. Open up or l'll break it down.","Holiday"
"9",119769,121282,"-Johnny.-Hello, Susan.","Holiday"
"10",121369,123087,"-How are you? Good to see you.-Nick.","Holiday"
"11",123169,126605,"Get out of Johnny's arms andlet him come in. When did you get back?","Holiday"
"12",126689,128839,"Few minutes ago.l didn't have time to go home.","Holiday"
"13",128929,130282,"-Mind if l leave my grips here?-No.","Holiday"
"14",130369,133361,"-You both look fine. So long.-Wait, we haven't seen you in two weeks.","Holiday"
"15",133449,136247,"-You can't run away.-l've got a date. There's a cab waiting.","Holiday"
"16",136329,138001,"-What of it?-Have some breakfast.","Holiday"
"17",138089,141047,"-How was your vacation?-Wonderful, wonderful, wonderful.","Holiday"
"18",141129,142357,"Guess he liked it.","Holiday"
"19",142449,145202,"l must go. She's waiting.l haven't seen her since Wednesday.","Holiday"
"20",145289,146688,"-She? Who?-My wife.","Holiday"
"21",146769,151160,"-Nick, did you hear the man?-The room is going round and round.","Holiday"
"22",151369,154759,"She's not exactly my wife yet.But she's going to be. lt's all arranged.","Holiday"
"23",155169,158286,"Take it easy, now.Everything will be all right.","Holiday"
"24",158369,160644,"-Lie down right there.-Wait a minute.","Holiday"
"25",161369,164202,"That's it now.Tell us all about it from the beginning.","Holiday"
"26",164289,165483,"-Who is she?-What's her name?","Holiday"
"27",165569,167241,"-Why marry her?-How'd you meet?","Holiday"
"28",167329,169047,"-What does she do?-Come, boy.","Holiday"
"29",169129,170118,"Wait.","Holiday"
"30",171889,174403,"lt's love, fellows. l've met the girl.","Holiday"
"31",175049,176164,"She is....","Holiday"
"32",176329,180083,"l can't describe her, but the first thingyou notice are her dimples when she smiles.","Holiday"
"33",180169,184128,"-Why didn't you say so in the first place?-That's going to make her the perfect wife.","Holiday"
"34",184209,187326,"l've found her.l didn't think they came that way anymore.","Holiday"
"35",187409,189718,"She's sweet, intelligent,the perfect playmate.","Holiday"
"36",189809,191959,"Listen, you haven't told us anything yet.","Holiday"
"37",192049,194802,"We're not letting any wenchsnag you without a struggle.","Holiday"
"38",194889,198325,"-Who is this girl? What does she do?-l don't know. What do most girls do?","Holiday"
"39",198409,200969,"Don't tell meyou didn't find out anything about her?","Holiday"
"40",201049,204405,"Sure. She wants me, the life l want,the home l want, the fun l want.","Holiday"
"41",204489,206798,"-What about her family?-What about her family?","Holiday"
"42",206889,208117,"What about her family?","Holiday"
"43",208209,210404,"-Didn't you find out anything about them?-No.","Holiday"
"44",211049,214325,"Sure, l did. She's got a brother,a sister and a father.","Holiday"
"45",214409,217526,"Now is that good enough?Come on, Nick, really, l've got to go.","Holiday"
"46",217609,219201,"Come on, fellow, up.","Holiday"
"47",219449,222486,"Thanks. l'll be late. Where's my hat?","Holiday"
"48",224449,227805,"-Well, what do you make of it?-l can see the whole thing.","Holiday"
"49",227969,230802,"Father, too old to work.Brother, a pool shark.","Holiday"
"50",230889,233562,"Sister can't keep a jobon account of she's too pretty.","Holiday"
"51",233649,237119,"Poor little Dimples has to work her fingersto the bone to support them.","Holiday"
