"id","startTime","endTime","text","title"
"1",900,76902,"Visit us @ hd-bb.orgWhere Quality Matters - AsCo.","Home Alone"
"2",85418,87585,"Where's my suitcase?","Home Alone"
"3",89588,91757,"Who stole the hair dryer?","Home Alone"
"4",91924,93383,"Miss. Young lady!","Home Alone"
"5",93593,95468,"Excuse me. Girls!","Home Alone"
"6",96137,98472,"Hey, little fella. Hey!","Home Alone"
"7",98680,101015,"Excuse me, girls. Girls!","Home Alone"
"8",101850,102850,"Hey, big fella!","Home Alone"
"9",103019,105228,"Help me make the bedsin the living room.","Home Alone"
"10",105438,106604,"Come on down here!","Home Alone"
"11",106855,108774,"Hey, son!","Home Alone"
"12",109692,113027,"Big fella.Hey, little guy! Little guy!","Home Alone"
"13",114447,117198,"Pete's brotherand his family are here.","Home Alone"
"14",117408,118950,"Trish is going to Montreal.","Home Alone"
"15",119159,121703,"Montreal? Oh, her family's there.","Home Alone"
"16",121954,123371,"-Then we're off.-When?","Home Alone"
"17",123581,125873,"-Tomorrow.-You're not ready, are you?","Home Alone"
"18",126501,129002,"Uncle Frank won't let mewatch the movie...","Home Alone"
"19",129211,130545,"...but the big kids can.","Home Alone"
"20",130796,132046,"Why can't I?","Home Alone"
"21",132257,133423,"I'm on the phone.","Home Alone"
"22",134384,136509,"When do you come back?Not till then?","Home Alone"
"23",136718,139555,"It's not even rated R.He's just being a jerk.","Home Alone"
"24",140681,143266,"Kevin, if Uncle Frank says no...","Home Alone"
"25",143475,145102,"...then it must be really bad.","Home Alone"
"26",145395,148479,"No, we put the dog in the kennel--Hey, get off!","Home Alone"
"27",148689,149897,"Kevin, out of the room.","Home Alone"
"28",150066,152401,"Hang up the phone and make me,why don't you?","Home Alone"
"29",152569,153610,"This kid.","Home Alone"
"30",153777,156320,"Did you pick upa voltage adapter thing?","Home Alone"
"31",156531,158073,"No, I didn't have time.","Home Alone"
"32",158283,161033,"-Then how do I shave in France?-Grow a goatee.","Home Alone"
"33",161243,163412,"Dad, nobody'll let me do anything.","Home Alone"
"34",163579,167915,"I've got something, pick up thoseMicro Machines that are all over.","Home Alone"
"35",168084,170085,"Aunt Leslie almost broke her neck.","Home Alone"
"36",170295,172628,"He was playingwith the glue gun again.","Home Alone"
"37",173046,174131,"We talked about that.","Home Alone"
"38",174507,177425,"Did I burn down the joint?I don't think so.","Home Alone"
"39",177593,179468,"I made ornaments out of fish hooks.","Home Alone"
"40",180346,183639,"-My new fish hooks?-I can't make them out of old ones...","Home Alone"
"41",183932,186225,"...with dry worm guts stuck on them.","Home Alone"
"42",187228,190188,"-Peter.-Come on, Kevin. Out.","Home Alone"
"43",190564,192649,"Do you guys have a voltage adapter?","Home Alone"
"44",192859,194318,"Here's a voltage adapter!","Home Alone"
"45",194526,198155,"God, you're getting heavy!Go pack your suitcase.","Home Alone"
"46",199532,202450,"Pack my suitcase?","Home Alone"
"47",202951,205078,"-Where's the shampoo?-I don't live here.","Home Alone"
"48",205288,207455,"This many people hereand no shampoo.","Home Alone"
"49",207623,209790,"-Are your folks home?-They don't live here.","Home Alone"
"50",209959,212627,"-Tracy, did you order the pizza?-Buzz did.","Home Alone"
"51",212836,214837,"Excuse me. Are your parents here?","Home Alone"
"52",215088,216548,"My parents live in Paris.","Home Alone"
"53",216716,217799,"-Hi!-Hi!","Home Alone"
"54",217966,219343,"-Are your parents home?-Yeah.","Home Alone"
"55",219509,221427,"-Do they live here?-No.","Home Alone"
"56",221596,225307,"No. Why should they?All kids, no parents.","Home Alone"
"57",225557,226891,"Probably a fancy orphanage.","Home Alone"
"58",227352,231062,"I don't know how to pack a suitcase.I've never done it once.","Home Alone"
"59",231271,233397,"-Tough.-That's what Megan said.","Home Alone"
"60",233608,236109,"-What did I say?-You told him, ""Tough.""","Home Alone"
"61",236319,239655,"The dope was whining about a suitcase.What was I supposed to say?","Home Alone"
"62",239822,241531,"""Congratulations, you're an idiot""?","Home Alone"
"63",241741,243282,"-I'm not an idiot!-Really?","Home Alone"
"64",243492,246578,"You're helpless! We have to doeverything for you.","Home Alone"
"65",246788,249997,"-She's right, Kev.-Excuse me, puke-breath. I'm small.","Home Alone"
