"id","startTime","endTime","text","title"
"1",178638,180515,"Good morning, Quark.","Honey, I Shrunk the Kids"
"2",182517,185478,"I couldn't believe it. Lisa toldJanet that Paul asked Barbara...","Honey, I Shrunk the Kids"
"3",185562,188523,"to ask me if I hada date to the dance.","Honey, I Shrunk the Kids"
"4",188606,191025,"No, they broke up forreligious differences.","Honey, I Shrunk the Kids"
"5",191109,193778,"She thought she was Godand he disagreed.","Honey, I Shrunk the Kids"
"6",195780,198324,"Yeah, this afternoon around 5:00.","Honey, I Shrunk the Kids"
"7",198408,201077,"I'm meeting him at the mall.I don't know.","Honey, I Shrunk the Kids"
"8",201160,202912,"Maybe. Yeah.","Honey, I Shrunk the Kids"
"9",204873,208793,"Oh, I can't. I've got to hang arounda while and keep an eye on Nick.","Honey, I Shrunk the Kids"
"10",208877,211963,"He likes to take things apart.","Honey, I Shrunk the Kids"
"11",212046,217051,"Well, that's why I watch it at yourhouse. Things'll cool off after today.","Honey, I Shrunk the Kids"
"12",217135,219929,"Dad has his bigshow-and-tell at the lab.","Honey, I Shrunk the Kids"
"13",221014,223057,"Zap!","Honey, I Shrunk the Kids"
"14",223141,226853,"- It works! I-It really works!- Nick, get real.","Honey, I Shrunk the Kids"
"15",227979,230106,"The subject has disappeared.","Honey, I Shrunk the Kids"
"16",230190,232817,"No, no, it's not that.","Honey, I Shrunk the Kids"
"17",232859,236863,"No. Mom and Dad hadan argument last night...","Honey, I Shrunk the Kids"
"18",236946,238865,"and Mom spent the nightat Grandma's.","Honey, I Shrunk the Kids"
"19",238948,240909,"I think she just needed a rest.","Honey, I Shrunk the Kids"
"20",240992,243036,"Right, her and me both.","Honey, I Shrunk the Kids"
"21",243119,246664,"Yeah, okay. Okay. Bye.","Honey, I Shrunk the Kids"
"22",251878,255048,"Amy, when's Mom coming home?","Honey, I Shrunk the Kids"
"23",255131,258593,"She's working, Nick.She'll be home this afternoon.","Honey, I Shrunk the Kids"
"24",261888,264516,"If only Dad could getthat machine to work.","Honey, I Shrunk the Kids"
"25",286829,288748,"Breakfast.","Honey, I Shrunk the Kids"
"26",290166,292418,"I need a couple minutes here.","Honey, I Shrunk the Kids"
"27",296089,301135,"""I'll be down in five minutes. ""","Honey, I Shrunk the Kids"
"28",301219,303304,"Typing with his gloves on again.","Honey, I Shrunk the Kids"
"29",331875,334627,"Oh, no, not again!","Honey, I Shrunk the Kids"
"30",334711,338423,"Who does he think he is,Mister Wizard?","Honey, I Shrunk the Kids"
"31",340133,344929,"Szalinski, give it a rest!It's Saturday!","Honey, I Shrunk the Kids"
"32",345013,349309,"It's construction, honey. You ofall people should understand that.","Honey, I Shrunk the Kids"
"33",349350,354564,"Yeah, but I want some sleep.We've got a four-hour drive ahead of us.","Honey, I Shrunk the Kids"
"34",354647,356900,"And I think he should haveconsideration for other people.","Honey, I Shrunk the Kids"
"35",356983,359861,"Mm, give the guy a break.","Honey, I Shrunk the Kids"
"36",359944,364240,"I'll give him a break.I'll break his arm!","Honey, I Shrunk the Kids"
