"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Hook"
"2",51301,53469,"Boy, why are you crying?","Hook"
"3",53679,56222,"Because I couldn'tget my shadow to stick.","Hook"
"4",56432,58640,"Besides, I wasn't crying.","Hook"
"5",58808,65939,"I shall sew it on for you,my little man. lt may hurt a little.","Hook"
"6",66108,67567,"What's your name?","Hook"
"7",67734,69736,"Wendy Moira Angela Darling.","Hook"
"8",69903,71903,"-What's yours?-Peter Pan.","Hook"
"9",72448,74406,"Watch your daughter.She's wonderful.","Hook"
"10",74575,76450,"She's stealing the show.","Hook"
"11",77326,79745,"I think it's perfectly sweet of you.","Hook"
"12",79912,80954,"Louder.","Hook"
"13",81123,84459,"I think it's perfectly sweet of you.","Hook"
"14",84626,88337,"I shall give you a kiss if you like.","Hook"
"15",89465,91507,"Don't you know what a kiss is?","Hook"
"16",91674,94176,"I shall, once you give one to me.","Hook"
"17",100391,102143,"Now I shall give you a kiss.","Hook"
"18",110610,113780,"I don't ever wanna become a man.Yuck.","Hook"
"19",115448,118200,"I always wanna be a little boyand to have fun.","Hook"
"20",120953,126082,"We wanna be like Peter PanWe don't wanna grow up","Hook"
"21",129420,130670,"Brad.","Hook"
"22",132549,134425,"Yeah, l'm at my daughter's play.","Hook"
"23",134592,138387,"When it's time to be a manWe're not gonna show up","Hook"
"24",139514,143935,"It's impossible. I'm on a plane toLondon tomorrow night with my family.","Hook"
"25",144102,147854,"A children's hospital is dedicatingan entire wing to Granny Wendy.","Hook"
"26",148022,149105,"Brad....","Hook"
"27",149274,151192,"Peter, you're missing it.","Hook"
"28",151360,154694,"All right. I want a meeting,tomorrow a.m.","Hook"
"29",154905,157824,"Dad, my game. You promised.","Hook"
"30",157990,159950,"Listen, it's my son's big game.","Hook"
"31",160117,164038,"Last game of the season. Santa Series.I gotta be there. I promised.","Hook"
"32",165081,166331,"We'll make it short.","Hook"
"33",166792,169126,"I'll be there. My word is my bond.","Hook"
"34",169293,172128,"We never, never, neverNever, never, never, never","Hook"
"35",172296,175758,"Never, never, ever wanna grow upYeah","Hook"
"36",176509,178301,"Strike three! You're out.","Hook"
"37",183182,185393,"Bluejays, come on!","Hook"
"38",185561,188771,"Jack! Come on, Bluejays!","Hook"
"39",188938,189938,"Bluejays!","Hook"
"40",192025,193317,"Fire it up!","Hook"
"41",197155,199824,"Where is your father?He's missing it.","Hook"
"42",199991,203326,"Daddy'll be here. He promised.","Hook"
"43",203620,204745,"Jerry? Jack?","Hook"
"44",204913,205954,"-Jim.-I said that.","Hook"
"45",206122,209125,"Take the camera. Go to the gameahead of me. Film what I miss.","Hook"
"46",209293,211836,"This is the speechfor your grandmother's tribute.","Hook"
"47",212003,213045,"-On cards?-Yes.","Hook"
"48",213212,215213,"-Number those. Who wrote it?-Ned Miller.","Hook"
"49",215382,217133,"I loved his annual report.Read it.","Hook"
"50",217300,222013,"""Honored guests, for the past 70 years,the Granny Wendy we honor tonight...","Hook"
"51",222180,225473,"...has given hope and careand life to hundreds of orphans.""","Hook"
"52",225641,226850,"Great. Very personal.","Hook"
"53",227019,229103,"Mommy, where's Daddy?","Hook"
"54",239781,241490,"-My briefcase.-Banning.","Hook"
"55",252461,253669,"Well...","Hook"
"56",254086,255253,"...gotta fly.","Hook"
"57",255421,257923,"Don't worry. More people crashin cars than plane.","Hook"
"58",258091,261509,"It's a lot safer to flythan crossing the street.","Hook"
"59",261677,264055,"If it's your time to go,it's your time to go.","Hook"
"60",264389,268016,"And remember,don't let your arms get tired!","Hook"
"61",268435,270685,"What if it's the pilot's time to go?","Hook"
"62",271605,273939,"Come on, keep us alive, Banning!Keep us alive!","Hook"
"63",274106,275149,"Okay, come on!","Hook"
"64",275317,279110,"Hi, Mrs. Banning. l'm from the office.Which one's your son?","Hook"
"65",279278,281738,"-He's up to bat!-Thank you!","Hook"
"66",282865,284324,"Come on, Jack!","Hook"
