"id","startTime","endTime","text","title"
"1",55660,57620,"You're looking atthe many noble rabbits","Hop"
"2",57780,59820,"who have served asthe Easter Bunny.","Hop"
"3",60340,62180,"If you've evergotten a basket of candy","Hop"
"4",62340,64180,"and colored eggson Easter morning,","Hop"
"5",64300,66100,"you have them to thank.","Hop"
"6",66340,67940,"Yes, even that guy.","Hop"
"7",68020,72300,"See, every bunny dreams of holding thetitle, but not just anyone can do it.","Hop"
"8",72660,76180,"You have to be majestic.You have to be dignified.","Hop"
"9",76660,79700,"You have to be, well, a bunny.","Hop"
"10",80340,81780,"Or, at least you did.","Hop"
"11",82340,86100,"Hi. I'm Fred O'Hare,the first human Easter Bunny.","Hop"
"12",86660,88420,"Sounds insane, you say?","Hop"
"13",88820,91540,"It'll make sense once you knowhow it all went down.","Hop"
"14",149700,150700,"E.B.?","Hop"
"15",152660,153620,"E.B.?","Hop"
"16",154660,156100,"Where are you?","Hop"
"17",156460,157620,"Hi, Dad!","Hop"
"18",158220,159220,"Woohoo!","Hop"
"19",159340,161220,"Oh! There you are.","Hop"
"20",161860,163460,"Son! I was thinking.","Hop"
"21",163700,167380,"You are getting so big, you'repractically a foot tall.","Hop"
"22",167500,169540,"Over a foot,if you count the ears.","Hop"
"23",169860,171460,"I alwayscount the ears.","Hop"
"24",172660,175060,"So, how would you like togo to work with me today?","Hop"
"25",175300,177580,"Would I?That sounds awesome.","Hop"
"26",178580,181260,"I said the same thing when my fatherfirst took me to the factory.","Hop"
"27",181740,184300,"I didn't use the word ""awesome,"" but...Down, please.","Hop"
"28",196100,198540,"Thank you. Go ahead, Son.Take a look.","Hop"
"29",201140,202500,"Whoa!","Hop"
"30",225460,227460,"Look at all that candy.","Hop"
"31",241260,242660,"Come on, come on.","Hop"
"32",245940,246980,"See you.","Hop"
"33",263500,265260,"This is so cool!","Hop"
"34",318300,323900,"Oh, careful! E.B., welcometo the Easter Factory.","Hop"
"35",324620,327180,"This is where we makeall the candy and eggs","Hop"
"36",327260,329580,"that I deliver tothe children of the world.","Hop"
"37",330060,331540,"It's pretty impressive,isn't it?","Hop"
"38",331700,333260,"It's amazing, Dad!","Hop"
"39",333460,337740,"I'm glad you like it, becausesomeday this will all be yours.","Hop"
"40",338380,339380,"Really?","Hop"
"41",339980,342740,"Now, come on, Son.There's so much to see.","Hop"
"42",345260,347260,"Daddy, what do youcall that thingamajig?","Hop"
"43",347420,350100,"Ah, the MarshmallowChick Machine.","Hop"
"44",350300,351700,"Loved them sinceI was your age.","Hop"
"45",351820,354700,"When your grand-dad,the Easter Bunny before me,","Hop"
"46",354780,356140,"took me on thisvery same tour...","Hop"
"47",361140,362860,"Hello.Hello, little bunny.","Hop"
"48",363500,364500,"What are you doing?","Hop"
