"id","startTime","endTime","text","title"
"1",81010,84013,"An adverb modifies a verb","Hostiles"
"2",84045,87650,"by telling ushow something's done,","Hostiles"
"3",87683,89819,"where something's done,","Hostiles"
"4",89852,93622,"- or when something's done.- When something's done.","Hostiles"
"5",93656,94924,"Lucy.","Hostiles"
"6",95990,98058,"The music played quietly.","Hostiles"
"7",98093,99495,"And the adverb is?","Hostiles"
"8",99527,100829,"- Quietly.- Quietly.","Hostiles"
"9",100861,102764,"Sylvie.","Hostiles"
"10",102798,104633,"The dog runsthrough the house.","Hostiles"
"11",105700,107635,"Is right because...","Hostiles"
"12",107668,109871,"It's explainingwhere the dog ran.","Hostiles"
"13",109905,113942,"Is correct, but if you wantedto say how the dog ran...","Hostiles"
"14",117847,121016,"- Quickly?- Quickly. Very good, girls.","Hostiles"
"15",145173,146174,"Rosalie! Girls!","Hostiles"
"16",147643,149545,"- They're coming.- Dear God!","Hostiles"
"17",149578,151045,"Mommy,what's happening?","Hostiles"
"18",151079,153147,"There are people comingfor our horses, sweetie.","Hostiles"
"19",153180,155248,"Lucy, grab Jacob.Remember our plan.","Hostiles"
"20",156616,157985,"Sylvie, get awayfrom the door!","Hostiles"
"21",159052,160888,"Grab Jacob's bear.","Hostiles"
"22",160920,162188,"I'll meet youat the top of the ridge.","Hostiles"
"23",162222,163957,"- Wesley, come with us.- If I don't,","Hostiles"
"24",163990,165224,"they're gonna takeit all or burn it down.","Hostiles"
"25",165259,166860,"Let them. Please come.","Hostiles"
"26",166894,168295,"- Daddy, please come.- Run for the door, girls.","Hostiles"
"27",168328,169629,"Run for the door.","Hostiles"
"28",169663,171098,"- Please come.- Rosalie, run.","Hostiles"
"29",171132,172768,"- Go. Run, girls, run! Go!- Let's go, girls.","Hostiles"
"30",172800,173968,"- Go!- Run, girls.","Hostiles"
"31",174002,175302,"- Run!- Run!","Hostiles"
"32",181141,182877,"Lucy, give me Jacob.","Hostiles"
"33",186280,187548,"- Daddy!- Come on, girls.","Hostiles"
"34",189282,191686,"- Wesley. No.- Daddy!","Hostiles"
"35",199158,200694,"No!","Hostiles"
"36",204230,205264,"Run. Run, girls.","Hostiles"
"37",210103,214608,"Lucy! No!","Hostiles"
"38",414004,415206,"I got it.","Hostiles"
"39",419409,420976,"Hold her.","Hostiles"
"40",423846,427951,"- I got him. Got him.- Come on, redskin.","Hostiles"
"41",427983,430153,"Give up. Come on!","Hostiles"
"42",433189,434324,"Come on now.","Hostiles"
"43",435391,436992,"Come on, red.","Hostiles"
"44",441463,442798,"Get up, boy.","Hostiles"
"45",456345,459882,"Come on now.","Hostiles"
"46",459915,461149,"- Get up.- Come on, red. Get up.","Hostiles"
"47",461182,463185,"- Get him up.- Move now.","Hostiles"
"48",464252,467023,"- I said move!- Get up.","Hostiles"
"49",468091,469860,"- Hyah!- Come on.","Hostiles"
"50",469893,470826,"Come on.","Hostiles"
"51",499889,500990,"Looks like you got it, Joe.","Hostiles"
"52",502057,503492,"Yeah.","Hostiles"
