"id","startTime","endTime","text","title"
"1",157790,161790,"www.titlovi.com","House of Usher"
"2",164790,167964,"Sir?I should like to see Miss Usher.","House of Usher"
"3",168085,171555,"Well, I'm afraidthat's not possible, sir.","House of Usher"
"4",171672,174346,"Miss Usheris confined to her bed.","House of Usher"
"5",174466,176560,"She's ill?Yes, sir.","House of Usher"
"6",176677,179681,"Is it serious?Sir?","House of Usher"
"7",179805,182024,"My name is Philip Winthrop.","House of Usher"
"8",182140,184063,"Miss Usher and Iare engaged to be married.","House of Usher"
"9",185310,187153,"I cannot admit you, sir.","House of Usher"
"10",187270,189819,"Cannot?By whose order?","House of Usher"
"11",189940,191783,"Mr Roderick, her brother.","House of Usher"
"12",191900,194653,"He has expressly forbidden...Then I shall speak to him.","House of Usher"
"13",196071,198870,"I insist you announce me.","House of Usher"
"14",198990,202039,"Yes, sir.If you'll just come in.","House of Usher"
"15",212295,214423,"Your coat, sir.","House of Usher"
"16",220178,222351,"If you'll just follow me.","House of Usher"
"17",226309,228061,"Yes? What is it?","House of Usher"
"18",228186,229984,"Your boots, sir.","House of Usher"
"19",231898,233366,"What about them?","House of Usher"
"20",233483,236362,"Do you mind taking them off?","House of Usher"
"21",237279,238997,"Taking them off?","House of Usher"
"22",239781,241749,"What on earth for?","House of Usher"
"23",241867,245167,"I'm sure Mr Roderickwill explain it to you, sir.","House of Usher"
"24",256673,258550,"A strange request.","House of Usher"
"25",259217,261140,"This is the first timeI've ever been...","House of Usher"
"26",290624,292592,"Sir!","House of Usher"
"27",294920,297548,"If you'd care to putthese on, sir.","House of Usher"
"28",300842,302719,"Thank you.","House of Usher"
"29",310602,312604,"Well, if we may go now.","House of Usher"
"30",313522,315365,"This way, sir.","House of Usher"
"31",349558,351401,"What is the meaning of this?","House of Usher"
"32",352435,354358,"I---","House of Usher"
"33",354479,356322,"This is Mr Winthrop, sir.","House of Usher"
"34",356439,359033,"How dare youadmit anyone into this house?","House of Usher"
"35",359150,360868,"I insisted, sir.","House of Usher"
"36",360986,362579,"I felt I had the right.","House of Usher"
"37",364072,365870,"Well, we can't talk out here.","House of Usher"
"38",366616,368664,"Please come in.","House of Usher"
"39",377544,380548,"I gather you know who I am, sir.If you please...","House of Usher"
"40",380672,383551,"Mr Winthrop, softly.","House of Usher"
"41",385719,388268,"An affliction of the hearing.","House of Usher"
"42",388388,393235,"Sounds of any exaggerated degreecut into my brain like knives.","House of Usher"
"43",394436,396438,"My apologies.","House of Usher"
"44",401234,403908,"I'm afraid you're going tohave to leave, Mr Winthrop.","House of Usher"
"45",404946,406448,"I've come to see Madeline.","House of Usher"
"46",406990,409118,"That is quite impossible.","House of Usher"
"47",409242,411370,"She is confined to her bed.","House of Usher"
"48",412329,416459,"Mr Usher, your sisterand I are betrothed.","House of Usher"
"49",416583,418881,"It was a mistake.I don't believe that.","House of Usher"
"50",419002,421130,"Please don't argue with me, sir.","House of Usher"
"51",423256,425679,"You must leave this house now.","House of Usher"
"52",426885,429559,"It is not a healthy placefor you to be.","House of Usher"
"53",429679,431022,"Mr Usher...","House of Usher"
"54",434351,438151,"I have ridden all the wayfrom Boston to see Madeline,","House of Usher"
"55",438271,440694,"and I do not intend to leavewithout seeing her.","House of Usher"
"56",440815,442533,"Now, if...Philip!","House of Usher"
"57",444861,446989,"Madeline.","House of Usher"
"58",448114,451209,"Madeline, in heaven's name,you must return to your bed.","House of Usher"
"59",452786,454663,"Madeline.","House of Usher"
"60",454788,457837,"You came all the wayjust to see me?","House of Usher"
"61",457958,459756,"Yes, to see you.","House of Usher"
"62",459876,461844,"Madeline, I must insist.","House of Usher"
"63",462879,465883,"We shall talk later, Philip.Mr Winthrop is leaving.","House of Usher"
"64",466675,469428,"Leaving?I'm not leaving.","House of Usher"
"65",470929,473057,"He must stay, Roderick.","House of Usher"
"66",474557,477185,"Please let him stay, Roderick.","House of Usher"
"67",478645,480397,"Very well, he will stay.","House of Usher"
"68",480522,483196,"Now, for pity's sake,return to your bed.","House of Usher"
"69",519269,520896,"What happened?","House of Usher"
