"id","startTime","endTime","text","title"
"1",34451,36743,"This is Berk.","How to Train Your Dragon"
"2",36911,41289,"It's twelve days north of hopeless and afew degrees South of freezing to death.","How to Train Your Dragon"
"3",41457,45210,"It's located solidly onthe meridian of misery.","How to Train Your Dragon"
"4",46170,49798,"My village. In a word, sturdy.","How to Train Your Dragon"
"5",49966,54637,"It's been here for seven generations,but every single building is new.","How to Train Your Dragon"
"6",54804,58850,"We have fishing, hunting and acharming view of the sunsets.","How to Train Your Dragon"
"7",59017,62018,"The only problems are the pests.","How to Train Your Dragon"
"8",63021,66441,"You see, most placeshave mice or mosquitoes.","How to Train Your Dragon"
"9",66608,68775,"We have...","How to Train Your Dragon"
"10",71655,73072,"dragons.","How to Train Your Dragon"
"11",74240,76658,"Most people would leave. Not us.","How to Train Your Dragon"
"12",76826,80454,"We're Vikings. We havestubbornness issues.","How to Train Your Dragon"
"13",82623,83623,"My name is Hiccup.","How to Train Your Dragon"
"14",84543,87170,"Great name, I know. Butit's not the worst.","How to Train Your Dragon"
"15",87337,91007,"Parents believe a hideous name willfrighten off gnomes and trolls.","How to Train Your Dragon"
"16",91174,93509,"Like our charming Vikingdemeanor wouldn't do that.","How to Train Your Dragon"
"17",94677,95677,"Morning!","How to Train Your Dragon"
"18",97847,99682,"- What are you doing here?!- Get inside!","How to Train Your Dragon"
"19",99849,102643,"- What are you doing out?!- Get back inside!","How to Train Your Dragon"
"20",105188,109734,"Hiccup! What is he doing? Whatare you doing out?! Get inside!","How to Train Your Dragon"
"21",109902,113528,"That's Stoick the Vast,chief of the tribe.","How to Train Your Dragon"
"22",113697,118533,"When he was a baby, he popped adragon's head clean off its shoulders.","How to Train Your Dragon"
"23",118701,120787,"Do I believe it? Yes, I do.","How to Train Your Dragon"
"24",120953,121953,"What have we got?","How to Train Your Dragon"
"25",122121,125917,"Gronckles. Nadders. Zipplebacks.Hoark saw a Monstrous Nightmare.","How to Train Your Dragon"
"26",127376,129503,"- Any Night Furies?- None so far.","How to Train Your Dragon"
"27",129670,130712,"Good.","How to Train Your Dragon"
"28",130881,132715,"Hoist the torches!","How to Train Your Dragon"
"29",138388,141556,"Nice of you to join the party! Ithought you'd been carried off!","How to Train Your Dragon"
"30",141724,146562,"Who, me? No, come on, I'm waytoo muscular for their taste.","How to Train Your Dragon"
"31",146729,149899,"They wouldn't know whatto do with all this.","How to Train Your Dragon"
"32",150067,151901,"They need toothpicks,don't they?","How to Train Your Dragon"
"33",153027,156280,"The meathead with attitude andinterchangeable hands is Gobber.","How to Train Your Dragon"
"34",156448,158667,"I've been his apprenticesince I was little.","How to Train Your Dragon"
"35",158680,160909,"Well, littler.","How to Train Your Dragon"
"36",161245,165081,"Move to the lower defenses. We'llcounterattack with the catapults.","How to Train Your Dragon"
"37",165248,166373,"Hurry!","How to Train Your Dragon"
"38",167459,170752,"See? Old village, lotsand lots of new houses.","How to Train Your Dragon"
"39",171212,172254,"Fire!","How to Train Your Dragon"
"40",172421,173713,"Let's go!","How to Train Your Dragon"
"41",174341,178468,"That's Fishlegs, Snotlout, thetwins: Ruff nut and Tuffnut...","How to Train Your Dragon"
"42",179012,180221,"and...","How to Train Your Dragon"
"43",181931,183431,"Astrid.","How to Train Your Dragon"
