"id","startTime","endTime","text","title"
"1",260610,264197,"There's simply no way to shieldagainst every weaponized agent.","Hulk"
"2",264281,266199,"Instead, I can makesuper-immune systems...","Hulk"
"3",266283,268952,"by strengtheningthe human cellular response.","Hulk"
"4",268994,270954,"Banner, I knowwhere you're going.","Hulk"
"5",270995,273206,"But manipulating the immune systemis dangerous and stupid.","Hulk"
"6",273249,277211,"The president's science advisorsmade it absolutely clear...","Hulk"
"7",277293,280297,"no human subjects.","Hulk"
"8",302360,304403,"David, I have wonderful news.","Hulk"
"9",307406,309576,"I'm gonna have a baby.","Hulk"
"10",409505,413343,"What's it gonna be?  Whoa, look at that,Bruce. Huh?  Want a dinosaur?","Hulk"
"11",413427,415928,"Let's have a little fight.","Hulk"
"12",416012,418348,"You don't scare me.","Hulk"
"13",420434,423644,"That's a delicious eyeball.  Ooh, you're bigand green and scary.  I'm gonna run away.","Hulk"
"14",450629,452840,"Really, speaking of Cheryl,guess what...","Hulk"
"15",452923,454884,"Bruce, you're hurt!","Hulk"
"16",456093,459137,"Jack hit him with the stick,but Bruce wouldn't hit him back.","Hulk"
"17",459221,461723,"He just stood there, shaking.","Hulk"
"18",461807,463808,"It's okay.","Hulk"
"19",470858,472776,"Yeah, strangehe didn't make a peep.","Hulk"
"20",472860,475321,"Any other kidwould've wailed his head off.","Hulk"
"21",475403,476988,"That's Bruce. He's like that.","Hulk"
"22",477031,479658,"He's just so... bottled up.","Hulk"
"23",483911,486872,"The samples we found in your lab...they were human blood.","Hulk"
"24",486915,488875,"You've ignored protocol.","Hulk"
"25",488916,491668,"You had no rightsnooping around in my lab.","Hulk"
"26",491795,493713,"That's my business.","Hulk"
"27",493838,497759,"Wrong, Banner.  It's government business,and you're off the project.","Hulk"
"28",519822,522700,"Attention, all personnel.Fail-safe has been initiated.","Hulk"
"29",522740,525411,"Gamma decontaminationwill occur in 30 minutes!","Hulk"
"30",525494,527162,"Evacuate immediately!","Hulk"
"31",527245,529539,"I repeat, evacuate immediately!","Hulk"
"32",548808,551769,"- Edith?- David, what's going on?","Hulk"
"33",551854,555024,"- I gotta talk to you, Edith.- Bruce, stay here.","Hulk"
"34",557150,559110,"What are you doing?","Hulk"
"35",592225,594144,"What are you doing?","Hulk"
"36",594227,597148,"I'm trying to tell youwhat has to be done!","Hulk"
"37",597230,599692,"David, please stop it!No!","Hulk"
"38",604863,606865,"No! No!Yes!","Hulk"
"39",606907,609368,"David! No!","Hulk"
"40",615956,618335,"Bruce.","Hulk"
"41",618376,620379,"Bruce, wake up, son.","Hulk"
"42",620379,623423,"Bruce. Bruce.","Hulk"
"43",626717,629261,"Another nightmare?","Hulk"
"44",629346,631807,"I don't know.","Hulk"
"45",631847,633975,"I don't remember.","Hulk"
"46",635519,637520,"Hi, Mom.","Hulk"
"47",638897,641856,"Already off to college.","Hulk"
"48",641899,643859,"Gonna miss you terribly.","Hulk"
"49",643900,645860,"I'll miss you too.","Hulk"
"50",645903,647947,"Please, come here.","Hulk"
"51",649407,651866,"Look at you.","Hulk"
"52",651991,655037,"Soon to be a great scientist.","Hulk"
"53",655078,656913,"I guess.","Hulk"
"54",656996,658957,"- I mean, who knows?- I do.","Hulk"
"55",658999,663211,"There's something inside you...so special.","Hulk"
"56",664254,666215,"Some kind of greatness.","Hulk"
"57",666256,668384,"I'm sure someday you're gonna...","Hulk"
"58",668426,670845,"share it with the whole world.","Hulk"
"59",725355,728609,"But as far as I'm concerned,security oughta be...","Hulk"
"60",729025,730610,"Good morning, Dr. Krenzler.","Hulk"
"61",730735,734572,"Security oughta be beefed up.  In aplace like this you can't be too careful","Hulk"
"62",734655,736908,"Bruce!  Big day.","Hulk"
"63",736991,739952,"- Did you sleep?  I didn't sleep.- I slept okay.","Hulk"
"64",740037,742413,"- Is Betty here?- She's around.","Hulk"
"65",742498,745625,"I really gotta say, seeing youin that stylin' head wear...","Hulk"
"66",745708,748921,"You're implying somethingabout my helmet?","Hulk"
"67",749046,752006,"You look like a massive nerd,even around other scientists.","Hulk"
"68",752131,756345,"Can I just ask... Were you wearingthe helmet while she dumped you?","Hulk"
"69",756345,758846,"See, it protects my veryimportant brain, Harper.","Hulk"
"70",758889,761015,"Go prep the samples.","Hulk"
"71",762015,765477,"- Hey. I found you.- Betty, hey.","Hulk"
"72",768815,770942,"I hate them.","Hulk"
"73",771024,773318,"-Wait, I just got here.  Who do we hate?-The review board.","Hulk"
"74",773403,776322,"We have to make apresentation on Tuesday.","Hulk"
"75",776447,778490,"And you're gonna make it with me.","Hulk"
"76",778533,780701,"You think I should?","Hulk"
"77",780909,783245,"Yeah, you're great with that stuff.","Hulk"
"78",783245,788458,"You start talking about microbes andnanomeds, you sound almost... passionate","Hulk"
"79",790628,793047,"I'm sorry.","Hulk"
"80",793089,795173,"That was rude.","Hulk"
"81",795258,797719,"Look, nobody expects thisto be easy,","Hulk"
"82",797759,801014,"us working togetherafter being... so close.","Hulk"
"83",801054,803014,"We were close?","Hulk"
"84",803056,805433,"Look, if I could be more...","Hulk"
"85",807394,809354,"whatever, you know...","Hulk"
"86",809395,811605,"- I'm... just...- Don't.","Hulk"
"87",811690,814067,"It's not your fault, really.","Hulk"
"88",814150,816068,"You're just a by-product...","Hulk"
"89",816153,819114,"of my inexplicable obsessionwith emotionally distant men.","Hulk"
"90",819155,821198,"I'll get over us.","Hulk"
"91",822200,824201,"Good for you.","Hulk"
"92",824244,827205,"Anyway, I'm just really stressedabout this review.","Hulk"
"93",827288,831418,"If we don't get impressive results today,we're gonna have a really hard sell come Tuesday.","Hulk"
"94",832793,834754,"Well, then, let's go be impressive.","Hulk"
"95",878673,880633,"Harper?","Hulk"
"96",880674,883551,"Ready when you are.Let's hit it.","Hulk"
"97",888472,890265,"Are we passing inspection?","Hulk"
"98",890392,892769,"Safeties all going green.","Hulk"
"99",892811,894812,"Countdown's started.","Hulk"
"100",897731,899942,"Nanomeds released.","Hulk"
"101",902028,903988,"Four seconds.","Hulk"
"102",907158,909827,"Okay, nanomeds fully dispersed.","Hulk"
"103",911328,915166,"Okay, let's hit Freddiewith the gamma radiation.","Hulk"
"104",928220,930179,"Gamma exposure.","Hulk"
"105",932265,933975,"Nanomeds now active.","Hulk"
"106",937187,940941,"Nanomeds replicating cells on border.","Hulk"
"107",941024,942985,"It's working.","Hulk"
"108",946529,950366,"Cell copy to disassemble ratioholding within one percent.","Hulk"
"109",957582,960376,"Imbalanced nanomed activity.","Hulk"
"110",972596,975140,"You wanna go to the review boardon Monday and tell 'em...","Hulk"
"111",975140,978186,"we've developed a brand-newmethod for exploding frogs?","Hulk"
"112",978226,981522,"Yeah, I think maybethere's a market for it.","Hulk"
"113",981605,983899,"I mean, what if there's a plague?","Hulk"
"114",983982,986652,"What have you had, Betty,like, one beer?","Hulk"
"115",986735,989697,"I'm just sa...I'm just saying, you know,","Hulk"
"116",989739,992200,"frogs start falling from the sky,","Hulk"
"117",992240,994576,"who do they come to?","Hulk"
"118",994701,996620,"We'd be world-renowned.","Hulk"
"119",996663,998873,"Make any parents proud.","Hulk"
"120",1000082,1002000,"I bet they would be.","Hulk"
"121",1002084,1005044,"They actually didwant me to be a scientist.","Hulk"
"122",1006212,1008215,"I mean, your birth parents.","Hulk"
"123",1009966,1011927,"Guess we'll never know.","Hulk"
"124",1014971,1017932,"I don't understand why you don'twant to find out about them.","Hulk"
"125",1017974,1021436,"They're dead.  They died beforeI can remember anything.","Hulk"
"126",1021436,1024355,"Why do you alwayscome back to this?","Hulk"
"127",1024439,1026692,"Don't know.","Hulk"
"128",1026775,1030112,"I guess I figure there's moreto you than you like to show.","Hulk"
"129",1031070,1033240,"I guess there couldn't be any less","Hulk"
"130",1034490,1037451,"Right. So now we comefull circle back to that.","Hulk"
"131",1037493,1039496,"Nice work, Betty.","Hulk"
"132",1052842,1054844,"Betty.","Hulk"
"133",1055970,1057596,"- Glen.- Hey.","Hulk"
"134",1057637,1059640,"Hi.","Hulk"
"135",1059640,1061767,"Hi.","Hulk"
"136",1063144,1065354,"What happenedto your uniform?","Hulk"
"137",1065354,1067605,"Oh, I, uh...I switched over.","Hulk"
"138",1067647,1070108,"I'm still working with your father, but...","Hulk"
"139",1070151,1073778,"Well, you know, the military's subcontractingout all the most interesting work, and...","Hulk"
"140",1075322,1077325,"Can't argue with a paycheck.","Hulk"
"141",1077407,1080327,"I basically runall the labs on the base now.","Hulk"
"142",1080411,1082328,"Oh.","Hulk"
"143",1083954,1086124,"Hey, you're uh...","Hulk"
"144",1086249,1088209,"you're looking good.","Hulk"
"145",1094298,1096468,"You're the genetics expert.","Hulk"
"146",1107895,1110606,"Ah, the good old college days.","Hulk"
"147",1112025,1114027,"So, how's business?","Hulk"
"148",1116028,1117989,"What do you want?","Hulk"
"149",1119615,1122534,"All right, I'll cut to the chase.","Hulk"
"150",1122617,1125537,"I've been hearing interesting thingsabout what you guys are doing here","Hulk"
"151",1125621,1129500,"Your little molecular machineshave some incredible implications.","Hulk"
"152",1129625,1132544,"How would you like tocome work for Atheon?","Hulk"
"153",1132627,1135547,"Get paid 10 times as muchas you earn now...","Hulk"
"154",1135631,1138342,"and own a piece of the patents.","Hulk"
"155",1140176,1142136,"You just have to say the word.","Hulk"
"156",1142221,1144222,"Two words: The door.","Hulk"
"157",1163490,1165410,"General?","Hulk"
"158",1165492,1167619,"Come in.","Hulk"
"159",1168704,1171332,"Talbot wanted you to see this, sir.","Hulk"
"160",1171415,1175377,"It's about a lab Atheon is targeting foracquisition and removal to desert base","Hulk"
"161",1176628,1178798,"Why isn't itgoing through N.S.C.?","Hulk"
"162",1180633,1184220,"It, uh, concernsyour daughter, sir.","Hulk"
"163",1192019,1194480,"Hi. Sorry.","Hulk"
"164",1196148,1200361,"Hey, what happened to Benny?  Is henot working the night shift anymore?","Hulk"
"165",1200444,1202403,"Benny's dead.","Hulk"
"166",1202445,1204740,"I'm the new guy.","Hulk"
"167",1204823,1206825,"Oh.","Hulk"
"168",1208326,1210453,"Good to meet you.Same.","Hulk"
"169",1234685,1236896,"- Let's try another.","Hulk"
"170",1236980,1239775,"Mmm, no. Stay here.","Hulk"
