"id","startTime","endTime","text","title"
"1",3653,4820,"Ha!","I, Tonya"
"2",21312,26312,"Subtitles by explosiveskullResync by GoldenBeard","I, Tonya"
"3",61512,63244,"That's very close, by the way.","I, Tonya"
"4",63246,64679,"I'm justsaying.","I, Tonya"
"5",64680,68384,"Who's my little man? Are you my little man?","I, Tonya"
"6",68385,71454,"That's my sixth husband right there.The best of 'em.","I, Tonya"
"7",72722,75459,"Tonya's my fifth childfrom husband number four.","I, Tonya"
"8",76760,78493,"She was always a handful.","I, Tonya"
"9",78495,81329,"And I guess we spoiled her,which is a goddamn hat trick","I, Tonya"
"10",81331,83831,"when you haven't got shityour entire life.","I, Tonya"
"11",83834,88370,"Still, drove her to competitions,practices, sewed her all her costumes.","I, Tonya"
"12",88371,90337,"But to her,her mother's a monster.","I, Tonya"
"13",90340,93975,"Generally,people either love Tonya","I, Tonya"
"14",93978,96713,"or... not big fans.","I, Tonya"
"15",97680,99481,"Just like peopleeither love America","I, Tonya"
"16",99484,101584,"or they're not big fans.","I, Tonya"
"17",101585,105719,"Tonya was...totally American.","I, Tonya"
"18",105722,108590,"You know, originally,Jeff and Tonya,","I, Tonya"
"19",108591,112597,"uh, wanted to take outNancy Kerrigan.","I, Tonya"
"20",113364,114729,"""Take her out.""","I, Tonya"
"21",114731,117332,"And I was the onewho popped up and said,","I, Tonya"
"22",117335,119867,"""There are other waysto disable people.""","I, Tonya"
"23",119870,121771,"So...","I, Tonya"
"24",121772,123737,"you're welcome.","I, Tonya"
"25",123739,126007,"Well, I was a reporter","I, Tonya"
"26",126009,127375,"for Hard Copy,","I, Tonya"
"27",127376,133048,"a pretty crappy show that thelegitimate news outlets looked down on.","I, Tonya"
"28",133050,134849,"And then became.","I, Tonya"
"29",134852,138320,"Well, uh, I mean, at 27,","I, Tonya"
"30",138323,140859,"I was, uh, the mosthated man in America.","I, Tonya"
"31",141992,143461,"Maybe the world.","I, Tonya"
"32",144429,146528,"Um, with a mustache,","I, Tonya"
"33",146531,150031,"I still can'tapologize enough for.","I, Tonya"
"34",150033,152667,"Uh, my name was a verb.","I, Tonya"
"35",152668,156372,"Like, if you bash someonein the kneecap,","I, Tonya"
"36",156373,158409,"you, uh...you Gilloolied them.","I, Tonya"
"37",159109,160942,"That was...","I, Tonya"
"38",160944,162447,"That was cool though.","I, Tonya"
"39",165917,168016,"Most people'simpression of me?","I, Tonya"
"40",168019,169554,"Um...","I, Tonya"
"41",173358,175360,"That I'm a real person.","I, Tonya"
"42",176960,182463,"You know? I never apologized forgrowing up poor or being a redneck.","I, Tonya"
"43",182466,184568,"Which is what I am.","I, Tonya"
"44",187671,190838,"Um, you know,and it's... a sport","I, Tonya"
"45",190841,194110,"where the friggin' judges wantyou to be this old-timey version","I, Tonya"
"46",194111,196347,"of what a woman'ssupposed to be...","I, Tonya"
"47",201519,206891,"for being the first US womanto land a triple axel.","I, Tonya"
"48",210061,211596,"So fuck 'em.","I, Tonya"
"49",240757,242057,"Diane!","I, Tonya"
"50",242060,244925,"LaVona Harding.","I, Tonya"
"51",244927,247896,"I spoke with you on the phone.","I, Tonya"
"52",247899,250432,"Yeah.","I, Tonya"
"53",253437,256639,"Give me a minute, okay?","I, Tonya"
"54",259776,261543,"Mrs. Harding.","I, Tonya"
"55",261545,263677,"LaVona. It's LaVona.","I, Tonya"
"56",263680,266548,"I am so sorry, but there'sno smoking on the ice.","I, Tonya"
"57",266550,269918,"Oh. Well, I'll smoke itquietly then.","I, Tonya"
"58",271555,273487,"This hereis my daughter Tonya.","I, Tonya"
"59",273490,275790,"Mrs. Harding,I told you on the phone...","I, Tonya"
"60",275793,278927,"I know what you told me.Only you never seen her skate.","I, Tonya"
"61",278930,280663,"I don't train beginners.","I, Tonya"
"62",280665,283064,"All she does is talk aboutskating, all day and night.","I, Tonya"
"63",283067,284365,"Can't shut her up about it.","I, Tonya"
"64",284367,287100,"So it's easier for me to put heron ice, if you know what I mean.","I, Tonya"
"65",287103,290673,"And we figure with the right trainingshe could make the most of her gift.","I, Tonya"
"66",290675,292810,"Like Ice Capadesmaybe one day or somethin'.","I, Tonya"
"67",295512,297177,"How old are you, honey?","I, Tonya"
"68",297180,299079,"Mmm.","I, Tonya"
"69",299081,300584,"She's a soft four.","I, Tonya"
"70",303120,305586,"Well, she'sa very pretty girl.","I, Tonya"
"71",305588,308656,"But I'm sorry, I don't takeon students this young.","I, Tonya"
"72",308658,310959,"Now, if you'll forgive me,I have a class waiting.","I, Tonya"
"73",314230,316163,"How'd it feel?Feel good?","I, Tonya"
"74",319569,320735,"Go on. Skate.","I, Tonya"
"75",340992,342494,"Stay away.","I, Tonya"
"76",344060,346093,"Look out.","I, Tonya"
"77",346096,350031,"I mean, six months laterI win my first competition.","I, Tonya"
"78",350033,352000,"I was four, okay?","I, Tonya"
"79",352002,354605,"I mean, those bitchesdidn't know what hit 'em.","I, Tonya"
"80",360076,362947,"Wrong!","I, Tonya"
"81",364781,366146,"Ordinary.Nothing special there.","I, Tonya"
"82",366149,368682,"Are you even trying?","I, Tonya"
"83",368685,370887,"'Cause there's other placesI'd rather fuckin' be.","I, Tonya"
"84",373024,374656,"Concentrate.","I, Tonya"
"85",374658,376925,"You call that a clean skate,for Christ's sake?","I, Tonya"
"86",376927,379293,"Would you not swear in front of the kids.Please, LaVona?","I, Tonya"
"87",379295,380961,"- I didn't swear.- You cunt.","I, Tonya"
"88",380963,383865,"Hey, stop talking to her. Yeah.","I, Tonya"
"89",383867,386637,"That girl is your enemy. You'renot here to make friends.","I, Tonya"
"90",387637,390103,"Mmm. Where do youthink you're going?","I, Tonya"
"91",390105,392973,"- I have to go to the bathroom.- Don't tell me what you have to do.","I, Tonya"
"92",392975,396779,"I paid for you to skate. You'regonna stay on the ice and skate.","I, Tonya"
"93",398149,399850,"Get over here.","I, Tonya"
"94",401918,404055,"You gotta get off the ice some time.You hear me?","I, Tonya"
"95",411127,413129,"I'll be right here,waitin'.","I, Tonya"
"96",423105,424675,"Oh, shit.","I, Tonya"
"97",434985,436951,"Skate wet.","I, Tonya"
"98",436954,440187,"To hear her tell it, I would operateon her daily without anesthesia.","I, Tonya"
"99",440189,441990,"Please.","I, Tonya"
