"id","startTime","endTime","text","title"
"1",75560,77099,"We're cleaningthe house, baby.","I Now Pronounce You Chuck & Larry"
"2",77980,79900,"-Pick him up.-l got him. l got him.","I Now Pronounce You Chuck & Larry"
"3",81150,82189,"Yeah!","I Now Pronounce You Chuck & Larry"
"4",82269,83480,"-Nice shot.-He got lucky.","I Now Pronounce You Chuck & Larry"
"5",83569,85480,"Nice pass. Here we go. Ball.","I Now Pronounce You Chuck & Larry"
"6",85859,87189,"l got him.","I Now Pronounce You Chuck & Larry"
"7",87739,89030,"Don't let him shoot it!","I Now Pronounce You Chuck & Larry"
"8",90319,92280,"-Come on, come on!-Put it up, Chuck!","I Now Pronounce You Chuck & Larry"
"9",92370,95200,"Oh, yeah. Chuck, my man.All day, all day!","I Now Pronounce You Chuck & Larry"
"10",96289,97450,"Yeah, Tony!","I Now Pronounce You Chuck & Larry"
"11",97539,98829,"Tony, tag him.","I Now Pronounce You Chuck & Larry"
"12",99370,100500,"Good steal.","I Now Pronounce You Chuck & Larry"
"13",100579,101829,"Take the ball. Take the ball.","I Now Pronounce You Chuck & Larry"
"14",101920,102960,"Come on!","I Now Pronounce You Chuck & Larry"
"15",103210,104340,"Yeah!","I Now Pronounce You Chuck & Larry"
"16",105129,106799,"Come on, come on. Come on.","I Now Pronounce You Chuck & Larry"
"17",107840,109129,"Feel the power!","I Now Pronounce You Chuck & Larry"
"18",109219,110259,"Foul! Foul!","I Now Pronounce You Chuck & Larry"
"19",110340,111430,"That wasn't a foul.","I Now Pronounce You Chuck & Larry"
"20",111509,112890,"-Chuck!-Shoot. That's it!","I Now Pronounce You Chuck & Larry"
"21",112969,114680,"-Chuck!-Shoot it, man!","I Now Pronounce You Chuck & Larry"
"22",115310,118020,"Chuck! Chuck!l need to talk to you!","I Now Pronounce You Chuck & Larry"
"23",118520,121689,"Hey, Darla, what's the matter with you?You sound so upset.","I Now Pronounce You Chuck & Larry"
"24",121769,125109,"You slept with my twin sister on Saturday.That's why l'm so upset!","I Now Pronounce You Chuck & Larry"
"25",125189,126530,"How do you knowfor sure it wasn't you?","I Now Pronounce You Chuck & Larry"
"26",126609,128400,"'Cause l wasn't there.","I Now Pronounce You Chuck & Larry"
"27",128490,130199,"lt sure looked likeyou were there to me.","I Now Pronounce You Chuck & Larry"
"28",130280,131569,"Oh, he's dead.","I Now Pronounce You Chuck & Larry"
"29",131659,134740,"Come on, let's figure this out together.This is a tricky situation.","I Now Pronounce You Chuck & Larry"
"30",134830,137159,"Do me a favour. Say, ''Oh, Chuck,keep buttering my biscuit.''","I Now Pronounce You Chuck & Larry"
"31",137240,138370,"Get out of here.","I Now Pronounce You Chuck & Larry"
"32",138449,141289,"No, l'm trying to do detective work here,so we can both be happy.","I Now Pronounce You Chuck & Larry"
"33",141370,143879,"l'm confused, too.l feel violated!","I Now Pronounce You Chuck & Larry"
"34",144210,148340,"Chuck, keep buttering my biscuit.","I Now Pronounce You Chuck & Larry"
