"id","startTime","endTime","text","title"
"1",1000,4074,"Subtitles downloaded from Podnapisi.NET","Ikiru"
"2",5653,12718,"TOHO CO., LTD.","Ikiru"
"3",15463,20491,"Toho 20th Anniversary Film","Ikiru"
"4",20668,23193,"Arts Festival Selection - 1952","Ikiru"
"5",25773,33305,"IKIRU(To Live)","Ikiru"
"6",35583,38609,"Produced bySOJIRO MOTOGI","Ikiru"
"7",38820,43416,"Screenplay by AKIRA KUROSAWA,SHINOBU HASHIMOTO, HIDEO OGUNI","Ikiru"
"8",43625,49427,"Cinematography byASAKAZU NAKAI","Ikiru"
"9",49631,54068,"Music byFUMIO HAYASAKA","Ikiru"
"10",61276,63744,"Cast:","Ikiru"
"11",63945,68279,"TAKASHI SHIMURA","Ikiru"
"12",117465,123768,"Directed byAKIRA KUROSAWA","Ikiru"
"13",129777,134510,"This stomach belongs tothe protagonist of our story.","Ikiru"
"14",135216,140984,"At this point, our protagonisthas no idea he has this cancer...","Ikiru"
"15",143591,146492,"PUBLIC AFFAIRSSECTION CHIEF","Ikiru"
"16",170485,172385,"My child has sensitive skin,","Ikiru"
"17",172954,175445,"and that water gave him an awful rash.PUBLIC AFFAIRS DEPARTMENT","Ikiru"
"18",175690,177885,"Plus it breeds mosquitoes like crazy.","Ikiru"
"19",178092,179753,"And it stinks, besides.","Ikiru"
"20",180595,185794,"Can't you do something? It would makea great playground if you filled it in.","Ikiru"
"21",187302,188826,"Please wait a moment.","Ikiru"
"22",196611,200047,"Sir, they've come to complainabout a sewage pond.","Ikiru"
"23",200248,202045,"- Engineering Section.- Yes.","Ikiru"
"24",207655,211284,"Ah, here is our protagonist now.","Ikiru"
"25",211659,216028,"But it would only be tiresometo meet him right now.","Ikiru"
"26",216264,217925,"After all,","Ikiru"
"27",218132,223968,"he's simply passing timewithout actually living his life.","Ikiru"
"28",224238,227605,"In other words,he's not really even alive.","Ikiru"
"29",236918,238579,"Odagiri,","Ikiru"
"30",238786,241118,"how dare you,during business hours?","Ikiru"
"31",241322,242653,"But it's so funny.","Ikiru"
"32",242890,244653,"Funny? What is?","Ikiru"
"33",244892,247884,"It's the ""Liar's Club"".Someone sent it around.","Ikiru"
"34",248830,250730,"Read it to us.","Ikiru"
"35",256137,259402,"""I hear you've never eventaken a vacation.","Ikiru"
"36",259607,263270,"Is that because City Hallcouldn't function without you?""","Ikiru"
"37",263478,269417,"""No, because everyone would realizethat City Hall doesn't need me at all"".","Ikiru"
"38",282397,285696,"Oh, no, this will never do.","Ikiru"
"39",285933,288493,"He might as well be a corpse.","Ikiru"
