"id","startTime","endTime","text","title"
"1",153316,156555,"My oracle ... what vision did you dream?","Immortals"
"2",159527,160466,"Titans ...","Immortals"
"3",160468,163343,"Titans ... unleashed","Immortals"
"4",164271,165400,"By whom?","Immortals"
"5",167335,169299,"King Hyperion","Immortals"
"6",172256,177100,"He seeks the Epirus to rule over mankind.","Immortals"
"7",180194,181195,"We must pray.","Immortals"
"8",272391,274499,"Hyperion is here.","Immortals"
"9",274543,276800,"He comes for me.","Immortals"
"10",279627,280975,"We must go now.","Immortals"
"11",1882182,1883148,"My oracle.","Immortals"
"12",1884128,1886324,"You were presented with vision.","Immortals"
"13",1886976,1888741,"What have you seen?","Immortals"
"14",1889923,1892392,"The slave by the water","Immortals"
"15",1894769,1897474,"He is touched by the Gods","Immortals"
"16",1898558,1900498,"If he embraces Hyperion","Immortals"
"17",1901325,1904970,"all of Greece will be destroyed.","Immortals"
"18",1907148,1909307,"Summon the guards.","Immortals"
