"id","startTime","endTime","text","title"
"1",76889,79608,"Dix Steele! How are you?","In a Lonely Place"
"2",80049,84725,"-Don't you remember me?-No, I'm sorry. I can't say that I do.","In a Lonely Place"
"3",84969,87961,"You wrote the last picture I didat Columbia.","In a Lonely Place"
"4",88129,90324,"I never see pictures I write.","In a Lonely Place"
"5",90729,92845,"You. Stop bothering my wife!","In a Lonely Place"
"6",94009,98446,"You shouldn't have done it. No matterhow much money that pig's got.","In a Lonely Place"
"7",98689,101681,"-Pull over!-What's wrong with right here?","In a Lonely Place"
"8",115449,117440,"-Evening, Mr. Steele.-Hi, Dave.","In a Lonely Place"
"9",117609,120919,"-I'll put her right up f ront.-Okay.","In a Lonely Place"
"10",122409,124877,"-Can I have your autograph?-Who am I?","In a Lonely Place"
"11",125049,127847,"-I don't know.-Don't bother, he's nobody.","In a Lonely Place"
"12",128249,130524,"She's right.","In a Lonely Place"
"13",137609,139520,"Dix! We'd about given you up.","In a Lonely Place"
"14",139689,141600,"-Hi, Mel.-Where've you been?","In a Lonely Place"
"15",141769,144158,"-Come on. Buy us a drink.-He's somebody.","In a Lonely Place"
"16",144329,148800,"Lloyd Barnes, big director. Made allhis money bef ore the income tax.","In a Lonely Place"
"17",148969,151847,"-We've been calling f or three days.-You know me...","In a Lonely Place"
"18",152009,155206,"...if I don't answer the third ring,I'm not home.","In a Lonely Place"
"19",155369,157087,"-Hello, Dix. Lloyd.-Hi, Max.","In a Lonely Place"
"20",157249,160878,"Honey, let me have that book I lefthere f or Mr. Steele.","In a Lonely Place"
"21",161049,162528,"I'm almost finished.","In a Lonely Place"
"22",162889,166006,"Say "" I like it, "" and you go onsalary tomorrow.","In a Lonely Place"
"23",166169,167318,"Then I like it.","In a Lonely Place"
"24",167489,171004,"I think it'll make a dreamy picture.An epic.","In a Lonely Place"
"25",171169,174525,"-What do you call an epic?-A picture that's real long...","In a Lonely Place"
"26",174689,180844,"-...and has lots of things going on.-Could we have some matches?","In a Lonely Place"
"27",181009,185366,"Here you are. Mr. Steele, could I keepthe book till you come out?","In a Lonely Place"
"28",185529,188680,"I only have a few pages to go.","In a Lonely Place"
"29",188849,191761,"-Sure, take your time.-Thanks.","In a Lonely Place"
"30",192009,193806,"-Good evening, Mr. Steele.-Evening.","In a Lonely Place"
"31",193969,196722,"-Remember, she's your audience.-Say that again...","In a Lonely Place"
"32",196889,199642,"...l'll get another agent.How are you, Charlie?","In a Lonely Place"
"33",199809,203119,"-Let's sit at the other end.-What's wrong with right here?","In a Lonely Place"
"34",203289,208409,"-How are you, noble prince?-Right well, thespian. Greg?","In a Lonely Place"
"35",208649,211117,"Gin and tonic.What do you fellows want?","In a Lonely Place"
"36",211289,213086,"-A stinger.-Glass of milk.","In a Lonely Place"
"37",213249,215285,"And a brandy f or Mr. Waterman.","In a Lonely Place"
"38",215529,219078,"-Are you dining here or browsing?-How's everything, Paul?","In a Lonely Place"
"39",219249,223527,"Just like show business,there is no business. Ex cuse me.","In a Lonely Place"
"40",223689,226965,"-Who's producing this?-Bert Brody. Lloyd's directing.","In a Lonely Place"
"41",227209,230997,"You've got to work. You'vebeen out of circulation too long.","In a Lonely Place"
"42",231169,233478,"I need money,you need the 10 percent.","In a Lonely Place"
"43",233649,238484,"For me, you don't have to go to work.I've got my apartment, car, ulcers.","In a Lonely Place"
