"id","startTime","endTime","text","title"
"1",19652,23652,"www.titlovi.com","In the Heat of the Night"
"2",26652,32125,"d In the heat of the night","In the Heat of the Night"
"3",35661,41134,"d Seems like a cold sweatcreepin' across my brow","In the Heat of the Night"
"4",42459,44336,"d Yeah","In the Heat of the Night"
"5",45712,50138,"d In the heat of the night","In the Heat of the Night"
"6",54221,59148,"d I'm feelin' motherless somehow","In the Heat of the Night"
"7",63146,68698,"d Stars with evil eyes","In the Heat of the Night"
"8",68860,71864,"d Stare from the skies","In the Heat of the Night"
"9",72823,74951,"d All mean and bright","In the Heat of the Night"
"10",75117,78667,"d In the heat of the night","In the Heat of the Night"
"11",79913,85386,"d Ain't a woman yet been born","In the Heat of the Night"
"12",88797,94520,"d Knows how to makethe mornin' come","In the Heat of the Night"
"13",97848,103321,"d It's so hard to keep control","In the Heat of the Night"
"14",104021,107400,"d When I could sell my soul","In the Heat of the Night"
"15",108275,110277,"d For just a little light","In the Heat of the Night"
"16",110444,114119,"d In the heat of the night","In the Heat of the Night"
"17",115240,119837,"d In the heat of the night","In the Heat of the Night"
"18",124166,129172,"d I've got trouble wall to wall","In the Heat of the Night"
"19",130672,133095,"d Oh yes, I have","In the Heat of the Night"
"20",133258,135886,"d I repeat","In the Heat of the Night"
"21",136053,138556,"d I repeat, in the night","In the Heat of the Night"
"22",141892,147274,"d Must be an ending to it all","In the Heat of the Night"
"23",151234,156741,"d But hold on, it won't be long","In the Heat of the Night"
"24",156907,159410,"d Just you be strong","In the Heat of the Night"
"25",160327,162921,"d And it'll be all right","In the Heat of the Night"
"26",163080,166630,"d In the heat of the night","In the Heat of the Night"
"27",178637,181231,"Where you keepin' the pie tonight?","In the Heat of the Night"
"28",182557,185686,"A man ate the last piecejust before you come in.","In the Heat of the Night"
"29",191233,194533,"What's that little old orphansittin' right up there?","In the Heat of the Night"
"30",195737,196738,"Marble cake.","In the Heat of the Night"
"31",201243,204838,"Tell you what, Sam. Bein' she'sin there by her little old lonesome,","In the Heat of the Night"
