"id","startTime","endTime","text","title"
"0",1000,4000,"Downloaded From www.AllSubs.org","Inspector Gadget"
"1",8920,12390,"[Mechanical Whirring,Buzzing, Clicking]","Inspector Gadget"
"2",12520,14715,"[Ringing, Whizzing]","Inspector Gadget"
"3",16760,19513,"[Siren Blaring]","Inspector Gadget"
"4",32880,35519,"[Women]#Inspector Gadget #","Inspector Gadget"
"5",35640,38996,"# Ooh-oohInspector Gadget #","Inspector Gadget"
"6",39120,40917,"[Horn Honks]","Inspector Gadget"
"7",44400,46595,"# Inspector Gadget #","Inspector Gadget"
"8",46720,48517,"- [Barking]- # Ooh-ooh #","Inspector Gadget"
"9",48640,50471,"# Inspector Gadget #","Inspector Gadget"
"10",52360,54510,"# Go, Gadget, go #","Inspector Gadget"
"11",56840,58910,"# Go, Gadget, go #","Inspector Gadget"
"12",59040,60837,"[Croaking]","Inspector Gadget"
"13",62280,64840,"# Inspector Gadget #","Inspector Gadget"
"14",64960,68350,"# Ooh-oohInspector Gadget #","Inspector Gadget"
"15",75440,77396,"# Go, Gadget, go ##","Inspector Gadget"
"16",77520,79875,"- [Man Yelling] Help!- [Children Screaming]","Inspector Gadget"
"17",80000,82753,"- [Man] See you at the P. T.A. Meeting.- ## [Whistling]","Inspector Gadget"
"18",82880,84791,"- [Woman] Good morning, Officer Brown.- Morning.","Inspector Gadget"
"19",84920,87195,"- [Man]Officer Brown! How do you do?
- Morning.","Inspector Gadget"
"20",87320,89117,"## [Whistling]","Inspector Gadget"
"21",89240,92118,"[Children Screaming]","Inspector Gadget"
"22",92240,95915,"[Screaming]No brakes!","Inspector Gadget"
"23",97600,99989,"Help, Uncle John!","Inspector Gadget"
"24",100120,102634,"- Somebody help!- Save us!","Inspector Gadget"
"25",102760,104796,"Help!","Inspector Gadget"
"26",106360,108828,"[Gasps]","Inspector Gadget"
"27",113240,115754,"- [Children Screaming]- [Screaming]","Inspector Gadget"
"28",115880,118599,"Where's Officer Brown?","Inspector Gadget"
"29",121400,123755,"- [Squeals]- [Grunts]","Inspector Gadget"
"30",128960,130951,"[Screaming]","Inspector Gadget"
"31",132480,135711,"- [Grunting]- [Gasping]
- [Screaming]","Inspector Gadget"
"32",135840,137910,"[Gasps]","Inspector Gadget"
"33",138040,140349,"[Screaming]Help!","Inspector Gadget"
