"id","startTime","endTime","text","title"
"1",185535,188372,"So you want me to tellyou the story of my life.","Interview with the Vampire: The Vampire Chronicles"
"2",188622,191959,"Like I said, that's what I do.I interview people.","Interview with the Vampire: The Vampire Chronicles"
"3",192125,193710,"I'm a collector of lives.","Interview with the Vampire: The Vampire Chronicles"
"4",193794,195545,"FM radio, KFRC.","Interview with the Vampire: The Vampire Chronicles"
"5",195712,198215,"You'll need a lot of tape for my story.","Interview with the Vampire: The Vampire Chronicles"
"6",198382,200968,"No problem. I got a bag full of tape.","Interview with the Vampire: The Vampire Chronicles"
"7",202219,204388,"You followed me here, didn't you?","Interview with the Vampire: The Vampire Chronicles"
"8",204972,206890,"Yeah, I suppose I did.","Interview with the Vampire: The Vampire Chronicles"
"9",207391,209309,"You seemed very interesting.","Interview with the Vampire: The Vampire Chronicles"
"10",210477,212229,"This is where you live?","Interview with the Vampire: The Vampire Chronicles"
"11",212646,213647,"No.","Interview with the Vampire: The Vampire Chronicles"
"12",213814,215399,"It's just a room.","Interview with the Vampire: The Vampire Chronicles"
"13",217985,220237,"What do you say we get started?","Interview with the Vampire: The Vampire Chronicles"
"14",223242,224743,"What do you do?","Interview with the Vampire: The Vampire Chronicles"
"15",224910,226495,"I'm a vampire.","Interview with the Vampire: The Vampire Chronicles"
"16",229164,231583,"I haven't heard that before.","Interview with the Vampire: The Vampire Chronicles"
"17",232001,234336,"You mean this literally, I take it?","Interview with the Vampire: The Vampire Chronicles"
"18",234503,235921,"Absolutely.","Interview with the Vampire: The Vampire Chronicles"
"19",236755,239091,"I was waiting for you in that alley.","Interview with the Vampire: The Vampire Chronicles"
"20",239341,241510,"Watching you watching me.","Interview with the Vampire: The Vampire Chronicles"
"21",242428,244346,"And then you began to speak.","Interview with the Vampire: The Vampire Chronicles"
"22",245347,247516,"What a lucky break for me.","Interview with the Vampire: The Vampire Chronicles"
"23",247683,249602,"Perhaps lucky for both of us.","Interview with the Vampire: The Vampire Chronicles"
"24",253522,255691,"You said you were...","Interview with the Vampire: The Vampire Chronicles"
"25",255858,257526,"...waiting for me.","Interview with the Vampire: The Vampire Chronicles"
