"id","startTime","endTime","text","title"
"1",49682,50682,"Mom!","Into the Wild"
"2",52393,54226,"Mom! Help me.","Into the Wild"
"3",57398,58398,"What is it?","Into the Wild"
"4",58481,61317,"I wasn't dreaming, Walt.I didn't imagine it.","Into the Wild"
"5",61402,64570,"I heard him. I heard him. I heard him.I heard Chris.","Into the Wild"
"6",64822,67448,"- I heard him!- I know.","Into the Wild"
"7",67658,70159,"No. I wasn't imagining it, Walt.","Into the Wild"
"8",70578,73120,"No, I did. He's... He's...","Into the Wild"
"9",74331,76540,"- I heard him!- Billie.","Into the Wild"
"10",223481,225525,"That's about as far as I can get you.","Into the Wild"
"11",225609,227235,"All right. Thank you.","Into the Wild"
"12",241167,244502,"- You left all your shit on my dash.- Keep it.","Into the Wild"
"13",245503,247004,"Suit yourself.","Into the Wild"
"14",247590,249048,"Thanks again.","Into the Wild"
"15",251009,252885,"Hey, hold on a minute.","Into the Wild"
"16",257141,260060,"Here, take these.They'll keep your feet dry.","Into the Wild"
"17",261480,265358,"If you make it out alive, give me a call.My number's inside the boots.","Into the Wild"
"18",265692,266860,"Thanks.","Into the Wild"
"19",544683,545850,"Hello?","Into the Wild"
"20",611500,615086,"Is there anybody here?","Into the Wild"
"21",617966,619466,"Guess not!","Into the Wild"
"22",688078,690288,"Two years he walks the earth.","Into the Wild"
"23",697463,699840,"No phone, no pool, no pets,","Into the Wild"
"24",700966,702467,"no cigarettes.","Into the Wild"
"25",719903,721611,"Ultimate freedom.","Into the Wild"
"26",723530,727533,"An extremist. An aesthetic voyager","Into the Wild"
"27",729328,733499,"whose home is the road.","Into the Wild"
"28",734458,737836,"""Hey, listen, old man.Now, don't psychoanalyze me, all right?","Into the Wild"
"29",738171,740838,"""Shut up.I'm taking you out to where we're going.""","Into the Wild"
"30",740923,742508,"""Where you going?""","Into the Wild"
"31",742676,745344,"""I told you. We're going nowhere!""","Into the Wild"
"32",747889,753519,"So now, after two rambling yearscomes the final and greatest adventure.","Into the Wild"
"33",755105,758356,"The climactic battle to kill","Into the Wild"
"34",759775,761693,"the false being within","Into the Wild"
"35",762861,766740,"and victoriously concludethe spiritual revolution.","Into the Wild"
"36",796395,801066,"No longer to be poisonedby civilization, he flees,","Into the Wild"
"37",801900,804695,"and walks aloneupon the land to become","Into the Wild"
"38",806072,807697,"lost in the wild.","Into the Wild"
"39",839231,844278,"... hard work and manifold contributionsto our community during their time here,","Into the Wild"
"40",845238,848573,"we salute you and offer all of you","Into the Wild"
"41",848700,851785,"one more round of applauseand congratulations.","Into the Wild"
"42",858585,861379,"Nina Lynn Lockwynn.","Into the Wild"
"43",866301,869511,"Vanessa Denise Lowery.","Into the Wild"
"44",873892,877352,"Christopher Johnson McCandless.","Into the Wild"
"45",888490,891700,"Regina Victoria McNabb.","Into the Wild"
"46",914850,918519,"I see them standing at the formal gatesof their colleges.","Into the Wild"
"47",921690,925734,"I see my father strolling outunder the ochre sandstone arch,","Into the Wild"
"48",926153,930280,"the red tiles glinting like bent platesof blood behind his head.","Into the Wild"
"49",931240,933993,"I see my motherwith a few light books at her hip,","Into the Wild"
"50",934076,937705,"standing at the pillar made of tinybricks with the wrought-iron gates","Into the Wild"
"51",937788,941875,"still open behind her,its sword-tips black in the May air.","Into the Wild"
"52",942878,944961,"They are about to graduate.","Into the Wild"
"53",946173,950926,"They are about to get married.They are kids. They are dumb.","Into the Wild"
"54",951510,955556,"All they know is they are innocent,they would never hurt anybody.","Into the Wild"
"55",957811,961522,"I want to go up to them and say,""Stop, don't do it.","Into the Wild"
"56",961773,965359,"""She's the wrong woman,he's the wrong man.","Into the Wild"
