"id","startTime","endTime","text","title"
"1",43359,46442,"Once upon a time,in a far off kingdom,","Into the Woods"
"2",46600,49409,"there lay a small villageat the edge of the woods.","Into the Woods"
"3",52159,53365,"I wish","Into the Woods"
"4",53520,55124,"And in this village...","Into the Woods"
"5",55320,56890,"More than anything","Into the Woods"
"6",57039,58723,"...lived a young maiden...","Into the Woods"
"7",58880,62441,"More than lifeMore than jewels","Into the Woods"
"8",63320,65049,"...a carefree young lad...","Into the Woods"
"9",65200,66564,"I wish","Into the Woods"
"10",68079,69683,"More than life","Into the Woods"
"11",70079,72287,"...and a childless baker...","Into the Woods"
"12",72680,73805,"I wish","Into the Woods"
"13",73960,75325,"...with his wife.","Into the Woods"
"14",75480,77527,"- More than anything- More than the moon","Into the Woods"
"15",77719,78721,"I wish","Into the Woods"
"16",78799,80643,"The King is giving a Festival","Into the Woods"
"17",80799,81799,"More than life","Into the Woods"
"18",81840,82841,"I wish","Into the Woods"
"19",82920,83920,"I wish to go to the Festival","Into the Woods"
"20",84000,85000,"More than riches","Into the Woods"
"21",85039,86040,"And the Ball","Into the Woods"
"22",86120,87450,"I wish my cow would give us some milk","Into the Woods"
"23",87519,90126,"- More than anything- I wish we had a child","Into the Woods"
"24",90280,91326,"Please, pal","Into the Woods"
"25",91480,93084,"I want a child","Into the Woods"
"26",93280,94770,"I wish to go to the Festival","Into the Woods"
"27",94920,96331,"I wish you'd give us some milkor even cheese","Into the Woods"
"28",96479,97561,"I wish","Into the Woods"
"29",100640,102368,"You wish to go to the Festival?","Into the Woods"
"30",102520,104329,"The poor girl'sparents had died.","Into the Woods"
"31",104479,106084,"You, Cinderella,the Festival?","Into the Woods"
"32",106240,107968,"You wish to go to the Festival?","Into the Woods"
"33",108120,111123,"The Festival?The King's Festival?","Into the Woods"
"34",111280,112849,"And nowshe lived with her stepmother.","Into the Woods"
"35",113120,114962,"The Festival? Ha!","Into the Woods"
"36",115479,117847,"Who hadtwo daughters of her own.","Into the Woods"
"37",118479,120439,"- Look at your nails- Look at your dress","Into the Woods"
"38",120480,122129,"- People would laugh at you- Nevertheless","Into the Woods"
"39",122280,124043,"She still wants to go to the Festival","Into the Woods"
"40",124200,125406,"And dance before the Prince","Into the Woods"
"41",129680,131887,"All threewere beautiful of face,","Into the Woods"
"42",131960,134042,"but vile and black of heart.","Into the Woods"
"43",135960,138724,"The young lad had no father,and his mother...","Into the Woods"
"44",138800,139800,"I wish","Into the Woods"
"45",139879,141644,"...well,she was at her wits' end.","Into the Woods"
"46",141800,144167,"I wish my son were not a fool","Into the Woods"
"47",145319,147800,"I wish my house was not a mess","Into the Woods"
"48",149039,150804,"I wish the cow was full of milk","Into the Woods"
"49",150920,152649,"I wish the walls were full of gold","Into the Woods"
"50",152840,155127,"I wish a lot of things","Into the Woods"
"51",155639,157847,"Oh! What in heaven's nameare you doing with the cow","Into the Woods"
"52",157920,159331,"inside the house?","Into the Woods"
