"id","startTime","endTime","text","title"
"1",92120,97871,"""IT"" is that qualitypossessed by some...","It"
"2",98137,104212,"which draws all otherswith its magnetic force.","It"
"3",104437,109570,"With ""IT"" you win all menif you are a woman -","It"
"4",109801,115039,"and all womenif you are a man.","It"
"5",115243,119563,"""IT"" can be a quality of the mindas well as a physical attraction.
Elinor Glyn [signature]","It"
"6",121673,126971,"WALTHAM THE BIGGEST STORE 
IN THE WORLD","It"
"7",155112,160406,"Leaving his department store to his son, Cyrus P. Waltham...","It"
"8",160485,162297,"has gone to Herrin, Illinois,for the shooting.","It"
"9",166341,168648,"""A gentleman to see you, sir.""","It"
"10",179104,181805,"Good luck","It"
"11",203002,206684,"""For a good boy - onhis first work day.""","It"
"12",208539,213089,"""If you ever go to work, Monty,I'll do as much for you.""","It"
"13",233051,235890,"""IT"" by Elinor Glyn","It"
"14",240099,246473,"""IT"" is that peculiar attribute that some people have,","It"
"15",246590,252446,"which attracts the opposite sex. The possessor of ""IT"" has it","It"
"16",252564,258349,"unconsciously and has irresistible sexual magnetism.","It"
"17",262616,268895,"Mothers spoil boys with ""IT"", and women never refuse them!","It"
"18",291928,293693,"""Old fruit, you've got 'IT'!""","It"
"19",325599,327405,"""What the devil are you doing?""","It"
"20",336059,339297,"""No - too bad - but youhaven't any 'IT'!""","It"
"21",345924,347997,"""Run away, Monty, the keepers are coming.""","It"
"22",356056,357881,"""I'm to look over the store. Come along.""","It"
"23",400530,402223,"""Hot socks -the new boss!""","It"
"24",422713,424764,"""Sweet Santa Claus,give me him!""","It"
"25",427566,434568,"""Let's have a double wedding -you and him - and me and
the Prince of Wales!""","It"
"26",438984,444108,"""Where do you figure?The Prince is going to 
be our best man!""","It"
"27",450304,454942,"""I've inspected all the ladyemployees - and not
one of them has 'IT'!""","It"
"28",487782,489085,"""You went over big, dearie!""","It"
"29",491850,496803,"""Just you wait - I'll takethe snap out of your 
garters yet!""","It"
"30",554091,557060,"""Look! If I ever saw 'IT',that's 'IT'!""","It"
"31",619611,623452,"""Shall we gnaw a chop at the club tonight?""","It"
"32",625786,628928,"""Thanks, but I have anengagement at the Ritz.""","It"
"33",686695,695628,"""Could I - is it asking too much -would it be possible for me to -
to drive you home?""","It"
"34",700754,705392,"""I'd be very glad to go with you - if you'd 
ride in my car.""","It"
"35",738349,744948,"Betty lived in that fashionabledowntown suburb -
Gas-house Gables -","It"
"36",761447,763940,"""Would - could - doyou ever dine?""","It"
"37",770883,771173,"""I'd love to -""","It"
"38",774367,775367,"""- at the Ritz!""","It"
"39",782471,783471,"""Shall we dress?""","It"
"40",784911,786100,"""Of course - how absurd!""","It"
"41",791412,793254,"""Then I'll pop around at eight?""","It"
"42",879431,881262,"""Toodles is hungry.""","It"
"43",889615,897430,"""The doctor says I can't go backto the store for a month - and
I can't let you do any more for me.""","It"
