"id","startTime","endTime","text","title"
"1",336377,337420,"Move!","Jack Reacher"
"2",501918,503543,"It's life or death now, James.","Jack Reacher"
"3",505254,507923,"By that,I mean you're doing one or the other","Jack Reacher"
"4",509593,511259,"up in Rockview.","Jack Reacher"
"5",512928,514638,"This here isDistrict Attorney Rodin.","Jack Reacher"
"6",516474,518100,"Want to know what he's wondering?","Jack Reacher"
"7",518809,521562,"Whether you're gonna walklike a man or cry like a pussy","Jack Reacher"
"8",521645,523438,"on your way to the death house.","Jack Reacher"
"9",524106,525941,"See, the D.A. Likes the needle,","Jack Reacher"
"10",526275,527985,"whereas me,","Jack Reacher"
"11",528110,530946,"I like to see a man like youlive a long life","Jack Reacher"
"12",531280,532947,"with all your teeth knocked out.","Jack Reacher"
"13",533283,537119,"Passed around till a brothercan't tell your fart from a yawn.","Jack Reacher"
"14",537787,539370,"Now, I don't knowwhat kind of man you are,","Jack Reacher"
"15",539456,541248,"which of these two fates you prefer,","Jack Reacher"
"16",541332,545961,"but Rodin here is a generous fellow.He's willing to let you take your pick.","Jack Reacher"
"17",546629,551299,"If you save us and this citya long and costly trial,","Jack Reacher"
"18",551509,555678,"waive your right to counsel and confess,right now.","Jack Reacher"
"19",567149,568399,"Sixteen hours.","Jack Reacher"
"20",568485,570985,"Has to be some kind ofrecord, Detective.","Jack Reacher"
"21",575991,577659,"What the hell is this?","Jack Reacher"
"22",588546,590673,"Who the hell is Jack Reacher?","Jack Reacher"
"23",592509,594009,"Jack Reacher,","Jack Reacher"
"24",594177,598514,"born Jack, not John, no middle name,is a ghost.","Jack Reacher"
"25",598847,603059,"No driver's licence, current or expired.No residence, current or former.","Jack Reacher"
"26",603352,608356,"No credit cards, no credit history.No P.O. Box, cell phone, e-mail.","Jack Reacher"
"27",608817,609984,"Nothing.","Jack Reacher"
"28",610067,611567,"Can you at least tell me who he is?","Jack Reacher"
"29",611860,614822,"Well, I can tell you who he was.Blood military.","Jack Reacher"
"30",614905,617073,"Born and raised on bases abroad.","Jack Reacher"
"31",617701,620201,"Mother was a French national,father in the Corps.","Jack Reacher"
"32",620412,623371,"His first trip to the United Stateswas to attend West Point.","Jack Reacher"
"33",623873,625707,"Four years later, he ships out for good.","Jack Reacher"
"34",626250,629711,"Iraq. Afghanistan. The Balkans.You name it.","Jack Reacher"
"35",630046,632213,"Served with distinction.","Jack Reacher"
"36",632381,635551,"Silver Star, Bronze Star,Legion of Merit.","Jack Reacher"
"37",636094,640431,"Defence Superior Service Medal?Had to look that one up.","Jack Reacher"
"38",640724,643057,"And a Purple Heart.He spent the bulk of his service","Jack Reacher"
"39",643268,647270,"in the Military Police.By all accounts, a brilliant investigator.","Jack Reacher"
"40",647772,649898,"Apparently, a troublemaker, too.","Jack Reacher"
"41",650232,651567,"Demoted to Captain.","Jack Reacher"
"42",651900,653235,"Worked his way back to Major.","Jack Reacher"
"43",654070,656739,"Then two years ago, he musters out.","Jack Reacher"
"44",657072,662076,"After a literal lifetime in the military,he just up and quits. And then,","Jack Reacher"
"45",662245,664203,"for only the second time in his life,","Jack Reacher"
"46",664288,667791,"he enters the United Statesand simply disappears.","Jack Reacher"
"47",668793,669960,"Dead, maybe?","Jack Reacher"
"48",670086,673589,"Not according to Social Securityand a bank account in Virginia.","Jack Reacher"
"49",673798,675966,"His pension is deposited monthly","Jack Reacher"
"50",676091,680011,"and someone is making the occasionalwithdrawal. All wire transfers.","Jack Reacher"
"51",681264,683932,"I can't find out wherewithout a federal warrant.","Jack Reacher"
"52",684768,686476,"Well, he can't drive or fly.","Jack Reacher"
"53",686727,688062,"At least not under his real name.","Jack Reacher"
"54",689647,691774,"- Any warrants?- Record's clean.","Jack Reacher"
"55",691982,695318,"Come on! A guy this hard to find?Gotta be wanted for something.","Jack Reacher"
"56",695611,696945,"His record is clean.","Jack Reacher"
"57",697822,698989,"So,","Jack Reacher"
"58",702951,704620,"how do we find this Reacher?","Jack Reacher"
"59",704953,708289,"Obviously, you don't find this guyunless he wants to be found.","Jack Reacher"
"60",710125,713629,"Excuse me, sir. There'sa Jack Reacher here to see you.","Jack Reacher"
"61",721971,723138,"Can I help you?","Jack Reacher"
"62",723807,725682,"James Barr.","Jack Reacher"
"63",733024,735817,"So, now you've seen him.How do you know him?","Jack Reacher"
"64",736528,738361,"Why wasn't he in protective custody?","Jack Reacher"
"65",739989,741615,"That was an oversight.","Jack Reacher"
"66",741698,744033,"More like some Corrections flunkythrew him to the wolves.","Jack Reacher"
"67",744786,745994,"Just as likely.","Jack Reacher"
"68",746162,748163,"But it's done and we can't undo it.","Jack Reacher"
"69",748373,749456,"So what happens now?","Jack Reacher"
"70",749666,751833,"Well, now he's in a coma.","Jack Reacher"
"71",752668,755671,"We'll try him when he wakes up.If he wakes up.","Jack Reacher"
"72",756004,757463,"Okay? Now it's your turn, Reacher.","Jack Reacher"
"73",757841,759841,"Why did he call you as a witness?","Jack Reacher"
"74",760176,761509,"I don't believe he did.","Jack Reacher"
"75",761677,763220,"Well, I believehe asked for you by name.","Jack Reacher"
"76",764389,765847,"Any chance I could lookat the evidence?","Jack Reacher"
"77",766182,767640,"No way.Not till you answer some questions.","Jack Reacher"
"78",767725,768975,"Nice meeting you.","Jack Reacher"
"79",769059,770394,"- Hey. Hey. Hey!- Mr Reacher.","Jack Reacher"
"80",770562,772019,"- Mr Reacher!- Hey, stop! Stop right there!","Jack Reacher"
"81",772147,773480,"We had a deal.","Jack Reacher"
"82",773565,775816,"I take you to Barr,you tell me what you know.","Jack Reacher"
"83",775899,778652,"I know you say he shot five people,I know he's in a coma.","Jack Reacher"
"84",778735,779861,"I know there's a bus stationthree miles away","Jack Reacher"
"85",780028,781779,"and I can walk there in 24 minutes.","Jack Reacher"
"86",781865,783197,"So you're just going towalk out on your friend?","Jack Reacher"
"87",783740,785993,"- He's not my friend.- Why'd he ask for you, then?","Jack Reacher"
"88",786076,789037,"Well, same reason he shot five people,he's crazy.","Jack Reacher"
"89",789205,790205,"Hey. Hold on.","Jack Reacher"
