"id","startTime","endTime","text","title"
"1",57679,59250,"JASON BOURNE:I remember.","Jason Bourne"
"2",60359,62362,"I remember everything.","Jason Bourne"
"3",66000,67923,"DR. HIRSCH: Captain Webb.","Jason Bourne"
"4",68000,69081,"Good morning.","Jason Bourne"
"5",69400,72006,"Has everythingbeen explained to you?","Jason Bourne"
"6",73439,74441,"Yes, sir.","Jason Bourne"
"7",75840,79686,"When we are finished with you,you will no longer be David Webb.","Jason Bourne"
"8",80159,82003,"I'll be whoeveryou need me to be, sir.","Jason Bourne"
"9",83840,86081,"(ECHOING) You knew exactlywhat it meant for you","Jason Bourne"
"10",86640,88403,"if you chose to stay.","Jason Bourne"
"11",90519,92647,"You can't outrunwhat you did, Jason.","Jason Bourne"
"12",93960,95927,"You made yourselfinto who you are.","Jason Bourne"
"13",97520,100603,"Eventually you're gonna have toface the fact.","Jason Bourne"
"14",101920,103808,"You volunteered.","Jason Bourne"
"15",107840,109045,"- (GUNSHOT FIRES)- (GRUNTS)","Jason Bourne"
"16",111439,112725,"(WOMAN SCREAMING)","Jason Bourne"
"17",114319,115890,"(CHOKING)","Jason Bourne"
"18",152479,154004,"(INDISTINCT CHATTERING)","Jason Bourne"
"19",164400,165401,"(INDISTINCT CONVERSATION)","Jason Bourne"
"20",167599,170170,"(SPEAKING GREEK)","Jason Bourne"
"21",171800,172800,"(CROWD APPLAUDING)","Jason Bourne"
"22",177439,178600,"(SHOUTING IN GREEK)","Jason Bourne"
"23",212639,214050,"- (WHISTLE BLOWS)- (CROWD CHEERS)","Jason Bourne"
"24",216240,217810,"(GRUNTS)","Jason Bourne"
"25",222280,223770,"(CROWD EXCLAIMS)","Jason Bourne"
"26",236319,238163,"(PANTING)","Jason Bourne"
"27",265399,267846,"Christian Dassaultmade a reservation.","Jason Bourne"
"28",268160,269321,"(SPEAKS IN DUTCH)","Jason Bourne"
"29",281800,283802,"(MEN CHATTERINGIN OTHER LANGUAGE)","Jason Bourne"
"30",283879,284880,"(KEYBOARD CLACKING)","Jason Bourne"
"31",285079,286319,"(MEN LAUGHING)","Jason Bourne"
"32",290159,291889,"(SPEAKING IN JAPANESE)","Jason Bourne"
"33",334240,335240,"(TELEPHONE RINGING)","Jason Bourne"
"34",337240,338286,"Heather Lee.","Jason Bourne"
"35",338399,340481,"CONTROL DECK OFFICER:Ma'am, we have a device","Jason Bourne"
"36",340600,343569,"issued to a stay-behind teamin Novosibirsk, Russia, in 1993.","Jason Bourne"
"37",343920,346286,"Marked on our inventoryas destroyed.","Jason Bourne"
"38",346560,348927,"It's knocking on ourfront door.","Jason Bourne"
"39",376160,377286,"What's the status?","Jason Bourne"
"40",377480,379528,"Whoever it is,is just sitting there idle.","Jason Bourne"
"41",383920,385762,"MAN: There's nooutbound traffic, nothing.","Jason Bourne"
"42",387120,388120,"Move.","Jason Bourne"
"43",395600,397204,"- (BEEPING)- They've found a back door.","Jason Bourne"
"44",397279,399965,"We need the reverse shell.I'm gonna locate the source.","Jason Bourne"
"45",400040,401040,"I'm working on it.","Jason Bourne"
"46",401159,404129,"Okay, people, we have a major breachof our classified mainframe.","Jason Bourne"
"47",404199,406247,"Drop everything you're doing,get on it right now!","Jason Bourne"
"48",432839,434603,"Ma'am, I'm sending youthe shell.","Jason Bourne"
"49",434680,436807,"Got it.","Jason Bourne"
"50",436879,438449,"- WOMAN: Need it right now?- MAN: Yeah.","Jason Bourne"
"51",438519,439964,"- WOMAN: Getting IP.- MAN: Where's that traceroute?","Jason Bourne"
"52",440040,441644,"WOMAN:Unknown user. Monitoring.","Jason Bourne"
"53",443680,445488,"Reykjavik.","Jason Bourne"
"54",447199,448485,"SecOps hacking camp.","Jason Bourne"
"55",448560,449800,"Kill the power to the building.","Jason Bourne"
"56",449879,451404,"CONTROL DECK OFFICER:Get into that power grid now.","Jason Bourne"
"57",451480,452526,"CYBER TECHNICIAN:Yes, sir.","Jason Bourne"
"58",458000,461846,"(BEEPING)","Jason Bourne"
"59",464000,465125,"I've got the powerto the building.","Jason Bourne"
"60",465199,466247,"LEE: Stand by.","Jason Bourne"
"61",467159,468923,"MAN #1: Ten seconds.","Jason Bourne"
"62",469000,470000,"MAN #2:Let's get on top of this.","Jason Bourne"
"63",471879,473769,"- Shut it down.- CYBER TECHNICIAN: Copy that. Shutting it down.","Jason Bourne"
"64",475399,476730,"(PEOPLE EXCLAIMING)","Jason Bourne"
"65",477079,478605,"(INDISTINCT CHATTERING)","Jason Bourne"
"66",483519,484646,"(MAN SPEAKINGIN OTHER LANGUAGE)","Jason Bourne"
"67",486160,487161,"(GRUNTS)","Jason Bourne"
"68",509120,510564,"(CELL PHONE RINGING)","Jason Bourne"
"69",514559,515561,"Dewey.","Jason Bourne"
"70",516279,517929,"We've just been hacked.","Jason Bourne"
"71",518279,519519,"How badly?","Jason Bourne"
"72",519600,521250,"Could be worse thanSnowden.","Jason Bourne"
"73",521919,523445,"Is there any attribution?","Jason Bourne"
"74",523559,524640,"We're working on it.","Jason Bourne"
"75",524720,527928,"Lee says it must be someonewith a deep knowledge of our systems.","Jason Bourne"
"76",528000,530684,"This could affect Deep Dream,and Iron Hand.","Jason Bourne"
"77",531360,536571,"I want a briefingin my conference room in one hour.","Jason Bourne"
"78",546120,547120,"Yes.","Jason Bourne"
"79",548480,551370,"- Did you get confirmation?- Yeah, there was a hack.","Jason Bourne"
"80",551799,553289,"So are we exposed?","Jason Bourne"
"81",553360,555202,"We don't know yet.We're checking.","Jason Bourne"
