"id","startTime","endTime","text","title"
"1",1000,4073,"Subtitles downloaded from Podnapisi.NET","Jaws"
"2",149191,150399,"Chrissie.","Jaws"
"3",151151,152317,"Where are we going?","Jaws"
"4",152401,153485,"Swimming.","Jaws"
"5",156323,159574,"Slow up. Slow down.","Jaws"
"6",160076,163287,"I'm not drunk!Slow down!","Jaws"
"7",164956,166665,"Wait. I'm coming.","Jaws"
"8",168085,169460,"I'm coming.","Jaws"
"9",170586,172504,"I'm definitely coming.","Jaws"
"10",172631,173673,"Whoa.","Jaws"
"11",173757,175299,"Hold on. Whoa!","Jaws"
"12",184810,186269,"I can swim.","Jaws"
"13",187104,189813,"I just can't walkor undress myself.","Jaws"
"14",210127,211877,"Come on in the water!","Jaws"
"15",211961,213795,"Take it easy.","Jaws"
"16",249917,252877,"Oh, God, help!","Jaws"
"17",260509,262052,"Please help me!","Jaws"
"18",262346,264180,"I'm coming.","Jaws"
"19",266432,267766,"It hurts!","Jaws"
"20",305639,307514,"Localfishing reported good.","Jaws"
"21",307598,309684,"Amity Boat Rental Yard'sopening early","Jaws"
"22",309768,311851,"to prepare forthe annual seasonal rush.","Jaws"
"23",311937,313603,"This is WISS...","Jaws"
"24",317817,320903,"How come the sundidn't use to shine
in here?","Jaws"
"25",323781,327283,"We boughtthe house in the fall,
and this is summer.","Jaws"
"26",331581,333665,"Somebody feed the dogs.","Jaws"
"27",333750,334959,"Right.","Jaws"
"28",339505,341340,"Do you see the kids?","Jaws"
"29",347430,349432,"They must bein the back yard.","Jaws"
"30",349516,351516,"In Amity you say ""yard.""","Jaws"
"31",353019,356980,"They're in the ""yard,""not too ""far""
from the ""car.""","Jaws"
"32",359817,361026,"How's that?","Jaws"
"33",361110,362278,"Like you'refrom New York.","Jaws"
"34",364156,367449,"Mum, I got cut.I got hit by a vampire.","Jaws"
"35",367533,368701,"You were playingon those swings,
weren't you?","Jaws"
"36",369870,371036,"Those swingsare dangerous.","Jaws"
"37",371120,372704,"Stay off there.I haven't fixed them yet.","Jaws"
"38",373956,375499,"I think you'regoing to live.","Jaws"
"39",375625,378209,"It's not the prettiestthing I've ever seen.
Hello.","Jaws"
"40",378295,380086,"Yes.Can I go swimming?","Jaws"
"41",380172,382464,"Yeah, but let me cleanthis thing off first.","Jaws"
"42",382548,385718,"What do they usually do?Wash up, or float up,
or what?","Jaws"
"43",387971,389180,"Oh, no.","Jaws"
"44",390223,393183,"Keep them there.I'll be out in about","Jaws"
"45",394144,396562,"15, 20 minutes.All right?","Jaws"
"46",396646,398146,"Dry you off.Okay.","Jaws"
"47",398314,399899,"Go on,get a Band-Aid.","Jaws"
"48",400733,402567,"- Got to go.- Missing person.","Jaws"
"49",402819,405862,"Season hasn't started.Nobody's even here yet.","Jaws"
"50",409326,410909,"Listen, Chief...","Jaws"
"51",411577,412702,"be careful, will you?","Jaws"
"52",412788,413829,"In this town?","Jaws"
"53",413913,415497,"Hi, Dad.","Jaws"
"54",415581,417374,"Wait a minute.Let me get on.","Jaws"
"55",417709,419125,"I want my cup back!","Jaws"
"56",419211,420418,"You'll get it.","Jaws"
"57",421713,423923,"Wave goodbye. Bye.","Jaws"
"58",454538,456413,"Nobody saw hergo into the water?","Jaws"
"59",456540,459959,"Somebody could've.I was sort of passed out.","Jaws"
"60",460627,462168,"You mean,she ran out on you?","Jaws"
"61",462254,463379,"No, sir.","Jaws"
"62",465715,467550,"She must've drowned.","Jaws"
"63",468050,470718,"Look, I reported itto you, didn't I?","Jaws"
"64",470803,471928,"You live here?","Jaws"
"65",472012,473096,"No. Hartford.","Jaws"
"66",473557,476016,"I go to Trinity.My folks live
in Greenwich.","Jaws"
"67",476100,477350,"Your folks wereborn here, right?","Jaws"
"68",477435,478894,"Yeah, I'm an Islander.","Jaws"
"69",479019,480980,"They moved offwhen my dad retired.","Jaws"
"70",481064,482064,"You an Islander?","Jaws"
"71",482149,483232,"No. New York City.","Jaws"
"72",483358,485860,"You here for the summer?Come on.","Jaws"
"73",499456,500749,"Hold it.","Jaws"
"74",513429,514763,"Oh, Jesus.","Jaws"
"75",539623,543583,"Well, you're up awful early.Is the Chief in there?","Jaws"
"76",545003,547922,"Chief, what haveyou got on?","Jaws"
"77",548005,549923,"If this new filing systemis to work,","Jaws"
"78",550008,551926,"you must keepoutdated stuff
off my desk.","Jaws"
"79",552009,554010,"Just the pending,all right?
Yes, Chief.","Jaws"
"80",554136,556846,"We got a bunch of callsabout that karate school.","Jaws"
"81",556972,559807,"It seems that the 9-year-oldsfrom the school have been","Jaws"
"82",559893,562311,"karate-ingthe picket fences.","Jaws"
"83",563480,567024,"Chief Brody's office.The medical inspector.","Jaws"
"84",579037,581871,"The Fire Chiefwants you to go over
the Fourth of July...","Jaws"
"85",581998,584165,"Polly, I want a listof the water activities","Jaws"
"86",584250,586418,"that the city fathersare planning for today.","Jaws"
"87",586503,587878,"Right away.Hendricks!","Jaws"
"88",588004,590172,"Where do we keepthe ""Beach Closed"" signs?","Jaws"
